osmid,oneway,name,highway,reversed,length,geometry,maxspeed,junction,lanes,bridge,ref,access,width
138321403,True,Rue du Collège,residential,False,41.717,"LINESTRING (6.9375611 46.819777, 6.9375996 46.8197066, 6.937791 46.8194367)",,,,,,,
237597867,True,,residential,False,131.03,"LINESTRING (6.9375611 46.819777, 6.9376396 46.8198005, 6.9378065 46.8198307, 6.9381049 46.819929, 6.9389677 46.8202134, 6.9390716 46.8202488, 6.9391179 46.8202736)",,,,,,,
237597873,False,Rue de Savoie,residential,False,62.885000000000005,"LINESTRING (6.9397327 46.8211199, 6.9397126 46.8211613, 6.9394363 46.8215939, 6.9394045 46.8216387)",,,,,,,
237597881,False,Rue Derrière Chapelle,residential,False,61.538999999999994,"LINESTRING (6.9397327 46.8211199, 6.940125 46.821248, 6.9401911 46.8212685, 6.9403621 46.8213167, 6.9403979 46.8213211, 6.9404776 46.8213273)",50,,,,,,
129319921,False,Rue du Temple,tertiary,False,19.99,"LINESTRING (6.9388231 46.8208275, 6.9389131 46.8206586)",50,,,,,,
38135453,True,Rue Derrière Chapelle,residential,False,76.485,"LINESTRING (6.9388231 46.8208275, 6.93932 46.8209791, 6.9393472 46.8209884, 6.9397327 46.8211199)",50,,,,,,
129319921,False,Rue du Temple,tertiary,True,75.17999999999999,"LINESTRING (6.9388231 46.8208275, 6.9387008 46.8210335, 6.9386809 46.8210708, 6.9384998 46.8214107, 6.9384736 46.8214598)",50,,,,,,
38135490,True,,secondary,False,24.673,"LINESTRING (6.942582 46.8223898, 6.9425626 46.8224142, 6.9425329 46.8224331, 6.942496 46.8224445, 6.9424557 46.8224472, 6.9424161 46.822441, 6.9423816 46.8224265, 6.9423556 46.8224052, 6.9423409 46.8223794)",50,roundabout,,,,,
"[140658521, 243488678, 140658519]",False,Route de Corcelles,secondary,True,100.436,"LINESTRING (6.942582 46.8223898, 6.9427114 46.8224093, 6.9428723 46.822437, 6.9430753 46.8224646, 6.9437299 46.8224806, 6.9438891 46.8224884)",50,,2,yes,,,
38135469,False,Route de Corcelles,secondary,False,87.904,"LINESTRING (6.9423409 46.8223794, 6.9422203 46.8223838, 6.9418884 46.8223953, 6.941758 46.8223925, 6.9416626 46.8223778, 6.9415128 46.8223462, 6.9412291 46.8222491)",50,,2,,,,
38135490,True,,secondary,False,35.00699999999999,"LINESTRING (6.9423409 46.8223794, 6.9423388 46.822353, 6.9423486 46.8223274, 6.9423693 46.8223051, 6.942399 46.8222881, 6.9424341 46.8222783, 6.9424719 46.8222761, 6.942509 46.8222817, 6.9425422 46.8222948, 6.942568 46.8223142, 6.9425841 46.822338, 6.9425889 46.822364, 6.942582 46.8223898)",50,roundabout,,,,,
38135500,True,,secondary,False,6.720000000000001,"LINESTRING (6.9403211 46.8220533, 6.9402864 46.8220346, 6.9402625 46.8220092)",50,roundabout,,,,,
"[38135501, 1039832622, 1039908511]",False,Avenue Général Jomini,tertiary,False,141.45999999999998,"LINESTRING (6.9403211 46.8220533, 6.9402968 46.8221056, 6.9402479 46.8221701, 6.9401432 46.8222691, 6.9398681 46.8225293, 6.9398298 46.8225655, 6.9396061 46.8227771, 6.9393678 46.8230025, 6.93933 46.8230383, 6.9392674 46.8230975)",50,,2,,,,
38135500,True,,secondary,False,15.857,"LINESTRING (6.9402625 46.8220092, 6.9402518 46.8219798, 6.9402557 46.8219481, 6.9402713 46.8219245, 6.940297 46.8219036, 6.9403305 46.8218888)",50,roundabout,,,,,
997724190,True,Grand'Rue,secondary,False,32.174,"LINESTRING (6.9402625 46.8220092, 6.9401129 46.8219474, 6.9399028 46.8218571)",50,,,,,,
38135500,True,,secondary,False,6.083,"LINESTRING (6.9403305 46.8218888, 6.940369 46.8218813, 6.9404089 46.8218819)",50,roundabout,,,,,
38135500,True,,secondary,False,13.794999999999998,"LINESTRING (6.9404089 46.8218819, 6.9404517 46.8218923, 6.9404869 46.8219117, 6.9405108 46.8219381, 6.9405204 46.8219684)",50,roundabout,,,,,
