osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel,access
2769,Milton Avenue,residential,20 mph,False,True,72.509,"LINESTRING (-0.1945821 51.6500213, -0.1946697 51.6499705, -0.1947037 51.6499504, -0.1947486 51.6499412, -0.1948132 51.649944, -0.1950341 51.649965, -0.1951805 51.6499693, -0.1953248 51.6499644, -0.1954192 51.6499588, -0.1954864 51.6499435, -0.1955064 51.6499334, -0.195557 51.6499078)",,,,
298341992,Barnet Hill,primary,30 mph,False,False,148.983,"LINESTRING (-0.1945821 51.6500213, -0.1955049 51.6505341, -0.1962086 51.6509024)",3,A1000,,
"[8120064, 8120063]",Fitzjohn Avenue,residential,30 mph,False,"[False, True]",216.681,"LINESTRING (-0.1986888 51.6524926, -0.1987754 51.6524368, -0.1988143 51.6524115, -0.1989404 51.6523292, -0.1990817 51.6521606, -0.1991053 51.6521308, -0.1991347 51.6520937, -0.1992094 51.6519993, -0.1993955 51.6517707, -0.1996851 51.6514215, -0.199777 51.651352, -0.1999768 51.6512434, -0.2001491 51.6511764, -0.200418 51.6510745, -0.2005823 51.6509975)",,,,
311817421,High Street,primary,30 mph,True,False,34.555,"LINESTRING (-0.1986888 51.6524926, -0.1985558 51.6524755, -0.1984515 51.6524153, -0.1984206 51.6523975, -0.1983818 51.652375, -0.1983548 51.6522978)",2,A1000,,
504546266,High Street,primary,30 mph,False,True,35.803,"LINESTRING (-0.1986888 51.6524926, -0.1988456 51.6525735, -0.1989536 51.6526293, -0.1990878 51.6526985)",,A1000,,
"[504546266, 1055844970, 52292308]",High Street,primary,30 mph,False,False,53.330999999999996,"LINESTRING (-0.1997258 51.6529663, -0.1995288 51.6529034, -0.1993762 51.652841, -0.1992696 51.6527902, -0.1991801 51.6527462, -0.1990878 51.6526985)",4,A1000,,
"[542450890, 1055844962]",Wood Street,primary,30 mph,True,False,30.123,"LINESTRING (-0.1997258 51.6529663, -0.1998812 51.6529591, -0.2000521 51.6529669, -0.2001614 51.6529704)",1,A411,,
"[1033286373, 1055844959]",High Street,primary,30 mph,False,True,21.258000000000003,"LINESTRING (-0.1997258 51.6529663, -0.19981 51.6530048, -0.1998371 51.6530146, -0.1999883 51.6530657)",2,A1000,,
1213,High Street,primary,30 mph,False,False,68.263,"LINESTRING (-0.1966464 51.6511303, -0.1967589 51.6511939, -0.1969711 51.6513232, -0.1971481 51.651439, -0.1973265 51.651575)",4,A1000,,
918688531,Barnet Hill,primary,30 mph,False,True,20.579,"LINESTRING (-0.1966464 51.6511303, -0.1965304 51.6510689, -0.1964683 51.651036, -0.1964188 51.6510107)",4,A1000,,
"[1020885632, 918688532]",Meadway,tertiary,30 mph,False,True,24.411,"LINESTRING (-0.1966464 51.6511303, -0.1964712 51.6511735, -0.196427 51.6511844, -0.1963176 51.6512114)",,,,
4237276,Manor Road,tertiary,30 mph,False,True,202.93800000000002,"LINESTRING (-0.203591 51.6530103, -0.203572 51.6527944, -0.2035892 51.6525835, -0.2036891 51.6519432, -0.2037376 51.6514748, -0.203753 51.6513104, -0.2037676 51.6511904)",,,,
48736821,Wood Street,primary,30 mph,False,True,104.333,"LINESTRING (-0.203591 51.6530103, -0.2039117 51.6530064, -0.204235 51.6530016, -0.2045694 51.6529808, -0.2050944 51.652927)",,A411,,
"[1180225072, 188236589]",Wood Street,primary,30 mph,False,False,210.442,"LINESTRING (-0.203591 51.6530103, -0.2030861 51.6530215, -0.2028124 51.6530223, -0.2020746 51.653023, -0.201975 51.6530238, -0.2018756 51.6530245, -0.2017151 51.6530264, -0.200639 51.6530079, -0.2005415 51.6530111)",2,A411,,
4075804,Cattley Close,residential,30 mph,False,False,102.62200000000001,"LINESTRING (-0.2050944 51.652927, -0.2050629 51.6527836, -0.2050596 51.6524861, -0.2050354 51.6524258, -0.2049188 51.6522644, -0.2048725 51.6521928, -0.2048591 51.6520285)",,,,
48736821,Wood Street,primary,30 mph,False,False,104.33300000000001,"LINESTRING (-0.2050944 51.652927, -0.2045694 51.6529808, -0.204235 51.6530016, -0.2039117 51.6530064, -0.203591 51.6530103)",,A411,,
48736821,Wood Street,primary,30 mph,False,True,72.3,"LINESTRING (-0.2050944 51.652927, -0.2054906 51.6528788, -0.2056056 51.6528676, -0.2059629 51.652836, -0.2061288 51.6528245)",,A411,,
8124478,Hillside Gardens,residential,30 mph,False,True,155.81,"LINESTRING (-0.2061288 51.6528245, -0.2061919 51.6523913, -0.2062737 51.6519109, -0.2062856 51.6518553, -0.2063092 51.6517991, -0.2063629 51.6516923, -0.2064019 51.6515429, -0.2064148 51.6514374)",,,,
48736821,Wood Street,primary,30 mph,False,False,72.3,"LINESTRING (-0.2061288 51.6528245, -0.2059629 51.652836, -0.2056056 51.6528676, -0.2054906 51.6528788, -0.2050944 51.652927)",,A411,,
48736821,Wood Street,primary,30 mph,False,True,55.651,"LINESTRING (-0.2061288 51.6528245, -0.2062329 51.6528249, -0.206335 51.6528295, -0.2064402 51.6528482, -0.2066129 51.6528922, -0.2067273 51.6529312, -0.2068859 51.6529749)",,A411,,
48736821,Wood Street,primary,30 mph,False,False,55.650999999999996,"LINESTRING (-0.2068859 51.6529749, -0.2067273 51.6529312, -0.2066129 51.6528922, -0.2064402 51.6528482, -0.206335 51.6528295, -0.2062329 51.6528249, -0.2061288 51.6528245)",,A411,,
619592706,The Avenue,residential,30 mph,False,True,22.359,"LINESTRING (-0.2068859 51.6529749, -0.2068663 51.6530846, -0.2068656 51.6531753)",,,,
"[473383400, 4075069, 473383399]",Tapster Street,residential,30 mph,True,False,29.820999999999998,"LINESTRING (-0.2004141 51.6531948, -0.2003786 51.6532327, -0.2003647 51.6532462, -0.200314 51.6533093, -0.2002791 51.6533687, -0.2002594 51.6534423)",,,building_passage,
311817418,High Street,primary,30 mph,False,False,13.457,"LINESTRING (-0.2004141 51.6531948, -0.2003281 51.6531677, -0.2002401 51.6531401)",2,A1000,,
"[8119813, 1020885654, 1020885655]",High Street,primary,30 mph,False,False,89.474,"LINESTRING (-0.2004141 51.6531948, -0.2004333 51.6532011, -0.2005409 51.6532365, -0.2007806 51.6533124, -0.2010462 51.6533951, -0.2010947 51.6534136, -0.201177 51.6534451, -0.2012718 51.6535064, -0.2013783 51.6536048, -0.201421 51.6536647)",2,A1000,,
4014453,Moxon Street,residential,30 mph,False,False,96.285,"LINESTRING (-0.201421 51.6536647, -0.2013115 51.6536947, -0.200937 51.6537955, -0.2008016 51.6538278, -0.2004344 51.6539161, -0.2001315 51.6539956)",,,,
"[8119813, 1180225079]",High Street,primary,30 mph,False,False,64.364,"LINESTRING (-0.201421 51.6536647, -0.2014353 51.6536902, -0.2014719 51.6537974, -0.2015123 51.6539802, -0.201538 51.6541103, -0.2015645 51.6542359)",2,A1000,,
"[8119813, 1020885654, 1020885655]",High Street,primary,30 mph,False,True,89.474,"LINESTRING (-0.201421 51.6536647, -0.2013783 51.6536048, -0.2012718 51.6535064, -0.201177 51.6534451, -0.2010947 51.6534136, -0.2010462 51.6533951, -0.2007806 51.6533124, -0.2005409 51.6532365, -0.2004333 51.6532011, -0.2004141 51.6531948)",2,A1000,,
4014453,Moxon Street,residential,30 mph,False,False,183.172,"LINESTRING (-0.1989705 51.6542745, -0.1989082 51.6542644, -0.1988654 51.6542625, -0.1983207 51.6543469, -0.1982733 51.6543517, -0.1981087 51.6543722, -0.1977676 51.654423, -0.1973968 51.6545115, -0.196828 51.6546705, -0.1967829 51.6546918, -0.196767 51.6549037)",,,,
4014453,Moxon Street,residential,30 mph,False,True,79.86099999999999,"LINESTRING (-0.1989705 51.6542745, -0.1990009 51.6542766, -0.199034 51.654274, -0.1995164 51.6541538, -0.1998673 51.6540672, -0.1999446 51.6540481, -0.2000476 51.6540193)",,,,
