osmid,oneway,name,highway,reversed,length,access,geometry,lanes,maxspeed,junction,ref,bridge,tunnel
28767809,True,Prince's Street,unclassified,False,110.441,,"LINESTRING (-1.12921 53.5222581, -1.1283212 53.5230991)",,,,,,
"[672534609, 28767772, 25076028]",True,Hall Gate,unclassified,False,86.89399999999999,no,"LINESTRING (-1.12921 53.5222581, -1.1287394 53.5221327, -1.1285364 53.5220943, -1.1281777 53.5220069, -1.1280953 53.5219908, -1.1279919 53.5219663)",,,,,,
28767696,True,Waterdale,tertiary,False,8.905000000000001,,"LINESTRING (-1.1278717 53.521928, -1.1279642 53.5219079, -1.1280003 53.5219096)",,,,,,
28767759,True,South Parade,tertiary,False,49.061,,"LINESTRING (-1.1278717 53.521928, -1.127421 53.5217681, -1.1272339 53.5217024)",,,,,,
672535680,False,Cleveland Street,unclassified,True,65.503,no,"LINESTRING (-1.1323088 53.5227298, -1.1329227 53.5222674)",,,,,,
48580096,True,Hall Gate,unclassified,False,211.77700000000002,,"LINESTRING (-1.1323088 53.5227298, -1.1302411 53.5223841, -1.1301227 53.5223655, -1.1300115 53.5223485, -1.1296451 53.5223268, -1.12921 53.5222581)",,,,,,
16793491,True,,trunk,False,33.836,,"LINESTRING (-1.1331817 53.5272024, -1.133057 53.5271852, -1.1329414 53.5271526, -1.1328403 53.5271059, -1.1327584 53.5270475)",3,40 mph,roundabout,,,
16793491,True,,trunk,False,48.58,,"LINESTRING (-1.1327584 53.5270475, -1.1326815 53.5269483, -1.1326594 53.5268399, -1.1326941 53.5267326, -1.1327823 53.5266368)",3,40 mph,roundabout,,,
23070005,True,Church Way,trunk,False,43.543,,"LINESTRING (-1.1327584 53.5270475, -1.1326283 53.5269802, -1.1325119 53.526944, -1.1323063 53.5269036, -1.1321683 53.5268975)",,40 mph,,A630,,
16793491,True,,trunk,False,7.255,,"LINESTRING (-1.1327823 53.5266368, -1.132857 53.526589)",3,40 mph,roundabout,,,
16793491,True,,trunk,False,61.102999999999994,,"LINESTRING (-1.1338453 53.5268721, -1.1338232 53.5269495, -1.1337728 53.5270221, -1.1336968 53.5270862, -1.1335987 53.5271388, -1.1334835 53.5271772, -1.1333569 53.5271995, -1.1332251 53.5272046)",3,40 mph,roundabout,,,
23023387,True,Cleveland Street Roundabout,trunk,False,3.301,,"LINESTRING (-1.13611 53.5196978, -1.1361598 53.5196999)",2,40 mph,roundabout,A638,,
50439799,True,Trafford Way,trunk,False,115.33200000000001,,"LINESTRING (-1.1348357 53.5190229, -1.1349316 53.5190794, -1.135707 53.5195852, -1.1357788 53.5196267, -1.1358411 53.5196534, -1.1358904 53.5196688, -1.1359602 53.5196834, -1.1360267 53.5196911, -1.13611 53.5196978)",2,40 mph,,A638,,
23023387,True,Cleveland Street Roundabout,trunk,False,1.083,,"LINESTRING (-1.1359638 53.5201382, -1.1359475 53.5201372)",2,40 mph,roundabout,A638,,
23023387,True,Cleveland Street Roundabout,trunk,False,1.285,,"LINESTRING (-1.1365878 53.5199241, -1.1365859 53.5199356)",2,40 mph,roundabout,A638,,
23023387,True,Cleveland Street Roundabout,trunk,False,40.139,,"LINESTRING (-1.1361598 53.5196999, -1.1362348 53.5197109, -1.1363675 53.519745, -1.1364232 53.5197649, -1.1364641 53.5197865, -1.136502 53.5198152, -1.1365339 53.5198426, -1.1365532 53.5198625, -1.1365733 53.5198903, -1.1365822 53.5199088, -1.1365856 53.5199175, -1.1365878 53.5199241)",2,40 mph,roundabout,A638,,
51311999,True,Cleveland Street,trunk,False,107.894,,"LINESTRING (-1.1361598 53.5196999, -1.1363118 53.5196982, -1.1363631 53.5196938, -1.1364381 53.5196827, -1.1364942 53.5196704, -1.1365667 53.5196491, -1.1366329 53.5196204, -1.1366697 53.5196004, -1.1367018 53.5195794, -1.1369006 53.5194418, -1.1373627 53.5191092)",2,,,A630,,
