osmid,oneway,highway,reversed,length,geometry,name,maxspeed,ref,lanes,access,junction,tunnel
1205221077,True,primary,False,97.00200000000001,"LINESTRING (-0.367418 51.4676132, -0.36729 51.4676653, -0.3671727 51.4677098, -0.3670776 51.4677382, -0.3669957 51.4677517, -0.3669124 51.4677508, -0.3668484 51.4677356, -0.3667956 51.4677203, -0.3667527 51.4676935, -0.3667476 51.4676882, -0.3667219 51.4676613, -0.3666773 51.4675639, -0.3666473 51.4674686, -0.3666066 51.467302)",,,,,,,
4823692,True,tertiary,False,65.936,"LINESTRING (-0.3581685 51.4692704, -0.358139 51.4692204, -0.3581301 51.4691769, -0.3581356 51.4691244, -0.3581841 51.4687295, -0.3581996 51.4686833)",Inwood Road,20 mph,,,,,
100772165,False,primary,False,80.444,"LINESTRING (-0.3581685 51.4692704, -0.3579145 51.4693804, -0.3576912 51.4694996, -0.3574459 51.4696464, -0.3572889 51.4697404)",Hanworth Road,20 mph,A315,,,,
100772165,False,primary,True,71.923,"LINESTRING (-0.3581685 51.4692704, -0.3582705 51.4692224, -0.3586714 51.4690683, -0.3590492 51.4689285)",Hanworth Road,20 mph,A315,,,,
624862834,False,primary,False,6.787,"LINESTRING (-0.3570352 51.4699852, -0.3569535 51.4700189)",High Street,30 mph,A315,,,,
1064305812,True,residential,False,28.412000000000003,"LINESTRING (-0.3570352 51.4699852, -0.3571375 51.4700613, -0.3571762 51.4701359, -0.3572067 51.4702114)",Laurence Road,20 mph,,,,,
"[223713903, 4759551]",False,tertiary,False,110.88,"LINESTRING (-0.3549884 51.4705267, -0.3550608 51.4706115, -0.3550869 51.4706421, -0.3550947 51.4706596, -0.3551545 51.4708645, -0.3551965 51.4709928, -0.3553198 51.4713235, -0.3553315 51.4713527, -0.3553469 51.4713902, -0.3553777 51.4714464, -0.3554066 51.4714837)",Kingsley Road,"['20 mph', '30 mph']",,2,,,
"[600015056, 600011937, 599996827, 1072010379]",True,primary,False,147.622,"LINESTRING (-0.3549884 51.4705267, -0.3550831 51.4704503, -0.355525 51.4703361, -0.3557827 51.4702673, -0.3562066 51.4701526, -0.3564887 51.4700763, -0.3565727 51.4700463, -0.3566674 51.4700116, -0.3567251 51.4699884, -0.3567824 51.4699701, -0.3568222 51.4699515, -0.3568688 51.4699297)",High Street,20 mph,A315,,,,
3451035,False,primary,True,124.563,"LINESTRING (-0.3638557 51.4655381, -0.3644231 51.4649927, -0.364634 51.46479, -0.3648377 51.4645997)",Hanworth Road,30 mph,A314,2,,,
"[1072010368, 51830023, 1072010367]",False,primary,False,93.71199999999999,"LINESTRING (-0.3638557 51.4655381, -0.3636792 51.4657107, -0.3635653 51.4658221, -0.3633525 51.4660357, -0.363129 51.4662489)",Hanworth Road,30 mph,A314,,,,
"[1072010369, 183140089, 1073020326]",False,secondary,True,85.501,"LINESTRING (-0.3638557 51.4655381, -0.3636604 51.465464, -0.3634992 51.4654028, -0.3633577 51.4653491, -0.3628016 51.4651381)",Hanworth Terrace,20 mph,B361,,,,
"[1073020328, 4823700, 1073020327]",False,residential,False,105.821,"LINESTRING (-0.3638557 51.4655381, -0.3640871 51.465629, -0.3642065 51.4657264, -0.364306 51.4658382, -0.3643542 51.4658944, -0.3644084 51.4659577, -0.3644432 51.4659984, -0.3645726 51.4661494, -0.3647073 51.4663065)",Bell Road,,,,,,
