osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge
"[374458448, 2956771]","['Clarendon Rise', 'Slaithwaite Road']",residential,20 mph,False,True,188.54399999999998,"LINESTRING (-0.00749 51.4588851, -0.0074672 51.4586667, -0.0074403 51.4584168, -0.0074286 51.4583087, -0.0082133 51.4583025, -0.0082568 51.4583029, -0.0085256 51.4583055, -0.0092213 51.4583333)",,,,
308250740,Limes Grove,residential,20 mph,False,True,263.447,"LINESTRING (-0.00749 51.4588851, -0.0075582 51.4588848, -0.00831 51.4589506, -0.0085928 51.4589867, -0.0094373 51.4591126, -0.0103613 51.4592506, -0.0109335 51.4593392, -0.0112041 51.4593798)",,,,
628864470,Clarendon Rise,residential,20 mph,False,False,86.55600000000001,"LINESTRING (-0.00749 51.4588851, -0.0075064 51.4590379, -0.0075252 51.4592293, -0.0075581 51.4595662, -0.0075676 51.459662)",,,,
2954496,Limes Grove,residential,20 mph,False,True,11.634,"LINESTRING (-0.0112041 51.4593798, -0.0113001 51.4594104, -0.011359 51.4594178)",,,,
2954849,Clipper Way,unclassified,20 mph,False,False,137.449,"LINESTRING (-0.0112041 51.4593798, -0.0113813 51.4590125, -0.0114711 51.4588536, -0.0118091 51.4583101, -0.0118206 51.4582739, -0.0117936 51.4582118)",,,,
308250740,Limes Grove,residential,20 mph,False,False,263.447,"LINESTRING (-0.0112041 51.4593798, -0.0109335 51.4593392, -0.0103613 51.4592506, -0.0094373 51.4591126, -0.0085928 51.4589867, -0.00831 51.4589506, -0.0075582 51.4588848, -0.00749 51.4588851)",,,,
41540157,Lewisham Road,primary,20 mph,False,False,102.025,"LINESTRING (-0.0113403 51.4667927, -0.0112625 51.4666458, -0.011171 51.4664764, -0.0110548 51.4662403, -0.0109903 51.4660663, -0.0108952 51.4659192)",2,A2211,,
24458197,Lewisham High Street,primary,30 mph,True,False,38.431,"LINESTRING (-0.0119621 51.4593379, -0.012039 51.4592417, -0.0120672 51.4592048, -0.0120984 51.4591651, -0.0121657 51.4590846, -0.0122559 51.4590577)",,A21,,
"[628867530, 2955461]",Lewisham High Street,primary_link,20 mph,True,False,39.638,"LINESTRING (-0.011718 51.4596581, -0.0117612 51.459578, -0.0118002 51.4595159, -0.0118153 51.4594934, -0.0118694 51.4594231, -0.0119621 51.4593379)",,,no,
"[501245813, 40379813]",Lewisham High Street,tertiary,20 mph,True,False,146.821,"LINESTRING (-0.011718 51.4596581, -0.0115994 51.4597781, -0.0114302 51.4599537, -0.0112842 51.4601119, -0.0111113 51.4603154, -0.0109996 51.4604562, -0.0109237 51.460556, -0.0108694 51.4606282, -0.0107317 51.460825)",2,,,
