osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,lanes,access
15090995,A763,Bridge Street,primary,False,True,6.63,"LINESTRING (-4.1731143 55.8198988, -4.1731348 55.8198403)",,,,
15090995,A763,Bridge Street,primary,False,False,24.526,"LINESTRING (-4.1731143 55.8198988, -4.1730632 55.8200107, -4.1730431 55.8200509, -4.1730158 55.8201123)",,,,
485945100,A724,Main Street,primary,True,False,114.899,"LINESTRING (-4.1731143 55.8198988, -4.1729619 55.819883, -4.172241 55.8198092, -4.1719637 55.8197663, -4.1713268 55.819661)",30 mph,,,
114004215,B759,Greenlees Road,secondary,False,False,29.638,"LINESTRING (-4.1664873 55.8149628, -4.1665844 55.8152237)",30 mph,,,
114004215,B759,Greenlees Road,secondary,False,False,12.503,"LINESTRING (-4.1671291 55.8175435, -4.1671134 55.8176556)",30 mph,,,
82551427,,Tabernacle Street,residential,False,False,120.835,"LINESTRING (-4.1671291 55.8175435, -4.166436 55.8175682, -4.1656343 55.8176042, -4.165419 55.8175988, -4.1652003 55.8175857)",,,,
114004215,B759,Greenlees Road,secondary,False,True,87.583,"LINESTRING (-4.1671291 55.8175435, -4.1671564 55.8173778, -4.1671665 55.8172109, -4.1671299 55.8170014, -4.167065 55.8167604)",30 mph,,,
"[84636737, 729829132, 84636749]",,Croft Road,residential,False,True,89.27799999999999,"LINESTRING (-4.1611493 55.8178853, -4.1612874 55.8178154, -4.1613141 55.8177831, -4.1613049 55.8176451, -4.1612618 55.8174254, -4.1611922 55.8171242)",,yes,,
444244181,A724,Hamilton Road,primary,True,False,166.202,"LINESTRING (-4.1611493 55.8178853, -4.1613692 55.8179368, -4.1615706 55.8179825, -4.161831 55.8180317, -4.1619877 55.8180564, -4.1623472 55.8181043, -4.1626566 55.8181436, -4.162795 55.8181689, -4.1629203 55.8181898, -4.1630546 55.8182197, -4.163189 55.8182498, -4.1632308 55.8182626, -4.1632822 55.8182783, -4.1634069 55.8183212, -4.16358 55.8183912, -4.1636193 55.8184084)",30 mph,,2,
114004215,B759,Greenlees Road,secondary,False,True,29.638,"LINESTRING (-4.1665844 55.8152237, -4.1664873 55.8149628)",30 mph,,,
