osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,bridge
59213844,True,Cardiff Street,residential,False,101.655,"LINESTRING (-3.5107479 51.6622516, -3.5109523 51.6619487, -3.5109764 51.661912, -3.5110863 51.6617451, -3.5113192 51.6614089)",,,,
59214266,False,Cemetery Road,residential,True,79.78899999999999,"LINESTRING (-3.5107479 51.6622516, -3.5105882 51.6625187, -3.5105512 51.6625983, -3.5104427 51.6629416)",2,20 mph,,
1089009491,False,Bute Street,primary,False,84.589,"LINESTRING (-3.5107479 51.6622516, -3.5105639 51.6621944, -3.5104112 51.6621319, -3.5097849 51.6617869)",2,20 mph,A4061,
1089009491,False,Bute Street,primary,False,87.827,"LINESTRING (-3.5081082 51.6608851, -3.5071602 51.6603578)",2,20 mph,A4061,
1089009491,False,Bute Street,primary,True,65.972,"LINESTRING (-3.5081082 51.6608851, -3.5088308 51.6612738)",2,20 mph,A4061,
59213850,False,Senghenydd Street,residential,False,145.958,"LINESTRING (-3.5081082 51.6608851, -3.5084037 51.6606091, -3.5084988 51.6605151, -3.5089787 51.6600509, -3.5092565 51.6597826)",,,,
27821193,True,Chapel Street,residential,False,63.834,"LINESTRING (-3.5057811 51.6596597, -3.5053839 51.6600053, -3.5052506 51.66013)",,,,
"[121086092, 687398733, 687398734]",False,Station Road,primary,False,93.843,"LINESTRING (-3.5057811 51.6596597, -3.5058673 51.6594314, -3.5059338 51.6592513, -3.5059772 51.6591289, -3.5060951 51.6588386)",2,20 mph,A4061,yes
752849343,False,High Street,primary,True,83.036,"LINESTRING (-3.5057811 51.6596597, -3.5047438 51.6596858, -3.5045786 51.6596781)",2,20 mph,A4058,
1040595087,False,High Street,primary,True,105.781,"LINESTRING (-3.5057811 51.6596597, -3.5060797 51.6597824, -3.5069713 51.6602575)",2,20 mph,A4061,
493113728,False,River Terrace,residential,True,110.07900000000001,"LINESTRING (-3.5066264 51.6594519, -3.5068113 51.6594753, -3.5075384 51.6595674, -3.50819 51.6596499)",,,,
22340601,False,Howard Street,residential,True,106.029,"LINESTRING (-3.50819 51.6596499, -3.5077021 51.659986, -3.5074933 51.6601265, -3.5071602 51.6603578)",,,,
493113728,False,River Terrace,residential,False,110.079,"LINESTRING (-3.50819 51.6596499, -3.5075384 51.6595674, -3.5068113 51.6594753, -3.5066264 51.6594519)",,,,
493113728,False,River Terrace,residential,True,75.031,"LINESTRING (-3.50819 51.6596499, -3.5086704 51.6597099, -3.5089369 51.6597431, -3.5092565 51.6597826)",,,,
59212009,False,New Chapel Street,unclassified,True,65.396,"LINESTRING (-3.504987 51.660338, -3.5057337 51.6607004)",,,,
125165112,True,New Chapel Street,residential,False,42.186,"LINESTRING (-3.504987 51.660338, -3.5045042 51.6601051)",,,,
27821195,False,Prince's Street,residential,True,48.368,"LINESTRING (-3.5045042 51.6601051, -3.5045718 51.6599985, -3.5045786 51.6596781)",2,20 mph,,
125165104,False,Tynybedw Street,residential,False,83.161,"LINESTRING (-3.5045042 51.6601051, -3.5044291 51.6602715, -3.5036044 51.6600088)",2,20 mph,,
59213700,False,New Tynybedw Street,residential,True,51.196,"LINESTRING (-3.5006453 51.6591336, -3.5010048 51.6587308)",2,20 mph,,
59213705,False,Troedyrhiw Terrace,residential,False,20.588,"LINESTRING (-3.5006453 51.6591336, -3.5003766 51.659053)",2,20 mph,,
125165104,False,Tynybedw Street,residential,True,79.138,"LINESTRING (-3.5006453 51.6591336, -3.5016853 51.6594341)",2,20 mph,,
59213715,False,Prospect Place,residential,True,125.78999999999999,"LINESTRING (-3.5006453 51.6591336, -3.5005114 51.6592818, -3.5004602 51.6593381, -3.5006029 51.6593819, -3.5007705 51.6594329, -3.5008113 51.6595313, -3.5007159 51.6596545, -3.5013583 51.65985)",2,20 mph,,
125164962,False,High Street,primary,True,53.725,"LINESTRING (-3.4982922 51.657789, -3.4978063 51.6574114)",2,20 mph,A4058,
59213705,False,Troedyrhiw Terrace,residential,True,50.39399999999999,"LINESTRING (-3.4982922 51.657789, -3.4981205 51.6578156, -3.497981 51.6577357, -3.4978569 51.6577666, -3.497733 51.6578182, -3.497677 51.6578543)",2,20 mph,,
125164962,False,High Street,primary,False,215.70200000000003,"LINESTRING (-3.4982922 51.657789, -3.4987646 51.6580492, -3.4989418 51.6581083, -3.5007182 51.6586424, -3.5010048 51.6587308)",2,20 mph,A4058,
752849343,False,High Street,primary,True,5.468,"LINESTRING (-3.5045786 51.6596781, -3.5045067 51.6596574)",2,20 mph,A4058,
27821195,False,Prince's Street,residential,False,48.368,"LINESTRING (-3.5045786 51.6596781, -3.5045718 51.6599985, -3.5045042 51.6601051)",2,20 mph,,
752849343,False,High Street,primary,False,83.036,"LINESTRING (-3.5045786 51.6596781, -3.5047438 51.6596858, -3.5057811 51.6596597)",2,20 mph,A4058,
1089009491,False,Bute Street,primary,False,17.151,"LINESTRING (-3.5071602 51.6603578, -3.5069713 51.6602575)",2,20 mph,A4061,
1089009491,False,Bute Street,primary,True,87.827,"LINESTRING (-3.5071602 51.6603578, -3.5081082 51.6608851)",2,20 mph,A4061,
22340601,False,Howard Street,residential,False,106.029,"LINESTRING (-3.5071602 51.6603578, -3.5074933 51.6601265, -3.5077021 51.659986, -3.50819 51.6596499)",,,,
125164962,False,High Street,primary,False,53.725,"LINESTRING (-3.4978063 51.6574114, -3.4982922 51.657789)",2,20 mph,A4058,
493113738,False,,unclassified,True,93.631,"LINESTRING (-3.4978063 51.6574114, -3.4978554 51.6573853, -3.4980501 51.6572705, -3.4983453 51.6569739, -3.4986018 51.6567354)",,,,
59212009,False,New Chapel Street,unclassified,False,65.396,"LINESTRING (-3.5057337 51.6607004, -3.504987 51.660338)",,,,
59213700,False,New Tynybedw Street,residential,False,51.196,"LINESTRING (-3.5010048 51.6587308, -3.5006453 51.6591336)",2,20 mph,,
59213722,False,Rees Street,residential,True,74.434,"LINESTRING (-3.5010048 51.6587308, -3.5012307 51.6584906, -3.501548 51.6581524)",,,,
125164962,False,High Street,primary,False,146.517,"LINESTRING (-3.5010048 51.6587308, -3.5015057 51.6589108, -3.5016679 51.6589542, -3.5018245 51.6589832, -3.5023597 51.6590503, -3.5024996 51.6590694, -3.5029802 51.6591857)",2,20 mph,A4058,
125164962,False,High Street,primary,True,215.702,"LINESTRING (-3.5010048 51.6587308, -3.5007182 51.6586424, -3.4989418 51.6581083, -3.4987646 51.6580492, -3.4982922 51.657789)",2,20 mph,A4058,
59213701,False,Crosswood Street,residential,False,38.169,"LINESTRING (-3.5026302 51.6612588, -3.5026816 51.6611867, -3.5028667 51.6609485)",2,20 mph,,
59213701,False,Crosswood Street,residential,False,64.12899999999999,"LINESTRING (-3.5028667 51.6609485, -3.5029785 51.6608009, -3.5030685 51.6606889, -3.503276 51.6604307)",2,20 mph,,
59213701,False,Crosswood Street,residential,True,38.169,"LINESTRING (-3.5028667 51.6609485, -3.5026816 51.6611867, -3.5026302 51.6612588)",2,20 mph,,
"[59213714, 125164966]",False,"['Tynybedw Terrace', 'Tynybedw Close']",residential,False,385.122,"LINESTRING (-3.5028667 51.6609485, -3.5020415 51.6607076, -3.5010986 51.6604206, -3.5001268 51.6601251, -3.4999101 51.660036, -3.499714 51.6599421, -3.4994012 51.6597678, -3.4989379 51.6595428, -3.4981312 51.6591534)",2,20 mph,,
59213715,False,Prospect Place,residential,False,79.812,"LINESTRING (-3.503276 51.6604307, -3.5022406 51.6601103)",2,20 mph,,
59213701,False,Crosswood Street,residential,False,52.099000000000004,"LINESTRING (-3.503276 51.6604307, -3.5034027 51.6602617, -3.5034218 51.6602378, -3.5036044 51.6600088)",2,20 mph,,
59213701,False,Crosswood Street,residential,True,64.12899999999999,"LINESTRING (-3.503276 51.6604307, -3.5030685 51.6606889, -3.5029785 51.6608009, -3.5028667 51.6609485)",2,20 mph,,
264763754,False,Prospect Place,residential,True,165.334,"LINESTRING (-3.503276 51.6604307, -3.504209 51.6607189, -3.5051394 51.6613297)",2,20 mph,,
125165104,False,Tynybedw Street,residential,False,80.198,"LINESTRING (-3.5036044 51.6600088, -3.5025553 51.6596979)",2,20 mph,,
59213701,False,Crosswood Street,residential,True,52.099000000000004,"LINESTRING (-3.5036044 51.6600088, -3.5034218 51.6602378, -3.5034027 51.6602617, -3.503276 51.6604307)",2,20 mph,,
