osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,width
5050446,Bow Street,tertiary,30 mph,False,True,84.103,"LINESTRING (-1.0499358 54.5343683, -1.0504998 54.5350502)",,,
4020363,Whitby Lane,tertiary,30 mph,False,False,295.629,"LINESTRING (-1.0499358 54.5343683, -1.049198 54.5342965, -1.048025 54.5343054, -1.0471652 54.534215, -1.0466435 54.5342013, -1.0464045 54.5342189, -1.046127 54.5342517, -1.045403 54.5343428)",,,
22732847,Rectory Lane,unclassified,30 mph,False,False,245.995,"LINESTRING (-1.0499358 54.5343683, -1.0506189 54.5341098, -1.0507118 54.5340722, -1.0510247 54.5339588, -1.0514367 54.5338133, -1.0516887 54.5337326, -1.0526891 54.5334676, -1.0532761 54.5333122)",,,
23019192,Belmangate,residential,30 mph,False,False,50.682,"LINESTRING (-1.0499358 54.5343683, -1.0499228 54.5342311, -1.0498982 54.5341645, -1.0498181 54.5340497, -1.0497204 54.5339367)",,,
5050446,Bow Street,tertiary,30 mph,False,False,92.746,"LINESTRING (-1.0510438 54.5358217, -1.0509856 54.5357302, -1.0506763 54.5352656, -1.0504998 54.5350502)",,,
"[5054874, 54667388]","['Church Street', 'Redcar Road']",unclassified,30 mph,False,False,230.76000000000002,"LINESTRING (-1.0510438 54.5358217, -1.0509874 54.5358945, -1.0508849 54.5359982, -1.0507644 54.5360758, -1.0504893 54.536184, -1.0501382 54.5363152, -1.049918 54.5363828, -1.0497351 54.536439, -1.0496037 54.5365136, -1.0493849 54.5366738, -1.0493339 54.5367861, -1.0493188 54.5368195, -1.0493236 54.5369243, -1.0493255 54.5369649, -1.0495542 54.5374101)",,,
223802080,Westgate,tertiary,30 mph,False,True,119.32900000000001,"LINESTRING (-1.0510438 54.5358217, -1.0513806 54.5357947, -1.0516484 54.5357486, -1.0518505 54.5357061, -1.052268 54.5356166, -1.0527971 54.5354932)",2,,
"[4050349, 54834270]",Church Lane,residential,30 mph,False,True,50.149,"LINESTRING (-1.0515408 54.5398593, -1.0518759 54.5397086, -1.052054 54.5396207, -1.052145 54.5395757)",,,
54667388,Redcar Road,unclassified,30 mph,False,True,118.67399999999999,"LINESTRING (-1.0515408 54.5398593, -1.050935 54.53931, -1.050581 54.5389492)",,,
54667388,Redcar Road,unclassified,30 mph,False,True,43.54,"LINESTRING (-1.050581 54.5389492, -1.0502683 54.5386022)",,,
4050351,Mackie Drive,residential,,False,False,72.64,"LINESTRING (-1.050581 54.5389492, -1.0500236 54.5391208, -1.0495866 54.5392557)",,,
54667388,Redcar Road,unclassified,30 mph,False,False,118.67399999999999,"LINESTRING (-1.050581 54.5389492, -1.050935 54.53931, -1.0515408 54.5398593)",,,
