osmid,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge
"[26785432, 86985009]",Gelli Avenue,tertiary,20 mph,False,False,42.274,"LINESTRING (-3.0948418 51.6099186, -3.0946972 51.6100948, -3.0945538 51.610254)",,
26785432,Gelli Avenue,tertiary,20 mph,False,True,29.339000000000002,"LINESTRING (-3.0948418 51.6099186, -3.0949352 51.6098111, -3.0949822 51.6097605, -3.0950716 51.6096984)",,
86985012,Gelli Close,residential,,False,False,71.36500000000001,"LINESTRING (-3.0948418 51.6099186, -3.0947139 51.6098435, -3.0942825 51.6096427, -3.094012 51.6095385)",,
45766906,Elm Drive,tertiary,20 mph,False,True,34.466,"LINESTRING (-3.0896092 51.6101799, -3.0900028 51.6103705)",,
86984956,Thistle Way,residential,20 mph,False,True,122.87700000000001,"LINESTRING (-3.0896092 51.6101799, -3.0897328 51.6100918, -3.0898244 51.6099996, -3.0898805 51.609912, -3.0898973 51.6098767, -3.089936 51.6098005, -3.0899492 51.6097339, -3.0899556 51.6097017, -3.0899547 51.6095642, -3.0899585 51.6094422, -3.0899261 51.6093341, -3.0898705 51.6092212, -3.0898048 51.6091503)",,
88883311,Fernlea,residential,,False,False,27.77,"LINESTRING (-3.1014408 51.6146622, -3.1012967 51.6147428, -3.1011341 51.6148236)",,
"[599407028, 88885070, 88885071]",Navigation Road,residential,,False,True,188.51000000000002,"LINESTRING (-3.1014408 51.6146622, -3.1015295 51.6146079, -3.1015793 51.6145387, -3.1015837 51.6144744, -3.1015644 51.6143906, -3.1015263 51.6143351, -3.1014015 51.6142539, -3.1012836 51.614158, -3.101218 51.6140975, -3.1011685 51.6140337, -3.1010596 51.6138837, -3.1009539 51.6136979, -3.1008338 51.61349, -3.1007228 51.6133038, -3.100693 51.6132104, -3.1007303 51.6131719, -3.1007731 51.6131491)",,
599407027,Church Road,residential,,False,False,6.31,"LINESTRING (-3.1007731 51.6131491, -3.1007168 51.6131044)",,
33156223,Church Road,residential,,False,True,206.149,"LINESTRING (-3.1007731 51.6131491, -3.1008605 51.6131695, -3.1009855 51.6132067, -3.101479 51.6133666, -3.1020664 51.6136481, -3.1023023 51.6137987, -3.1027048 51.6140461, -3.1030172 51.6142343, -3.1031059 51.6142798)",,
"[599407028, 88885070, 88885071]",Navigation Road,residential,,False,False,188.51000000000002,"LINESTRING (-3.1007731 51.6131491, -3.1007303 51.6131719, -3.100693 51.6132104, -3.1007228 51.6133038, -3.1008338 51.61349, -3.1009539 51.6136979, -3.1010596 51.6138837, -3.1011685 51.6140337, -3.101218 51.6140975, -3.1012836 51.614158, -3.1014015 51.6142539, -3.1015263 51.6143351, -3.1015644 51.6143906, -3.1015837 51.6144744, -3.1015793 51.6145387, -3.1015295 51.6146079, -3.1014408 51.6146622)",,
88883321,York Place,residential,,False,False,159.075,"LINESTRING (-3.1011341 51.6148236, -3.0995709 51.6137727)",,
88883311,Fernlea,residential,,False,False,33.688,"LINESTRING (-3.1011341 51.6148236, -3.1009568 51.6149377, -3.1007956 51.6150418)",,
88883311,Fernlea,residential,,False,True,27.77,"LINESTRING (-3.1011341 51.6148236, -3.1012967 51.6147428, -3.1014408 51.6146622)",,
88883311,Fernlea,residential,,False,False,8.839,"LINESTRING (-3.1007956 51.6150418, -3.1007188 51.6151054)",,
88883318,Sansom Street,residential,,False,False,117.814,"LINESTRING (-3.1007956 51.6150418, -3.0995897 51.6142922)",,
88883311,Fernlea,residential,,False,True,33.688,"LINESTRING (-3.1007956 51.6150418, -3.1009568 51.6149377, -3.1011341 51.6148236)",,
88884067,Holly Road,residential,20 mph,False,False,19.24,"LINESTRING (-3.0957189 51.6126274, -3.0954818 51.6125365)",,
33100410,Penrhiw Road,residential,,False,False,277.11500000000007,"LINESTRING (-3.0957189 51.6126274, -3.0957391 51.6125138, -3.0959644 51.6125072, -3.0962648 51.6125405, -3.0967691 51.6125472, -3.097114 51.6125947, -3.0976052 51.6119227, -3.0976613 51.6118074, -3.0977165 51.6116894, -3.0978628 51.6113968, -3.0978747 51.6113324, -3.0978419 51.6112746, -3.0977586 51.6111868)",,
"[88884065, 88883311]",Fernlea,"['unclassified', 'residential']",,False,True,460.16399999999993,"LINESTRING (-3.0957189 51.6126274, -3.0958797 51.6127165, -3.0961355 51.6129587, -3.0962168 51.6130823, -3.0962686 51.6131975, -3.0963867 51.6134604, -3.0965251 51.6137459, -3.0965771 51.6138612, -3.0966452 51.6139964, -3.0967117 51.6140996, -3.0968426 51.6142362, -3.0970535 51.6143954, -3.0971484 51.6144569, -3.0972541 51.614505, -3.0973649 51.614551, -3.0975679 51.6146226, -3.0978485 51.6147006, -3.0984138 51.6148978, -3.0986579 51.614994, -3.0989111 51.6151196, -3.099175 51.6152854, -3.0995383 51.6155306, -3.099683 51.6156209, -3.0997537 51.6156454, -3.0998189 51.6156466)",,
88884067,Holly Road,residential,20 mph,False,True,19.24,"LINESTRING (-3.0954818 51.6125365, -3.0957189 51.6126274)",,
86985161,Mount Road,residential,,False,True,56.123000000000005,"LINESTRING (-3.0954818 51.6125365, -3.0955766 51.6122828, -3.0956927 51.6120494)",,
88884067,Holly Road,residential,20 mph,False,False,45.31,"LINESTRING (-3.0954818 51.6125365, -3.095252 51.6125007, -3.0949624 51.612481, -3.0948351 51.612473)",,
33101424,Birch Grove,residential,,True,False,198.507,"LINESTRING (-3.096102 51.6115005, -3.0959389 51.611443, -3.0957835 51.6113998, -3.0955612 51.6113841, -3.0952913 51.6113792, -3.0950522 51.6113839, -3.0948283 51.6113844, -3.0946275 51.6113849, -3.0943111 51.6113841, -3.0941379 51.6113716, -3.0939879 51.6113424, -3.0937447 51.6112719, -3.093691 51.61124, -3.0935236 51.6111403, -3.0934468 51.6110701)",,
86985161,Mount Road,residential,,False,False,61.397,"LINESTRING (-3.096102 51.6115005, -3.0959972 51.6115846, -3.0959286 51.6116613, -3.0958599 51.6117499, -3.0957769 51.6118864, -3.0957209 51.6119948)",,
