osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,tunnel,bridge,width
4180667,Oxborough Lane,unclassified,20 mph,False,False,126.37200000000001,"LINESTRING (0.8502889 52.8290575, 0.8506174 52.8290499, 0.8507995 52.8290343, 0.8512151 52.82899, 0.851275 52.8289811, 0.8515358 52.8289425, 0.851824 52.8289145, 0.8519621 52.8288996, 0.8521458 52.8289052)",,,,
261911991,White Horse Street,tertiary,20 mph,False,False,135.553,"LINESTRING (0.8502889 52.8290575, 0.8503149 52.8294945, 0.8503089 52.8299618, 0.8503044 52.8301126, 0.8503018 52.8301676, 0.8503078 52.8302071, 0.8503687 52.8302654)",2,,,
"[4180665, 4180657, 261911991]","['Olivet Way', 'White Horse Street']",tertiary,"['20 mph', '30 mph']",False,True,227.01700000000002,"LINESTRING (0.8502889 52.8290575, 0.8502788 52.8287211, 0.8502655 52.8279696, 0.8502151 52.8278646, 0.8500256 52.8278595, 0.849962 52.8278607, 0.8495319 52.8278931, 0.8490699 52.8279421, 0.8490114 52.8279458, 0.8488309 52.8279629)",2,,,
4180654,Bridge Street,tertiary,30 mph,False,False,51.388999999999996,"LINESTRING (0.8488309 52.8279629, 0.8487518 52.8278769, 0.8484817 52.8275518)",,,,
"[4180657, 4180665, 261911991]","['Olivet Way', 'White Horse Street']",tertiary,"['20 mph', '30 mph']",False,False,227.01700000000002,"LINESTRING (0.8488309 52.8279629, 0.8490114 52.8279458, 0.8490699 52.8279421, 0.8495319 52.8278931, 0.849962 52.8278607, 0.8500256 52.8278595, 0.8502151 52.8278646, 0.8502655 52.8279696, 0.8502788 52.8287211, 0.8502889 52.8290575)",2,,,
"[261911949, 4180662]",Bridge Street,tertiary,"['20 mph', '30 mph']",False,True,92.605,"LINESTRING (0.8488309 52.8279629, 0.8487983 52.8280775, 0.8487623 52.8281805, 0.8487093 52.8283166, 0.8486977 52.828411, 0.8486843 52.8285209, 0.8486445 52.8287864)",,,,
"[409047308, 409047309, 117238607]",Mill Court,residential,30 mph,False,True,35.829,"LINESTRING (0.8488309 52.8279629, 0.848671 52.8280015, 0.848485 52.8280074, 0.8483781 52.8280018, 0.8483106 52.828003)",,building_passage,,
4180661,Market Place,tertiary,20 mph,False,True,88.679,"LINESTRING (0.8484297 52.830083, 0.8483517 52.8300931, 0.848117 52.8300919, 0.8479308 52.830089, 0.8478433 52.8300857, 0.8476224 52.8300735, 0.8475389 52.8300751, 0.8471616 52.8301019, 0.8471212 52.8301156)",,,,
409072949,Bridge Street,tertiary,20 mph,True,False,80.714,"LINESTRING (0.8484297 52.830083, 0.8484791 52.8300663, 0.8485128 52.8300396, 0.8485179 52.8300165, 0.8485584 52.8298525, 0.8485696 52.8297555, 0.848594 52.8295437, 0.8485996 52.8293843)",,,,
116530679,Back Street,residential,30 mph,False,False,71.209,"LINESTRING (0.8427708 52.8263051, 0.8421593 52.8265698, 0.8418978 52.8266677)",,,,
181771182,Dereham Road,tertiary,30 mph,False,False,84.39500000000001,"LINESTRING (0.8427708 52.8263051, 0.8425788 52.8261637, 0.8424765 52.8260614, 0.8423542 52.8259152, 0.8422362 52.8257847, 0.8421306 52.8256982, 0.8420947 52.8256688)",,,,
