osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,access,tunnel,bridge
442186870,True,1,A438,Eign Street,trunk,20 mph,False,48.274,"LINESTRING (-2.7206511 52.0566787, -2.7207615 52.056686, -2.7209369 52.0567083, -2.7210927 52.0567379, -2.7213304 52.0567909)",,,,
698611542,True,3,A49,Victoria Street,trunk,30 mph,False,30.832,"LINESTRING (-2.7206511 52.0566787, -2.7206391 52.0568189, -2.7205986 52.0569535)",,,,
4891966,True,2,A49,Edgar Street,trunk,30 mph,False,188.151,"LINESTRING (-2.7200419 52.0579627, -2.7200255 52.0580815, -2.7198312 52.0584779, -2.7192387 52.059578)",,,,
442095703,True,3,,Edgar Street Roundabout,trunk,30 mph,False,51.83,"LINESTRING (-2.7200419 52.0579627, -2.7199568 52.0580555, -2.7198998 52.0580926, -2.7198298 52.0581248, -2.719776 52.0581364, -2.7197196 52.0581448, -2.7196462 52.0581517, -2.7195727 52.0581505, -2.7194984 52.0581441, -2.7194241 52.0581328)",circular,,,
157152105,True,2,,Edgar Street Roundabout,trunk,30 mph,False,28.127,"LINESTRING (-2.7192394 52.0580371, -2.7191867 52.057954, -2.7191609 52.0578628, -2.7191694 52.0577918)",circular,,,
157152118,True,2,A438,Newmarket Street,trunk,20 mph,False,249.01000000000002,"LINESTRING (-2.7192394 52.0580371, -2.7189506 52.0579423, -2.7187853 52.0579213, -2.7186804 52.0579154, -2.7185123 52.0579245, -2.7181979 52.0579991, -2.7180896 52.0580234, -2.7179168 52.0580623, -2.7168115 52.0583052, -2.716476 52.0583535, -2.7162178 52.0583683, -2.7159512 52.058369, -2.71576 52.0583651)",,,,
971406765,True,2,,Edgar Street Roundabout,trunk,30 mph,False,38.723,"LINESTRING (-2.7196327 52.0576106, -2.7197921 52.0576413, -2.7199267 52.0576887, -2.7200096 52.0577494, -2.7200589 52.0578135)",circular,,,
1191846283,True,3,A49,Victoria Street,trunk,30 mph,False,39.505,"LINESTRING (-2.7196327 52.0576106, -2.7197706 52.0575762, -2.7198616 52.0575475, -2.7199496 52.0575058, -2.7200178 52.0574595, -2.7200799 52.0574007)",,,,
4304984,False,2,,Barton Road,tertiary,30 mph,False,9.609,"LINESTRING (-2.7202076 52.0540971, -2.7203358 52.0540617)",,,,
35151628,False,,,St Nicholas Street,unclassified,20 mph,False,67.782,"LINESTRING (-2.7202076 52.0540971, -2.7200587 52.0541359, -2.7195675 52.0542931, -2.719306 52.0543471)",,,,
154026908,False,,,Widemarsh Street,unclassified,,False,10.955,"LINESTRING (-2.71576 52.0583651, -2.7158237 52.0582747)",,,,
4304956,False,2,B4359,Widemarsh Street,secondary,20 mph,False,33.431,"LINESTRING (-2.71576 52.0583651, -2.7156869 52.0584574, -2.7155549 52.058638)",,,,
"[157152098, 442130019]",True,"['2', '3']",A438,Blue School Street,trunk,30 mph,False,251.477,"LINESTRING (-2.71576 52.0583651, -2.7136279 52.0581849, -2.7134779 52.058162, -2.7132812 52.0581319, -2.7128997 52.058025, -2.7127186 52.0579494, -2.7125078 52.0578398, -2.7123168 52.0577363)",,,,
1001685756,True,1,A438,Bath Street,trunk,30 mph,False,10.698,"LINESTRING (-2.7123168 52.0577363, -2.7122007 52.0576718)",,,,
718290990,True,1,A4193,Commercial Road,primary,30 mph,False,77.176,"LINESTRING (-2.7123168 52.0577363, -2.7121351 52.0578377, -2.7118064 52.0579795, -2.7113798 52.0581173)",,,,
157436515,False,2,A4193,Commercial Road,primary,30 mph,False,16.127,"LINESTRING (-2.7113798 52.0581173, -2.7111823 52.0581966)",,,,
10305252,True,3,A4193,Commercial Road,primary,30 mph,False,74.89200000000001,"LINESTRING (-2.7113798 52.0581173, -2.7117017 52.0579504, -2.712041 52.0577687, -2.7122007 52.0576718)",,,,
4304961,False,,,Palace Yard,unclassified,20 mph,True,55.985,"LINESTRING (-2.7172383 52.0545031, -2.7172028 52.0544539, -2.717167 52.0544365, -2.7171774 52.0542692, -2.7171965 52.0540153)",,,,
157468429,True,,,King Street,unclassified,20 mph,False,57.378,"LINESTRING (-2.7172383 52.0545031, -2.7172862 52.0544692, -2.7173595 52.0544547, -2.7180463 52.0544199)",,,,
"[4304960, 608664922, 608664925]",True,,,Gwynne Street,unclassified,20 mph,False,159.42600000000002,"LINESTRING (-2.7188159 52.0531761, -2.7187179 52.0531756, -2.7185935 52.0531754, -2.7184667 52.0531789, -2.7184226 52.0531893, -2.7183867 52.0532057, -2.7183606 52.0532226, -2.7183406 52.0532487, -2.7182197 52.0534752, -2.7182019 52.05351, -2.7181657 52.0535265, -2.7177093 52.0536189, -2.7176025 52.0536663, -2.7174742 52.0537502, -2.7173718 52.0538304, -2.7172766 52.0539269, -2.7171965 52.0540153)",,destination,building_passage,
"[34893484, 249993900, 157440598, 872776143]",False,,,"[""St Martin's Street"", 'Bridge Street', 'Wye Bridge']",unclassified,20 mph,False,154.376,"LINESTRING (-2.7188159 52.0531761, -2.7188231 52.0529746, -2.7188193 52.0529362, -2.7188109 52.0528706, -2.7186412 52.0521903, -2.7186329 52.0521602, -2.7186097 52.0520693, -2.7185441 52.0518006)",,,,yes
249993900,False,,,Bridge Street,unclassified,20 mph,True,130.99,"LINESTRING (-2.7188159 52.0531761, -2.718808 52.0533574, -2.718796 52.0534557, -2.7187888 52.0536984, -2.7188341 52.0542108, -2.7188612 52.054352)",,,,
4304984,False,2,,Barton Road,tertiary,30 mph,True,7.889,"LINESTRING (-2.720981 52.0538944, -2.7208743 52.0539214)",,,,
34311386,True,,,Friars Street,unclassified,20 mph,False,162.251,"LINESTRING (-2.720981 52.0538944, -2.7210219 52.0539683, -2.7211037 52.0542528, -2.7212034 52.0546184, -2.7212932 52.0549577, -2.7213567 52.0551977, -2.7213624 52.0552189, -2.7213919 52.0553305)",,,,
4304961,False,,,Palace Yard,unclassified,20 mph,False,55.985,"LINESTRING (-2.7171965 52.0540153, -2.7171774 52.0542692, -2.717167 52.0544365, -2.7172028 52.0544539, -2.7172383 52.0545031)",,,,
"[4304968, 35151634, 209100790]",False,,,Castle Street,unclassified,20 mph,"[False, True]",74.49300000000001,"LINESTRING (-2.7143261 52.0542326, -2.7146946 52.0542974, -2.7147928 52.0543146, -2.714881 52.0543015, -2.7149373 52.0542847, -2.7149994 52.0542537, -2.7152244 52.054106, -2.715241 52.0540825)",,,,
157443801,False,,,Quay Street,unclassified,20 mph,False,101.65999999999998,"LINESTRING (-2.7143261 52.0542326, -2.7145137 52.0538647, -2.7145884 52.0534747, -2.71458 52.0534399, -2.7145605 52.0534111, -2.7144682 52.0533708)",,,,
209100775,False,,,Castle Street,unclassified,20 mph,False,50.422,"LINESTRING (-2.7143261 52.0542326, -2.7141437 52.0541916, -2.7136459 52.0540579)",,,,
