osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,junction,geometry,bridge
4900868,2,A50,Manchester Road,primary,30 mph,False,False,58.789,,"LINESTRING (-2.3784484 53.3063147, -2.3790706 53.3066906)",
4900868,2,A50,Manchester Road,primary,30 mph,False,True,51.967,,"LINESTRING (-2.3784484 53.3063147, -2.3779303 53.3059646)",
4760752,1,A50,,trunk,30 mph,True,False,10.146,roundabout,"LINESTRING (-2.3766626 53.3049526, -2.376612 53.3049558, -2.3765621 53.3049496, -2.3765178 53.3049347)",
4900868,2,A50,Manchester Road,primary,30 mph,False,False,22.249000000000002,,"LINESTRING (-2.3766626 53.3049526, -2.3766594 53.3050065, -2.3767027 53.3050593, -2.3767895 53.3051296)",
4760752,1,A50,,trunk,30 mph,True,False,3.409,roundabout,"LINESTRING (-2.3764731 53.3048112, -2.3765035 53.3047865)",
1169455967,1,A50,,trunk,30 mph,True,False,14.198,roundabout,"LINESTRING (-2.376786 53.3048586, -2.3767764 53.30489, -2.3767507 53.304918, -2.3767114 53.3049396, -2.3766626 53.3049526)",
1155546640,2,A50,,trunk,30 mph,True,False,11.678,roundabout,"LINESTRING (-2.3767034 53.3047711, -2.3767381 53.3047872, -2.3767646 53.3048081, -2.3767809 53.3048325, -2.376786 53.3048586)",
4760752,1,A50,,trunk,30 mph,True,False,15.163,roundabout,"LINESTRING (-2.3765178 53.3049347, -2.3764797 53.3049094, -2.3764582 53.3048778, -2.3764559 53.3048437, -2.3764731 53.3048112)",
24742314,1,,Canute Place,tertiary,,True,False,67.03999999999999,,"LINESTRING (-2.3765178 53.3049347, -2.3762879 53.3049747, -2.3756916 53.3050753, -2.375542 53.3050696)",
154486128,4,A50,Toft Road,trunk,30 mph,False,False,26.894,,"LINESTRING (-2.3745729 53.3030514, -2.3742762 53.3028869)",
1052409764,4,A50,King Edward Road,trunk,30 mph,False,True,9.129,,"LINESTRING (-2.3745729 53.3030514, -2.3745827 53.3030552, -2.3746877 53.3030965)",
1156477606,,A50,Toft Road,primary,30 mph,False,False,127.933,,"LINESTRING (-2.3718783 53.299576, -2.3714102 53.29846)",
1156477606,,A50,Toft Road,primary,30 mph,False,True,26.438,,"LINESTRING (-2.3718783 53.299576, -2.3719859 53.2998049)",
28565417,,A50,Toft Road,primary,30 mph,False,True,31.199,,"LINESTRING (-2.3713276 53.2981838, -2.3714102 53.29846)",
28565415,,,Woodvale Road,residential,,False,False,202.704,,"LINESTRING (-2.3713276 53.2981838, -2.3709641 53.2982486, -2.3708125 53.2982637, -2.3706293 53.2982637, -2.3701809 53.2982392, -2.3699851 53.2982486, -2.3697893 53.298275, -2.3683462 53.2984883)",
25673294,,,Mobberley Road,residential,,False,True,26.632,,"LINESTRING (-2.3644726 53.3063121, -2.3646726 53.3063444, -2.3648639 53.3063624)",
46737536,,B5085,Mobberley Road,secondary,30 mph,False,True,129.148,,"LINESTRING (-2.3644726 53.3063121, -2.3647467 53.3062143, -2.3649327 53.306131, -2.3651437 53.3060221, -2.3653073 53.3059344, -2.3654574 53.3058252, -2.3656049 53.305715, -2.3658366 53.3055051)",
25674989,,A537,Brook Street,trunk,30 mph,False,True,17.56,,"LINESTRING (-2.3680021 53.3014212, -2.3682265 53.3015046)",
6012339,,B5085,Hollow Lane,secondary,30 mph,False,False,79.429,,"LINESTRING (-2.3680021 53.3014212, -2.3677804 53.3015433, -2.3670395 53.3018421)",
25675785,,A537,Chelford Road,trunk,30 mph,False,False,215.65999999999997,,"LINESTRING (-2.3680021 53.3014212, -2.3672839 53.3011487, -2.3667946 53.3009384, -2.366687 53.3008922, -2.3656362 53.3003557, -2.3654424 53.3002371)",
31112908,,B5085,Mobberley Road,secondary,30 mph,False,False,13.383,,"LINESTRING (-2.3662669 53.3029066, -2.3662379 53.3027875)",
25672568,,,Branden Drive,residential,,False,True,207.506,,"LINESTRING (-2.3662669 53.3029066, -2.3665684 53.3029009, -2.367574 53.3028946, -2.3676076 53.3028938, -2.3677107 53.3028835, -2.3678581 53.3028679, -2.3679592 53.3028419, -2.3680122 53.3027815, -2.3680267 53.3025742, -2.3679689 53.302223, -2.367887 53.30201)",
31112908,,B5085,Mobberley Road,secondary,30 mph,False,True,97.92699999999999,,"LINESTRING (-2.3662669 53.3029066, -2.3663078 53.3030451, -2.3663303 53.3031824, -2.3663426 53.3032436, -2.3663814 53.3034364, -2.3664268 53.3036643, -2.3664564 53.3037797)",
25939206,,,Church Mews,residential,,False,False,39.269999999999996,,"LINESTRING (-2.3664564 53.3037797, -2.366313 53.3037898, -2.3658679 53.3037679)",
31112908,,B5085,Mobberley Road,secondary,30 mph,False,False,97.927,,"LINESTRING (-2.3664564 53.3037797, -2.3664268 53.3036643, -2.3663814 53.3034364, -2.3663426 53.3032436, -2.3663303 53.3031824, -2.3663078 53.3030451, -2.3662669 53.3029066)",
31112908,,B5085,Mobberley Road,secondary,30 mph,False,True,90.82100000000001,,"LINESTRING (-2.3664564 53.3037797, -2.3664934 53.3041208, -2.3664823 53.3044058, -2.3664484 53.3045946)",
24742464,,B5083,Stanley Road,secondary,30 mph,False,False,110.043,,"LINESTRING (-2.3769717 53.302098, -2.3766671 53.3018067, -2.3765932 53.3017552, -2.3764536 53.3016921, -2.3762382 53.3016342, -2.3759735 53.3015878, -2.3757071 53.3015351)",
24742465,2,,Bexton Road,tertiary,,False,False,57.129,,"LINESTRING (-2.3769717 53.302098, -2.3767434 53.3022103, -2.3763079 53.3024245)",
112626515,,,Bexton Road,tertiary,,False,True,94.572,,"LINESTRING (-2.3769717 53.302098, -2.3777899 53.3017013, -2.3780782 53.3015631)",
28564806,1,,Bexton Road,tertiary,,True,False,33.086000000000006,,"LINESTRING (-2.3751655 53.3029611, -2.3750233 53.3030551, -2.374991 53.3031008, -2.3749783 53.3031565, -2.3749983 53.3032204)",
958911787,1,,Bexton Road,tertiary,,True,False,35.859,,"LINESTRING (-2.3751655 53.3029611, -2.3749563 53.3030498, -2.3748944 53.30307, -2.3747963 53.3030895, -2.3746877 53.3030965)",
