osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,lanes,bridge
160842845,College Square,residential,30 mph,False,False,34.67,"LINESTRING (-4.1555065 51.6834128, -4.1554058 51.6833711, -4.1552956 51.6833255, -4.1552263 51.6832959, -4.1550932 51.6832353)",,,,
343047159,Swansea Castle Roundabout,primary,20 mph,True,False,21.012999999999998,"LINESTRING (-4.1555065 51.6834128, -4.1555718 51.6833646, -4.1556574 51.6833307, -4.1557556 51.6833143)",A484,roundabout,,
49714458,,primary,20 mph,True,False,4.619,"LINESTRING (-4.1583823 51.683712, -4.1584462 51.6836995)",A484,,1,
132457778,Hall Street,primary,20 mph,False,True,38.091,"LINESTRING (-4.1639111 51.6841775, -4.1633842 51.6840744)",A484,,,
678514397,Swansea Castle Roundabout,primary,20 mph,True,False,30.342999999999996,"LINESTRING (-4.1559225 51.6837116, -4.1558522 51.6837245, -4.155779 51.6837277, -4.1557065 51.6837209, -4.1556381 51.6837044, -4.1555771 51.6836791, -4.1555265 51.6836462)",A484,roundabout,,
678514402,,primary,30 mph,True,False,37.951,"LINESTRING (-4.1559225 51.6837116, -4.1558235 51.6837757, -4.1557044 51.6838626, -4.1555853 51.6839798)",A484,,1,
343052083,Thomas Street,primary,20 mph,False,False,30.292,"LINESTRING (-4.1606469 51.6841428, -4.1606052 51.6839883, -4.1605618 51.6838757)",A484,,,
24829510,,primary,20 mph,True,False,23.871,"LINESTRING (-4.1636158 51.6806137, -4.1637697 51.680806)",A4214,,2,
25829123,Station Road,primary,20 mph,False,False,34.382999999999996,"LINESTRING (-4.1636158 51.6806137, -4.1636064 51.6805953, -4.1635389 51.6804635, -4.1634648 51.680319)",A4214,,,
25829095,Station Road,secondary,20 mph,False,False,76.202,"LINESTRING (-4.1631712 51.6797457, -4.1630655 51.6795381, -4.1629811 51.6793724, -4.1628384 51.6790922)",B4304,,,
25829123,Station Road,primary,20 mph,False,True,47.366,"LINESTRING (-4.1631712 51.6797457, -4.1632719 51.6799422, -4.1633791 51.6801517)",A4214,,,
25829132,Queen Victoria Road,tertiary,30 mph,False,False,128.745,"LINESTRING (-4.1631712 51.6797457, -4.1635039 51.6795816, -4.1635634 51.6795522, -4.1638444 51.6794176, -4.1641234 51.6792911, -4.1646605 51.6790476)",,,,
161121780,Murray Street,primary,20 mph,False,True,146.242,"LINESTRING (-4.1631712 51.6797457, -4.1629526 51.6798373, -4.161432 51.6804985)",A4214,,2,
156357288,,unclassified,20 mph,True,False,8.485,"LINESTRING (-4.1583978 51.6837877, -4.1583823 51.683712)",,,,
1216050513,,primary,20 mph,True,False,18.771,"LINESTRING (-4.1583978 51.6837877, -4.1581336 51.6838285)",A484,,1,
132457778,Hall Street,primary,20 mph,False,False,38.091,"LINESTRING (-4.1633842 51.6840744, -4.1639111 51.6841775)",A484,,,
131628639,Hall Street,primary,20 mph,False,True,44.992999999999995,"LINESTRING (-4.1633842 51.6840744, -4.1632128 51.6840353, -4.1631156 51.6840078, -4.1629627 51.6839454, -4.1628098 51.6838864)",A484,,2,
131628662,,primary_link,20 mph,True,False,63.41900000000001,"LINESTRING (-4.1633842 51.6840744, -4.1631365 51.6840757, -4.1630255 51.6840636, -4.1629105 51.6840297, -4.162798 51.6840061, -4.1624867 51.6839837)",A484,,2,
28852932,Wern Road,residential,,False,True,17.408,"LINESTRING (-4.1561247 51.6799787, -4.1559395 51.6800851)",,,,
26585992,Bigyn Road,residential,30 mph,False,False,39.016,"LINESTRING (-4.1561247 51.6799787, -4.1560916 51.6799482, -4.155809 51.6796875)",,,,
102157603,Ann Street,residential,30 mph,False,False,84.654,"LINESTRING (-4.1561247 51.6799787, -4.1563299 51.6798266, -4.1565326 51.6796681, -4.1566891 51.6795215, -4.1568389 51.6793616)",,,,
442045593,Pottery Street,residential,,False,True,39.512,"LINESTRING (-4.1561247 51.6799787, -4.1561461 51.6799986, -4.1564432 51.6802741)",,,,
51779268,Queen Victoria Road,tertiary,,False,True,21.758,"LINESTRING (-4.1685696 51.6768913, -4.1685366 51.6770859)",,,2,
51815471,High Street,residential,20 mph,False,False,82.538,"LINESTRING (-4.1685696 51.6768913, -4.1676472 51.6764182)",,,,
51815471,High Street,residential,20 mph,False,True,82.538,"LINESTRING (-4.1676472 51.6764182, -4.1685696 51.6768913)",,,,
359453128,High Street,residential,20 mph,True,False,195.48199999999997,"LINESTRING (-4.1676472 51.6764182, -4.1667375 51.6760313, -4.1657536 51.6756466, -4.1652725 51.6754585)",,,,
61118702,Lakefield Place,residential,20 mph,False,True,73.933,"LINESTRING (-4.1662292 51.6771421, -4.1668976 51.677662)",,,,
