osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,tunnel
32139811,A2,Star Hill,primary,30 mph,False,False,19.114,,"LINESTRING (0.5079501 51.3846967, 0.5080054 51.3845283)",
4301578,A2,Star Hill,primary,30 mph,True,False,88.95700000000001,2,"LINESTRING (0.5079501 51.3846967, 0.5079033 51.384754, 0.5078334 51.3848595, 0.5077143 51.3852256, 0.5076443 51.3854038, 0.5076583 51.3854677)",
"[10479491, 667975859]",,Boley Hill,residential,,False,False,57.696999999999996,,"LINESTRING (0.5029202 51.3896376, 0.503184 51.3896681, 0.5033863 51.3896965, 0.5036215 51.3897514, 0.503676 51.3897578, 0.5037251 51.389755)",
10479493,,Boley Hill,residential,,False,False,52.218999999999994,,"LINESTRING (0.5029202 51.3896376, 0.5028366 51.3895936, 0.5026478 51.3894601, 0.5024418 51.3892775)",
"[31140048, 31140049, 4301582]",,"['The Precinct', 'Minor Canon Row', 'College Yard']",residential,,False,False,207.162,,"LINESTRING (0.5024418 51.3892775, 0.5025937 51.3892022, 0.5025762 51.3891504, 0.5026125 51.3890629, 0.5027638 51.3888912, 0.5027846 51.3887796, 0.5027565 51.3886892, 0.5026728 51.3885867, 0.5025704 51.3885108, 0.5031008 51.3882322, 0.5032325 51.3881689, 0.5032175 51.3881387, 0.5032019 51.3880995, 0.502826 51.3878061)",
10479493,,Boley Hill,residential,,False,True,52.218999999999994,,"LINESTRING (0.5024418 51.3892775, 0.5026478 51.3894601, 0.5028366 51.3895936, 0.5029202 51.3896376)",
80442957,,Boley Hill,residential,,False,False,81.428,,"LINESTRING (0.5024418 51.3892775, 0.5023289 51.3891987, 0.5021068 51.389041, 0.5018926 51.3888796, 0.5017328 51.3886981)",
113516908,,High Street,residential,,True,False,200.692,,"LINESTRING (0.5037251 51.389755, 0.5034806 51.3900265, 0.5032985 51.3902083, 0.5031555 51.3903803, 0.502646 51.3909006, 0.5026281 51.390918, 0.5024568 51.3911163, 0.5024364 51.3911941, 0.5024528 51.3912798, 0.5024856 51.3913409)",
"[667975859, 10479491]",,Boley Hill,residential,,False,True,57.696999999999996,,"LINESTRING (0.5037251 51.389755, 0.503676 51.3897578, 0.5036215 51.3897514, 0.5033863 51.3896965, 0.503184 51.3896681, 0.5029202 51.3896376)",
"[4301569, 667975860]",,Northgate,"['residential', 'unclassified']",,False,False,90.777,,"LINESTRING (0.5037251 51.389755, 0.5041172 51.3898918, 0.5044044 51.3900001, 0.5045919 51.3900674, 0.5046801 51.390099, 0.5048409 51.3901788)",
