osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,lanes
31826201,Orchard Street,residential,False,True,117.916,"LINESTRING (-1.3056059 52.96662, -1.3053139 52.9667886, -1.3050006 52.9669682, -1.3049065 52.9670236, -1.3046579 52.9671924, -1.3043872 52.9673838)",,,,
315072592,Nottingham Road,primary,False,False,86.883,"LINESTRING (-1.3056059 52.96662, -1.305848 52.9668031, -1.3061063 52.9670606, -1.3062104 52.9671682, -1.306285 52.967238, -1.3063323 52.9672645)",A609,30 mph,,
31826187,Graham Street,residential,True,False,106.882,"LINESTRING (-1.3063323 52.9672645, -1.3051593 52.9679163)",,,,
315072592,Nottingham Road,primary,False,False,1.204,"LINESTRING (-1.3063323 52.9672645, -1.3063423 52.9672735)",A609,30 mph,,
315072592,Nottingham Road,primary,False,True,86.88300000000001,"LINESTRING (-1.3063323 52.9672645, -1.306285 52.967238, -1.3062104 52.9671682, -1.3061063 52.9670606, -1.305848 52.9668031, -1.3056059 52.96662)",A609,30 mph,,
315072592,Nottingham Road,primary,False,True,1.204,"LINESTRING (-1.3063423 52.9672735, -1.3063323 52.9672645)",A609,30 mph,,
58664835,Nottingham Road,primary,True,False,39.601,"LINESTRING (-1.3063423 52.9672735, -1.3064476 52.9673003, -1.3066258 52.9673502, -1.3067468 52.9673759, -1.3068955 52.9673954)",A609,30 mph,,
10437331,White Lion Square,primary,True,False,37.233,"LINESTRING (-1.3069687 52.9673812, -1.3070691 52.9673773, -1.3071539 52.9673825, -1.307219 52.9673918, -1.3072922 52.9674095, -1.3073682 52.9674377, -1.3074354 52.9674699, -1.3074678 52.9674922)",,30 mph,roundabout,
57933782,Stanton Road,primary,True,False,55.483999999999995,"LINESTRING (-1.3069687 52.9673812, -1.3071014 52.9673518, -1.3072348 52.9672918, -1.3073033 52.9672499, -1.307377 52.9671907, -1.3074122 52.9671339, -1.3074957 52.9670248)",A6096,30 mph,,
58709857,Derby Road,primary,True,False,28.229999999999997,"LINESTRING (-1.3075136 52.9675658, -1.3077656 52.9675844, -1.3079331 52.9675801)",A609,30 mph,,2
119945393,White Lion Square,primary,True,False,27.134,"LINESTRING (-1.3075136 52.9675658, -1.3075235 52.967617, -1.3075223 52.9676766, -1.3075122 52.967724, -1.3074928 52.967769, -1.3074655 52.9678039)",,30 mph,roundabout,
58725896,Chalons Way,primary,True,False,792.6809999999999,"LINESTRING (-1.3073578 52.9678595, -1.3072309 52.9679833, -1.3071558 52.9680915, -1.3071405 52.9681477, -1.3071379 52.9681807, -1.3071621 52.9688123, -1.307155 52.969348, -1.307166 52.9696521, -1.3071503 52.9697963, -1.307127 52.9699465, -1.3070719 52.9701235, -1.3070265 52.9702601, -1.3069456 52.970436, -1.3068468 52.9705973, -1.3066751 52.9708347, -1.3064716 52.9710815, -1.3062703 52.971325, -1.3061743 52.9714899, -1.306074 52.9716813, -1.306025 52.9718057, -1.3059801 52.9719373, -1.3059424 52.97213, -1.3059151 52.972332, -1.3059106 52.9725335, -1.3059347 52.9728783, -1.3059925 52.9732437, -1.3060447 52.9735465, -1.3060689 52.9738102, -1.3061232 52.9741058, -1.3061747 52.9744321, -1.3062371 52.9745966, -1.306298 52.9746936, -1.3063628 52.9748012)",A6007,40 mph,,2
1265910354,White Lion Square,primary,True,False,36.146,"LINESTRING (-1.3073578 52.9678595, -1.3072296 52.9678995, -1.3071374 52.9679047, -1.3070542 52.9679063, -1.3069427 52.9678924, -1.3068437 52.9678702)",,30 mph,roundabout,
1265910354,White Lion Square,primary,True,False,7.708,"LINESTRING (-1.3068437 52.9678702, -1.3067806 52.9678353, -1.3067632 52.967821)",,30 mph,roundabout,
402008383,White Lion Square,primary,True,False,5.638,"LINESTRING (-1.3066582 52.967631, -1.3066588 52.9675803)",,30 mph,roundabout,
58664823,Nottingham Road,primary,True,False,40.230000000000004,"LINESTRING (-1.3066588 52.9675803, -1.3065779 52.9674888, -1.3065094 52.9674171, -1.3064064 52.9673323, -1.3063423 52.9672735)",A609,30 mph,,
