osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,access,tunnel,junction
"[37616705, 413412769, 76403797]",True,B4434,"['The Parade', 'Croft Road']",secondary,20 mph,False,196.10799999999998,"LINESTRING (-3.8062308 51.6631822, -3.8062114 51.6632752, -3.8060671 51.663407, -3.805664 51.6636609, -3.8056154 51.6636976, -3.805611 51.6637283, -3.8056085 51.6637459, -3.8056168 51.663778, -3.8056386 51.6638025, -3.8064976 51.6643416, -3.8065809 51.6643986, -3.8066418 51.6644574, -3.8066965 51.6645439)",,,,,
100652424,False,,Maes Yr Haf Road,unclassified,20 mph,True,46.874,"LINESTRING (-3.8062308 51.6631822, -3.8062842 51.6631637, -3.8066709 51.663042, -3.8068394 51.6629949)",,,,,
24998666,True,,Alfred Street,residential,20 mph,False,142.884,"LINESTRING (-3.8066597 51.661643, -3.8046693 51.6612869)",,,,,
"[1161358873, 37616606, 60187246]",True,B4434,"['The Parade', 'Windsor Road']",secondary,20 mph,False,120.12,"LINESTRING (-3.8066597 51.661643, -3.8065237 51.6618506, -3.8062363 51.6622757, -3.8062118 51.6623228, -3.8061715 51.6624396, -3.8061374 51.6625187, -3.8061955 51.6625793, -3.8062249 51.6626509)",2,,,,
55490773,True,,High Street,unclassified,20 mph,False,106.695,"LINESTRING (-3.8019185 51.6645004, -3.802474 51.664447, -3.8026715 51.664413, -3.8033775 51.6642075)",,,,,
1150081829,True,,Prince of Wales Drive,secondary,20 mph,False,53.525999999999996,"LINESTRING (-3.8019185 51.6645004, -3.8022023 51.6647589, -3.802279 51.6648041, -3.8023053 51.6649058)",,,,,
34583691,False,B4434,Riverside Drive,secondary,20 mph,True,16.945,"LINESTRING (-3.8073797 51.6659074, -3.8073129 51.6659676, -3.8072162 51.6660195)",,,,,
"[30044134, 30044133, 89711422]",False,B4434,Croft Road,secondary,20 mph,False,158.78199999999998,"LINESTRING (-3.8073797 51.6659074, -3.8070278 51.6652334, -3.8069141 51.6649988, -3.8068318 51.6648359, -3.8066965 51.6645439)",,yes,,,
89711426,False,B4434,Croft Road,secondary,20 mph,True,21.479,"LINESTRING (-3.8073797 51.6659074, -3.8074633 51.6660258, -3.8075102 51.6660827)",,,,,
28797169,False,B4434,Victoria Gardens,secondary,20 mph,False,45.268,"LINESTRING (-3.8017873 51.6597337, -3.8016732 51.6601346)",2,,,,
136415319,False,B4287,Cimla Road,secondary,30 mph,True,62.167,"LINESTRING (-3.8017873 51.6597337, -3.8009676 51.6595013)",2,,,,
