osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,est_width,width,bridge,access
30600947,False,2,High Street,tertiary,30 mph,False,59.565,"LINESTRING (-3.4869871 51.412469, -3.4869026 51.4124044, -3.4868178 51.4123299, -3.486747 51.4122522, -3.4866724 51.4121306, -3.4865904 51.4119988)",,,,
31769433,False,,Old Wick Road,unclassified,,True,86.987,"LINESTRING (-3.4869871 51.412469, -3.4870662 51.4124314, -3.4871265 51.4124002, -3.4871661 51.4123588, -3.4871802 51.4122591, -3.487195 51.4121474, -3.487215 51.4120535, -3.487246 51.4119362, -3.4872875 51.4117883, -3.4873164 51.4117446)",,,,
31258072,False,2,High Street,tertiary,30 mph,True,15.936,"LINESTRING (-3.4861656 51.4105784, -3.4862093 51.4107191)",,,,
29000580,True,1,Turkey Street,residential,30 mph,False,134.029,"LINESTRING (-3.4861656 51.4105784, -3.4862273 51.4105888, -3.486365 51.4106318, -3.4865152 51.4106685, -3.4865461 51.4106898, -3.4866813 51.4108695, -3.4867671 51.4110134, -3.4868167 51.4111447, -3.4868625 51.4112089, -3.4869792 51.4113362, -3.4871251 51.41147, -3.4871852 51.4115343)",,,,
31258072,False,2,High Street,tertiary,30 mph,False,96.55799999999999,"LINESTRING (-3.4861656 51.4105784, -3.4861133 51.4104726, -3.4860698 51.4103984, -3.4859524 51.4102438, -3.4857411 51.4100057, -3.4855555 51.4098007)",,,,
4597015,False,,Station Road,tertiary,,False,35.175,"LINESTRING (-3.4853106 51.4093037, -3.4852664 51.4092943, -3.4851383 51.4092577, -3.4850846 51.4092468, -3.4849794 51.4092334, -3.4848996 51.4092303, -3.4848251 51.4092388)",,,,
29000537,True,1,High Street,residential,,False,20.031000000000002,"LINESTRING (-3.4853106 51.4093037, -3.4853201 51.4092751, -3.4853743 51.409128)",2.5,,,
31258072,False,2,High Street,tertiary,30 mph,True,58.940999999999995,"LINESTRING (-3.4853106 51.4093037, -3.485304 51.4093324, -3.4853152 51.4094189, -3.4853328 51.4095001, -3.4853737 51.4095825, -3.4854487 51.4096827, -3.4855555 51.4098007)",,,,
"[44049160, 473050996, 44049156]",False,1,Llanmaes Road,tertiary,,True,133.945,"LINESTRING (-3.4828792 51.409683, -3.4828377 51.4097661, -3.4828048 51.4098002, -3.4827015 51.4098683, -3.4825396 51.4099658, -3.4825015 51.4099885, -3.4821789 51.4101586, -3.481918 51.4103088, -3.4818313 51.4103464, -3.4814892 51.4104949)",,,,
"[4597016, 407830482, 407830484]",False,,Le Pouliguen Way,residential,,False,224.746,"LINESTRING (-3.4828792 51.409683, -3.4827068 51.4096275, -3.4825017 51.4095729, -3.4824011 51.4095357, -3.4822379 51.409468, -3.4818989 51.4093264, -3.4812255 51.4090124, -3.4806384 51.408751, -3.4805524 51.4087075, -3.4804836 51.4086636, -3.4804078 51.4085974, -3.480368 51.4085519, -3.4803233 51.408484)",,,,
"[1173709723, 4597015]",False,,Station Road,tertiary,,True,144.31599999999997,"LINESTRING (-3.4828792 51.409683, -3.4830106 51.4096307, -3.4831877 51.4095813, -3.4832795 51.4095635, -3.4835002 51.4095252, -3.4836296 51.4095036, -3.483769 51.4094818, -3.483922 51.4094457, -3.4840547 51.4094187, -3.4842518 51.4093848, -3.4844235 51.4093512, -3.4845764 51.4093129, -3.4848251 51.4092388)",,,,
"[1246721649, 1234964226]",False,2,East Street,tertiary,20 mph,False,16.541,"LINESTRING (-3.4853287 51.4083852, -3.4853859 51.4083586, -3.4854317 51.4083186, -3.4854655 51.4082677)",,2.5,,
1234964226,False,2,East Street,tertiary,20 mph,True,64.593,"LINESTRING (-3.4853287 51.4083852, -3.4852469 51.408404, -3.4851725 51.4084177, -3.4851249 51.4084258, -3.4849023 51.4084917, -3.4847553 51.408527, -3.4845717 51.4085553, -3.4844482 51.4085633)",,,,
4597016,False,,Le Pouliguen Way,residential,,True,45.104,"LINESTRING (-3.4801535 51.4080926, -3.4801791 51.408164, -3.4802037 51.4082286, -3.4803233 51.408484)",,,,
407830455,False,2,Boverton Road,tertiary,20 mph,False,10.508,"LINESTRING (-3.4801535 51.4080926, -3.4802413 51.4080743, -3.4802983 51.408065)",,,,
23725897,True,,Durell Street,residential,,False,55.05,"LINESTRING (-3.4844482 51.4085633, -3.4844517 51.4085996, -3.4847488 51.4089668, -3.4847782 51.4090105)",,,,
