osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,junction,width,tunnel,access,bridge
4238643,Bruton Way,primary,30 mph,False,False,11.363,,,"LINESTRING (-2.2413006 51.8670468, -2.2411429 51.8670778)",,,,,
4225985,Black Dog Way,primary,30 mph,True,False,182.13600000000002,2,A430,"LINESTRING (-2.2413006 51.8670468, -2.2413411 51.8671318, -2.2414129 51.8672569, -2.241495 51.8674168, -2.2416727 51.8678121, -2.2417516 51.8680085, -2.2418107 51.8681122, -2.2418621 51.8681767, -2.2419549 51.8682355, -2.2420518 51.8682773, -2.2421731 51.8683139, -2.2422951 51.8683325, -2.2424527 51.868431)",,,,,
4076848,Commercial Road,primary,30 mph,False,False,74.28699999999999,2,A4301,"LINESTRING (-2.2522662 51.8646642, -2.2521118 51.8646145, -2.2514801 51.864566, -2.2512122 51.86454)",,,,,
8137613,The Quay,primary,30 mph,False,True,123.81900000000002,2,A4301,"LINESTRING (-2.2522662 51.8646642, -2.2523578 51.8647582, -2.2523804 51.8648655, -2.2523524 51.8655074, -2.2523679 51.8657607)",,,,,
4076848,Commercial Road,primary,30 mph,False,True,74.287,2,A4301,"LINESTRING (-2.2512122 51.86454, -2.2514801 51.864566, -2.2521118 51.8646145, -2.2522662 51.8646642)",,,,,
"[23320802, 547431091]",Commercial Road,primary,30 mph,False,False,46.305,2,A4301,"LINESTRING (-2.2512122 51.86454, -2.2509825 51.8644917, -2.2506264 51.864341)",,,,,
"[164767128, 299115778]",,residential,,False,True,104.34,,,"LINESTRING (-2.2512122 51.86454, -2.2512505 51.8644778, -2.2513111 51.864396, -2.2513766 51.8643012, -2.2513856 51.8642488, -2.2514661 51.8641465, -2.2514732 51.8640719, -2.2514477 51.8639987, -2.2513384 51.8639082, -2.2509863 51.8637851)",,,,,
4238646,Eastgate Street,primary,30 mph,False,True,12.63,,,"LINESTRING (-2.2387794 51.8616243, -2.2389188 51.8616984)",,,,,
9557734,Eastgate Street,unclassified,,False,False,40.347,,,"LINESTRING (-2.2407592 51.8626636, -2.2412111 51.8628955)",,,,,
9557734,Eastgate Street,unclassified,,False,True,165.802,,,"LINESTRING (-2.2407592 51.8626636, -2.2389188 51.8616984)",,,,,
"[8135968, 4233539]",Kings Barton Street,residential,,False,"[False, True]",200.41899999999998,,,"LINESTRING (-2.2407592 51.8626636, -2.2410084 51.8624825, -2.2412939 51.8622347, -2.2412874 51.8621825, -2.2402401 51.861567, -2.2402274 51.8615332, -2.2403886 51.8612707)",,,,,
"[4236513, 26804211]","['Nettleton Road', 'Russell Street']",residential,,False,True,128.724,,,"LINESTRING (-2.2407592 51.8626636, -2.2404623 51.8628887, -2.2401608 51.8630584, -2.2400076 51.8631349, -2.2398732 51.8631879, -2.2398467 51.8632353, -2.2398768 51.8632729, -2.2402426 51.8634751)",,,,,
4236513,Russell Street,residential,,False,False,45.102,,,"LINESTRING (-2.2407447 51.8637366, -2.2402426 51.8634751)",,,,,
4236513,Russell Street,residential,,False,True,59.579,,,"LINESTRING (-2.2407447 51.8637366, -2.241405 51.8640842)",,,,,
4236509,Bedford Street,residential,,True,False,72.948,,,"LINESTRING (-2.2400619 51.8642378, -2.240086 51.8642074, -2.2407447 51.8637366)",,,,,
8049311,Station Road,unclassified,,False,False,44.092999999999996,,,"LINESTRING (-2.2400619 51.8642378, -2.2399616 51.864212, -2.2395622 51.8639936)",,,,,
8049311,Station Road,unclassified,,False,True,56.817,,,"LINESTRING (-2.2400619 51.8642378, -2.2400801 51.8642791, -2.2406143 51.8646113)",,,,,
8049311,Station Road,unclassified,,False,True,44.236,,,"LINESTRING (-2.2390105 51.8637882, -2.2395622 51.8639936)",,,,,
4236511,Nettleton Road,residential,,False,False,78.791,,,"LINESTRING (-2.2390105 51.8637882, -2.2390405 51.8637355, -2.2393812 51.8634894, -2.2397272 51.8632393)",,,,,
4236511,Nettleton Road,residential,,False,True,78.79100000000001,,,"LINESTRING (-2.2397272 51.8632393, -2.2393812 51.8634894, -2.2390405 51.8637355, -2.2390105 51.8637882)",,,,,
8049379,Bruton Way,primary,30 mph,True,False,11.702,,,"LINESTRING (-2.2397997 51.8652892, -2.2396871 51.8653682)",,,,,
"[32800240, 32800189, 1073106573]",Bruton Way,primary,30 mph,True,False,223.18699999999998,"['2', '3']",A430,"LINESTRING (-2.2397997 51.8652892, -2.2399812 51.8653996, -2.2400335 51.8654538, -2.2400839 51.8655401, -2.2401329 51.8656748, -2.2402139 51.8658585, -2.2403505 51.8660543, -2.2406275 51.8663204, -2.2408091 51.8665064, -2.2410734 51.8667881, -2.2412159 51.8669504, -2.2413006 51.8670468)",,,,,
4238643,Bruton Way,primary,30 mph,False,True,11.363,,,"LINESTRING (-2.2411429 51.8670778, -2.2413006 51.8670468)",,,,,
1203875205,Bruton Way,primary,30 mph,True,False,27.917,2,A430,"LINESTRING (-2.2411429 51.8670778, -2.2410737 51.8669954, -2.2409558 51.8668549)",,,,,
1214428746,London Road,secondary,30 mph,False,True,26.829,3,B4063,"LINESTRING (-2.2411429 51.8670778, -2.2410149 51.8671074, -2.2409433 51.867124, -2.240772 51.8671529)",,,,,
4238644,Bruton Way,primary,30 mph,True,False,11.942,,,"LINESTRING (-2.2396002 51.865325, -2.2396602 51.8652242)",,,,,
1103765851,Bruton Way,primary,30 mph,True,False,12.0,2,A430,"LINESTRING (-2.2396602 51.8652242, -2.2397997 51.8652892)",,,,,
"[1057382719, 4238639]",Bruton Way,unclassified,,True,False,95.84500000000001,,,"LINESTRING (-2.2396602 51.8652242, -2.2397618 51.8651732, -2.2398851 51.8651185, -2.2401409 51.8650048, -2.2403104 51.8648914, -2.2403825 51.86483, -2.2403943 51.864822, -2.2404955 51.8647438, -2.2405823 51.8646405, -2.2406143 51.8646113)",,,,,
8135711,London Road,secondary,,False,True,23.061,2,B4063,"LINESTRING (-2.2392361 51.8674132, -2.2389161 51.8674762)",,,,,
168741499,London Road,secondary,30 mph,False,False,109.357,3,B4063,"LINESTRING (-2.2392361 51.8674132, -2.2400707 51.8672701, -2.2404834 51.8672015, -2.240772 51.8671529)",,,,,
32800274,Brunswick Road,unclassified,,False,True,67.949,,,"LINESTRING (-2.2463699 51.8613632, -2.2460478 51.861941)",,,,,
3495845,Park Road,unclassified,,False,False,105.785,2,,"LINESTRING (-2.2463699 51.8613632, -2.2452879 51.8610356, -2.2449722 51.8609656)",,,,,
32800274,Brunswick Road,unclassified,,False,False,41.381,,,"LINESTRING (-2.2463699 51.8613632, -2.2464454 51.8612509, -2.2466185 51.8610243)",,,,,
1144055254,Royal Oak Road,primary,40 mph,True,False,30.383,3,A417,"LINESTRING (-2.2527081 51.869181, -2.2528065 51.8689146)",roundabout,,,,
"[4265458, 547431092]",The Quay,primary,"['40 mph', '30 mph']",True,False,50.596000000000004,2,A4301,"LINESTRING (-2.2528065 51.8689146, -2.2527861 51.8688094, -2.2528236 51.8686215, -2.2528301 51.8684618)",,,,,
