osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,access,tunnel
9949246,Saint Marys Road,residential,30 mph,False,False,136.849,"LINESTRING (1.51647 52.7741074, 1.5161449 52.7743499, 1.5160631 52.7743896, 1.5158473 52.7744414, 1.5156984 52.774503, 1.5151313 52.7750019)",,,,,
10131788,Campingfield Lane,residential,30 mph,False,False,40.04,"LINESTRING (1.51647 52.7741074, 1.516682 52.7742216, 1.5169344 52.7743319)",,,,,
10131788,Campingfield Lane,residential,30 mph,False,True,144.84099999999998,"LINESTRING (1.51647 52.7741074, 1.5164347 52.7740471, 1.5163793 52.7739362, 1.5162931 52.7736041, 1.5161695 52.7730798, 1.5160997 52.7729564, 1.5160097 52.7728714, 1.5159832 52.7728514)",,,,,
104139021,Portalfield,residential,30 mph,False,False,54.217999999999996,"LINESTRING (1.518777 52.7745281, 1.5188721 52.7745169, 1.5189188 52.7745092, 1.5189565 52.7744939, 1.5189813 52.7744736, 1.5189868 52.7744487, 1.5189816 52.7744408, 1.5189697 52.7744226, 1.5188506 52.7743684, 1.5188157 52.7743692, 1.5187953 52.7743696, 1.518759 52.7744005, 1.5187399 52.7744372, 1.5187488 52.7744698, 1.518777 52.7745281)",,,,,
104139021,Portalfield,residential,30 mph,False,True,54.21800000000001,"LINESTRING (1.518777 52.7745281, 1.5187488 52.7744698, 1.5187399 52.7744372, 1.518759 52.7744005, 1.5187953 52.7743696, 1.5188157 52.7743692, 1.5188506 52.7743684, 1.5189697 52.7744226, 1.5189816 52.7744408, 1.5189868 52.7744487, 1.5189813 52.7744736, 1.5189565 52.7744939, 1.5189188 52.7745092, 1.5188721 52.7745169, 1.518777 52.7745281)",,,,,
381961785,Portalfield,residential,30 mph,False,True,57.954,"LINESTRING (1.518777 52.7745281, 1.5185398 52.7747204, 1.5183842 52.7748619, 1.5182746 52.7749513)",,,,,
9949290,Teresa Road,residential,30 mph,False,True,9.413,"LINESTRING (1.5221901 52.775855, 1.5220722 52.7758094)",,,,,
9949208,Brecklands,residential,30 mph,False,False,8.401,"LINESTRING (1.5176531 52.7738492, 1.5175539 52.7738033)",,,,,
9949304,Brecklands,residential,30 mph,False,False,22.495,"LINESTRING (1.5176531 52.7738492, 1.5178993 52.7739861)",,,,,
9949304,Brecklands,residential,30 mph,False,True,72.237,"LINESTRING (1.5176531 52.7738492, 1.5169344 52.7743319)",,,,,
10131788,Campingfield Lane,residential,30 mph,False,False,95.249,"LINESTRING (1.5182746 52.7749513, 1.5184834 52.775052, 1.5190107 52.7752759, 1.5192355 52.7753566, 1.5193536 52.7753954, 1.5194498 52.7754263)",,,,,
10131788,Campingfield Lane,residential,30 mph,False,True,113.475,"LINESTRING (1.5182746 52.7749513, 1.5175618 52.7746352, 1.5169344 52.7743319)",,,,,
381961785,Portalfield,residential,30 mph,False,False,57.954,"LINESTRING (1.5182746 52.7749513, 1.5183842 52.7748619, 1.5185398 52.7747204, 1.518777 52.7745281)",,,,,
9949195,Saint Benet's Close,residential,30 mph,False,True,9.452,"LINESTRING (1.5206091 52.7754708, 1.5206876 52.7754003)",,,,,
"[9949257, 260668940]",Ingham Road,tertiary,"['20 mph', '30 mph']",False,False,59.972,"LINESTRING (1.5185239 52.7716005, 1.5184683 52.7714697, 1.518399 52.771272, 1.5183725 52.7711914, 1.5183338 52.7710737)",2,,,,
9949257,Ingham Road,tertiary,30 mph,False,True,233.297,"LINESTRING (1.5185239 52.7716005, 1.5185414 52.7716229, 1.5186038 52.7717027, 1.5187037 52.771789, 1.5187914 52.7718412, 1.5188746 52.7718919, 1.518987 52.771949, 1.5191943 52.7720543, 1.5197799 52.7723149, 1.519837 52.7723403, 1.52046 52.7725808, 1.5212463 52.7728598)",2,,,,
"[10131809, 526428564, 526428565, 475617373, 475617374]",Brumstead Road,tertiary,30 mph,False,True,227.099,"LINESTRING (1.5185239 52.7716005, 1.5180806 52.7717824, 1.5179605 52.7718304, 1.5173068 52.7720916, 1.5170357 52.7721666, 1.5169009 52.7722021, 1.5165834 52.7722828, 1.5165333 52.7723037, 1.5164978 52.7723246, 1.5164212 52.7723817, 1.5162952 52.7725185, 1.5162677 52.7725484, 1.5159832 52.7728514)",,,,,
10131809,Brumstead Road,tertiary,30 mph,False,True,39.903,"LINESTRING (1.5131239 52.7752708, 1.5129074 52.7756049)",,,,,
10131809,Brumstead Road,tertiary,30 mph,False,False,150.935,"LINESTRING (1.5131239 52.7752708, 1.5133501 52.7748797, 1.5137421 52.7742882, 1.5140076 52.774028)",,,,,
10131816,Saint Johns Road,residential,30 mph,False,True,19.792,"LINESTRING (1.5131239 52.7752708, 1.5130556 52.7752775, 1.5129601 52.7752811, 1.5128785 52.7752714, 1.5128333 52.7752656)",2,,,,
"[10131788, 9949263]","['Campingfield Lane', 'Teresa Road']",residential,30 mph,False,"[False, True]",76.137,"LINESTRING (1.5202328 52.7757096, 1.5206424 52.775859, 1.5207033 52.7759019, 1.5207558 52.7759536, 1.5207949 52.7760226, 1.5208803 52.7760682, 1.5210818 52.7761292)",,,,,
10131788,Campingfield Lane,residential,30 mph,False,True,61.409,"LINESTRING (1.5202328 52.7757096, 1.5202061 52.7756972, 1.5198324 52.775562, 1.5197291 52.7755306, 1.5194498 52.7754263)",,,,,
9949237,Teresa Road,residential,30 mph,False,False,8.535,"LINESTRING (1.5220722 52.7758094, 1.522135 52.7757427)",,,,,
9949290,Teresa Road,residential,30 mph,False,False,9.413,"LINESTRING (1.5220722 52.7758094, 1.5221901 52.775855)",,,,,
9949290,Teresa Road,residential,30 mph,False,True,95.923,"LINESTRING (1.5220722 52.7758094, 1.5216824 52.7757078, 1.521519 52.7757148, 1.5213799 52.7757591, 1.5210818 52.7761292)",,,,,
