osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,access,bridge
"[201472496, 3997261, 201472495]",True,2,A3220,West Cross Route,trunk,"['40 mph', '30 mph']",False,117.27199999999999,"LINESTRING (-0.2172354 51.5050042, -0.2172632 51.5050779, -0.2172653 51.5051047, -0.217237 51.5051919, -0.2172296 51.5052314, -0.2172248 51.50527, -0.2172312 51.5052849, -0.2172325 51.5052881, -0.2172339 51.5052912, -0.2172745 51.5053865, -0.217555 51.5058116, -0.2176842 51.5059997)",,,,
3997273,True,5,A3220,Holland Park Roundabout,trunk,30 mph,False,36.721999999999994,"LINESTRING (-0.2172354 51.5050042, -0.2171699 51.5050385, -0.2171075 51.5050658, -0.2170223 51.5050905, -0.2168834 51.5051063, -0.2167499 51.5051052)",circular,,,
43583112,True,6,A3220,Holland Park Roundabout,trunk,30 mph,False,41.528,"LINESTRING (-0.2167499 51.5051052, -0.216359 51.5050116, -0.2161899 51.5049711)",circular,,,
"[3997274, 192836869]",True,2,A3220,Holland Road,trunk,30 mph,False,59.156,"LINESTRING (-0.2159998 51.5044596, -0.2159751 51.504378, -0.2159903 51.5043026, -0.2160078 51.5042587, -0.2160027 51.5042204, -0.2159774 51.5041817, -0.2158477 51.5040484, -0.2157743 51.5039689)",,,,
43583115,True,4,A3220,Holland Park Roundabout,trunk,30 mph,False,48.822,"LINESTRING (-0.2159998 51.5044596, -0.2161346 51.5042951, -0.2162152 51.504228, -0.2162307 51.504218, -0.2163712 51.5041822, -0.2164665 51.5041634)",circular,,,
43583113,True,4,A3220,Holland Park Roundabout,trunk,30 mph,False,42.448,"LINESTRING (-0.2161899 51.5049711, -0.2159626 51.5048537, -0.2159205 51.5047894, -0.2159124 51.5047722, -0.2159 51.5047229, -0.2158967 51.5046623)",circular,,,
43583114,True,6,A3220,Holland Park Roundabout,trunk,30 mph,False,23.642,"LINESTRING (-0.2158967 51.5046623, -0.2159998 51.5044596)",circular,,,
38329678,True,6,A3220,Holland Park Roundabout,trunk,30 mph,False,53.484,"LINESTRING (-0.2164665 51.5041634, -0.2166411 51.5041945, -0.2172017 51.5043112)",circular,,,
"[513132121, 297669995, 4059901, 439197367]",True,4,A402,Shepherds Bush Green,primary,"['20 mph', '30 mph']",False,143.276,"LINESTRING (-0.2172017 51.5043112, -0.2173761 51.504315, -0.2174838 51.5043121, -0.2178387 51.504299, -0.2179815 51.5042905, -0.2181569 51.5042771, -0.218607 51.5042142, -0.2188769 51.5041735, -0.2189522 51.5041624, -0.2190605 51.5041454, -0.2192388 51.5041172)",,,,
43583116,True,3,A3220,Holland Park Roundabout,trunk,30 mph,False,38.015,"LINESTRING (-0.2172017 51.5043112, -0.2173528 51.5044189, -0.2173856 51.5044385, -0.2173947 51.5044511, -0.2174327 51.5045188, -0.2174778 51.5045991)",circular,,,
38329677,True,5,A3220,Holland Park Roundabout,trunk,30 mph,False,48.239000000000004,"LINESTRING (-0.2174778 51.5045991, -0.2174712 51.5046409, -0.2172354 51.5050042)",circular,,,
4059903,True,1,A402,Shepherds Bush Green,primary,20 mph,False,25.198,"LINESTRING (-0.2231214 51.5033912, -0.2232579 51.5033233, -0.2233158 51.5032938, -0.2234023 51.5032471)",,,,
"[4059904, 321718022]",True,1,A402,Shepherds Bush Green,primary,20 mph,False,46.647,"LINESTRING (-0.2231214 51.5033912, -0.223169 51.5033839, -0.2232214 51.5033794, -0.2233068 51.503381, -0.2233747 51.503386, -0.2234857 51.5033921, -0.2235783 51.5034061, -0.2236304 51.5034181, -0.2237855 51.5034281)",,,,
"[313596137, 4059902]",True,2,A402,"['Goldhawk Road', 'Shepherds Bush Green']",primary,20 mph,False,41.696999999999996,"LINESTRING (-0.2238659 51.5030816, -0.2238518 51.5031147, -0.2237815 51.5031607, -0.2237598 51.5031815, -0.2237484 51.5032021, -0.2237655 51.5032343, -0.2237715 51.5032765, -0.2237781 51.5033092, -0.2237923 51.5033384, -0.2238006 51.5033627, -0.2237855 51.5034281)",,,,
1070366899,False,2,A402,Goldhawk Road,primary,20 mph,True,25.963,"LINESTRING (-0.2238659 51.5030816, -0.2239141 51.5030667, -0.2242056 51.5029826)",,,,
1065580325,False,,A4020,Uxbridge Road,primary,20 mph,False,38.019,"LINESTRING (-0.2271118 51.5056226, -0.2276357 51.5057254)",,,,
4038807,False,,,Frithville Gardens,residential,20 mph,False,367.193,"LINESTRING (-0.2271118 51.5056226, -0.2270949 51.5056979, -0.227042 51.5059335, -0.2270127 51.5060826, -0.227001 51.5061405, -0.2269925 51.5061824, -0.2269773 51.5062662, -0.2269641 51.5063567, -0.2269565 51.5064811, -0.2269407 51.50668, -0.2269378 51.5068059, -0.2269274 51.5070335, -0.2269272 51.5070733, -0.2269266 51.5072457, -0.2269269 51.5073337, -0.2269272 51.5074032, -0.22697 51.5076142, -0.226986 51.5076842, -0.2270058 51.5077704, -0.2270424 51.5079033, -0.2270945 51.5080541, -0.2271686 51.5082423, -0.227265 51.5084785, -0.2274177 51.5088512, -0.2274409 51.5088817)",,,,
"[313584688, 371339737, 4059906]",False,2,A4020,Uxbridge Road,primary,20 mph,True,107.581,"LINESTRING (-0.2271118 51.5056226, -0.2266113 51.505524, -0.2265679 51.5055154, -0.2265318 51.5055083, -0.2262902 51.5054609, -0.2262422 51.5054516, -0.2262183 51.5054468, -0.2261109 51.5054254, -0.2260832 51.5054199, -0.2260563 51.5054146, -0.2259981 51.5054032, -0.2257546 51.5053552, -0.2256294 51.5053316)",,,,
4059900,True,1,A402,Uxbridge Road,primary,20 mph,False,7.07,"LINESTRING (-0.2245491 51.5051588, -0.2244672 51.5051208)",,,,
313584693,False,2,A219,Wood Lane,primary,20 mph,False,30.669,"LINESTRING (-0.2246311 51.5058335, -0.2246353 51.5055577)",,,,
"[96452947, 313584693, 679608783]",False,2,A219,Wood Lane,primary,20 mph,True,244.93099999999998,"LINESTRING (-0.2246311 51.5058335, -0.2246316 51.5060709, -0.2246153 51.5064604, -0.2246163 51.506544, -0.2246169 51.5065936, -0.2246155 51.5066448, -0.2245945 51.5073901, -0.2245834 51.5078244, -0.2245833 51.5078785, -0.2245824 51.507925, -0.2245834 51.5080359)",,,,
687181871,False,,,Ariel Way,unclassified,20 mph,False,10.089,"LINESTRING (-0.2244078 51.5093389, -0.224553 51.5093308)",,,,
"[171965401, 247511199]",True,,,Ariel Way,unclassified,20 mph,False,38.858000000000004,"LINESTRING (-0.2244078 51.5093389, -0.2242992 51.5093718, -0.2242737 51.5093714, -0.2241551 51.5093693, -0.2240033 51.5093667, -0.2238728 51.5093278)",,,,
