osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,access
4302207,True,3,A3057,Western Avenue,primary,30 mph,False,39.861999999999995,"LINESTRING (-1.482439 51.2052845, -1.482432 51.2053348, -1.4824165 51.2053829, -1.4823486 51.2055544, -1.4823374 51.2055937, -1.4823325 51.2056359)",,,
668777721,True,2,A3057,Borden Gates Roundabout,primary,30 mph,False,34.175,"LINESTRING (-1.482439 51.2052845, -1.4824119 51.2053258, -1.48239 51.2053456, -1.4823581 51.2053637, -1.4823042 51.2053802, -1.4822587 51.2053918, -1.4822087 51.2053998, -1.4821709 51.2054, -1.4821331 51.2053969, -1.4820867 51.2053873, -1.4820421 51.2053702)",roundabout,,
668777721,True,2,A3057,Borden Gates Roundabout,primary,30 mph,False,12.821,"LINESTRING (-1.4820421 51.2053702, -1.481987 51.2053335, -1.4819265 51.2052808)",roundabout,,
668777722,True,2,A3057,Borden Gates Roundabout,primary,30 mph,False,2.975,"LINESTRING (-1.4819975 51.2050002, -1.4820383 51.2049923)",roundabout,,
4302202,True,2,A3057,Borden Gates Roundabout,primary,30 mph,False,21.88,"LINESTRING (-1.4818314 51.2051532, -1.4818329 51.2051192, -1.4818438 51.2050948, -1.4818597 51.2050749, -1.4818849 51.2050542, -1.4819232 51.2050315, -1.4819975 51.2050002)",roundabout,,
59458357,True,1,A3057,Western Avenue,primary,30 mph,False,31.661,"LINESTRING (-1.4818314 51.2051532, -1.48175 51.2050813, -1.4816703 51.2050222, -1.4815328 51.2049398)",,,
59458356,True,,A3057,Western Avenue,primary,30 mph,False,29.769,"LINESTRING (-1.4784932 51.2050565, -1.4786647 51.2050618, -1.4787508 51.205067, -1.4789198 51.2050636)",,,
668777727,True,2,A3057,,primary,30 mph,False,20.400000000000002,"LINESTRING (-1.4784932 51.2050565, -1.4785206 51.2050836, -1.4785371 51.2051142, -1.4785468 51.2051509, -1.4785488 51.2051773, -1.478544 51.2052037, -1.4785309 51.2052314)",roundabout,,
4302203,True,2,A3057,,primary,30 mph,False,1.837,"LINESTRING (-1.4784749 51.2050446, -1.4784932 51.2050565)",roundabout,,
668777723,True,2,A3057,,primary,30 mph,False,1.625,"LINESTRING (-1.4782137 51.2052702, -1.4781945 51.2052619)",roundabout,,
4302203,True,2,A3057,,primary,30 mph,False,20.948,"LINESTRING (-1.4781898 51.2050425, -1.4782419 51.2050271, -1.4782966 51.2050207, -1.4783532 51.2050197, -1.4783981 51.2050219, -1.478438 51.2050295, -1.4784749 51.2050446)",roundabout,,
58796701,True,,A3057,Winchester Road,primary,30 mph,False,29.424999999999997,"LINESTRING (-1.4781898 51.2050425, -1.4782441 51.2049756, -1.4782974 51.2049011, -1.4783614 51.2048009)",,,
54677186,True,,,South Street,tertiary,30 mph,False,28.802999999999997,"LINESTRING (-1.4785076 51.2052545, -1.4784239 51.2053663, -1.4783958 51.2054108, -1.4783466 51.2054929)",,,
668777727,True,2,A3057,,primary,30 mph,False,21.658,"LINESTRING (-1.4785076 51.2052545, -1.4784788 51.2052693, -1.4784453 51.2052781, -1.4783868 51.2052857, -1.4783139 51.2052876, -1.4782638 51.2052826, -1.4782137 51.2052702)",roundabout,,
4302205,True,2,A3057,Western Avenue,primary,40 mph,False,54.073,"LINESTRING (-1.4838393 51.2091452, -1.4838559 51.2092424, -1.4838593 51.2092755, -1.4838531 51.2093122, -1.4838372 51.2093422, -1.4838158 51.2093696, -1.4837799 51.2094037, -1.4837392 51.2094312, -1.4836936 51.2094548, -1.4836324 51.2094749, -1.483562 51.2094895, -1.4834819 51.2094996)",,,
173531654,True,3,A3057,Western Avenue,primary,40 mph,False,199.644,"LINESTRING (-1.4827411 51.2074871, -1.4827949 51.2075534, -1.4828487 51.2076349, -1.4831355 51.208072, -1.4834206 51.2085158, -1.4837186 51.2089668, -1.4838393 51.2091452)",,,
197705847,True,2,A3057,Western Avenue,primary,40 mph,False,13.487,"LINESTRING (-1.4820525 51.2075271, -1.4820747 51.2074997, -1.4821066 51.2074708, -1.4821632 51.2074282)",,,
"[1001751765, 1001751766]",True,2,A3057,Western Avenue,primary,40 mph,False,11.125,"LINESTRING (-1.4834819 51.2094996, -1.4833608 51.2094913, -1.4833241 51.2094854)",,yes,
59337136,True,2,A3057,Western Avenue,primary,40 mph,False,57.559,"LINESTRING (-1.4821632 51.2074282, -1.4823262 51.2072571, -1.4823536 51.207218, -1.4823762 51.2071759, -1.482391 51.2071376, -1.4823985 51.2070978, -1.4823971 51.2070245, -1.4823866 51.2069463)",,,
189282757,True,2,A3057,Western Avenue,primary,40 mph,False,44.89399999999999,"LINESTRING (-1.4821632 51.2074282, -1.482224 51.207407, -1.4822849 51.2073934, -1.4823439 51.2073858, -1.4824164 51.2073839, -1.4824913 51.2073895, -1.4825687 51.2074038, -1.4826487 51.207428, -1.4826973 51.2074545, -1.4827411 51.2074871)",,,
4302209,True,3,A3057,Western Avenue,primary,30 mph,False,33.111999999999995,"LINESTRING (-1.4815328 51.2049398, -1.4816635 51.2049619, -1.4817789 51.2049797, -1.4818748 51.2049897, -1.4819975 51.2050002)",,,
"[106577481, 156231371, 106577484, 59458359, 54912220]",False,,A3057,Western Avenue,primary,30 mph,False,188.78599999999997,"LINESTRING (-1.4815328 51.2049398, -1.481423 51.204902, -1.4812876 51.2048637, -1.4811884 51.204838, -1.4810953 51.2048175, -1.4810184 51.2048051, -1.4809468 51.2047981, -1.4808698 51.2047952, -1.4807485 51.204795, -1.4806527 51.2048006, -1.4805514 51.2048113, -1.4803933 51.2048362, -1.4801132 51.2048815, -1.4797335 51.2049419, -1.479431 51.2049854, -1.4792233 51.2050156, -1.4789902 51.2050522, -1.4789198 51.2050636)",,yes,
"[54677184, 95687909, 36888908, 54912217, 180998043, 769128670]",True,1,,"['Bridge Street', 'Winchester Street']",unclassified,"['20 mph', '30 mph']",False,311.702,"LINESTRING (-1.4822093 51.2059129, -1.482043 51.2059124, -1.4819676 51.2059171, -1.4819039 51.205924, -1.4818124 51.2059387, -1.481691 51.2059605, -1.4816356 51.205976, -1.4814703 51.20604, -1.4811251 51.2061874, -1.4809417 51.2062617, -1.4808709 51.2062876, -1.4807886 51.2063087, -1.4806815 51.2063341, -1.4806221 51.2063454, -1.4805496 51.2063571, -1.4804745 51.2063671, -1.4804072 51.206372, -1.480336 51.2063757, -1.4801726 51.206383, -1.4799964 51.2063888, -1.4796272 51.2064062, -1.4794768 51.2064204, -1.4793536 51.2064238, -1.4793017 51.2064222, -1.4791877 51.2064115, -1.4790363 51.2063831, -1.4789103 51.2063416, -1.4788344 51.2063102, -1.4788055 51.2062938, -1.4788063 51.2062267, -1.4788141 51.2058956, -1.4788194 51.2057715)",,yes,
187783219,True,2,A3057,Western Avenue,primary,30 mph,False,63.069,"LINESTRING (-1.4822093 51.2059129, -1.4821893 51.2058132, -1.4821809 51.2057476, -1.4821815 51.2056834, -1.4821863 51.2056079, -1.4821853 51.2055796, -1.4821814 51.2055521, -1.4821741 51.2055234, -1.4821629 51.205496, -1.4821445 51.2054634, -1.4821217 51.2054384, -1.4820421 51.2053702)",,,
45750992,True,2,,,secondary,30 mph,False,11.837,"LINESTRING (-1.4823792 51.2059141, -1.4822093 51.2059129)",,,
"[441698979, 187783223]",True,2,A3057,Western Avenue,primary,"['40 mph', '30 mph']",False,177.38299999999998,"LINESTRING (-1.4823792 51.2059141, -1.4824088 51.2060815, -1.4824431 51.2062891, -1.4825003 51.2067677, -1.4825213 51.2069327, -1.4825366 51.2070201, -1.4825615 51.2071052, -1.4826097 51.2072202, -1.4826621 51.2073268, -1.4827411 51.2074871)",,,
769462588,True,2,A3057,Eastern Avenue,primary,30 mph,False,19.696,"LINESTRING (-1.4768965 51.2056342, -1.4768074 51.2058023)",,,
769454838,False,,A3057,Eastern Avenue,primary,30 mph,False,72.833,"LINESTRING (-1.4768965 51.2056342, -1.4769611 51.2055798, -1.4770517 51.2055163, -1.4771332 51.2054674, -1.4772088 51.2054254, -1.4773002 51.2053817, -1.4773626 51.205356, -1.477434 51.2053307, -1.477513 51.2053065, -1.4775978 51.2052838, -1.477726 51.2052562)",,,
