osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,junction,geometry,bridge,tunnel
24942258,True,1,A457,Sedgley Road West,primary,30 mph,False,17.837,,"LINESTRING (-2.0715531 52.5277476, -2.0715868 52.5279067)",,
854697382,True,1,A457,,primary,30 mph,False,15.573,roundabout,"LINESTRING (-2.0715531 52.5277476, -2.0715254 52.5277983, -2.0714844 52.5278257, -2.0714132 52.5278498)",,
26535437,False,,,Leasowe Road,residential,,True,86.705,,"LINESTRING (-2.0690869 52.5260413, -2.0699515 52.5257849, -2.0702484 52.5257126)",,
98959200,False,2,A457,Park Lane West,primary,,False,180.901,,"LINESTRING (-2.0690869 52.5260413, -2.0688493 52.5257704, -2.0686756 52.5256228, -2.0684993 52.5254876, -2.0682918 52.5253462, -2.0680046 52.5251684, -2.0673909 52.5247967)",,
100356071,False,,,Silvertrees Road,residential,30 mph,False,191.244,,"LINESTRING (-2.0690869 52.5260413, -2.0679522 52.5263445, -2.0664986 52.5267329)",,
"[1241746368, 1241746369, 285257219, 136617173]",False,2,A457,Park Lane West,primary,30 mph,True,157.673,,"LINESTRING (-2.0690869 52.5260413, -2.0693359 52.5262703, -2.0696614 52.5264904, -2.0698333 52.526591, -2.0699643 52.5266545, -2.0699772 52.5266607, -2.0700301 52.5266864, -2.0702742 52.5267714, -2.0703687 52.5268101, -2.0705709 52.5269104, -2.0707551 52.5270101)",yes,
24942261,True,1,B4517,High Street,secondary,30 mph,False,12.001,,"LINESTRING (-2.071445 52.527557, -2.071612 52.5275206)",,
136613305,True,1,A457,,primary,30 mph,False,14.765,roundabout,"LINESTRING (-2.071445 52.527557, -2.0715096 52.5275818, -2.0715392 52.5276165, -2.0715661 52.5276608)",,
637636624,True,1,A457,,primary,30 mph,False,7.7540000000000004,roundabout,"LINESTRING (-2.0713314 52.5275527, -2.0713778 52.5275504, -2.071445 52.527557)",,
74263726,False,,,Neptune Street,residential,,False,189.22,,"LINESTRING (-2.0757375 52.5281099, -2.0733557 52.5286876, -2.07331 52.5287042, -2.0732766 52.5287233, -2.07324 52.5288017)",,
78044206,False,3,A4037,Dudley Road,primary,30 mph,True,67.28200000000001,,"LINESTRING (-2.0757375 52.5281099, -2.0755576 52.5279733, -2.0751297 52.527631)",,
24942255,False,,,Malthouse Road,unclassified,,False,59.847,,"LINESTRING (-2.0749316 52.5291327, -2.074816 52.5296663)",,
136613360,False,2,A457,Sedgley Road West,primary,30 mph,False,6.178,,"LINESTRING (-2.0749316 52.5291327, -2.0750173 52.5291519)",,
136613360,False,2,A457,Sedgley Road West,primary,30 mph,True,120.20500000000001,,"LINESTRING (-2.0749316 52.5291327, -2.0745521 52.5290584, -2.0737009 52.5288919, -2.07324 52.5288017)",,
24942255,False,,,Malthouse Road,unclassified,,True,59.847,,"LINESTRING (-2.074816 52.5296663, -2.0749316 52.5291327)",,
24942255,False,,,Malthouse Road,unclassified,,False,40.703,,"LINESTRING (-2.074816 52.5296663, -2.0747674 52.5298712, -2.0747158 52.5300271)",,
