osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,est_width,geometry,junction,access,bridge
4020789,B1272,Linthorpe Road,secondary,30 mph,False,False,23.297,,,"LINESTRING (-1.2382137 54.5717886, -1.2382915 54.571584)",,,
4518010,,Garnet Street,residential,30 mph,True,False,47.117,2,5,"LINESTRING (-1.2382137 54.5717886, -1.2389234 54.5718901)",,,
4020789,B1272,Linthorpe Road,secondary,30 mph,False,True,138.315,,,"LINESTRING (-1.2382137 54.5717886, -1.238071 54.5721645, -1.2380339 54.5722622, -1.2379772 54.5724113, -1.2377523 54.5730034)",,,
4517980,B1272,Borough Road,secondary,30 mph,False,True,39.509,,,"LINESTRING (-1.2377523 54.5730034, -1.2383594 54.5730524)",,,
4020789,B1272,Linthorpe Road,secondary,30 mph,False,False,138.315,,,"LINESTRING (-1.2377523 54.5730034, -1.2379772 54.5724113, -1.2380339 54.5722622, -1.238071 54.5721645, -1.2382137 54.5717886)",,,
4517937,,Borough Road,tertiary,30 mph,False,False,150.90699999999998,4,,"LINESTRING (-1.2377523 54.5730034, -1.2373396 54.5729701, -1.2357137 54.5728516, -1.2354301 54.5728308)",,,
4517944,,Linthorpe Road,unclassified,30 mph,False,True,59.281,2,,"LINESTRING (-1.2377523 54.5730034, -1.2376306 54.5733285, -1.2375573 54.5735244)",,,
4519291,,Python Boulevard,residential,,False,True,43.613,,,"LINESTRING (-1.2354301 54.5728308, -1.2355267 54.5724426)",,,
4517937,,Borough Road,tertiary,30 mph,False,True,150.90699999999998,4,,"LINESTRING (-1.2354301 54.5728308, -1.2357137 54.5728516, -1.2373396 54.5729701, -1.2377523 54.5730034)",,,
32388261,,Albert Road,unclassified,30 mph,False,True,57.983,2,,"LINESTRING (-1.2354301 54.5728308, -1.2353614 54.5731471, -1.235313 54.5733478)",,,
"[1075077532, 1075077534]",,Borough Road,tertiary,30 mph,False,False,116.106,4,,"LINESTRING (-1.2354301 54.5728308, -1.2349761 54.5727947, -1.2344534 54.5727531, -1.2343756 54.5727469, -1.2343195 54.5727424, -1.2340534 54.5727212, -1.2336455 54.5726888)",,,
48424164,,Borough Road,tertiary,30 mph,False,False,77.405,4,,"LINESTRING (-1.2336455 54.5726888, -1.2324551 54.572597)",,,
56138632,,Emily Street,residential,,True,False,101.08600000000001,,,"LINESTRING (-1.2336455 54.5726888, -1.233524 54.573209, -1.2334381 54.5735899)",,,
"[1075077532, 1075077534]",,Borough Road,tertiary,30 mph,False,True,116.106,4,,"LINESTRING (-1.2336455 54.5726888, -1.2340534 54.5727212, -1.2343195 54.5727424, -1.2343756 54.5727469, -1.2344534 54.5727531, -1.2349761 54.5727947, -1.2354301 54.5728308)",,,
48424164,,Borough Road,tertiary,30 mph,False,False,31.693,4,,"LINESTRING (-1.2324551 54.572597, -1.2319677 54.5725594)",,,
48424164,,Borough Road,tertiary,30 mph,False,True,77.405,4,,"LINESTRING (-1.2324551 54.572597, -1.2336455 54.5726888)",,,
48424164,,Borough Road,tertiary,30 mph,False,True,9.062,4,,"LINESTRING (-1.2313779 54.5725129, -1.2315172 54.5725239)",,,
67657725,,Melrose Street,unclassified,,False,True,121.633,2,,"LINESTRING (-1.2313779 54.5725129, -1.2311327 54.5735975)",,,
"[55970658, 48424164]",,Borough Road,tertiary,30 mph,False,False,189.14499999999998,4,,"LINESTRING (-1.2313779 54.5725129, -1.2308885 54.5724739, -1.2302824 54.5724252, -1.2296768 54.5723745, -1.2291578 54.5723357, -1.2291164 54.5723324, -1.2284701 54.5722845)",,,
32612391,,Bright Street,unclassified,20 mph,False,False,121.442,2,,"LINESTRING (-1.2284701 54.5722845, -1.2282027 54.5733656)",,,
"[55970658, 48424164]",,Borough Road,tertiary,30 mph,False,True,189.14499999999998,4,,"LINESTRING (-1.2284701 54.5722845, -1.2291164 54.5723324, -1.2291578 54.5723357, -1.2296768 54.5723745, -1.2302824 54.5724252, -1.2308885 54.5724739, -1.2313779 54.5725129)",,,
4519291,,Python Boulevard,residential,,False,False,43.613,,,"LINESTRING (-1.2355267 54.5724426, -1.2354301 54.5728308)",,,
4520702,,,residential,,True,False,115.536,,,"LINESTRING (-1.2374678 54.572576, -1.2375436 54.5723733, -1.2378178 54.571557)",,,
4520703,,Clarendon Road,unclassified,30 mph,False,True,30.681,2,,"LINESTRING (-1.2378178 54.571557, -1.2382915 54.571584)",,,
