osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge
109262676,Hawthorn Villas,residential,30 mph,False,True,121.1,,,"LINESTRING (-3.7568618 51.7780707, -3.7555657 51.7773338)",
1087918417,Brecon Road,secondary,20 mph,False,True,20.963,2,B4599,"LINESTRING (-3.7568618 51.7780707, -3.7566155 51.7781817)",
"[1087918417, 1161358853]",Brecon Road,secondary,20 mph,False,False,72.547,2,B4599,"LINESTRING (-3.7568618 51.7780707, -3.7569658 51.7780003, -3.7571519 51.777874, -3.7574386 51.7776803, -3.7576066 51.7776136)",
109075372,Heol Eglwys,secondary,20 mph,False,False,74.008,,B4599,"LINESTRING (-3.7584793 51.7775316, -3.7586342 51.7774802, -3.7591343 51.777271, -3.7593797 51.7771683)",
109253587,Station Road,tertiary,30 mph,True,False,128.117,1,,"LINESTRING (-3.7584793 51.7775316, -3.7583565 51.7774683, -3.7582652 51.7774109, -3.7578843 51.777146, -3.7573016 51.7768126, -3.7572134 51.7767807, -3.7571646 51.7767717, -3.7571122 51.7767726)",
109262672,Commercial Street,unclassified,,False,False,68.285,,,"LINESTRING (-3.7584793 51.7775316, -3.7585198 51.7775618, -3.7590201 51.7780462)",
"[1161358854, 355831199]",Brecon Road,secondary,20 mph,False,True,61.545,2,B4599,"LINESTRING (-3.7584793 51.7775316, -3.7583854 51.7775411, -3.7581939 51.7775337, -3.7580062 51.777535, -3.7578376 51.7775614, -3.7576066 51.7776136)",
109075372,Heol Eglwys,secondary,20 mph,False,False,71.512,,B4599,"LINESTRING (-3.7604659 51.7766524, -3.7609509 51.7763762, -3.7612344 51.7762194)",
109075372,Heol Eglwys,secondary,20 mph,False,True,94.21000000000001,,B4599,"LINESTRING (-3.7604659 51.7766524, -3.7601658 51.7767941, -3.7597587 51.7769864, -3.7593797 51.7771683)",
109075369,College Row,residential,,False,True,97.86500000000001,,,"LINESTRING (-3.7617769 51.7759399, -3.7619805 51.7760592, -3.7625384 51.7762052, -3.7630427 51.7763181)",
110536883,College Row,secondary,20 mph,False,False,221.907,,B4599,"LINESTRING (-3.7617769 51.7759399, -3.7616115 51.7757321, -3.761191 51.7752324, -3.7611025 51.7750469, -3.7610509 51.7748579, -3.7610396 51.7746528, -3.7610703 51.7744557, -3.7611909 51.7740502)",
"[783124480, 783124481, 109075372]",Heol Eglwys,secondary,20 mph,False,True,48.584,,B4599,"LINESTRING (-3.7617769 51.7759399, -3.7616667 51.7759991, -3.76131 51.776185, -3.7612344 51.7762194)",yes
110536883,College Row,secondary,20 mph,False,True,32.215999999999994,,B4599,"LINESTRING (-3.761333 51.7737744, -3.7612767 51.773865, -3.7611909 51.7740502)",
109075382,Gorof Road,residential,,False,True,80.228,,,"LINESTRING (-3.7628908 51.7770292, -3.7629026 51.7766765, -3.7630427 51.7763181)",
109075382,Gorof Road,residential,,False,False,81.295,,,"LINESTRING (-3.7637978 51.7757629, -3.76356 51.7758774, -3.7630427 51.7763181)",
109075369,College Row,residential,,False,False,97.86500000000001,,,"LINESTRING (-3.7630427 51.7763181, -3.7625384 51.7762052, -3.7619805 51.7760592, -3.7617769 51.7759399)",
109075382,Gorof Road,residential,,False,False,80.228,,,"LINESTRING (-3.7630427 51.7763181, -3.7629026 51.7766765, -3.7628908 51.7770292)",
109075382,Gorof Road,residential,,False,True,81.295,,,"LINESTRING (-3.7630427 51.7763181, -3.76356 51.7758774, -3.7637978 51.7757629)",
109262669,Club Lane,tertiary,,True,False,104.202,1,,"LINESTRING (-3.7571122 51.7767726, -3.7570898 51.7770571, -3.7571074 51.7771401, -3.7571953 51.7772676, -3.7573576 51.7774204, -3.7576066 51.7776136)",
876587268,Station Road,tertiary,30 mph,False,False,130.394,,,"LINESTRING (-3.7571122 51.7767726, -3.7570962 51.7766962, -3.7570459 51.7766232, -3.756869 51.7764914, -3.7564532 51.7762073, -3.7562092 51.7760877, -3.7559537 51.7760022, -3.7558255 51.7759611)",
"[783124480, 783124481, 109075372]",Heol Eglwys,secondary,20 mph,False,False,48.584,,B4599,"LINESTRING (-3.7612344 51.7762194, -3.76131 51.776185, -3.7616667 51.7759991, -3.7617769 51.7759399)",yes
109075372,Heol Eglwys,secondary,20 mph,False,True,71.512,,B4599,"LINESTRING (-3.7612344 51.7762194, -3.7609509 51.7763762, -3.7604659 51.7766524)",
109253592,Pantyffynon Road,residential,,False,False,189.48200000000003,,,"LINESTRING (-3.7612344 51.7762194, -3.7611491 51.7761651, -3.7610579 51.7760522, -3.7609033 51.7758248, -3.7608735 51.7757832, -3.7607038 51.77541, -3.7605662 51.775086, -3.7605607 51.7745988)",
109253571,,residential,,False,False,37.604,,,"LINESTRING (-3.7545946 51.7733385, -3.7548484 51.7733419, -3.7551281 51.7732886)",
109253582,Maescynog,residential,,False,True,103.954,,,"LINESTRING (-3.756598 51.7753745, -3.7579734 51.7757615)",
109253589,Llanfaes,residential,,False,True,57.66,,,"LINESTRING (-3.756598 51.7753745, -3.7571717 51.7749965)",
109253582,Maescynog,residential,,False,False,93.275,,,"LINESTRING (-3.756598 51.7753745, -3.7560661 51.7751661, -3.7554468 51.7749315)",
735406825,,residential,,False,True,97.46699999999998,,,"LINESTRING (-3.7550033 51.7755631, -3.7547199 51.7756041, -3.7545374 51.7757027, -3.7542653 51.7759056, -3.7540144 51.7761421)",
876587268,Station Road,tertiary,30 mph,False,False,74.01599999999999,,,"LINESTRING (-3.7550033 51.7755631, -3.7550282 51.7754656, -3.7551141 51.7752332, -3.7552336 51.7749131)",
876587268,Station Road,tertiary,30 mph,False,True,30.089000000000002,,,"LINESTRING (-3.7550033 51.7755631, -3.7550224 51.7756442, -3.7550858 51.7757083, -3.7551521 51.775746, -3.7552291 51.7757787)",
109253582,Maescynog,residential,,False,True,14.966999999999999,,,"LINESTRING (-3.7552336 51.7749131, -3.7553112 51.7749104, -3.7554468 51.7749315)",
876587268,Station Road,tertiary,30 mph,False,False,49.695,,,"LINESTRING (-3.7552336 51.7749131, -3.7552295 51.7748316, -3.7551698 51.7746842, -3.7550841 51.7745844, -3.7550422 51.7744874)",
876587268,Station Road,tertiary,30 mph,False,True,74.016,,,"LINESTRING (-3.7552336 51.7749131, -3.7551141 51.7752332, -3.7550282 51.7754656, -3.7550033 51.7755631)",
109253592,Pantyffynon Road,residential,,False,True,65.598,,,"LINESTRING (-3.7605975 51.7740093, -3.7605607 51.7745988)",
"[1084078467, 1084078468, 110536878]",,residential,20 mph,True,False,41.08,,,"LINESTRING (-3.7605975 51.7740093, -3.7606807 51.774015, -3.7610985 51.7740438, -3.7611909 51.7740502)",yes
109253573,Llanfaes,residential,,False,True,63.675,,,"LINESTRING (-3.7575359 51.7742303, -3.7567149 51.7744946)",
110536883,College Row,secondary,20 mph,False,False,32.215999999999994,,B4599,"LINESTRING (-3.7611909 51.7740502, -3.7612767 51.773865, -3.761333 51.7737744)",
