osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,width,tunnel,junction
39653578,2,Lochloy Road,tertiary,30 mph,False,False,12.848,"LINESTRING (-3.8616829 57.5854673, -3.861867 57.5854072)",,,,,
39653578,2,Lochloy Road,tertiary,30 mph,False,True,31.318,"LINESTRING (-3.8616829 57.5854673, -3.8614491 57.5855207, -3.8611892 57.5855624)",,,,,
39653578,2,Lochloy Road,tertiary,30 mph,False,True,65.898,"LINESTRING (-3.8627186 57.5850321, -3.8625878 57.5851116, -3.8621517 57.585283, -3.861867 57.5854072)",,,,,
120459612,2,Bridge Street,trunk,30 mph,False,False,93.68,"LINESTRING (-3.8627186 57.5850321, -3.8636906 57.5853396, -3.864078 57.5854548)",A96,,,,
554941271,2,View Road,residential,30 mph,False,True,65.02,"LINESTRING (-3.8627186 57.5850321, -3.8627839 57.5849498, -3.8627906 57.5849117, -3.8627501 57.5848103, -3.8626462 57.5846429, -3.8624996 57.5844844)",,,,,
26474303,2,Merryton Gardens,residential,,False,False,13.514,"LINESTRING (-3.8611892 57.5855624, -3.8612274 57.5856822)",,,,,
39653578,2,Lochloy Road,tertiary,30 mph,False,False,31.318,"LINESTRING (-3.8611892 57.5855624, -3.8614491 57.5855207, -3.8616829 57.5854673)",,,,,
26474303,2,Merryton Gardens,residential,,False,True,13.514,"LINESTRING (-3.8612274 57.5856822, -3.8611892 57.5855624)",,,,,
"[39653577, 26474303]",2,Merryton Gardens,residential,,False,False,154.553,"LINESTRING (-3.8612274 57.5856822, -3.8617817 57.5859611, -3.8613784 57.5861668, -3.8608572 57.5859322, -3.8612274 57.5856822)",,,,,
"[39653577, 26474303]",2,Merryton Gardens,residential,,False,True,154.553,"LINESTRING (-3.8612274 57.5856822, -3.8608572 57.5859322, -3.8613784 57.5861668, -3.8617817 57.5859611, -3.8612274 57.5856822)",,,,,
26547213,,Dunbar Avenue,residential,30 mph,False,True,106.098,"LINESTRING (-3.8618011 57.5834962, -3.8624261 57.5843896)",,,,,
26547214,2,MacRae Avenue,residential,30 mph,False,True,259.543,"LINESTRING (-3.8618011 57.5834962, -3.8605105 57.583696, -3.8603359 57.5837437, -3.8602387 57.5838304, -3.8602385 57.5839057, -3.860314 57.583966, -3.8606375 57.5841094, -3.8612195 57.5842544, -3.8618252 57.5844097, -3.8619312 57.5844301, -3.8621224 57.5844304, -3.8622533 57.5844169, -3.8624261 57.5843896)",,,,,
26547212,2,View Road,residential,30 mph,False,False,230.19799999999998,"LINESTRING (-3.8618011 57.5834962, -3.8626805 57.5833487, -3.8627621 57.5833441, -3.8628326 57.5833729, -3.8628928 57.5834521, -3.8633967 57.5841568, -3.8634219 57.5842207, -3.86339 57.5842738, -3.8632975 57.5843106, -3.8624996 57.5844844)",,,,,
26547213,,Dunbar Avenue,residential,30 mph,False,False,11.415,"LINESTRING (-3.8624996 57.5844844, -3.8624261 57.5843896)",,,,,
26547212,2,View Road,residential,30 mph,False,True,230.19799999999998,"LINESTRING (-3.8624996 57.5844844, -3.8632975 57.5843106, -3.86339 57.5842738, -3.8634219 57.5842207, -3.8633967 57.5841568, -3.8628928 57.5834521, -3.8628326 57.5833729, -3.8627621 57.5833441, -3.8626805 57.5833487, -3.8618011 57.5834962)",,,,,
554941271,2,View Road,residential,30 mph,False,False,65.02000000000001,"LINESTRING (-3.8624996 57.5844844, -3.8626462 57.5846429, -3.8627501 57.5848103, -3.8627906 57.5849117, -3.8627839 57.5849498, -3.8627186 57.5850321)",,,,,
26547213,,Dunbar Avenue,residential,30 mph,False,False,106.098,"LINESTRING (-3.8624261 57.5843896, -3.8618011 57.5834962)",,,,,
26547214,2,MacRae Avenue,residential,30 mph,False,False,259.54299999999995,"LINESTRING (-3.8624261 57.5843896, -3.8622533 57.5844169, -3.8621224 57.5844304, -3.8619312 57.5844301, -3.8618252 57.5844097, -3.8612195 57.5842544, -3.8606375 57.5841094, -3.860314 57.583966, -3.8602385 57.5839057, -3.8602387 57.5838304, -3.8603359 57.5837437, -3.8605105 57.583696, -3.8618011 57.5834962)",,,,,
26547213,,Dunbar Avenue,residential,30 mph,False,True,11.415,"LINESTRING (-3.8624261 57.5843896, -3.8624996 57.5844844)",,,,,
26700321,2,King Street,trunk,30 mph,False,False,27.337,"LINESTRING (-3.8687734 57.5863896, -3.8690388 57.5861891)",A96,,,,
26718885,2,Gordon Street,residential,20 mph,True,False,41.232,"LINESTRING (-3.8687734 57.5863896, -3.8682193 57.5861676)",,,,,
26700321,2,King Street,trunk,30 mph,False,True,38.599000000000004,"LINESTRING (-3.8687734 57.5863896, -3.8684878 57.5866016, -3.8683902 57.5866694)",A96,,,,
116473209,2,Crescent Road,residential,30 mph,False,True,46.949,"LINESTRING (-3.8687734 57.5863896, -3.8689283 57.5864755, -3.8691187 57.5865976, -3.8692287 57.5867126, -3.8692317 57.5867269)",,,,,
34607473,,High Street,secondary,20 mph,True,False,36.647999999999996,"LINESTRING (-3.8670698 57.5855959, -3.8670835 57.5855633, -3.8671544 57.5855095, -3.867452 57.5853434)",B9090,,,,
116470367,,Leopold Street,secondary,20 mph,True,False,16.432,"LINESTRING (-3.869757 57.5840873, -3.8700288 57.5840626)",B9090,,,,
34607473,,High Street,secondary,20 mph,True,False,22.756999999999998,"LINESTRING (-3.869757 57.5840873, -3.8698375 57.5840301, -3.8699869 57.5839239)",B9090,,,,
26700321,2,King Street,trunk,30 mph,False,True,28.661,"LINESTRING (-3.8722579 57.5843638, -3.8720461 57.5844494, -3.871874 57.584519)",A96,,,,
150917441,2,Academy Street,trunk,30 mph,False,False,49.414,"LINESTRING (-3.8722579 57.5843638, -3.8725506 57.5842613, -3.8729733 57.5841401)",A96,,,,
120459611,2,St Ninian Road,trunk,30 mph,False,False,10.359,"LINESTRING (-3.8658795 57.5860351, -3.8660487 57.5860564)",A96,,,,
"[26547826, 26547827, 120459612]",2,Bridge Street,trunk,30 mph,False,True,125.28200000000001,"LINESTRING (-3.8658795 57.5860351, -3.8652754 57.5858454, -3.8645048 57.5855979, -3.864078 57.5854548)",A96,yes,,,
126423763,,Harbour Street,tertiary,30 mph,False,True,15.227,"LINESTRING (-3.8658795 57.5860351, -3.8658182 57.5860933, -3.8657215 57.5861405)",,,,,
481798657,,High Street,secondary,20 mph,False,True,41.777,"LINESTRING (-3.8708197 57.5832841, -3.87047 57.5836097)",B9090,,,,
