osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,access,tunnel
364178168,2,B235,Alexandra Road,secondary,20 mph,False,True,78.931,"LINESTRING (-0.202081 51.4251393, -0.2027364 51.4245589)",,,,
4317321,,,Rostrevor Road,residential,20 mph,False,True,114.128,"LINESTRING (-0.202081 51.4251393, -0.2020987 51.4251509, -0.2024447 51.4253759, -0.2029969 51.4257404, -0.2032141 51.4258838)",,,,
"[763127277, 4040597, 636345326, 636345327]","['2', '3']",B235,Alexandra Road,secondary,20 mph,False,False,410.337,"LINESTRING (-0.2076278 51.4214122, -0.2074979 51.4214966, -0.2074562 51.421522, -0.2074151 51.421548, -0.2072149 51.4216897, -0.2070245 51.4218244, -0.2066309 51.422103, -0.2066192 51.4221111, -0.2066021 51.4221227, -0.2065297 51.422172, -0.2057329 51.4227005, -0.2052855 51.4229872, -0.2052206 51.4230288, -0.2044015 51.423475, -0.203773 51.4238216, -0.2034419 51.4240142)",,,,
"[168557736, 363760457, 4942996]",,A219,Wimbledon Bridge,primary,,False,False,106.437,"LINESTRING (-0.2076278 51.4214122, -0.2075121 51.4213097, -0.2074677 51.4212791, -0.2074232 51.4212485, -0.2072715 51.421147, -0.2072081 51.4211129, -0.2071162 51.421058, -0.2070394 51.421027, -0.2069363 51.4209864, -0.2067634 51.4209389, -0.2065755 51.4208899, -0.2064276 51.4208486)",,,,
"[24640112, 763127275]",3,,St. George's Road,secondary,20 mph,False,False,184.801,"LINESTRING (-0.2076278 51.4214122, -0.2077709 51.4213328, -0.2078154 51.4213057, -0.2078527 51.4212831, -0.2080719 51.4211385, -0.2083197 51.4209708, -0.208962 51.4205448, -0.2093662 51.4202698, -0.2094222 51.420244, -0.2094883 51.4202315)",,,,
"[25897353, 763127276]",3,A219,Wimbledon Hill Road,primary,20 mph,False,True,74.24300000000001,"LINESTRING (-0.2076278 51.4214122, -0.2077494 51.4215039, -0.2077979 51.4215404, -0.2078387 51.4215711, -0.2079515 51.4216662, -0.2081059 51.4218188, -0.2081448 51.4218592, -0.2082544 51.4219524)",,,,
758114778,3,A219,Wimbledon Hill Road,primary,20 mph,False,True,10.619,"LINESTRING (-0.2082544 51.4219524, -0.2083363 51.4220331)",,,,
"[25897353, 763127276]",3,A219,Wimbledon Hill Road,primary,20 mph,False,False,74.243,"LINESTRING (-0.2082544 51.4219524, -0.2081448 51.4218592, -0.2081059 51.4218188, -0.2079515 51.4216662, -0.2078387 51.4215711, -0.2077979 51.4215404, -0.2077494 51.4215039, -0.2076278 51.4214122)",,,,
522468208,3,B235,Worple Road,secondary,20 mph,False,True,54.555,"LINESTRING (-0.2082544 51.4219524, -0.208364 51.4218907, -0.2084042 51.4218658, -0.2088039 51.4216016)",,,,
758114778,3,A219,Wimbledon Hill Road,primary,20 mph,False,False,53.855,"LINESTRING (-0.2091774 51.4225874, -0.2086305 51.4222435)",,,,
