osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,name,geometry
19070827,1,A2,trunk,40 mph,roundabout,True,False,4.477,,"LINESTRING (-5.8100091 54.7132496, -5.8100717 54.7132673)"
19070939,2,,residential,30 mph,,False,False,74.39,Rodgers Quay,"LINESTRING (-5.8136986 54.7119627, -5.8138374 54.7121471, -5.8139518 54.7122936, -5.8141362 54.712543, -5.8141595 54.7125764)"
19070939,2,,residential,30 mph,,False,True,220.599,Rodgers Quay,"LINESTRING (-5.8136986 54.7119627, -5.8136323 54.711876, -5.8135822 54.7118317, -5.813528 54.7117943, -5.8134672 54.7117632, -5.8134063 54.7117371, -5.8133473 54.7117164, -5.8132571 54.7116949, -5.8131766 54.711682, -5.8130644 54.7116759, -5.8129542 54.7116789, -5.812523 54.7117161, -5.8118975 54.7117739, -5.8114071 54.71182, -5.8105223 54.7119072)"
19070827,1,A2,trunk,40 mph,roundabout,True,False,8.172,,"LINESTRING (-5.809903 54.7135171, -5.8098417 54.7135072, -5.8097873 54.7134882)"
19070827,1,A2,trunk,40 mph,roundabout,True,False,8.407,,"LINESTRING (-5.8097024 54.7133546, -5.8097236 54.7133188, -5.8097607 54.7132877)"
19070827,1,A2,trunk,40 mph,roundabout,True,False,4.743,,"LINESTRING (-5.810168 54.7134139, -5.8101393 54.7134532)"
19070939,2,,residential,30 mph,,False,False,220.599,Rodgers Quay,"LINESTRING (-5.8105223 54.7119072, -5.8114071 54.71182, -5.8118975 54.7117739, -5.812523 54.7117161, -5.8129542 54.7116789, -5.8130644 54.7116759, -5.8131766 54.711682, -5.8132571 54.7116949, -5.8133473 54.7117164, -5.8134063 54.7117371, -5.8134672 54.7117632, -5.813528 54.7117943, -5.8135822 54.7118317, -5.8136323 54.711876, -5.8136986 54.7119627)"
"[19070939, 1168235455]","['2', '3']",,residential,30 mph,,False,True,163.295,Rodgers Quay,"LINESTRING (-5.8105223 54.7119072, -5.8103005 54.7119277, -5.8101698 54.711943, -5.8100473 54.711969, -5.8099247 54.7120104, -5.8098691 54.7120419, -5.8098134 54.7120799, -5.8097642 54.7121203, -5.8097262 54.7121646, -5.8096986 54.7122236, -5.8096865 54.7122915, -5.8096856 54.7123728, -5.8097312 54.712665, -5.8097448 54.7127259, -5.8097808 54.7128869, -5.8098076 54.7130085, -5.8098247 54.713068)"
"[38148380, 354962509]",,,residential,,,False,True,196.785,Rodgers Quay,"LINESTRING (-5.8105223 54.7119072, -5.8105113 54.7118733, -5.8104679 54.7117348, -5.8103913 54.7115657, -5.8102099 54.7112145, -5.8100143 54.7109716, -5.8100001 54.7109494, -5.8099097 54.7107866, -5.8098883 54.7107703, -5.8098012 54.7107654, -5.8092412 54.7107989, -5.8091814 54.710793, -5.8091405 54.7107723, -5.809108 54.710722, -5.8090652 54.710652)"
38178446,4,,unclassified,30 mph,,False,True,58.214,,"LINESTRING (-5.804713 54.7157427, -5.8046256 54.7156808, -5.804411 54.7155294, -5.8042941 54.7154469, -5.8042507 54.7154162, -5.8041391 54.7153375)"
1168240651,2,,residential,30 mph,,False,False,57.638,Joymount,"LINESTRING (-5.804713 54.7157427, -5.8049473 54.7156305, -5.8051363 54.7155327, -5.8053085 54.7155317, -5.805411 54.7155608, -5.8054585 54.7155742)"
"[1168240652, 38912340]","['2', '3']",,residential,30 mph,,False,True,244.56,Joymount,"LINESTRING (-5.804713 54.7157427, -5.8044958 54.7158706, -5.804484 54.7158764, -5.8042488 54.7159916, -5.8041783 54.7160288, -5.8038745 54.7161451, -5.8037933 54.716175, -5.802677 54.7165977, -5.80249 54.7166698, -5.8020027 54.7169699, -5.8018879 54.7170658, -5.8018278 54.7171411)"
38876067,,,residential,,,False,False,16.783,Nelson Street,"LINESTRING (-5.811407 54.7157764, -5.8114012 54.7156255)"
38876067,,,residential,,,False,True,16.783,Nelson Street,"LINESTRING (-5.8114012 54.7156255, -5.811407 54.7157764)"
203172987,,,residential,,,True,False,114.349,Nelson Street,"LINESTRING (-5.8114012 54.7156255, -5.8113958 54.7154516, -5.8113694 54.7145973)"
203172568,,,residential,,,False,False,28.031,Unity Street,"LINESTRING (-5.8119937 54.7163984, -5.8124103 54.7164735)"
38912279,,,residential,,,True,False,195.315,Thomas Street,"LINESTRING (-5.8119937 54.7163984, -5.8118817 54.71665, -5.8118629 54.7166846, -5.8118144 54.7167099, -5.8117465 54.7167149, -5.8108557 54.7166247, -5.8103989 54.7164786, -5.809578 54.7161822)"
70810313,2,C75,tertiary,,,False,False,32.796,Albert Road,"LINESTRING (-5.809578 54.7161822, -5.809686 54.7161247, -5.8097625 54.7160796, -5.8098993 54.7159557)"
70810313,2,C75,tertiary,,,False,True,42.477999999999994,Albert Road,"LINESTRING (-5.809578 54.7161822, -5.8092819 54.7162884, -5.809017 54.7163845)"
203172568,,,residential,,,False,True,28.031,Unity Street,"LINESTRING (-5.8124103 54.7164735, -5.8119937 54.7163984)"
38912282,,,residential,,,True,False,143.332,Unity Street,"LINESTRING (-5.8098993 54.7159557, -5.8102414 54.716022, -5.8112581 54.7162606, -5.8119937 54.7163984)"
70810313,2,C75,tertiary,,,False,False,36.108000000000004,Albert Road,"LINESTRING (-5.8098993 54.7159557, -5.8099518 54.7158636, -5.8099768 54.7157595, -5.8100117 54.7156385)"
70810313,2,C75,tertiary,,,False,True,32.796,Albert Road,"LINESTRING (-5.8098993 54.7159557, -5.8097625 54.7160796, -5.809686 54.7161247, -5.809578 54.7161822)"
38178444,,,residential,,,False,False,38.383,Victoria Street,"LINESTRING (-5.8091707 54.7171156, -5.8093455 54.7172448, -5.8093808 54.7172655, -5.8094185 54.7172776, -5.8094563 54.7172848, -5.8094972 54.7172879, -5.809538 54.7172886, -5.8096364 54.717287)"
38178444,,,residential,,,False,True,74.479,Victoria Street,"LINESTRING (-5.8091707 54.7171156, -5.8085078 54.716626, -5.8084563 54.716588)"
