osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,width,tunnel
3997279,False,B316,Earl's Court Road,secondary,20 mph,False,110.69800000000001,"LINESTRING (-0.1986634 51.4990783, -0.1985526 51.4989228, -0.1985374 51.4988975, -0.1980881 51.4981497)",,,
795483123,False,A315,Kensington High Street,primary,20 mph,False,91.354,"LINESTRING (-0.1986634 51.4990783, -0.1984975 51.4991281, -0.1984421 51.4991443, -0.1979915 51.4992891, -0.1978875 51.4993217, -0.1974907 51.4994549)",,,
"[854061464, 1203819329, 1203819330, 1203819327]",False,A315,Kensington High Street,primary,20 mph,True,62.019,"LINESTRING (-0.1986634 51.4990783, -0.1987075 51.4990664, -0.1988174 51.4990367, -0.1988447 51.4990293, -0.1990906 51.4989628, -0.1991383 51.4989499, -0.1993609 51.4988897, -0.1994852 51.4988561)",,,
795483123,False,A315,Kensington High Street,primary,20 mph,False,8.846,"LINESTRING (-0.1974907 51.4994549, -0.1973774 51.4994917)",,,
795483123,False,A315,Kensington High Street,primary,20 mph,True,91.35399999999998,"LINESTRING (-0.1974907 51.4994549, -0.1978875 51.4993217, -0.1979915 51.4992891, -0.1984421 51.4991443, -0.1984975 51.4991281, -0.1986634 51.4990783)",,,
8364358,False,,Upper Phillimore Gardens,residential,20 mph,False,164.661,"LINESTRING (-0.1994245 51.5016448, -0.1973562 51.5023764)",,,
"[796378504, 83475750, 796403207]",False,,"[""Duchess of Bedford's Walk"", 'Phillimore Gardens']",residential,20 mph,False,342.691,"LINESTRING (-0.1994245 51.5016448, -0.199926 51.5021791, -0.2002406 51.5025208, -0.2002713 51.5025625, -0.1987098 51.5027095, -0.1982768 51.5027521, -0.1980866 51.5027716, -0.1971553 51.5028684, -0.1970603 51.5028766)",,,
"[796378504, 796350045]",False,,Phillimore Gardens,residential,20 mph,True,65.9,"LINESTRING (-0.1994245 51.5016448, -0.1994476 51.5016144, -0.1994493 51.5015832, -0.1994387 51.5015598, -0.1990289 51.5011257)",,,
209256602,True,A4,Cromwell Road,trunk,30 mph,False,32.164,"LINESTRING (-0.1955027 51.4946114, -0.1953817 51.4946482, -0.1952874 51.4946698, -0.1950691 51.4947138)",2,,
42719327,False,A315,Kensington High Street,primary,20 mph,False,74.538,"LINESTRING (-0.2058292 51.4966614, -0.2055151 51.4967843, -0.2054797 51.4967988, -0.2054223 51.4968222, -0.2049165 51.497017)",,,
8364112,False,,Oakwood Court,residential,20 mph,True,95.837,"LINESTRING (-0.205028 51.5003041, -0.206318 51.4999911)",,,
792995050,False,,Abbotsbury Road,residential,20 mph,False,28.146,"LINESTRING (-0.205028 51.5003041, -0.2048034 51.5000931)",,,
8364379,False,,Melbury Road,residential,20 mph,True,150.53900000000002,"LINESTRING (-0.2041087 51.4993242, -0.2040722 51.499325, -0.2032595 51.4996079, -0.2031091 51.4996584, -0.2029607 51.4996865, -0.2028323 51.4996885, -0.2026621 51.4996616, -0.2024815 51.4996125, -0.2021745 51.4994731)",,,
"[792995050, 792995051]",False,,Abbotsbury Road,residential,20 mph,True,98.163,"LINESTRING (-0.2041087 51.4993242, -0.2044105 51.4996921, -0.2046062 51.4998919, -0.2048034 51.5000931)",,,
8364379,False,,Melbury Road,residential,20 mph,False,63.721999999999994,"LINESTRING (-0.2011804 51.4983447, -0.2013977 51.4986023, -0.2014933 51.4987155, -0.2016101 51.4988515)",,,
663502533,False,A315,Kensington High Street,primary,20 mph,True,52.978,"LINESTRING (-0.2011804 51.4983447, -0.201437 51.4982486, -0.2018361 51.498099)",,,
"[1203819323, 854061462, 663502518]",False,A315,Kensington High Street,primary,20 mph,False,52.29899999999999,"LINESTRING (-0.2011804 51.4983447, -0.2010482 51.4983903, -0.2007614 51.4984893, -0.2006317 51.4985331, -0.2005187 51.4985717)",,,
83606936,True,A315,Kensington High Street,primary,20 mph,False,55.44199999999999,"LINESTRING (-0.1953293 51.5001711, -0.1955326 51.5000981, -0.196022 51.4999208)",,,
8392405,True,,Campden Hill Road,tertiary,20 mph,False,55.43,"LINESTRING (-0.1943582 51.5005615, -0.1947544 51.5009947)",,,
83606936,True,A315,Kensington High Street,primary,20 mph,False,44.446,"LINESTRING (-0.1943582 51.5005615, -0.1944269 51.5004928, -0.1944706 51.5004784, -0.1948732 51.5003365)",,,
"[1109619033, 137521447]",False,A315,Kensington High Street,primary,20 mph,True,67.808,"LINESTRING (-0.1943582 51.5005615, -0.1939208 51.5007257, -0.1937992 51.5007713, -0.1935193 51.5008764)",5,,
137521446,True,A315,Kensington High Street,primary,20 mph,False,60.164,"LINESTRING (-0.193281 51.5010133, -0.1926561 51.5012389, -0.1925093 51.5012385)",,,
10578613,False,,Hornton Place,residential,20 mph,False,45.756,"LINESTRING (-0.1936921 51.5014141, -0.1936491 51.50144, -0.1935984 51.5014625, -0.1933841 51.501529, -0.1931251 51.5016226)",,,
