osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,geometry,access,junction
5887125,False,Heath Road,unclassified,30 mph,False,56.584,,,"LINESTRING (-0.1009109 51.0003709, -0.101623 51.000612)",,
613545975,False,Oathall Road,secondary,30 mph,False,150.195,2,B2112,"LINESTRING (-0.1009109 51.0003709, -0.100923 51.0003113, -0.1010155 50.9998539, -0.1010194 50.9997836, -0.1010167 50.9994407, -0.1010158 50.9993299, -0.1010134 50.9990244)",,
613545975,False,Oathall Road,secondary,30 mph,True,82.066,2,B2112,"LINESTRING (-0.1009109 51.0003709, -0.1006636 51.0009204, -0.1005913 51.001081)",,
5094421,False,Church Road,residential,30 mph,False,36.929,,,"LINESTRING (-0.1010134 50.9990244, -0.101208 50.9990547, -0.1015257 50.9991041)",yes,
9336826,False,Hazelgrove Road,secondary,30 mph,False,69.962,,B2112,"LINESTRING (-0.1010134 50.9990244, -0.1009494 50.9985901, -0.1009211 50.9983979)",,
613545975,False,Oathall Road,secondary,30 mph,True,150.19500000000002,2,B2112,"LINESTRING (-0.1010134 50.9990244, -0.1010158 50.9993299, -0.1010167 50.9994407, -0.1010194 50.9997836, -0.1010155 50.9998539, -0.100923 51.0003113, -0.1009109 51.0003709)",,
4680737,True,Sussex Square,secondary,30 mph,False,6.167,,,"LINESTRING (-0.1002481 50.9959499, -0.1001767 50.9959174)",,roundabout
1226349889,True,Sussex Square,secondary,30 mph,False,10.385,,,"LINESTRING (-0.100597 50.9959022, -0.1005434 50.9959345, -0.1004784 50.995957)",,roundabout
479320599,True,South Road,secondary,30 mph,False,27.682,,B2272,"LINESTRING (-0.1006536 50.9957574, -0.1009138 50.9959449)",,
842430894,True,Sussex Square,secondary,30 mph,False,17.049,,,"LINESTRING (-0.1006536 50.9957574, -0.1006574 50.9958085, -0.100638 50.9958581, -0.100597 50.9959022)",,roundabout
1226349890,True,Sussex Square,secondary,30 mph,False,4.718,,,"LINESTRING (-0.100633 50.995717, -0.1006536 50.9957574)",,roundabout
479320607,True,Franklynn Road,secondary,30 mph,False,18.305,2,B2272,"LINESTRING (-0.1001194 50.9957164, -0.1000278 50.9955622)",,
842430896,True,Sussex Square,secondary,30 mph,False,13.71,,,"LINESTRING (-0.1001194 50.9957164, -0.1001753 50.9956658, -0.1002553 50.9956302)",,roundabout
6435760,False,Haywards Road,residential,30 mph,False,82.62100000000001,,,"LINESTRING (-0.1030496 50.9972619, -0.1030972 50.9972213, -0.1031397 50.9971951, -0.103182 50.9971556, -0.1032426 50.9968658, -0.1032708 50.9965511)",,
"[675644690, 479320596, 1226349902]",False,South Road,secondary,30 mph,False,313.833,2,B2272,"LINESTRING (-0.1030496 50.9972619, -0.1034515 50.9975078, -0.1037502 50.9976954, -0.1041408 50.9979375, -0.1046812 50.9982579, -0.1048672 50.9983641, -0.1051485 50.9985207, -0.1056142 50.9987726, -0.1058115 50.9988733, -0.1060776 50.9989897, -0.1064006 50.9991301)",,
479320596,False,South Road,secondary,30 mph,True,209.402,2,B2272,"LINESTRING (-0.1030496 50.9972619, -0.1029419 50.9971935, -0.1024081 50.9969026, -0.1022701 50.9968174, -0.1020396 50.9966752, -0.1012653 50.9961758, -0.1009864 50.995987, -0.1009138 50.9959449)",,
5069844,True,Milton Road,tertiary,30 mph,False,25.853,1,,"LINESTRING (-0.1061651 51.0042413, -0.1062225 51.0042142, -0.1062718 51.0041906, -0.1063202 51.004178, -0.1063871 51.0041707, -0.1065026 51.0041698)",,
641341982,True,Boltro Road,tertiary,30 mph,False,36.914,1,,"LINESTRING (-0.1061651 51.0042413, -0.1061712 51.0042026, -0.1062446 51.0041182, -0.1063452 51.0039847, -0.1064089 51.0039563)",,
5069843,True,Milton Road,tertiary,30 mph,False,39.766999999999996,1,,"LINESTRING (-0.1070442 51.0041898, -0.1071003 51.0042049, -0.1071777 51.0042113, -0.1072384 51.0042191, -0.1072957 51.0042325, -0.1073672 51.0042585, -0.107438 51.0042871, -0.1074892 51.004316, -0.1075166 51.004357)",,
332752906,True,Paddockhall Road,tertiary,30 mph,False,36.138000000000005,1,,"LINESTRING (-0.1070442 51.0041898, -0.107112 51.0041587, -0.107226 51.0041296, -0.1072897 51.0041004, -0.1074094 51.0040205, -0.1074465 51.0039939)",,
4916892,False,Paddockhall Road,tertiary,30 mph,True,47.585,2,,"LINESTRING (-0.1077612 51.0036993, -0.1078442 51.0036105, -0.1080485 51.0033992, -0.1081209 51.0033364)",,
5060416,True,Paddockhall Road,tertiary,30 mph,False,42.081,2,,"LINESTRING (-0.1077612 51.0036993, -0.1077433 51.0037705, -0.1076786 51.0039079, -0.1076645 51.0039477, -0.1076256 51.0040675)",,
4916892,False,Paddockhall Road,tertiary,30 mph,False,35.815,2,,"LINESTRING (-0.1093669 51.0022114, -0.1090842 51.0024799)",,
4916892,False,Paddockhall Road,tertiary,30 mph,True,130.114,2,,"LINESTRING (-0.1093669 51.0022114, -0.1095622 51.0020371, -0.1096922 51.0019327, -0.1101551 51.0016037, -0.1105189 51.0012944)",,
