osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,lanes,bridge
23106547,High Street,residential,30 mph,False,False,18.47,,"LINESTRING (1.0802967 51.0709695, 1.0804717 51.071094)",,,
4592730,Military Road,trunk,30 mph,False,True,15.051,A259,"LINESTRING (1.0802967 51.0709695, 1.080213 51.0709906, 1.0801448 51.0710008, 1.0800905 51.0710068)",,,
106360532,Rampart Road,trunk,30 mph,False,False,28.991,A259,"LINESTRING (1.0802967 51.0709695, 1.0803511 51.070943, 1.0803908 51.0709105, 1.0804602 51.0708304, 1.0805094 51.0707509)",,,
32875717,Rampart Road,residential,30 mph,True,False,91.173,,"LINESTRING (1.0805094 51.0707509, 1.0813288 51.0705415, 1.0815661 51.0705259, 1.0817343 51.0704827)",,,
106360532,Rampart Road,trunk,30 mph,False,False,96.648,A259,"LINESTRING (1.0805094 51.0707509, 1.0805795 51.0706758, 1.080705 51.0706009, 1.0808205 51.0705517, 1.0809589 51.0705134, 1.0811299 51.0704884, 1.0812867 51.0704784, 1.0817343 51.0704827)",,,
106360532,Rampart Road,trunk,30 mph,False,True,28.991,A259,"LINESTRING (1.0805094 51.0707509, 1.0804602 51.0708304, 1.0803908 51.0709105, 1.0803511 51.070943, 1.0802967 51.0709695)",,,
"[1178597944, 1233844905]",,trunk,30 mph,True,False,7.167,,"LINESTRING (1.0898377 51.0724084, 1.0898332 51.0724291, 1.0898365 51.0724499, 1.0898488 51.0724712)",roundabout,,
1219006794,,trunk,30 mph,True,False,6.268,,"LINESTRING (1.0900652 51.0723648, 1.0900272 51.0723498, 1.0899836 51.0723432)",roundabout,,
165064640,East Street,trunk,30 mph,True,False,29.752000000000002,A259,"LINESTRING (1.0904851 51.0724059, 1.0902292 51.0723724, 1.0900652 51.0723648)",,,
4592730,Military Road,trunk,30 mph,False,False,15.051,A259,"LINESTRING (1.0800905 51.0710068, 1.0801448 51.0710008, 1.080213 51.0709906, 1.0802967 51.0709695)",,,
5033857,Dymchurch Road,trunk,30 mph,True,False,32.835,A259,"LINESTRING (1.0800905 51.0710068, 1.0798283 51.0710022, 1.0796226 51.0709844)",,1,
23018863,Stade Street,residential,30 mph,False,True,129.784,,"LINESTRING (1.0846001 51.0663909, 1.0837841 51.0674394)",,,
"[100119599, 23018863]","['West Parade', 'Stade Street']",residential,30 mph,False,"[False, True]",139.422,,"LINESTRING (1.0846001 51.0663909, 1.084841 51.0660457, 1.0848684 51.0659567, 1.0848564 51.0658815, 1.0848079 51.0658261, 1.0846738 51.0657761, 1.0838554 51.0655827)",,,
23125344,Arthur Road,residential,30 mph,False,True,85.91999999999999,,"LINESTRING (1.0846001 51.0663909, 1.0842077 51.0663931, 1.084033 51.0663991, 1.0837807 51.0663436, 1.0834391 51.0662191)",,,
"[23018861, 23018862, 23018863]","['Stade Street', 'Slade Street']",residential,30 mph,False,False,42.527,,"LINESTRING (1.0825295 51.0704724, 1.0825258 51.0703763, 1.0825308 51.0701458, 1.0825202 51.0700904)",,,yes
106360532,Rampart Road,trunk,30 mph,False,False,53.581,A259,"LINESTRING (1.0825295 51.0704724, 1.0827174 51.070467, 1.082771 51.070466, 1.0828524 51.0704645, 1.0832959 51.0704561)",,,
106360532,Rampart Road,trunk,30 mph,False,True,55.601,A259,"LINESTRING (1.0825295 51.0704724, 1.0824336 51.0704776, 1.0821252 51.0704845, 1.0817343 51.0704827)",,,
23018863,Stade Street,residential,30 mph,False,False,71.691,,"LINESTRING (1.0825202 51.0700904, 1.0825144 51.0698255, 1.0825091 51.0697114, 1.0825026 51.0695698, 1.0825106 51.0694459)",,,
"[23018861, 23018862, 23018863]","['Stade Street', 'Slade Street']",residential,30 mph,False,True,42.527,,"LINESTRING (1.0825202 51.0700904, 1.0825308 51.0701458, 1.0825258 51.0703763, 1.0825295 51.0704724)",,,yes
"[5056217, 30672311]",Portland Road,residential,30 mph,False,True,42.972,,"LINESTRING (1.0825202 51.0700904, 1.0823175 51.0700714, 1.0822099 51.0700599, 1.0821232 51.0700515, 1.0819108 51.0700399)",,,
23018863,Stade Street,residential,30 mph,False,False,74.315,,"LINESTRING (1.0825106 51.0694459, 1.082545 51.0693441, 1.0825973 51.0692683, 1.082635 51.0692138, 1.0828723 51.0688188)",,,
23018863,Stade Street,residential,30 mph,False,True,71.691,,"LINESTRING (1.0825106 51.0694459, 1.0825026 51.0695698, 1.0825091 51.0697114, 1.0825144 51.0698255, 1.0825202 51.0700904)",,,
90627112,Stade Street,residential,30 mph,False,True,78.991,,"LINESTRING (1.0825106 51.0694459, 1.0822313 51.0696412, 1.0820866 51.0697869, 1.0819108 51.0700399)",,,
23018863,Stade Street,residential,30 mph,False,False,8.037,,"LINESTRING (1.0831268 51.0683077, 1.0831751 51.0682421)",,,
23018863,Stade Street,residential,30 mph,False,True,29.141,,"LINESTRING (1.0831268 51.0683077, 1.0829852 51.0685542)",,,
68706309,Lynton Road,residential,30 mph,False,False,84.329,,"LINESTRING (1.0831268 51.0683077, 1.0820084 51.0680227)",,,
23018863,Stade Street,residential,30 mph,False,False,31.438,,"LINESTRING (1.0835878 51.0676938, 1.0837841 51.0674394)",,,
5056220,Park Road,residential,30 mph,False,True,74.702,,"LINESTRING (1.0835878 51.0676938, 1.0831901 51.0674836, 1.0826912 51.067339)",,,
23018863,Stade Street,residential,30 mph,False,True,29.858999999999998,,"LINESTRING (1.0835878 51.0676938, 1.0834782 51.0678299, 1.0833971 51.0679341)",,,
5056221,Victoria Road,residential,30 mph,False,True,76.511,,"LINESTRING (1.0838554 51.0655827, 1.0834391 51.0662191)",,,
100119599,West Parade,residential,30 mph,False,True,70.697,,"LINESTRING (1.0838554 51.0655827, 1.0829082 51.0653593)",,,
