osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,ref,est_width
28668141,False,2,Brynglas Terrace,residential,20 mph,yes,False,200.06799999999998,"LINESTRING (-3.6924032 51.5263951, -3.6927014 51.5263315, -3.6947453 51.5259627, -3.6951779 51.5258888)",,
28907214,False,2,Victoria Terrace,primary,20 mph,,True,130.579,"LINESTRING (-3.6924032 51.5263951, -3.6919203 51.5257449, -3.6916114 51.5253291)",A48,
29065805,False,2,Heol Y Pil / Pyle Road,primary,20 mph,,False,190.197,"LINESTRING (-3.6924032 51.5263951, -3.6924821 51.5265537, -3.6925489 51.5267083, -3.6925899 51.5268671, -3.6927272 51.5275079, -3.6928196 51.5277615, -3.6928731 51.5279083, -3.6929293 51.5280711)",A48,
24029427,False,2,Heol Marlas,unclassified,20 mph,,True,80.161,"LINESTRING (-3.6932125 51.5287765, -3.6933939 51.5287311, -3.6936013 51.5287016, -3.6941611 51.5286555, -3.6943453 51.5286403)",,
29065426,False,2,Ffald Road,secondary,20 mph,yes,True,99.951,"LINESTRING (-3.6932125 51.5287765, -3.6926356 51.5289893, -3.6920574 51.529164, -3.6919392 51.5291997)",B4281,
29065805,False,2,Heol Y Pil / Pyle Road,primary,20 mph,,False,459.35999999999996,"LINESTRING (-3.6932125 51.5287765, -3.6933509 51.528921, -3.6936271 51.5292614, -3.6938516 51.5296097, -3.6939409 51.529802, -3.6939999 51.5299956, -3.6940372 51.5301701, -3.6940871 51.5304577, -3.6941089 51.5305847, -3.6941231 51.53065, -3.6942246 51.5312779, -3.6942353 51.5314806, -3.6942245 51.53168, -3.6941977 51.5318735, -3.6941596 51.5320529, -3.69399 51.532787)",A48,
29065805,False,2,Heol Y Pil / Pyle Road,primary,20 mph,,True,80.929,"LINESTRING (-3.6932125 51.5287765, -3.6930897 51.5285353, -3.6929293 51.5280711)",A48,
24029427,False,2,Heol Marlas,unclassified,20 mph,,False,95.432,"LINESTRING (-3.6990838 51.5275717, -3.6978196 51.5279152)",,
775625346,False,2,Rhodfa Brynteg,residential,20 mph,yes,False,27.407,"LINESTRING (-3.6990838 51.5275717, -3.6991837 51.5276969, -3.6992101 51.5277512, -3.6992241 51.5278004)",,
24058823,False,,,residential,20 mph,,True,17.795,"LINESTRING (-3.6955865 51.528509, -3.6956893 51.5286557)",,
24029427,False,2,Heol Marlas,unclassified,20 mph,,False,55.059,"LINESTRING (-3.6955865 51.528509, -3.6953002 51.5285547, -3.6948054 51.5286009)",,
24029427,False,2,Heol Marlas,unclassified,20 mph,,True,168.089,"LINESTRING (-3.6955865 51.528509, -3.6958453 51.5284554, -3.6964833 51.5282912, -3.6978196 51.5279152)",,
24029427,False,2,Heol Marlas,unclassified,20 mph,,False,32.128,"LINESTRING (-3.6948054 51.5286009, -3.6943453 51.5286403)",,
24029427,False,2,Heol Marlas,unclassified,20 mph,,True,55.059,"LINESTRING (-3.6948054 51.5286009, -3.6953002 51.5285547, -3.6955865 51.528509)",,
28598822,False,2,Ffordd Collwyn,residential,20 mph,,False,145.719,"LINESTRING (-3.6948054 51.5286009, -3.6948019 51.5284854, -3.6947939 51.5283019, -3.6947997 51.5280749, -3.6948636 51.5277896, -3.6949575 51.5275143, -3.695043 51.5273061)",,
24029427,False,2,Heol Marlas,unclassified,20 mph,,True,32.128,"LINESTRING (-3.6943453 51.5286403, -3.6948054 51.5286009)",,
24029508,False,2,Brynteg Avenue,residential,20 mph,yes,True,40.276,"LINESTRING (-3.6943453 51.5286403, -3.6944066 51.5290005)",,
24029427,False,2,Heol Marlas,unclassified,20 mph,,False,80.161,"LINESTRING (-3.6943453 51.5286403, -3.6941611 51.5286555, -3.6936013 51.5287016, -3.6933939 51.5287311, -3.6932125 51.5287765)",,
24029508,False,2,Brynteg Avenue,residential,20 mph,yes,False,40.276,"LINESTRING (-3.6944066 51.5290005, -3.6943453 51.5286403)",,
