osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,width,tunnel,access
3979023,True,2,A40,Cartlett Road,primary,30 mph,False,47.527,"LINESTRING (-4.9674705 51.8051587, -4.967456 51.8050471, -4.9673871 51.8049485, -4.967176 51.8047865)",,,,,
4012969,True,2,,,primary,30 mph,False,26.438000000000002,"LINESTRING (-4.9674705 51.8051587, -4.9675258 51.8051101, -4.9675992 51.8050717, -4.967686 51.8050462, -4.9677805 51.8050352)",roundabout,,,,
3979023,True,2,A40,Cartlett Road,primary,30 mph,False,148.515,"LINESTRING (-4.9668651 51.8044392, -4.9663821 51.8038858, -4.9659048 51.8032436)",,,,,
32724026,True,,,Mill Bank,unclassified,20 mph,False,73.86,"LINESTRING (-4.9668651 51.8044392, -4.9667843 51.8043914, -4.9664868 51.8042152, -4.9663379 51.8040483, -4.9661382 51.8039636)",,,,,
3979023,True,2,A40,Cartlett Road,primary,30 mph,False,40.153,"LINESTRING (-4.9659048 51.8032436, -4.9656523 51.802918)",,,,,
121615217,True,,,,tertiary,30 mph,False,51.942,"LINESTRING (-4.9659048 51.8032436, -4.9658095 51.803053, -4.9657478 51.8029319, -4.965737 51.8028622, -4.9657555 51.8028259, -4.9657813 51.8027975)",,,,,
4424697,True,2,,Salutation Square,trunk,30 mph,False,13.421,"LINESTRING (-4.9651056 51.8025008, -4.965041 51.8024963, -4.9649798 51.8024826, -4.9649255 51.8024604)",roundabout,,,,
4424697,True,2,,Salutation Square,trunk,30 mph,False,24.212000000000003,"LINESTRING (-4.9649255 51.8024604, -4.9648681 51.8024191, -4.9648346 51.8023688, -4.9648282 51.8023145, -4.9648497 51.8022617)",roundabout,,,,
4424719,True,2,A40,,trunk,30 mph,False,135.201,"LINESTRING (-4.9649255 51.8024604, -4.9647094 51.8024281, -4.9644306 51.8023864, -4.9640583 51.8023551, -4.963798 51.8023449, -4.9635078 51.8023718, -4.9632356 51.8024275, -4.9630177 51.8024903)",,,,,
4012969,True,2,,,primary,30 mph,False,10.026,"LINESTRING (-4.9677805 51.8050352, -4.9678533 51.8050369, -4.9679243 51.8050473)",roundabout,,,,
4424697,True,2,,Salutation Square,trunk,30 mph,False,11.253,"LINESTRING (-4.9648497 51.8022617, -4.9648928 51.8022187, -4.9649543 51.8021853)",roundabout,,,,
4424697,True,2,,Salutation Square,trunk,30 mph,False,12.437999999999999,"LINESTRING (-4.9653205 51.8022221, -4.9653649 51.8022708, -4.9653815 51.8023258)",roundabout,,,,
4424721,True,2,A40,Cartlett Road,primary,30 mph,False,14.106,"LINESTRING (-4.9653815 51.8023258, -4.9654992 51.8024297)",,,,,
4424697,True,2,,Salutation Square,trunk,30 mph,False,30.131999999999998,"LINESTRING (-4.9653815 51.8023258, -4.9653695 51.8023795, -4.965331 51.8024281, -4.9652698 51.802467, -4.9651921 51.802492, -4.9651056 51.8025008)",roundabout,,,,
3871254,True,,,High Street,tertiary,20 mph,False,48.895,"LINESTRING (-4.9684704 51.8019341, -4.9691058 51.8017367)",,,,,
37519291,False,,,Princess Royal Way,residential,20 mph,False,41.226,"LINESTRING (-4.9696168 51.7984877, -4.9690383 51.798585)",,,,,
481979921,False,,,Upper Market Street,unclassified,20 mph,False,54.597,"LINESTRING (-4.9696168 51.7984877, -4.9699273 51.7989396)",,,,,
3871909,False,,,Winch Lane,unclassified,20 mph,True,72.85300000000001,"LINESTRING (-4.9696168 51.7984877, -4.9692973 51.798011, -4.9692412 51.797924, -4.9692111 51.7978825)",,,,,
3871912,False,,,Goat Street,unclassified,20 mph,False,85.3,"LINESTRING (-4.9706918 51.8001397, -4.969645 51.8005513)",,,,,
3871911,True,,,Market Street,unclassified,20 mph,False,109.673,"LINESTRING (-4.9706918 51.8001397, -4.9709576 51.8004306, -4.97143 51.8010137)",,,,,
4644788,True,,,Hill Street,unclassified,20 mph,False,77.538,"LINESTRING (-4.9706918 51.8001397, -4.9709379 51.8000398, -4.9711459 51.7999291, -4.9712558 51.7998598, -4.9713672 51.7997661, -4.9714096 51.7997165, -4.9714563 51.7996461)",,,,,
3871254,True,,,High Street,tertiary,20 mph,False,59.70099999999999,"LINESTRING (-4.9715134 51.8011071, -4.9718556 51.8008959, -4.9721261 51.8007267)",,,,,
337973846,True,1,A487,Thomas Parry Way,primary,30 mph,False,26.872000000000003,"LINESTRING (-4.972013 51.8045166, -4.9718278 51.8044695, -4.971789 51.8044491, -4.9717189 51.8044092, -4.9716898 51.8043885)",,,,,
337973847,True,1,A487,Thomas Parry Way,primary,30 mph,False,36.016,"LINESTRING (-4.972013 51.8045166, -4.971839 51.8045228, -4.9717761 51.804525, -4.9716246 51.8045032, -4.9714937 51.8045059)",,,,,
4644789,False,2,,Albany Terrace,unclassified,20 mph,True,39.202000000000005,"LINESTRING (-4.9715051 51.7983561, -4.9713119 51.7984418, -4.9711418 51.7985225, -4.9710454 51.7985645)",,,,,
4644788,True,,,Hill Street,unclassified,20 mph,False,89.14800000000001,"LINESTRING (-4.9714182 51.7991388, -4.9714399 51.7989377, -4.9714575 51.7988251, -4.9714942 51.7986989, -4.9715634 51.7985188, -4.9715769 51.7984443, -4.9715051 51.7983561)",,,,,
65134362,False,,,Rosemary Lane,residential,20 mph,False,28.32,"LINESTRING (-4.9714182 51.7991388, -4.9712397 51.7991568, -4.9710164 51.7991933)",,,,,
3871254,True,,,High Street,tertiary,20 mph,False,99.092,"LINESTRING (-4.9691058 51.8017367, -4.969148 51.8017245, -4.9693501 51.8016664, -4.9696101 51.8016016, -4.9704603 51.8014361)",,,,,
"[3871912, 3871913]",False,,,"['Goat Street', 'Hill Lane']",unclassified,20 mph,True,173.188,"LINESTRING (-4.9691058 51.8017367, -4.9687465 51.8008294, -4.9694797 51.8006252, -4.969645 51.8005513)",,,,,
