osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,lanes
5111123,B3022,The Street,secondary,False,False,91.822,"LINESTRING (-0.6094037 51.491559, -0.6093295 51.4911365, -0.6093073 51.4910099, -0.6093097 51.4908319, -0.609311 51.4907365)",,,
26762533,B3022,Slough Road,secondary,False,False,76.298,"LINESTRING (-0.6094037 51.491559, -0.609505 51.4918825, -0.609512 51.4920783, -0.6094473 51.4922339)",20 mph,,
157783551,B3026,Keates Lane,secondary,False,True,113.341,"LINESTRING (-0.6094037 51.491559, -0.6097574 51.4915062, -0.6099836 51.4914619, -0.6102789 51.4913849, -0.6108074 51.4912228, -0.6108793 51.4912148, -0.6109331 51.4912168)",20 mph,,
26762533,B3022,Slough Road,secondary,False,True,76.298,"LINESTRING (-0.6094473 51.4922339, -0.609512 51.4920783, -0.609505 51.4918825, -0.6094037 51.491559)",20 mph,,
5111124,,Meadow Lane,tertiary,False,False,39.147,"LINESTRING (-0.6094263 51.4862401, -0.6096431 51.486285, -0.6097868 51.4863158, -0.6099401 51.4863802)",20 mph,,
"[3691864, 57044717]",,Brocas Street,residential,False,True,77.14,"LINESTRING (-0.6094263 51.4862401, -0.6094712 51.4861591, -0.6095436 51.4861077, -0.6098587 51.4860503, -0.6099248 51.4862146, -0.6099401 51.4863802)",,,
57044605,,Atherton Court,residential,False,True,171.132,"LINESTRING (-0.6094263 51.4862401, -0.6095623 51.4866268, -0.6094495 51.4867541, -0.6095298 51.4869839, -0.6096175 51.4871199, -0.6096846 51.4871847, -0.6098281 51.4872357, -0.6100055 51.487226, -0.610451 51.4871564, -0.6105139 51.4871563)",20 mph,,
3691865,B3022,High Street,secondary,True,False,32.165,"LINESTRING (-0.6090532 51.4879776, -0.6089815 51.4876918)",20 mph,,
130451080,B3022,High Street Eton,secondary,False,True,30.978,"LINESTRING (-0.6090532 51.4879776, -0.6091092 51.488254)",20 mph,,
5111120,,Eton Court,tertiary,False,True,167.183,"LINESTRING (-0.6090532 51.4879776, -0.6092201 51.4879551, -0.6099386 51.4877693, -0.6100027 51.4877528, -0.6101566 51.4877296, -0.6105286 51.4876736, -0.610577 51.4876401, -0.610514 51.4874311, -0.6105116 51.4872673, -0.6105102 51.4872389, -0.6105092 51.4872202, -0.6105139 51.4871563)",20 mph,,
130451080,B3022,High Street Eton,secondary,False,False,30.978,"LINESTRING (-0.6091092 51.488254, -0.6090532 51.4879776)",20 mph,,
5111121,,Tangier Lane,residential,False,False,87.902,"LINESTRING (-0.6091092 51.488254, -0.6090101 51.4882615, -0.6084063 51.4884457, -0.6081095 51.4886942)",20 mph,,
130451080,B3022,High Street Eton,secondary,False,True,80.247,"LINESTRING (-0.6091092 51.488254, -0.6091924 51.4889038, -0.6091949 51.4889736)",20 mph,,
5111121,,Tangier Lane,residential,False,False,83.339,"LINESTRING (-0.6079833 51.4887999, -0.6071637 51.4893488)",20 mph,,
5111121,,Tangier Lane,residential,False,True,14.645,"LINESTRING (-0.6079833 51.4887999, -0.6081095 51.4886942)",20 mph,,
5111122,,Sunbury Road,residential,False,False,124.578,"LINESTRING (-0.6079833 51.4887999, -0.6080343 51.4888398, -0.6082405 51.4891319, -0.6083338 51.4893772, -0.6082823 51.489535, -0.6081576 51.4896245, -0.607851 51.4897312)",20 mph,,
