osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,bridge,access
3994112,B4060,Bear Street,secondary,30 mph,False,False,4.189,"LINESTRING (-2.3546908 51.6382565, -2.3546575 51.638288)",,,,
"[1237845098, 1237848645, 1237848646]",B4060,Haw Street,secondary,30 mph,False,True,72.661,"LINESTRING (-2.3546908 51.6382565, -2.3547468 51.6382029, -2.354969 51.6379843, -2.3550593 51.6378825, -2.3550887 51.6378514, -2.3551942 51.6377272, -2.3552212 51.6376926)",,,,
32108549,B4060,Gloucester Street,secondary,30 mph,False,False,13.566,"LINESTRING (-2.3537332 51.6391269, -2.3535374 51.639116)",2,,,
"[3994113, 915943459, 915943460, 915943461, 915943462, 915943463]",B4060,Gloucester Street,secondary,30 mph,False,True,382.19399999999996,"LINESTRING (-2.3537332 51.6391269, -2.3539475 51.6391409, -2.3540957 51.6391506, -2.3543276 51.6391742, -2.3545649 51.6391918, -2.3546658 51.6392005, -2.3547124 51.6392045, -2.3548264 51.6392138, -2.3548266 51.6392138, -2.3551032 51.6392452, -2.3552924 51.639275, -2.3554687 51.6393012, -2.35547 51.6393014, -2.3558417 51.639362, -2.3559407 51.6393781, -2.3560325 51.6393928, -2.356349 51.6394433, -2.3564237 51.6394553, -2.3568247 51.6395195, -2.3568814 51.6395286, -2.3571711 51.639575, -2.3572244 51.6395833, -2.3573269 51.6395993, -2.3577392 51.6396639, -2.3578841 51.6396858, -2.358279 51.6397423, -2.3584966 51.6397683, -2.3585574 51.6397755, -2.3588691 51.6398079, -2.3591449 51.6398366)",2,,,
431754845,B4060,Bear Street,secondary,30 mph,False,True,113.967,"LINESTRING (-2.3537332 51.6391269, -2.3537437 51.6390831, -2.353767 51.6390357, -2.3537961 51.6389998, -2.3538665 51.6389273, -2.3539341 51.63887, -2.3540754 51.6387609, -2.3541798 51.6386845, -2.3543186 51.6385699, -2.3545599 51.63837, -2.3546575 51.638288)",2,,,
3994111,,Long Street,unclassified,20 mph,True,False,157.457,"LINESTRING (-2.3516355 51.6377058, -2.3517604 51.6377191, -2.3522076 51.6377624, -2.3522986 51.6377696, -2.3525657 51.6377909, -2.3528052 51.6378123, -2.3530649 51.6378465, -2.3532259 51.6378767, -2.3534581 51.6379202, -2.3537557 51.6379905, -2.3538535 51.6380136)",,,,
"[26896497, 915965990]",,Orchard Street,unclassified,20 mph,False,False,183.87699999999998,"LINESTRING (-2.3516355 51.6377058, -2.3516536 51.6373984, -2.3516735 51.637198, -2.3517075 51.6369437, -2.3517807 51.6363896, -2.3518137 51.6360561)",,,,
3994111,,Long Street,unclassified,20 mph,True,False,18.724,"LINESTRING (-2.3503522 51.6375783, -2.3504027 51.637575, -2.3506221 51.6375889)",,,,
3994136,,School Road,tertiary,30 mph,False,True,12.927,"LINESTRING (-2.349672 51.6384985, -2.3498183 51.6385711)",,,,
3994110,,Church Street,unclassified,20 mph,True,False,113.79200000000002,"LINESTRING (-2.349672 51.6384985, -2.3498421 51.63834, -2.3499295 51.638258, -2.3499841 51.6382003, -2.3500497 51.6381078, -2.3501174 51.6379699, -2.3501453 51.6378985, -2.3501723 51.6378426, -2.3502419 51.6376987, -2.3503065 51.6376072, -2.3503522 51.6375783)",,,,
"[38554043, 1225241118]",,The Cloud,residential,30 mph,False,False,151.636,"LINESTRING (-2.349672 51.6384985, -2.3494247 51.638443, -2.3491592 51.6383304, -2.3488808 51.6382508, -2.3486723 51.6382395, -2.3485511 51.6382486, -2.3484959 51.638264, -2.3483033 51.6383176, -2.3480733 51.6383916, -2.3478677 51.6384831, -2.347745 51.6385741)",1,,,
38554046,,School Road,tertiary,30 mph,False,False,29.570999999999998,"LINESTRING (-2.349672 51.6384985, -2.3494978 51.63841, -2.3493301 51.6383386)",2,,,
8131092,B4058,Old Town,secondary,30 mph,True,False,20.48,"LINESTRING (-2.350353 51.6387424, -2.3501351 51.63875, -2.3500567 51.6387527)",1,,,
28366227,B4058,Old Town,secondary,30 mph,False,True,221.76500000000001,"LINESTRING (-2.350353 51.6387424, -2.3506976 51.6388025, -2.3512738 51.6388946, -2.3516929 51.6389679, -2.3520638 51.6390267, -2.3523097 51.6390565, -2.352517 51.6390726, -2.3530865 51.6390928, -2.3534976 51.6391137)",,,,
3994109,B4058,Old Town,secondary,30 mph,True,False,20.639,"LINESTRING (-2.3500811 51.6386651, -2.350353 51.6387424)",1,,,
3994108,,,secondary,30 mph,True,False,10.995000000000001,"LINESTRING (-2.3500811 51.6386651, -2.3500982 51.6386874, -2.3501024 51.6387018, -2.350093 51.6387246, -2.3500567 51.6387527)",1,circular,,
3994108,,,secondary,30 mph,True,False,19.567,"LINESTRING (-2.3500567 51.6387527, -2.3500037 51.6387646, -2.3498944 51.6387686, -2.3498102 51.6387659, -2.3497774 51.6387621)",1,circular,,
3994108,,,secondary,30 mph,True,False,10.471,"LINESTRING (-2.3497774 51.6387621, -2.3497405 51.6387351, -2.3497207 51.6387147, -2.3497156 51.6386799)",1,circular,,
407064879,B4058,Culverhay,secondary,30 mph,True,False,14.289000000000001,"LINESTRING (-2.3497774 51.6387621, -2.3497336 51.6387689, -2.3496764 51.6387919, -2.349603 51.6388281)",1,,,
"[38554045, 3994118, 1110633311]",B4058,Culverhay,secondary,30 mph,False,False,114.13900000000001,"LINESTRING (-2.349603 51.6388281, -2.3495627 51.6388508, -2.3495106 51.6388801, -2.3493624 51.6389559, -2.3491899 51.6390385, -2.3490386 51.6391151, -2.3488059 51.6392349, -2.3487484 51.6392696, -2.3485566 51.6394068, -2.3483929 51.6395231)",2,,,
407064880,B4058,Culverhay,secondary,30 mph,True,False,18.219,"LINESTRING (-2.349603 51.6388281, -2.3496724 51.6387367, -2.3497156 51.6386799)",1,,,
3994136,,School Road,tertiary,30 mph,False,False,12.927,"LINESTRING (-2.3498183 51.6385711, -2.349672 51.6384985)",,,,
3994108,,,secondary,30 mph,True,False,20.939,"LINESTRING (-2.3498183 51.6385711, -2.3499431 51.638613, -2.3500811 51.6386651)",1,circular,,
3994114,B4060,New Road,secondary,30 mph,False,True,294.81399999999996,"LINESTRING (-2.3563333 51.6362894, -2.3564322 51.6361969, -2.3565363 51.636117, -2.3566984 51.6360141, -2.3567558 51.6359752, -2.3568818 51.6358988, -2.3569836 51.6358383, -2.3571022 51.6357764, -2.3572162 51.6357267, -2.3573529 51.6356805, -2.3575033 51.6356345, -2.3576407 51.6356039, -2.3578145 51.6355704, -2.3581744 51.6355076, -2.3587287 51.6354197, -2.3592434 51.6353454, -2.3597437 51.6352846, -2.3601023 51.6352472)",2,,,
3994115,B4060,Haw Street,secondary,30 mph,False,False,47.652,"LINESTRING (-2.3563333 51.6362894, -2.3561252 51.6365319, -2.3560202 51.6366712)",2,,,
4000672,,Symn Lane,unclassified,20 mph,False,False,36.919,"LINESTRING (-2.3563333 51.6362894, -2.3562845 51.6362728, -2.3562115 51.6362555, -2.3561291 51.6362419, -2.3558137 51.636231)",,,,
30686656,,Tapscott Court,residential,,False,True,72.048,"LINESTRING (-2.3554543 51.6373934, -2.3556431 51.6374566, -2.3558882 51.637584, -2.356025 51.6376265, -2.3561333 51.6376406, -2.3562188 51.6376265, -2.3563214 51.6375522)",,,,
"[1237845097, 1237845098]",B4060,Haw Street,secondary,30 mph,False,False,36.955,"LINESTRING (-2.3554543 51.6373934, -2.355345 51.637535, -2.3552212 51.6376926)",,,,
