osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,access,width
88694828,A149,North Walsham Bypass,primary,50 mph,False,False,74.26,,"LINESTRING (1.3843098 52.819083, 1.3850626 52.8185941)",,,
"[88694828, 115180221, 88694831]",A149,North Walsham Bypass,primary,50 mph,False,True,533.7090000000001,yes,"LINESTRING (1.3843098 52.819083, 1.3838011 52.8193425, 1.383629 52.8194377, 1.3828209 52.8198849, 1.3815907 52.8207211, 1.3812788 52.8209456, 1.3809239 52.8211939, 1.3805701 52.8215176, 1.3800457 52.8221905, 1.379913 52.8224792, 1.3798509 52.8226534, 1.3797835 52.8228946)",,,
242245877,A149,North Walsham Bypass,primary_link,50 mph,True,False,74.621,,"LINESTRING (1.3843098 52.819083, 1.3848703 52.8188031, 1.3850584 52.8187483, 1.3852313 52.8187339)",,,
139736169,,Park Lane,tertiary,30 mph,True,False,22.146,,"LINESTRING (1.381925 52.8207592, 1.3818877 52.8207754, 1.3818089 52.8207986, 1.3816204 52.820831)",,,
320026121,,Park Lane,tertiary,30 mph,True,False,15.768,,"LINESTRING (1.381925 52.8207592, 1.3819293 52.8208376, 1.38197 52.820896)",,,
60311710,,Pellew Place,residential,30 mph,False,True,33.242,,"LINESTRING (1.3836892 52.8246753, 1.3834821 52.8244038)",,,
98881526,,Hamilton Close,residential,30 mph,False,True,72.033,,"LINESTRING (1.3842063 52.8236778, 1.3840857 52.8236613, 1.384233 52.8232017, 1.3842916 52.8231029)",,,
99902324,,Kings Arms Street,tertiary,20 mph,True,False,19.114,,"LINESTRING (1.3854297 52.8200593, 1.3855054 52.8198936)",,,
60311742,,Park Lane,tertiary,20 mph,True,False,16.494,,"LINESTRING (1.3854297 52.8200593, 1.3853842 52.8200336, 1.3853407 52.8200153, 1.3852856 52.8200057, 1.3852134 52.8199999)",1,,
60311749,,Orchard Close,residential,30 mph,False,True,53.903,,"LINESTRING (1.3871372 52.8244058, 1.3863829 52.8244136, 1.3863351 52.8244147)",,,
60311714,,Williams Way,residential,30 mph,False,True,101.531,,"LINESTRING (1.3852501 52.8249787, 1.3846882 52.8250324, 1.3844497 52.8244816)",,,
60311701,,Mundesley Road,tertiary,30 mph,False,False,29.731,,"LINESTRING (1.3877538 52.8232121, 1.3876207 52.8231745, 1.3874812 52.8231398, 1.3873415 52.823117)",,,
60311733,,Northfield Road,residential,30 mph,True,False,106.136,,"LINESTRING (1.3877538 52.8232121, 1.3875806 52.823357, 1.3872687 52.8235065, 1.3869519 52.8236147, 1.3864884 52.8237595)",,yes,
