osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,junction
"[5008229, 432637134]",A9,Henderson Street,primary,30 mph,False,False,103.747,"LINESTRING (-3.9510209 56.1558384, -3.950945 56.1558177, -3.950317 56.1556176, -3.9497271 56.1554645, -3.949531 56.1554135)",,,
50315570,,Blairforkie Drive,residential,30 mph,False,False,243.25799999999998,"LINESTRING (-3.9510209 56.1558384, -3.9509805 56.1559241, -3.9509927 56.1559815, -3.9510051 56.1560398, -3.9511444 56.1562555, -3.9515408 56.156869, -3.9517604 56.15706, -3.9524071 56.1574853, -3.9528467 56.157687)",,,
"[69946960, 69946958, 69946942]",A9,,primary,30 mph,True,False,81.162,"LINESTRING (-3.9510209 56.1558384, -3.9511883 56.1558464, -3.9517874 56.1560238, -3.952001 56.1561014, -3.9521474 56.1561845)",yes,,
23608497,,Allanvale Road,residential,30 mph,False,False,267.658,"LINESTRING (-3.9485328 56.1510264, -3.9486381 56.1510371, -3.9487323 56.1510804, -3.94879 56.1511269, -3.9488038 56.1511822, -3.9487426 56.1513566, -3.9486621 56.1515448, -3.9486707 56.1520898, -3.9488516 56.1527271, -3.9491044 56.1530647, -3.9491767 56.1531311, -3.9493278 56.1532698)",,2,
588220040,B823,Fountain Road,secondary,30 mph,False,False,112.89,"LINESTRING (-3.9485328 56.1510264, -3.9484477 56.1512286, -3.9483226 56.1514214, -3.9481652 56.1516192, -3.9478394 56.1519601)",,2,
5008218,B823,,secondary,30 mph,True,False,52.705000000000005,"LINESTRING (-3.9478394 56.1519601, -3.9479211 56.1519831, -3.9479837 56.1520202, -3.9480198 56.1520671, -3.9480249 56.1521179, -3.9479849 56.15218, -3.9479227 56.1522174, -3.9478414 56.1522407, -3.9477507 56.1522472, -3.9476608 56.1522358)",,,roundabout
588220040,B823,Fountain Road,secondary,30 mph,False,True,112.89,"LINESTRING (-3.9478394 56.1519601, -3.9481652 56.1516192, -3.9483226 56.1514214, -3.9484477 56.1512286, -3.9485328 56.1510264)",,2,
5008218,B823,,secondary,30 mph,True,False,17.004,"LINESTRING (-3.9476608 56.1522358, -3.947584 56.152208, -3.9475288 56.1521674, -3.9475018 56.1521187)",,,roundabout
5008220,B823,Fountain Road,secondary,30 mph,False,False,157.464,"LINESTRING (-3.9476608 56.1522358, -3.9470742 56.152912, -3.9469386 56.1530855, -3.946857 56.1531899, -3.9466067 56.153524)",,2,
5008197,A9,Henderson Street,primary,30 mph,False,False,208.767,"LINESTRING (-3.9458172 56.1544824, -3.9453744 56.1543741, -3.9451191 56.1543127, -3.9449759 56.1542772, -3.9444018 56.1541311, -3.9440014 56.1540292, -3.9427445 56.1537104)",,2,
84635017,B823,Fountain Road,secondary,30 mph,False,True,117.25,"LINESTRING (-3.9458172 56.1544824, -3.9462676 56.1539357, -3.9464671 56.1536935, -3.9466067 56.153524)",,2,
"[26948949, 432625301]",A9,Henderson Street,primary,30 mph,False,True,151.54,"LINESTRING (-3.9458172 56.1544824, -3.9473174 56.1548508, -3.9480445 56.1550463)",,2,
51181856,A9,Henderson Street,primary,30 mph,True,False,264.25600000000003,"LINESTRING (-3.9561251 56.1569313, -3.9559237 56.1568709, -3.9554679 56.1567915, -3.9551224 56.156763, -3.954497 56.1567228, -3.9541445 56.1566929, -3.953706 56.1566418, -3.9533337 56.1565657, -3.9529741 56.1564678, -3.9525528 56.1563583, -3.9522335 56.1562415, -3.9521474 56.1561845)",,1,
50590280,,Cawder Road,residential,,False,False,85.00699999999999,"LINESTRING (-3.9534159 56.1557128, -3.9534499 56.1556879, -3.9538677 56.1549926)",,,
84635020,,Station Road,residential,,False,False,56.364,"LINESTRING (-3.9534159 56.1557128, -3.953255 56.155653, -3.9530887 56.1556162, -3.9529474 56.1555893, -3.9527454 56.1555714, -3.952563 56.1555584)",,,
