osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,width,junction,access
23230701,A638,Wakefield Road,trunk,30 mph,False,False,39.513000000000005,"LINESTRING (-1.6240464 53.6913464, -1.6243636 53.6914425, -1.6245593 53.6915286)",,,,,
98253252,A638,Dewsbury Ring Road,trunk,30 mph,True,False,28.885,"LINESTRING (-1.6251525 53.6917901, -1.6253664 53.6920169)",2,,,,
245259902,A638,Rishworth Road,trunk,30 mph,True,False,10.747,"LINESTRING (-1.6251525 53.6917901, -1.6249934 53.6918117)",2,,,,
32732558,,Railway Street,unclassified,,False,False,13.992,"LINESTRING (-1.6268407 53.6906971, -1.6266697 53.6906224)",,,,,
31648483,A638,Rishworth Road,trunk,30 mph,True,False,125.82499999999999,"LINESTRING (-1.6268407 53.6906971, -1.6263578 53.6909751, -1.6259588 53.6912751, -1.6255566 53.6915328)",2,,,,
4768499,A638,Dewsbury Ring Road,trunk,30 mph,True,False,10.245,"LINESTRING (-1.6250429 53.6917247, -1.6251525 53.6917901)",2,,,,
16135246,A638,Rishworth Road,trunk,30 mph,True,False,24.784,"LINESTRING (-1.6250429 53.6917247, -1.6251191 53.6916821, -1.6253069 53.6915659)",2,,,,
21121263,,Longcauseway,unclassified,30 mph,False,True,9.308,"LINESTRING (-1.6276679 53.6903738, -1.6276371 53.6902921)",,,,,
"[236015160, 32732561]",,Longcauseway,unclassified,30 mph,False,False,113.23700000000001,"LINESTRING (-1.6276679 53.6903738, -1.6277021 53.6905322, -1.6277219 53.6906653, -1.6277461 53.6908366, -1.6277411 53.6908822, -1.6277369 53.6909198, -1.6277305 53.6911133, -1.6277213 53.6913895)",,,,,
"[32732569, 1103121646]",A638,Vicarage Road,trunk,30 mph,True,False,65.26,"LINESTRING (-1.6276679 53.6903738, -1.62694 53.6906583, -1.6268407 53.6906971)",2,,,,
33720863,B6409,Wilton Street,secondary_link,30 mph,False,False,12.564,"LINESTRING (-1.6303388 53.6896384, -1.6302453 53.6895399)",,,,,
32523404,A638,Vicarage Road,trunk,30 mph,True,False,63.013000000000005,"LINESTRING (-1.6303388 53.6896384, -1.6303073 53.6896519, -1.6298769 53.6898361, -1.6295588 53.6899667)",2,,,,
33720862,B6409,Wilton Street,secondary,30 mph,False,True,44.653,"LINESTRING (-1.6297714 53.6890663, -1.6297267 53.6886656)",,,,,
"[1103122715, 33720862]",B6409,Wilton Street,secondary,30 mph,False,False,61.790000000000006,"LINESTRING (-1.6297714 53.6890663, -1.6298671 53.6892119, -1.6299757 53.6893144, -1.6301273 53.6894113, -1.6301685 53.689457, -1.6302453 53.6895399)",,,,,
24330242,,Mill Street West,tertiary,30 mph,False,False,36.482,"LINESTRING (-1.630354 53.686829, -1.630856 53.6869678)",,,,,
"[20604299, 450019717, 20604302]",B6409,"['Wilton Street', 'Savile Road']",secondary,30 mph,False,True,212.089,"LINESTRING (-1.630354 53.686829, -1.6301281 53.6871449, -1.6298901 53.6875131, -1.6296865 53.6879278, -1.6296904 53.6879999, -1.6297031 53.6882309, -1.6297246 53.6886263, -1.6297267 53.6886656)",,yes,,,
32732558,,Railway Street,unclassified,,False,True,13.992,"LINESTRING (-1.6266697 53.6906224, -1.6268407 53.6906971)",,,,,
"[31648484, 1103121645]",A638,Vicarage Road,trunk,30 mph,True,False,73.52799999999999,"LINESTRING (-1.6266697 53.6906224, -1.6268668 53.6905551, -1.6276371 53.6902921)",2,,,,
"[450019714, 32732557]",,Railway Street,unclassified,,False,False,269.396,"LINESTRING (-1.6266697 53.6906224, -1.6264405 53.6904979, -1.6262139 53.6903413, -1.6261374 53.6902954, -1.6260319 53.6902246, -1.6259086 53.6901307, -1.6257873 53.6900345, -1.6256922 53.6899207, -1.6255957 53.6897501, -1.6255465 53.6896253, -1.6255197 53.6894688, -1.62553 53.6891564, -1.625533 53.6890419, -1.6255348 53.6888237, -1.6255482 53.688737, -1.6256279 53.6886105, -1.6257531 53.6885225, -1.625827 53.6884818)",,,,,
21121263,,Longcauseway,unclassified,30 mph,False,False,9.308,"LINESTRING (-1.6276371 53.6902921, -1.6276679 53.6903738)",,,,,
32732564,A638,Vicarage Road,trunk,30 mph,True,False,100.48299999999999,"LINESTRING (-1.6276371 53.6902921, -1.6277999 53.6902574, -1.6283726 53.6901355, -1.628736 53.6900781, -1.6290761 53.6899943)",2,,,,
51844527,,,trunk_link,,True,False,32.325,"LINESTRING (-1.6290761 53.6899943, -1.6292858 53.6899746, -1.6294621 53.6899542, -1.6295588 53.6899667)",1,,,,
839739944,A638,Vicarage Road,trunk,30 mph,True,False,53.407,"LINESTRING (-1.6290761 53.6899943, -1.6294055 53.6898661, -1.6297588 53.689735)",2,,,,
128082384,B6409,Wilton Street,secondary,30 mph,True,False,76.28699999999999,"LINESTRING (-1.6297588 53.689735, -1.6298613 53.6895607, -1.6298558 53.6895194, -1.6297665 53.6893217, -1.6297714 53.6890663)",,,,,
839739944,A638,Vicarage Road,trunk,30 mph,True,False,38.701,"LINESTRING (-1.6297588 53.689735, -1.6301063 53.6895909, -1.6302453 53.6895399)",2,,,,
33720863,B6409,Wilton Street,secondary_link,30 mph,False,True,12.564,"LINESTRING (-1.6302453 53.6895399, -1.6303388 53.6896384)",,,,,
