osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,bridge,width
72712296,True,New Well Wynd,residential,20 mph,False,121.06400000000001,"LINESTRING (-3.607286 55.9760055, -3.6072829 55.9759655, -3.6072798 55.9759259, -3.6072658 55.9757468, -3.6072447 55.9755172, -3.6072238 55.97529, -3.6072191 55.9752395, -3.6071579 55.9749195)",,,,,
"[265600658, 840217181, 840217182, 840217183]",False,High Street,primary,20 mph,False,106.917,"LINESTRING (-3.607286 55.9760055, -3.607104 55.9760062, -3.6067226 55.9760058, -3.6064369 55.9760075, -3.6062179 55.976009, -3.6060162 55.9760153, -3.6058897 55.9760193, -3.6057911 55.9760274, -3.6056925 55.9760354, -3.6055715 55.9760453)",2,A803,,,
"[840217184, 840217185, 840217183]",False,High Street,primary,20 mph,True,75.98299999999999,"LINESTRING (-3.607286 55.9760055, -3.6074431 55.9760038, -3.6075754 55.9760033, -3.6076299 55.9760025, -3.6079695 55.9759978, -3.608415 55.9759724, -3.6085043 55.9759673)",2,A803,,,
62944579,True,High Street,primary,20 mph,False,34.690000000000005,"LINESTRING (-3.5968203 55.9768015, -3.5966427 55.9768475, -3.5965595 55.9768645, -3.5964806 55.9768799, -3.596315 55.9769317)",1,A803,,,
"[265600656, 841705599]",False,High Street,primary,20 mph,True,281.88,"LINESTRING (-3.5968203 55.9768015, -3.5971348 55.9767743, -3.5975221 55.9767513, -3.5978271 55.9767488, -3.5980075 55.9767574, -3.5980393 55.9767589, -3.5984717 55.9767938, -3.5987701 55.9768223, -3.598958 55.9768443, -3.5999725 55.9769714, -3.6001234 55.9769921, -3.6002828 55.9770081, -3.6004141 55.9770019, -3.6005638 55.9769869, -3.6007127 55.9769639, -3.6010709 55.9768948, -3.6012437 55.9768394)",2,A803,,,
4492455,False,Station Road,residential,20 mph,False,27.200000000000003,"LINESTRING (-3.5971487 55.9755303, -3.597209 55.9754995, -3.5973357 55.9754348, -3.5974716 55.9753654)",,,,,
4492455,False,Station Road,residential,20 mph,True,27.200000000000003,"LINESTRING (-3.5974716 55.9753654, -3.5973357 55.9754348, -3.597209 55.9754995, -3.5971487 55.9755303)",,,,,
402642963,False,Back Station Road,residential,20 mph,True,65.13799999999999,"LINESTRING (-3.5974716 55.9753654, -3.5971922 55.9754146, -3.5970027 55.9754828, -3.5968065 55.9755672, -3.5965709 55.9756531)",2,,,,
402642964,False,Station Road,residential,20 mph,False,46.68599999999999,"LINESTRING (-3.5974716 55.9753654, -3.5975431 55.9753606, -3.5977658 55.9753279, -3.5982116 55.9753026)",2,,,,
29349766,False,Strawberry Bank,residential,20 mph,False,191.54799999999997,"LINESTRING (-3.5982116 55.9753026, -3.5982713 55.9753012, -3.598551 55.9752947, -3.598654 55.9752923, -3.5987293 55.9753035, -3.5988879 55.9753271, -3.5994363 55.9754399, -3.5997165 55.975477, -3.5998225 55.9754886, -3.5999674 55.9755062, -3.6002684 55.9755429, -3.6003714 55.9755554, -3.6007698 55.9755681, -3.6012226 55.9755681)",2,,,,
