osmid,oneway,lanes,ref,name,highway,maxspeed,junction,reversed,length,geometry,width,access,bridge
1173043326,True,2,A5152,Chester Road,primary,20 mph,roundabout,False,10.483,"LINESTRING (-2.9920731 53.0502741, -2.9920419 53.0502994, -2.9920014 53.0503192, -2.991954 53.0503324)",,,
189605591,True,2,A5152,Chester Road,primary,20 mph,roundabout,False,11.529,"LINESTRING (-2.9918041 53.0503275, -2.9917553 53.0503093, -2.9917165 53.0502838, -2.9916906 53.0502529)",,,
34853584,False,,,Market Street,unclassified,20 mph,,True,147.96599999999998,"LINESTRING (-2.9906128 53.0469772, -2.9903718 53.0466631, -2.9901074 53.0463185, -2.9900424 53.0462473, -2.9899915 53.0461864, -2.9897331 53.0460002, -2.98958 53.045922, -2.9894626 53.045862)",,,
"[145260803, 100975637]",False,,,"['Holt Street', 'Chester Street']",unclassified,20 mph,,True,83.884,"LINESTRING (-2.9906128 53.0469772, -2.9908164 53.0469333, -2.9911577 53.0468598, -2.9913743 53.046814, -2.9915542 53.0468033, -2.9916625 53.0468398, -2.9917019 53.0469215)",,,
189605607,False,,,Holt Street,unclassified,20 mph,,False,45.146,"LINESTRING (-2.9906128 53.0469772, -2.9900934 53.0470762, -2.989969 53.0470999)",,,
34887078,True,1,A5152,Farndon Street,primary,20 mph,,False,129.67999999999998,"LINESTRING (-2.9880589 53.0471847, -2.9881077 53.0471404, -2.9882049 53.0470591, -2.9883818 53.0469112, -2.9884915 53.0467219, -2.9885869 53.0464635, -2.9886521 53.0462938, -2.9886541 53.0462741, -2.9886524 53.0462595, -2.9886502 53.0462406, -2.9886423 53.0462106, -2.9886144 53.0461041)",,,
190725435,True,2,,Holt Road Roundabout,primary,20 mph,roundabout,False,23.340999999999998,"LINESTRING (-2.9880589 53.0471847, -2.9881418 53.0471681, -2.988229 53.0471688, -2.9883112 53.0471866, -2.988379 53.0472196)",,,
189605601,True,2,,Bodhyfryd Roundabout,primary,20 mph,roundabout,False,20.573,"LINESTRING (-2.9887611 53.0493249, -2.9888177 53.0493394, -2.9888654 53.0493628, -2.9889005 53.0493932, -2.9889203 53.0494282, -2.9889232 53.0494652)",,,
145260802,True,2,A5152,Bodhyfryd,primary,20 mph,,False,52.139,"LINESTRING (-2.9885756 53.0475389, -2.9885479 53.0480075)",,,
4852443,True,2,,Holt Road Roundabout,primary,20 mph,roundabout,False,17.318,"LINESTRING (-2.9885756 53.0475389, -2.9885144 53.0475764, -2.9884376 53.0475994, -2.9883525 53.0476064)",,,
6069905,True,2,,Holt Road,primary,20 mph,,False,15.467,"LINESTRING (-2.9882682 53.0475965, -2.9880519 53.0476459)",,,
