osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,lanes,ref
28639606,Montrose Street,tertiary,30 mph,False,True,91.267,"LINESTRING (-4.3974683 55.9061148, -4.3975077 55.9062598, -4.3975392 55.906403, -4.3976312 55.9065553, -4.3976466 55.9065807, -4.3978657 55.9068281, -4.3979225 55.9068859)",,,,
201956809,,tertiary,30 mph,True,False,18.67,"LINESTRING (-4.3974683 55.9061148, -4.3973315 55.9060928, -4.3972726 55.9060584, -4.3972443 55.9060212)",roundabout,,,
197572320,,tertiary,,True,False,16.883,"LINESTRING (-4.4013793 55.8999935, -4.401357 55.9000284, -4.4013105 55.9000574, -4.4012506 55.9000736, -4.4011821 55.900076)",roundabout,,,
"[97696432, 781158379]",Chalmers Street,unclassified,,False,False,104.69900000000001,"LINESTRING (-4.4013793 55.8999935, -4.4015012 55.9000108, -4.4019185 55.9000894, -4.4020712 55.9001198, -4.4024059 55.9001951, -4.4027032 55.900262, -4.4029542 55.9003185)",,,,
28639613,Argyll Road,tertiary,,False,True,28.845,"LINESTRING (-4.4019034 55.8981924, -4.4018497 55.8982864, -4.4017582 55.8984387)",,,,
12085057,Stanford Street,unclassified,30 mph,False,False,36.663,"LINESTRING (-4.4004973 55.9012793, -4.40036 55.9012654, -4.399915 55.9012335)",,,,
"[97696465, 28639610, 97696435]",Argyll Road,tertiary,30 mph,False,True,215.81699999999998,"LINESTRING (-4.4004973 55.9012793, -4.4004365 55.9014578, -4.4003154 55.9017666, -4.4002276 55.9019996, -4.4001639 55.9021676, -4.4000689 55.9023903, -4.4000424 55.9024525, -4.4000093 55.9025296, -4.3999584 55.902635, -4.3999168 55.9027511, -4.3999011 55.9028119, -4.3998752 55.9029586, -4.3998626 55.9030379, -4.3998497 55.9031825)",,yes,2,
197572132,Argyll Road,tertiary,30 mph,False,False,141.405,"LINESTRING (-4.4004973 55.9012793, -4.4005734 55.9010865, -4.4006338 55.9009404, -4.4007621 55.9006478, -4.400805 55.9005308, -4.4008279 55.9004869, -4.4008605 55.9004208, -4.4009508 55.9003167, -4.4011821 55.900076)",,,,
12085057,Stanford Street,unclassified,30 mph,False,True,13.17,"LINESTRING (-4.3997378 55.901169, -4.399915 55.9012335)",,,,
48132976,Whitecrook Street,residential,30 mph,False,False,92.487,"LINESTRING (-4.3997378 55.901169, -4.3999412 55.9007686, -4.4000631 55.9005373, -4.4001512 55.9003702)",,,,
"[197572273, 45392371]","['Cochno Street', 'Stanford Street']","['unclassified', 'residential']",30 mph,False,False,405.73800000000006,"LINESTRING (-4.3997378 55.901169, -4.3991185 55.9012668, -4.3974423 55.901526, -4.3973354 55.9015425, -4.3968983 55.9016191, -4.3958925 55.9017762, -4.3957758 55.9017233, -4.3956712 55.9016758, -4.396461 55.9008596, -4.3967328 55.9005771)",,,,
197572235,Kilbowie Road,primary,30 mph,False,False,7.537,"LINESTRING (-4.4059984 55.900289, -4.4060178 55.9002221)",,,,A8014
45886533,Glasgow Road,primary,30 mph,True,False,129.196,"LINESTRING (-4.4059984 55.900289, -4.4058002 55.9001852, -4.4045954 55.8995833, -4.4044554 55.8995134)",,,2,A814
"[1173669888, 157427003, 206887180, 1173669887]",Kilbowie Road,primary,,False,True,138.538,"LINESTRING (-4.4059984 55.900289, -4.4059553 55.9004217, -4.4059197 55.9005313, -4.4058486 55.9007592, -4.4057136 55.9011785, -4.4056839 55.9012749, -4.4056526 55.9013831, -4.405614 55.9015161)",,,,A8014
197572235,Kilbowie Road,primary,30 mph,False,True,7.537,"LINESTRING (-4.4060178 55.9002221, -4.4059984 55.900289)",,,,A8014
127498970,Dumbarton Road,primary,30 mph,True,False,77.964,"LINESTRING (-4.4060178 55.9002221, -4.4062889 55.9003521, -4.4069558 55.9006858)",,,2,A814
97696456,,tertiary,30 mph,False,True,168.15599999999998,"LINESTRING (-4.3998002 55.9033439, -4.3996332 55.9035782, -4.3995196 55.9037688, -4.399406 55.904044, -4.3992687 55.9043505, -4.3991347 55.9045877, -4.398943 55.9047701)",,,2,
201661767,,tertiary,30 mph,True,False,7.593999999999999,"LINESTRING (-4.3998002 55.9033439, -4.3997469 55.9033299, -4.3997105 55.9033011)",roundabout,,,
"[97696465, 28639610, 97696435]",Argyll Road,tertiary,30 mph,False,False,215.817,"LINESTRING (-4.3998497 55.9031825, -4.3998626 55.9030379, -4.3998752 55.9029586, -4.3999011 55.9028119, -4.3999168 55.9027511, -4.3999584 55.902635, -4.4000093 55.9025296, -4.4000424 55.9024525, -4.4000689 55.9023903, -4.4001639 55.9021676, -4.4002276 55.9019996, -4.4003154 55.9017666, -4.4004365 55.9014578, -4.4004973 55.9012793)",,yes,2,
201449154,,tertiary,30 mph,True,False,15.108,"LINESTRING (-4.3998497 55.9031825, -4.3999154 55.903191, -4.3999606 55.9032096, -4.3999914 55.9032375, -4.400001 55.9032709)",roundabout,,,
28639609,,tertiary,30 mph,True,False,17.517,"LINESTRING (-4.400001 55.9032709, -4.3999924 55.9032958, -4.3999617 55.9033246, -4.3999201 55.9033426, -4.3998936 55.9033487, -4.3998448 55.9033499, -4.3998002 55.9033439)",roundabout,,,
118929635,Coldstream Road,unclassified,30 mph,False,True,109.248,"LINESTRING (-4.400001 55.9032709, -4.4001207 55.9033003, -4.4006793 55.9033552, -4.4010343 55.9033865, -4.4013223 55.9034146, -4.4014708 55.9034303, -4.4017167 55.9034612)",,,,
28639613,Argyll Road,tertiary,,False,False,165.834,"LINESTRING (-4.4011592 55.8998831, -4.4011486 55.8997772, -4.4011638 55.8996964, -4.4011798 55.8995991, -4.4012709 55.8993521, -4.4013865 55.899078, -4.4014982 55.8988717, -4.4017582 55.8984387)",,,,
197572329,,tertiary,,True,False,21.704,"LINESTRING (-4.4011592 55.8998831, -4.4012291 55.8998805, -4.4012942 55.8998931, -4.4013292 55.8999108, -4.4013476 55.8999201, -4.4013759 55.8999538, -4.4013793 55.8999935)",roundabout,,,
122402065,,tertiary,,True,False,29.874,"LINESTRING (-4.4011821 55.900076, -4.4011186 55.900064, -4.401067 55.9000391, -4.4010362 55.900005, -4.4010308 55.8999669, -4.4010521 55.89993, -4.4010992 55.8998997, -4.4011592 55.8998831)",roundabout,,,
197572132,Argyll Road,tertiary,30 mph,False,True,141.405,"LINESTRING (-4.4011821 55.900076, -4.4009508 55.9003167, -4.4008605 55.9004208, -4.4008279 55.9004869, -4.400805 55.9005308, -4.4007621 55.9006478, -4.4006338 55.9009404, -4.4005734 55.9010865, -4.4004973 55.9012793)",,,,
48132976,Whitecrook Street,residential,30 mph,False,True,92.487,"LINESTRING (-4.4001512 55.9003702, -4.4000631 55.9005373, -4.3999412 55.9007686, -4.3997378 55.901169)",,,,
48133047,Barns Street,residential,30 mph,False,True,43.486000000000004,"LINESTRING (-4.4001512 55.9003702, -4.3998419 55.9002649, -4.3995521 55.9001699)",,,2,
197572286,Whitecrook Street,residential,30 mph,False,False,188.42800000000003,"LINESTRING (-4.4001512 55.9003702, -4.4004455 55.8997657, -4.4005929 55.8992097, -4.4007136 55.8989221, -4.4008204 55.8987204)",,,,
45392371,Cochno Street,residential,30 mph,False,False,65.664,"LINESTRING (-4.3977176 55.899608, -4.3979785 55.8993466, -4.398233 55.899093)",,,,
45392371,Cochno Street,residential,30 mph,False,True,60.884,"LINESTRING (-4.3977176 55.899608, -4.397459 55.8998549, -4.3974544 55.8998593, -4.3972235 55.9000803)",,,,
48133047,Barns Street,residential,30 mph,False,False,65.826,"LINESTRING (-4.3977176 55.899608, -4.3981659 55.899751, -4.3986391 55.899897)",,,2,
45392371,Cochno Street,residential,30 mph,False,False,55.661,"LINESTRING (-4.398233 55.899093, -4.3986222 55.898694, -4.3986564 55.8986524)",,,,
45392371,Cochno Street,residential,30 mph,False,True,65.664,"LINESTRING (-4.398233 55.899093, -4.3979785 55.8993466, -4.3977176 55.899608)",,,,
12085057,Stanford Street,unclassified,30 mph,False,False,13.17,"LINESTRING (-4.399915 55.9012335, -4.3997378 55.901169)",,,,
12085057,Stanford Street,unclassified,30 mph,False,True,36.663,"LINESTRING (-4.399915 55.9012335, -4.40036 55.9012654, -4.4004973 55.9012793)",,,,
48133450,Whitecrook Street,unclassified,30 mph,False,False,102.486,"LINESTRING (-4.399915 55.9012335, -4.3997679 55.9014757, -4.3995303 55.9019882, -4.399609 55.9020007, -4.3997652 55.9020233)",,,,
48133450,Whitecrook Street,unclassified,30 mph,False,True,102.486,"LINESTRING (-4.3997652 55.9020233, -4.399609 55.9020007, -4.3995303 55.9019882, -4.3997679 55.9014757, -4.399915 55.9012335)",,,,
62046712,North Avenue,unclassified,,True,False,21.086,"LINESTRING (-4.4066206 55.9056406, -4.4066373 55.9054512)",,,,
157427008,North Avenue,unclassified,,False,True,73.918,"LINESTRING (-4.4066206 55.9056406, -4.4065807 55.9057648, -4.4065807 55.9059348, -4.4065807 55.9059753, -4.4067416 55.9061978, -4.4068414 55.9062657)",,,,
226306831,,unclassified,,True,False,6.854,"LINESTRING (-4.4066373 55.9054512, -4.4066041 55.9054266, -4.4065872 55.9053973)",roundabout,,,
62046713,,unclassified,,True,False,23.16,"LINESTRING (-4.4065872 55.9053973, -4.4062884 55.9052735)",,,,
226306831,,unclassified,,True,False,10.122,"LINESTRING (-4.4065872 55.9053973, -4.4065884 55.9053669, -4.406607 55.9053385, -4.4066411 55.9053149)",roundabout,,,
62046715,,unclassified,,True,False,22.461,"LINESTRING (-4.4062884 55.9052735, -4.4066411 55.9053149)",,,,
62046714,,unclassified,,False,False,100.297,"LINESTRING (-4.4062884 55.9052735, -4.4058034 55.9051522, -4.405776 55.9051453, -4.4052932 55.905019, -4.4047956 55.9049442)",,,,
62046714,,unclassified,,False,True,100.297,"LINESTRING (-4.4047956 55.9049442, -4.4052932 55.905019, -4.405776 55.9051453, -4.4058034 55.9051522, -4.4062884 55.9052735)",,,,
"[66974564, 157427004, 66974565]",Kilbowie Road,primary,,False,False,385.77600000000007,"LINESTRING (-4.4047956 55.9049442, -4.4048765 55.9045936, -4.4049349 55.9043014, -4.4050233 55.9039473, -4.4051401 55.9036916, -4.4051791 55.9036127, -4.4052709 55.903427, -4.4053029 55.9033622, -4.4053368 55.9032451, -4.4053572 55.9031279, -4.4053835 55.9029772, -4.4053867 55.902891, -4.4053834 55.9025565, -4.4054044 55.9022483, -4.4054214 55.9021889, -4.4054611 55.9020501, -4.4055929 55.9015898, -4.405614 55.9015161)",,yes,,A8014
226306831,,unclassified,,True,False,8.681000000000001,"LINESTRING (-4.4066411 55.9053149, -4.4066799 55.9053006, -4.4067243 55.905293, -4.4067707 55.9052926)",roundabout,,,
95792852,Symington Drive,unclassified,,False,False,247.51,"LINESTRING (-4.4079647 55.906709, -4.4082034 55.9064645, -4.4082654 55.9064215, -4.4083209 55.9063831, -4.4084399 55.9063006, -4.4085605 55.906168, -4.4086208 55.9060912, -4.4089087 55.9057251, -4.4091411 55.9054294, -4.4093863 55.9051175, -4.4094663 55.9050405, -4.4097233 55.904721)",,,,
157427008,North Avenue,unclassified,,False,False,86.833,"LINESTRING (-4.4079647 55.906709, -4.4074497 55.9065707, -4.407042 55.9064023, -4.4068414 55.9062657)",,,,
95792765,South Avenue,unclassified,,True,False,22.185,"LINESTRING (-4.4067707 55.9052926, -4.4069857 55.9051336)",,,,
226306831,,unclassified,,True,False,12.044,"LINESTRING (-4.4067707 55.9052926, -4.4068172 55.9052999, -4.4068579 55.9053144, -4.4068894 55.905335, -4.4069088 55.9053598)",roundabout,,,
62046720,North Avenue,unclassified,,True,False,22.964,"LINESTRING (-4.406821 55.9054673, -4.4066206 55.9056406)",,,,
226306831,,unclassified,,True,False,12.27,"LINESTRING (-4.406821 55.9054673, -4.4067739 55.9054753, -4.4067247 55.9054752, -4.4066778 55.9054669, -4.4066373 55.9054512)",roundabout,,,
102332602,Dumbarton Road,primary,30 mph,False,True,206.09099999999998,"LINESTRING (-4.4114292 55.9029039, -4.4111791 55.9027954, -4.4110346 55.9027237, -4.4102135 55.9023071, -4.4093129 55.9018538, -4.4091506 55.9017749, -4.408943 55.9016832)",,,2,A814
198967517,South Avenue,unclassified,,True,False,25.605,"LINESTRING (-4.4069857 55.9051336, -4.4069088 55.9053598)",,,,
95792779,South Avenue,unclassified,,False,True,64.25,"LINESTRING (-4.4069857 55.9051336, -4.4070999 55.9049861, -4.4073376 55.9047943, -4.407579 55.9046704)",,,,
226306831,,unclassified,,True,False,14.197000000000001,"LINESTRING (-4.4069088 55.9053598, -4.406914 55.9053916, -4.4068997 55.9054225, -4.4068673 55.9054487, -4.406821 55.9054673)",roundabout,,,
95792824,Whitworth Drive,unclassified,,False,False,145.933,"LINESTRING (-4.4106299 55.9063872, -4.4106773 55.9063265, -4.4107797 55.9061953, -4.4112573 55.9055834, -4.4113098 55.9055307, -4.4115863 55.9051896)",,,,
95792779,South Avenue,unclassified,,False,False,127.28,"LINESTRING (-4.4115863 55.9051896, -4.4113902 55.9051396, -4.4098196 55.9047453, -4.4097233 55.904721)",,,,
95792824,Whitworth Drive,unclassified,,False,True,145.933,"LINESTRING (-4.4115863 55.9051896, -4.4113098 55.9055307, -4.4112573 55.9055834, -4.4107797 55.9061953, -4.4106773 55.9063265, -4.4106299 55.9063872)",,,,
95792779,South Avenue,unclassified,,False,False,40.899,"LINESTRING (-4.4097233 55.904721, -4.4095643 55.9046708, -4.4091273 55.9045684)",,,,
95792779,South Avenue,unclassified,,False,True,127.28,"LINESTRING (-4.4097233 55.904721, -4.4098196 55.9047453, -4.4113902 55.9051396, -4.4115863 55.9051896)",,,,
95792852,Symington Drive,unclassified,,False,True,247.51000000000002,"LINESTRING (-4.4097233 55.904721, -4.4094663 55.9050405, -4.4093863 55.9051175, -4.4091411 55.9054294, -4.4089087 55.9057251, -4.4086208 55.9060912, -4.4085605 55.906168, -4.4084399 55.9063006, -4.4083209 55.9063831, -4.4082654 55.9064215, -4.4082034 55.9064645, -4.4079647 55.906709)",,,,
127498971,,residential,30 mph,False,True,6.888,"LINESTRING (-4.4080622 55.9012406, -4.4079915 55.9012882)",,,,
127498964,Dumbarton Road,primary,30 mph,True,False,73.768,"LINESTRING (-4.4080622 55.9012406, -4.4084742 55.9014396, -4.4086255 55.9015111, -4.408943 55.9016832)",,,,A814
