osmid,oneway,lanes,highway,maxspeed,junction,reversed,length,ref,name,geometry,bridge,access,tunnel
183995407,True,3,trunk,30 mph,circular,False,3.653,,,"LINESTRING (-0.0964453 51.3718383, -0.0963998 51.3718218)",,,
8301518,True,,primary,30 mph,,False,95.335,A212,Park Lane,"LINESTRING (-0.0963149 51.371112, -0.0962636 51.3709969, -0.0962491 51.3709514, -0.0962178 51.3706943, -0.0962144 51.3706405, -0.0962167 51.3705997, -0.0962268 51.3705581, -0.0962442 51.3705158, -0.0962672 51.3704787, -0.0963088 51.3704331, -0.0964485 51.3702978)",,,
183995413,True,3,trunk,30 mph,circular,False,68.42699999999999,,,"LINESTRING (-0.0963149 51.371112, -0.096339 51.3708681, -0.0963492 51.370831, -0.0963735 51.3707974, -0.0964117 51.3707672, -0.0964547 51.3707467, -0.0965046 51.370732, -0.096549 51.3707237, -0.0965961 51.3707218, -0.0966497 51.3707239, -0.0967252 51.3707365, -0.0967983 51.3707546)",,,
4040982,True,2,primary,30 mph,,False,33.657,A212,Park Lane,"LINESTRING (-0.0962316 51.367534, -0.096241 51.3674037, -0.0962409 51.3673573, -0.0962431 51.3673244, -0.0962435 51.3672944, -0.0962465 51.3672315)",,,
202499587,True,1,primary_link,,,False,47.361000000000004,,,"LINESTRING (-0.0962316 51.367534, -0.0961752 51.3674075, -0.0961326 51.3673441, -0.0961144 51.367317, -0.0961014 51.3673006, -0.0959905 51.3672193, -0.0959016 51.3671744)",,,
1258541316,True,2,secondary,30 mph,,False,36.866,B274,St. Peter's Road,"LINESTRING (-0.0962344 51.3669215, -0.096288 51.3669603, -0.0963112 51.367011, -0.0963416 51.3671128, -0.096351 51.3671423, -0.0963672 51.3672357)",,,
"[4038752, 161716903]",True,,primary,30 mph,,False,40.958,A212,Lower Coombe Street,"LINESTRING (-0.1031117 51.3682776, -0.1031519 51.3683024, -0.1031865 51.3683192, -0.1032214 51.3683316, -0.1032644 51.3683444, -0.1032992 51.3683522, -0.1033472 51.3683605, -0.1036563 51.3683986)",,,
"[162153760, 10241718]",True,,trunk_link,,,False,303.0489999999999,,Pump Pail North,"LINESTRING (-0.1037727 51.3691062, -0.103713 51.3691299, -0.1036559 51.3691583, -0.1035862 51.3691994, -0.1035191 51.3692523, -0.1031323 51.3696215, -0.1030153 51.3697261, -0.1028958 51.3698304, -0.1027714 51.3699317, -0.1026562 51.3700156, -0.1025286 51.3700996, -0.1023909 51.3701865, -0.1022433 51.3702719, -0.1020839 51.3703621, -0.1019823 51.3704141, -0.1018918 51.3704549, -0.101803 51.3704892, -0.1016803 51.3705336, -0.1015427 51.3705771, -0.1014351 51.3706087, -0.1013225 51.3706372, -0.1012159 51.3706598, -0.1011131 51.3706762, -0.100988 51.3706907, -0.1008757 51.3706987, -0.1007697 51.3707029, -0.1006719 51.3707012, -0.1004971 51.3706917)",yes,,
230546202,True,,primary,30 mph,roundabout,False,40.65,,,"LINESTRING (-0.1037727 51.3691062, -0.1037023 51.3690975, -0.1036336 51.3690818, -0.1035272 51.3690429, -0.1034258 51.3689932, -0.1033733 51.3689519, -0.1033233 51.368895)",,,
4038743,True,,primary,30 mph,roundabout,False,32.007999999999996,,,"LINESTRING (-0.1045115 51.3688481, -0.1044943 51.3688849, -0.1044708 51.368915, -0.1044062 51.3689792, -0.1043446 51.3690276, -0.1042957 51.3690542, -0.1042444 51.3690745)",,,
"[186766208, 167907335]",True,,primary,40 mph,,False,477.253,A236,"['Roman Way', 'Old Town']","LINESTRING (-0.1045115 51.3688481, -0.1045745 51.3689841, -0.1045953 51.3690208, -0.104622 51.3690523, -0.1046663 51.3690967, -0.1047385 51.3691595, -0.1047701 51.3691866, -0.1052061 51.369571, -0.1052163 51.3695805, -0.1055142 51.3699116, -0.1056599 51.3700706, -0.1057188 51.3701318, -0.1060892 51.3705675, -0.1064162 51.3709631, -0.1066295 51.3712407, -0.1067761 51.3714359, -0.1069152 51.37169, -0.1069754 51.3718632, -0.1070325 51.3721229, -0.1070504 51.3723006, -0.1070545 51.3723417, -0.1070556 51.3723893, -0.1070298 51.3727483)",,,
4038743,True,,primary,30 mph,roundabout,False,29.834,,,"LINESTRING (-0.1044631 51.3685823, -0.1044815 51.3686223, -0.1044927 51.3686716, -0.1045115 51.3688481)",,,
4038749,True,2,trunk_link,,,False,110.239,,Davenant Road,"LINESTRING (-0.1041702 51.3683826, -0.1045796 51.3681644, -0.1049352 51.3680279, -0.10522 51.3679404, -0.1055132 51.3678688)",,,
230546200,True,,primary,30 mph,roundabout,False,30.835,,,"LINESTRING (-0.1041702 51.3683826, -0.1042247 51.3683957, -0.1043259 51.3684534, -0.1044046 51.3685158, -0.1044631 51.3685823)",,,
230546203,True,,primary,30 mph,roundabout,False,35.956,,,"LINESTRING (-0.1036563 51.3683986, -0.1037455 51.3683878, -0.1040159 51.3683723, -0.1040974 51.3683744, -0.1041702 51.3683826)",,,
4038742,False,,primary,,,True,85.643,A212,Lower Coombe Street,"LINESTRING (-0.0990381 51.3676651, -0.0992546 51.3676879, -0.0993076 51.3676935, -0.0995844 51.3677226, -0.0999044 51.3677569, -0.1002593 51.3677614)",,,
4040806,False,,primary,30 mph,,False,120.865,A212,Coombe Road,"LINESTRING (-0.0990381 51.3676651, -0.0988334 51.36765, -0.0988039 51.3676478, -0.0987756 51.3676433, -0.0986073 51.3676165, -0.09841 51.3675798, -0.0981777 51.3675396, -0.0981308 51.3675289, -0.0973726 51.3673592)",,,
1064022982,False,2,tertiary,20 mph,,True,41.57299999999999,,High Street,"LINESTRING (-0.0990381 51.3676651, -0.0990821 51.3677861, -0.0990942 51.3678137, -0.0991098 51.3678491, -0.0991879 51.368027)",,,
4038742,False,,primary,,,True,14.895,A212,Lower Coombe Street,"LINESTRING (-0.1019393 51.3679986, -0.1021327 51.3680566)",,,
4038742,False,,primary,,,False,59.286,A212,Lower Coombe Street,"LINESTRING (-0.1019393 51.3679986, -0.1015458 51.3678893, -0.1011479 51.3677991)",,,
167402166,True,,residential,20 mph,,False,110.38300000000001,,West Street,"LINESTRING (-0.1019393 51.3679986, -0.1018949 51.3680401, -0.1017971 51.3680709, -0.1004438 51.3682962)",,,
4038749,True,2,trunk_link,,,False,61.672999999999995,,Davenant Road,"LINESTRING (-0.1055132 51.3678688, -0.1057 51.3678309, -0.1059265 51.3677963, -0.1062275 51.3677579, -0.1063781 51.3677472)",,,
161716899,True,,residential,20 mph,,False,47.042,,The Waldrons,"LINESTRING (-0.1055132 51.3678688, -0.105314 51.3676396, -0.1052136 51.3674899)",,,
4038750,True,,trunk_link,,,False,62.415000000000006,,,"LINESTRING (-0.1075326 51.3679484, -0.1070462 51.3679681, -0.1066351 51.3679816)",,,
"[10423849, 53772861, 10423847]",True,2,trunk,40 mph,,False,612.7399999999999,A232,The Croydon Flyover,"LINESTRING (-0.1075326 51.3679484, -0.1073535 51.3679267, -0.107199 51.3679133, -0.1070531 51.3679046, -0.1069149 51.3679002, -0.1067817 51.3678996, -0.1066137 51.3679027, -0.106455 51.3679104, -0.10629 51.3679236, -0.1061261 51.3679406, -0.1059608 51.367962, -0.1057955 51.3679888, -0.1056462 51.3680176, -0.1054828 51.3680535, -0.105323 51.3680944, -0.1051744 51.3681368, -0.1050304 51.3681849, -0.1048889 51.3682368, -0.1047414 51.368296, -0.1046146 51.3683548, -0.104485 51.3684166, -0.1043527 51.3684849, -0.1041906 51.3685786, -0.1040781 51.368653, -0.1039599 51.3687369, -0.1038569 51.3688148, -0.1037533 51.3689019, -0.1036533 51.3689889, -0.1035546 51.3690804, -0.1032072 51.3694101, -0.102872 51.3697232, -0.1027763 51.3698068, -0.102675 51.3698913, -0.1025747 51.3699677, -0.1024656 51.3700457, -0.1023541 51.3701189, -0.1022324 51.3701912, -0.1021132 51.3702545, -0.1019877 51.3703171, -0.101848 51.3703774, -0.1017024 51.3704323, -0.1015555 51.3704819, -0.1014262 51.3705211, -0.1012905 51.3705579, -0.1011498 51.3705908, -0.1010031 51.3706203, -0.1008265 51.3706506, -0.1006736 51.3706711, -0.1004971 51.3706917)",yes,,
53772862,True,2,trunk,,,False,102.591,A232,The Croydon Flyover,"LINESTRING (-0.1068871 51.3678164, -0.1073067 51.3678326, -0.1074205 51.3678426, -0.1075632 51.3678617, -0.1077292 51.3678906, -0.1078953 51.3679273, -0.1083087 51.3680351)",,,
4038747,True,2,trunk,,,False,54.779,A232,The Croydon Flyover,"LINESTRING (-0.1083087 51.3680351, -0.1078524 51.3679941, -0.1077298 51.3679775, -0.1075326 51.3679484)",,,
842955126,False,2,trunk,30 mph,,True,56.013,A232,Duppas Hill Road,"LINESTRING (-0.1083087 51.3680351, -0.1086827 51.3680857, -0.1090976 51.3681408)",,,
4038742,False,,primary,,,False,32.035,A212,Lower Coombe Street,"LINESTRING (-0.102857 51.3681764, -0.1027044 51.3681846, -0.1026726 51.368183, -0.1026444 51.3681798, -0.1025938 51.368169, -0.1024114 51.3681273)",,,
4038752,True,,primary,30 mph,,False,21.355,A212,Lower Coombe Street,"LINESTRING (-0.102857 51.3681764, -0.1029631 51.3682008, -0.1030009 51.3682128, -0.1030298 51.3682261, -0.1031117 51.3682776)",,,
11787056,False,2,primary,30 mph,,False,49.961,A236,Southbridge Road,"LINESTRING (-0.102857 51.3681764, -0.1028723 51.3681231, -0.1028776 51.3681026, -0.1028784 51.3680829, -0.1028645 51.3680457, -0.1028425 51.3679981, -0.1028229 51.3679644, -0.1027565 51.3678677, -0.1027128 51.367796, -0.1026752 51.3677528)",,,
1258541314,False,,primary,30 mph,,False,8.392,A212,Coombe Road,"LINESTRING (-0.0963672 51.3672357, -0.0962465 51.3672315)",,,
758009145,False,,primary,30 mph,,True,66.223,A212,Coombe Road,"LINESTRING (-0.0963672 51.3672357, -0.0964722 51.3672351, -0.0965254 51.3672339, -0.0967028 51.3672427, -0.0969561 51.3672707, -0.0971357 51.367304, -0.0972979 51.3673418)",,,
"[1097080937, 1159182291]",True,1,primary,30 mph,,False,48.929,A212,Park Lane,"LINESTRING (-0.0963672 51.3672357, -0.0963646 51.3672937, -0.0963655 51.3673953, -0.0963609 51.367431, -0.0963538 51.3674681, -0.0963497 51.3675332, -0.0963449 51.367595, -0.0963409 51.3676281, -0.0963024 51.3676685)",,,
10241479,True,1,tertiary,,,False,121.06400000000001,,Fell Road,"LINESTRING (-0.1001201 51.3707677, -0.100065 51.3707892, -0.0999968 51.3708037, -0.0999543 51.3708094, -0.0996108 51.3708327, -0.0984005 51.370918)",,,
987031679,False,,unclassified,20 mph,,True,12.907,,High Street,"LINESTRING (-0.1001201 51.3707677, -0.1001465 51.3708055, -0.1001629 51.3708294, -0.1001739 51.3708486, -0.100185 51.3708762)",,,
"[4040803, 1064022981]",False,3,tertiary,,,True,24.641000000000002,,High Street,"LINESTRING (-0.1001201 51.3707677, -0.1001266 51.3707571, -0.1001294 51.3707363, -0.1001031 51.3706634, -0.1000861 51.3706162, -0.1000719 51.3705791, -0.100061 51.3705518)",,,
10241484,True,3,trunk,30 mph,circular,False,35.533,,,"LINESTRING (-0.0968438 51.3707714, -0.0968779 51.370795, -0.0969077 51.370831, -0.0969571 51.3709156, -0.0969861 51.3709926, -0.0969869 51.3710707)",,,
