osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,junction,access
419926983,A67,Bowes Road,trunk,30 mph,False,False,14.361,"LINESTRING (-1.9313793 54.542523, -1.9312052 54.5426035)",,,,
26725992,,Low StartForth Road,residential,,False,True,161.421,"LINESTRING (-1.9313793 54.542523, -1.9312107 54.5422981, -1.9311097 54.5421376, -1.9310612 54.5420603, -1.9308665 54.5415575, -1.9308665 54.5411195)",,,,
65276915,B6277,Lartington Lane,secondary,30 mph,False,True,44.848,"LINESTRING (-1.9294631 54.5437858, -1.9299033 54.544098)",,,,
95537508,A67,,trunk,30 mph,False,False,64.02499999999999,"LINESTRING (-1.9294631 54.5437858, -1.9293879 54.5437417, -1.9292421 54.5436444, -1.9290955 54.5435575, -1.9287461 54.5433895)",2,,,
419926983,A67,Bowes Road,trunk,30 mph,False,True,82.093,"LINESTRING (-1.9294631 54.5437858, -1.9296558 54.5436509, -1.9301779 54.5431762)",,,,
28270639,B6278,Harmire Road,secondary,30 mph,False,True,7.922,"LINESTRING (-1.9171437 54.5482, -1.917211 54.5482596)",2,,,
"[26730669, 30667510]",A67,"['Cambridge Terrace', 'Galgate']",trunk,30 mph,False,False,123.71200000000002,"LINESTRING (-1.9171437 54.5482, -1.9173193 54.5480854, -1.9174687 54.5479515, -1.9176571 54.5477911, -1.9179065 54.5476291, -1.9181129 54.5475134, -1.9182888 54.5474363, -1.9184183 54.5473796)",2,,,
"[989848121, 91649821, 26730670, 26730671]",A67,"['Market Place', 'Horsemarket']",trunk,"['20 mph', '30 mph']",False,False,278.147,"LINESTRING (-1.9248847 54.5446202, -1.92486 54.5445597, -1.9248209 54.5445205, -1.9244987 54.5442623, -1.9241752 54.5440075, -1.9241649 54.5439993, -1.9241236 54.5439606, -1.9239887 54.5438009, -1.9239011 54.5436706, -1.9238312 54.5434962, -1.9238041 54.5433012, -1.9238099 54.5429456, -1.9238152 54.5427623, -1.923817 54.5427351, -1.9238103 54.5426013, -1.9237964 54.5424245, -1.9237679 54.5422918)",2,,,
"[28270633, 225378015]",,Flatts Road,residential,,False,False,150.406,"LINESTRING (-1.9248847 54.5446202, -1.9249832 54.5446503, -1.9250435 54.5446794, -1.9251521 54.5447499, -1.9255084 54.5449902, -1.9263813 54.5456492)",,,,
"[225378010, 225378005]",A67,Galgate,trunk,20 mph,False,True,102.543,"LINESTRING (-1.9248847 54.5446202, -1.9248619 54.5446893, -1.9248014 54.5447693, -1.9247028 54.5448397, -1.9241314 54.5451566, -1.923845 54.5452934)",2,,,
26728427,,Thorngate,residential,20 mph,False,False,13.434,"LINESTRING (-1.9247595 54.5405806, -1.9247684 54.5404599)",,,,
"[26725985, 26728425, 44935121, 44935122, 1157782905]",A67,Bridgegate,trunk,"['20 mph', '30 mph']",False,False,345.255,"LINESTRING (-1.9247595 54.5405806, -1.9248558 54.5405799, -1.9249552 54.5405917, -1.9251497 54.5406391, -1.9253364 54.5407159, -1.9255923 54.5408438, -1.9257469 54.540969, -1.9258282 54.5410497, -1.9258881 54.5411166, -1.9260142 54.5412574, -1.9261365 54.5414406, -1.9268273 54.542664, -1.9269032 54.5427206, -1.9269689 54.5427416, -1.9270292 54.5427517, -1.9275617 54.5427144, -1.9277509 54.5426981)","['1', '2']",yes,,
26730687,A67,The Bank,trunk,20 mph,False,True,184.79,"LINESTRING (-1.9247595 54.5405806, -1.9246915 54.5406002, -1.9246347 54.5406326, -1.9245859 54.5406758, -1.924507 54.5407792, -1.9243431 54.5409942, -1.924133 54.5412949, -1.9240789 54.5414027, -1.9240316 54.5415165, -1.9239462 54.5417216, -1.9238473 54.541981, -1.9237926 54.5421187)",2,,,
4020841,B6277,The Sills,secondary,30 mph,False,False,60.221,"LINESTRING (-1.9277509 54.5426981, -1.9276196 54.5421619)",2,,,
"[26725985, 26728425, 44935121, 44935122, 1157782905]",A67,Bridgegate,trunk,"['20 mph', '30 mph']",False,True,345.255,"LINESTRING (-1.9277509 54.5426981, -1.9275617 54.5427144, -1.9270292 54.5427517, -1.9269689 54.5427416, -1.9269032 54.5427206, -1.9268273 54.542664, -1.9261365 54.5414406, -1.9260142 54.5412574, -1.9258881 54.5411166, -1.9258282 54.5410497, -1.9257469 54.540969, -1.9255923 54.5408438, -1.9253364 54.5407159, -1.9251497 54.5406391, -1.9249552 54.5405917, -1.9248558 54.5405799, -1.9247595 54.5405806)","['1', '2']",yes,,
95537508,A67,,trunk,30 mph,False,True,108.309,"LINESTRING (-1.9277509 54.5426981, -1.9278354 54.5429145, -1.9279142 54.5430552, -1.9280512 54.5431685, -1.9282471 54.5432709, -1.9284253 54.5433111, -1.9285565 54.5433445, -1.9287461 54.5433895)",2,,,
4680546,,Newgate,tertiary,30 mph,False,False,226.253,"LINESTRING (-1.9236097 54.5421626, -1.9232329 54.5421047, -1.9232083 54.5420998, -1.9223446 54.5419286, -1.9221689 54.5418924, -1.9220747 54.5418746, -1.9216505 54.5417586, -1.9213495 54.5416888, -1.9209839 54.5416131, -1.9203067 54.5414853)",2,,,
117946395,A67,,trunk,20 mph,True,False,13.831,"LINESTRING (-1.9236097 54.5421626, -1.9236346 54.5421423, -1.9236681 54.5421268, -1.9237077 54.5421173, -1.9237503 54.5421145, -1.9237926 54.5421187)",2,,roundabout,
4680546,,Newgate,tertiary,30 mph,False,True,39.796,"LINESTRING (-1.9186502 54.5412306, -1.9192537 54.5413049)",2,,,
91649818,,Newgate,tertiary,30 mph,False,False,42.501,"LINESTRING (-1.9186502 54.5412306, -1.9180047 54.541154)",2,,,
26730693,,Birch Road,unclassified,,False,True,116.14200000000001,"LINESTRING (-1.9186502 54.5412306, -1.9186144 54.541302, -1.9184994 54.5415475, -1.918465 54.5416297, -1.9184331 54.5417336, -1.9184222 54.5417898, -1.9183997 54.5419458, -1.9184652 54.5420976, -1.918618 54.542226)",,,,
4020841,B6277,The Sills,secondary,30 mph,False,True,60.221,"LINESTRING (-1.9276196 54.5421619, -1.9277509 54.5426981)",2,,,
26725986,,Ullathorne Rise,residential,20 mph,False,False,67.697,"LINESTRING (-1.9276196 54.5421619, -1.9279128 54.542136, -1.9280825 54.5421087, -1.9286293 54.5420022)",,,,
26725986,,Ullathorne Rise,residential,20 mph,False,False,120.10799999999998,"LINESTRING (-1.9286293 54.5420022, -1.9286879 54.5420659, -1.9287215 54.5421259, -1.9287948 54.5422332, -1.9288661 54.5423184, -1.9289723 54.5424036, -1.9290926 54.5424767, -1.9292207 54.5425237, -1.9293403 54.5425444, -1.9294817 54.5425481, -1.9296769 54.5425198, -1.9298176 54.5424775, -1.9299138 54.5424238)",,,,
26725986,,Ullathorne Rise,residential,20 mph,False,True,67.697,"LINESTRING (-1.9286293 54.5420022, -1.9280825 54.5421087, -1.9279128 54.542136, -1.9276196 54.5421619)",,,,
830297614,,Ullathorne Rise,residential,,False,False,24.496000000000002,"LINESTRING (-1.9286293 54.5420022, -1.9286527 54.5419119, -1.9286214 54.5417842)",,,,
26725986,,Ullathorne Rise,residential,20 mph,False,True,66.736,"LINESTRING (-1.9296972 54.5419534, -1.9298878 54.5419388, -1.9299411 54.5423759, -1.9299138 54.5424238)",,,,
26725987,,Gill Lane,unclassified,20 mph,False,False,194.92800000000003,"LINESTRING (-1.9281621 54.5403388, -1.928739 54.5404321, -1.9292568 54.5404641, -1.9295065 54.5404464, -1.9299728 54.5404462, -1.9305196 54.5404925, -1.930992 54.5406298, -1.9310213 54.5406873)",,,,
26725991,,Teesdale Road,residential,20 mph,False,False,182.044,"LINESTRING (-1.9281621 54.5403388, -1.9282599 54.5409572, -1.92835 54.541039, -1.9284789 54.5410621, -1.9295141 54.5409238, -1.9298959 54.5408868)",,,,
26725987,,Gill Lane,unclassified,20 mph,False,True,194.92800000000003,"LINESTRING (-1.9310213 54.5406873, -1.930992 54.5406298, -1.9305196 54.5404925, -1.9299728 54.5404462, -1.9295065 54.5404464, -1.9292568 54.5404641, -1.928739 54.5404321, -1.9281621 54.5403388)",,,,
26725992,,Low StartForth Road,residential,,False,False,49.086,"LINESTRING (-1.9310213 54.5406873, -1.9308858 54.5410619, -1.9308665 54.5411195)",,,,
830297614,,Ullathorne Rise,residential,,False,True,24.496000000000002,"LINESTRING (-1.9286214 54.5417842, -1.9286527 54.5419119, -1.9286293 54.5420022)",,,,
830297592,,,residential,,False,False,8.26,"LINESTRING (-1.9298959 54.5408868, -1.9298762 54.5408134)",,,,
830297592,,,residential,,False,True,9.117,"LINESTRING (-1.9298959 54.5408868, -1.9299218 54.5409674)",,,,
26725991,,Teesdale Road,residential,20 mph,False,True,182.044,"LINESTRING (-1.9298959 54.5408868, -1.9295141 54.5409238, -1.9284789 54.5410621, -1.92835 54.541039, -1.9282599 54.5409572, -1.9281621 54.5403388)",,,,
26725993,,The Paddock,living_street,,False,False,39.45,"LINESTRING (-1.9308665 54.5411195, -1.931476 54.5411486)",,,,
26725992,,Low StartForth Road,residential,,False,False,161.42100000000002,"LINESTRING (-1.9308665 54.5411195, -1.9308665 54.5415575, -1.9310612 54.5420603, -1.9311097 54.5421376, -1.9312107 54.5422981, -1.9313793 54.542523)",,,,
26725992,,Low StartForth Road,residential,,False,True,49.086,"LINESTRING (-1.9308665 54.5411195, -1.9308858 54.5410619, -1.9310213 54.5406873)",,,,
26728427,,Thorngate,residential,20 mph,False,True,13.434,"LINESTRING (-1.9247684 54.5404599, -1.9247595 54.5405806)",,,,
26730689,,King Street,residential,20 mph,False,False,70.008,"LINESTRING (-1.9228411 54.5456688, -1.9221287 54.5451938)",,,,
28270642,,Marshall Street,residential,30 mph,False,False,13.733,"LINESTRING (-1.9228411 54.5456688, -1.9229794 54.5457627)",,,,
"[1109763857, 30667510]",A67,Galgate,trunk,"['20 mph', '30 mph']",False,False,32.638,"LINESTRING (-1.9228411 54.5456688, -1.9230755 54.5455838, -1.9232682 54.5455114)",2,,,
30667510,A67,Galgate,trunk,30 mph,False,True,53.714,"LINESTRING (-1.9228411 54.5456688, -1.9225199 54.5457951, -1.9221509 54.5459391)",2,,,
26730689,,King Street,residential,20 mph,False,True,73.013,"LINESTRING (-1.9214098 54.5446866, -1.9221287 54.5451938)",,,,
26730690,,Victoria Road,unclassified,,False,True,41.659,"LINESTRING (-1.9214098 54.5446866, -1.9208761 54.5448976)",,,,
26730690,,Victoria Road,unclassified,,False,False,27.863,"LINESTRING (-1.9214098 54.5446866, -1.9216754 54.5445683, -1.9217371 54.5445248)",,,,
26730690,,Victoria Road,unclassified,,False,True,40.715,"LINESTRING (-1.9177391 54.5461592, -1.9171656 54.5463122)",,,,
26730690,,Victoria Road,unclassified,,False,False,124.706,"LINESTRING (-1.9177391 54.5461592, -1.9191308 54.5458317, -1.9192215 54.5457939, -1.9194813 54.5456856)",,,,
26730705,,John Street,residential,,False,False,92.72,"LINESTRING (-1.9177391 54.5461592, -1.9180842 54.5464808, -1.918127 54.5465206, -1.9184988 54.5468671)",,,,
26730690,,Victoria Road,unclassified,,False,False,49.022,"LINESTRING (-1.9194813 54.5456856, -1.9200229 54.5453763)",,,,
30650956,,Victoria Road,residential,,False,False,95.232,"LINESTRING (-1.9194813 54.5456856, -1.920464 54.5463248)",,,,
26730690,,Victoria Road,unclassified,,False,True,124.70599999999999,"LINESTRING (-1.9194813 54.5456856, -1.9192215 54.5457939, -1.9191308 54.5458317, -1.9177391 54.5461592)",,,,
26730693,,Birch Road,unclassified,,False,True,3.856,"LINESTRING (-1.918618 54.542226, -1.9186701 54.542243)",,,,
26730693,,Birch Road,unclassified,,False,False,116.142,"LINESTRING (-1.918618 54.542226, -1.9184652 54.5420976, -1.9183997 54.5419458, -1.9184222 54.5417898, -1.9184331 54.5417336, -1.918465 54.5416297, -1.9184994 54.5415475, -1.9186144 54.541302, -1.9186502 54.5412306)",,,,
"[26730699, 26730700]",,"['Crook Lane', 'Wilson Street']","['residential', 'unclassified']",,False,False,244.03400000000002,"LINESTRING (-1.918618 54.542226, -1.9185025 54.5425547, -1.9184578 54.542682, -1.9183014 54.5429942, -1.9181867 54.5431315, -1.9178664 54.5435151, -1.9176408 54.5437956, -1.9175761 54.5438689, -1.9175141 54.543907, -1.9174669 54.543915, -1.9173666 54.54391, -1.9169106 54.5437813)",,,,
26730693,,Birch Road,unclassified,,False,True,27.081,"LINESTRING (-1.9214676 54.5428018, -1.9218803 54.5428465)",,,,
26730693,,Birch Road,unclassified,,False,False,26.099,"LINESTRING (-1.9214676 54.5428018, -1.9212107 54.5427666, -1.9210729 54.5427503)",,,,
26730695,,Tannery Yard,living_street,,False,False,44.781000000000006,"LINESTRING (-1.9214676 54.5428018, -1.9215272 54.5426322, -1.9213894 54.5426039, -1.9214141 54.5425547, -1.9212566 54.5425344)",,,,
4680546,,Newgate,tertiary,30 mph,False,False,38.314,"LINESTRING (-1.9203067 54.5414853, -1.9197405 54.5413812)",2,,,
30650980,,North View,residential,,False,False,60.073,"LINESTRING (-1.9203067 54.5414853, -1.9200157 54.5419985)",,,,
4680546,,Newgate,tertiary,30 mph,False,True,226.253,"LINESTRING (-1.9203067 54.5414853, -1.9209839 54.5416131, -1.9213495 54.5416888, -1.9216505 54.5417586, -1.9220747 54.5418746, -1.9221689 54.5418924, -1.9223446 54.5419286, -1.9232083 54.5420998, -1.9232329 54.5421047, -1.9236097 54.5421626)",2,,,
4680546,,Newgate,tertiary,30 mph,False,False,39.796,"LINESTRING (-1.9192537 54.5413049, -1.9186502 54.5412306)",2,,,
4680546,,Newgate,tertiary,30 mph,False,True,32.527,"LINESTRING (-1.9192537 54.5413049, -1.9197405 54.5413812)",2,,,
"[26730697, 295524932]",,Park Terrace,residential,20 mph,False,False,115.17399999999999,"LINESTRING (-1.9192537 54.5413049, -1.9195568 54.5406774, -1.9201264 54.5407745, -1.9201921 54.5407856)",,,,no
"[26730697, 295524932]",,Park Terrace,residential,20 mph,False,True,115.17399999999999,"LINESTRING (-1.9201921 54.5407856, -1.9201264 54.5407745, -1.9195568 54.5406774, -1.9192537 54.5413049)",,,,no
26730698,,Parsons Lonnen,unclassified,,False,False,96.957,"LINESTRING (-1.9180047 54.541154, -1.9184653 54.540324)",,,,
91649818,,Newgate,tertiary,30 mph,False,True,42.501,"LINESTRING (-1.9180047 54.541154, -1.9186502 54.5412306)",2,,,
"[26730699, 26730700]",,"['Crook Lane', 'Wilson Street']","['unclassified', 'residential']",,False,True,244.03400000000005,"LINESTRING (-1.9169106 54.5437813, -1.9173666 54.54391, -1.9174669 54.543915, -1.9175141 54.543907, -1.9175761 54.5438689, -1.9176408 54.5437956, -1.9178664 54.5435151, -1.9181867 54.5431315, -1.9183014 54.5429942, -1.9184578 54.542682, -1.9185025 54.5425547, -1.918618 54.542226)",,,,
26730705,,John Street,residential,,False,True,44.699,"LINESTRING (-1.9188699 54.5472066, -1.9184988 54.5468671)",,,,
30667510,A67,Galgate,trunk,30 mph,False,False,11.957,"LINESTRING (-1.9188699 54.5472066, -1.9190242 54.547147)",2,,,
30667510,A67,Galgate,trunk,30 mph,False,True,34.906,"LINESTRING (-1.9188699 54.5472066, -1.9184183 54.5473796)",2,,,
28270634,,Vere Road,residential,,False,False,184.24,"LINESTRING (-1.9263813 54.5456492, -1.9260969 54.545769, -1.9259046 54.5458448, -1.9254733 54.5460356, -1.9250753 54.546193, -1.9240438 54.5466009)",,,,
28270635,,Vere Road,residential,,False,False,26.582,"LINESTRING (-1.9263813 54.5456492, -1.9267065 54.5455581, -1.9267562 54.5455515)",,,,
"[28270633, 225378015]",,Flatts Road,residential,,False,True,150.406,"LINESTRING (-1.9263813 54.5456492, -1.9255084 54.5449902, -1.9251521 54.5447499, -1.9250435 54.5446794, -1.9249832 54.5446503, -1.9248847 54.5446202)",,,,
28270634,,Vere Road,residential,,False,True,56.111,"LINESTRING (-1.9225355 54.5472293, -1.9232317 54.5469267)",,,,
28270635,,Vere Road,residential,,False,True,26.582,"LINESTRING (-1.9267562 54.5455515, -1.9267065 54.5455581, -1.9263813 54.5456492)",,,,
28270645,,Marwood Cottages,residential,,False,False,37.826,"LINESTRING (-1.9267562 54.5455515, -1.9269539 54.5454399, -1.9270854 54.5453302, -1.9271623 54.5453169)",,,,
65276911,,Raby Avenue,residential,,False,False,61.958000000000006,"LINESTRING (-1.9267562 54.5455515, -1.9268292 54.5455605, -1.9268962 54.54559, -1.9270484 54.5456823, -1.9274505 54.5459261)",,,,
91649819,,Raby Avenue,residential,,False,True,55.24,"LINESTRING (-1.928777 54.5467111, -1.9281685 54.5463615)",,,,
65276911,,Raby Avenue,residential,,False,True,66.997,"LINESTRING (-1.9281685 54.5463615, -1.9274505 54.5459261)",,,,
91649819,,Raby Avenue,residential,,False,False,55.24,"LINESTRING (-1.9281685 54.5463615, -1.928777 54.5467111)",,,,
28270637,,Cecil Road,residential,,False,False,113.974,"LINESTRING (-1.9281685 54.5463615, -1.9276057 54.5466735, -1.9269014 54.5470759)",,,,
28270637,,Cecil Road,residential,,False,False,224.11400000000003,"LINESTRING (-1.9269014 54.5470759, -1.9262325 54.5474659, -1.9257618 54.5477287, -1.9256611 54.5477705, -1.9252337 54.5478878, -1.9251636 54.5479222, -1.9251142 54.5479668, -1.9250788 54.5480264, -1.9250698 54.5480834, -1.9251893 54.5485925)",,,,
28270637,,Cecil Road,residential,,False,True,113.974,"LINESTRING (-1.9269014 54.5470759, -1.9276057 54.5466735, -1.9281685 54.5463615)",,,,
28270643,,Dene Road,residential,,False,False,72.051,"LINESTRING (-1.9269014 54.5470759, -1.9269606 54.5471318, -1.9269935 54.5472258, -1.9270049 54.5477122)",,,,
