osmid,oneway,lanes,ref,name,highway,maxspeed,junction,reversed,length,geometry,tunnel,width,access
791828359,True,2,A3010,Victory Roundabout,primary,30 mph,roundabout,False,13.524000000000001,"LINESTRING (-1.0929157 51.2665618, -1.0928743 51.2666219, -1.0928223 51.2666677)",,,
197717103,True,2,A3010,Victory Roundabout,primary,30 mph,roundabout,False,16.988,"LINESTRING (-1.09216 51.2667855, -1.0921172 51.2667632, -1.0920003 51.2666707)",,,
791809385,True,2,A3010,Victory Roundabout,primary,30 mph,roundabout,False,19.37,"LINESTRING (-1.0919462 51.2664127, -1.092054 51.2663104, -1.0920876 51.2662632)",,,
197843189,True,2,A3010,Victory Roundabout,primary,30 mph,roundabout,False,15.530000000000001,"LINESTRING (-1.0925258 51.2662055, -1.0926338 51.2662285, -1.0927297 51.2662611)",,,
4866801,True,,,Timberlake Road,tertiary,30 mph,,False,86.887,"LINESTRING (-1.0920876 51.2662632, -1.0921219 51.2661647, -1.0921441 51.2660581, -1.0921478 51.2659731, -1.0921249 51.265869, -1.0920156 51.2654922)",,,
197843190,True,2,A3010,Victory Roundabout,primary,30 mph,roundabout,False,32.03,"LINESTRING (-1.0920876 51.2662632, -1.092205 51.2662264, -1.0923863 51.2661943, -1.0925258 51.2662055)",,,
264363518,True,3,,Eastrop Roundabout,primary,30 mph,circular,False,13.415,"LINESTRING (-1.0842417 51.2670088, -1.0842137 51.2670376, -1.0841567 51.2670729, -1.084111 51.267096)",,,
4499996,True,2,,New Road,tertiary,30 mph,,False,85.473,"LINESTRING (-1.0841736 51.263148, -1.0841852 51.2628483, -1.0841683 51.2626891, -1.0841349 51.2624913, -1.084124 51.2624595, -1.0840926 51.2623841)",,,
17681652,False,2,,Red Lion Lane,unclassified,30 mph,,True,113.32300000000001,"LINESTRING (-1.0841736 51.263148, -1.0845604 51.2631517, -1.0847584 51.2631466, -1.0848095 51.2631457, -1.0851405 51.2631438, -1.0852967 51.2631675, -1.0854508 51.2632019, -1.0855985 51.263228, -1.0857079 51.2632451, -1.0857788 51.2632469)",,,
4499996,True,2,,New Road,tertiary,30 mph,,False,22.916,"LINESTRING (-1.0843879 51.2642299, -1.0843458 51.2640255)",,,
16647611,False,,,Seal Road,unclassified,,,True,47.702,"LINESTRING (-1.0843879 51.2642299, -1.0844466 51.2642273, -1.0846359 51.2642151, -1.0850696 51.2641845)",,,
4244246,True,3,,Eastrop Roundabout,primary,30 mph,circular,False,12.45,"LINESTRING (-1.0824386 51.2666749, -1.0824807 51.2666493, -1.0825797 51.2666066)",,,
17683768,False,2,,Hackwood Road,residential,30 mph,,True,20.309,"LINESTRING (-1.0832123 51.2585533, -1.0829886 51.2586706)",,,
17683766,False,,,Hackwood Road,residential,30 mph,,True,28.717,"LINESTRING (-1.0832123 51.2585533, -1.0833909 51.2587493, -1.0834192 51.2587767)",,,
17683768,False,2,,Hackwood Road,residential,30 mph,,False,20.309,"LINESTRING (-1.0829886 51.2586706, -1.0832123 51.2585533)",,,
189888447,False,2,,Hackwood Road,tertiary,30 mph,,False,37.363,"LINESTRING (-1.0829886 51.2586706, -1.0825792 51.2584532)",,,
686165342,False,2,,Hackwood Road,tertiary,30 mph,,True,188.292,"LINESTRING (-1.0829886 51.2586706, -1.0832258 51.2588023, -1.083353 51.2588965, -1.0834285 51.2589722, -1.0835382 51.2591085, -1.0837169 51.2593527, -1.0837886 51.2595004, -1.0839199 51.2597327, -1.0841843 51.2601623)",,,
23989282,False,2,,Eastrop Lane,residential,30 mph,,False,67.099,"LINESTRING (-1.0818152 51.2659932, -1.0818263 51.2659709, -1.0818279 51.2659442, -1.0818056 51.2658956, -1.0815583 51.2654172)",,,
190849154,False,2,,,unclassified,30 mph,,False,9.885,"LINESTRING (-1.0818152 51.2659932, -1.0818885 51.2660099, -1.0819517 51.2660165)",,,
23989282,False,2,,Eastrop Lane,residential,30 mph,,False,40.856,"LINESTRING (-1.0815583 51.2654172, -1.0814209 51.2651618, -1.0813718 51.2650688)",,,
23989282,False,2,,Eastrop Lane,residential,30 mph,,True,67.09899999999999,"LINESTRING (-1.0815583 51.2654172, -1.0818056 51.2658956, -1.0818279 51.2659442, -1.0818263 51.2659709, -1.0818152 51.2659932)",,,
878756427,False,,,Saint Mary's Court,residential,30 mph,,True,71.004,"LINESTRING (-1.0815583 51.2654172, -1.0816372 51.2654039, -1.0824465 51.2653497, -1.0825707 51.2653415)",,,
23989250,False,2,,Goat Lane,residential,20 mph,,True,64.24799999999999,"LINESTRING (-1.0813718 51.2650688, -1.0814647 51.2650507, -1.0815381 51.2650248, -1.0816761 51.264977, -1.0821977 51.2648125)",,,
23989282,False,2,,Eastrop Lane,residential,30 mph,,False,183.174,"LINESTRING (-1.0813718 51.2650688, -1.0811126 51.2645229, -1.080857 51.2639284, -1.0807789 51.2637029, -1.0807143 51.263475)",,,
23989282,False,2,,Eastrop Lane,residential,30 mph,,True,40.856,"LINESTRING (-1.0813718 51.2650688, -1.0814209 51.2651618, -1.0815583 51.2654172)",,,
