osmid,highway,oneway,reversed,length,geometry,ref,name,maxspeed,lanes
154477298,unclassified,False,False,106.765,"LINESTRING (-3.0435333 53.4254511, -3.043643 53.425496, -3.0437372 53.4255302, -3.0451048 53.4255113)",,,,
590185756,secondary,False,False,160.77399999999997,"LINESTRING (-3.0435333 53.4254511, -3.0436411 53.4253177, -3.0437229 53.4251298, -3.0438801 53.4241988, -3.0439077 53.4240472, -3.0439084 53.4240317)",B5143,Rake Lane,30 mph,
590185756,secondary,False,True,106.21099999999998,"LINESTRING (-3.0435333 53.4254511, -3.0433802 53.4255804, -3.0432081 53.4256837, -3.0429783 53.4257689, -3.042799 53.4258444, -3.0426783 53.425912, -3.0425928 53.425984, -3.042486 53.4261442)",B5143,Rake Lane,30 mph,
154477298,unclassified,False,True,106.765,"LINESTRING (-3.0451048 53.4255113, -3.0437372 53.4255302, -3.043643 53.425496, -3.0435333 53.4254511)",,,,
590185756,secondary,False,True,35.288,"LINESTRING (-3.0421928 53.4268114, -3.0420405 53.4271155)",B5143,Rake Lane,30 mph,
154477235,residential,False,True,88.755,"LINESTRING (-3.0421928 53.4268114, -3.0424231 53.4268454, -3.0424852 53.4268679, -3.0425125 53.4268952, -3.042673 53.4270559, -3.0430118 53.4273951)",,Grange Avenue,,
590185756,secondary,False,False,76.738,"LINESTRING (-3.0421928 53.4268114, -3.0422961 53.42662, -3.042486 53.4261442)",B5143,Rake Lane,30 mph,
25968961,residential,False,True,186.635,"LINESTRING (-3.042486 53.4261442, -3.0422789 53.4260684, -3.042229 53.4259763, -3.0417782 53.4245648)",,Longland Road,,
590185756,secondary,False,False,106.21100000000001,"LINESTRING (-3.042486 53.4261442, -3.0425928 53.425984, -3.0426783 53.425912, -3.042799 53.4258444, -3.0429783 53.4257689, -3.0432081 53.4256837, -3.0433802 53.4255804, -3.0435333 53.4254511)",B5143,Rake Lane,30 mph,
590185756,secondary,False,True,76.738,"LINESTRING (-3.042486 53.4261442, -3.0422961 53.42662, -3.0421928 53.4268114)",B5143,Rake Lane,30 mph,
25474939,primary,False,True,83.982,"LINESTRING (-3.0324392 53.4241704, -3.0330935 53.4245161, -3.0333543 53.4246913)",A554,Seabank Road,30 mph,
25474971,secondary,False,False,148.797,"LINESTRING (-3.0324392 53.4241704, -3.0335054 53.423896, -3.0338863 53.423798, -3.034499 53.4236374)",B5142,Manor Road,30 mph,
25474971,secondary,False,True,55.681,"LINESTRING (-3.0352725 53.4234417, -3.034499 53.4236374)",B5142,Manor Road,30 mph,
25539285,residential,False,True,69.812,"LINESTRING (-3.0352725 53.4234417, -3.0348378 53.4228698)",,Devon Avenue,,
25474971,secondary,False,False,221.136,"LINESTRING (-3.0352725 53.4234417, -3.0354432 53.4233965, -3.0366844 53.4230635, -3.03674 53.4230484, -3.037309 53.4228771, -3.0381637 53.4226172, -3.0382799 53.4225809)",B5142,Manor Road,30 mph,
25474971,secondary,False,False,4.901,"LINESTRING (-3.0419073 53.4216779, -3.0419766 53.4216625)",B5142,Manor Road,30 mph,
25474971,secondary,False,True,56.981,"LINESTRING (-3.0419073 53.4216779, -3.0410883 53.4218341)",B5142,Manor Road,30 mph,
25539635,residential,False,False,48.731,"LINESTRING (-3.0419073 53.4216779, -3.0416685 53.4212634)",,Grosvenor Street,,
25475046,residential,False,False,48.782,"LINESTRING (-3.0370007 53.4198199, -3.0369132 53.4202555)",,Martin's Lane,20 mph,
25475046,residential,False,True,9.335,"LINESTRING (-3.0370007 53.4198199, -3.0370092 53.4197361)",,Martin's Lane,20 mph,
25539731,residential,False,True,183.784,"LINESTRING (-3.0370007 53.4198199, -3.0373397 53.4199658, -3.0377775 53.420196, -3.0381036 53.4204006, -3.0383869 53.4206359, -3.0387974 53.4210534)",,The Summit,,
25475047,residential,False,True,47.41,"LINESTRING (-3.0382799 53.4225809, -3.0386777 53.4229353)",,Withens Lane,,
25961539,residential,False,False,69.183,"LINESTRING (-3.0382799 53.4225809, -3.0378239 53.4220212)",,Withens Lane,,
25474971,secondary,False,False,163.173,"LINESTRING (-3.0382799 53.4225809, -3.0392521 53.4223186, -3.0399865 53.4221204, -3.0404028 53.4220081, -3.0405228 53.4219751)",B5142,Manor Road,30 mph,
25474971,secondary,False,True,221.13600000000002,"LINESTRING (-3.0382799 53.4225809, -3.0381637 53.4226172, -3.037309 53.4228771, -3.03674 53.4230484, -3.0366844 53.4230635, -3.0354432 53.4233965, -3.0352725 53.4234417)",B5142,Manor Road,30 mph,
25475098,residential,False,False,72.662,"LINESTRING (-3.0393381 53.4283624, -3.0398833 53.4277954)",,Zig Zag Road,,
25475103,residential,False,True,25.217,"LINESTRING (-3.0393381 53.4283624, -3.0390081 53.4284754)",,Steel Avenue,,
25475098,residential,False,True,72.662,"LINESTRING (-3.0398833 53.4277954, -3.0393381 53.4283624)",,Zig Zag Road,,
