osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,bridge,geometry,junction
"[30415344, 4301571, 85070406]",True,A2,High Street,primary,30 mph,False,282.113,2,yes,"LINESTRING (0.4991031 51.3935116, 0.4992714 51.3934081, 0.4998505 51.3930521, 0.5003259 51.3927436, 0.5007031 51.3925065, 0.5010645 51.3922727, 0.5015107 51.3919889, 0.5019608 51.391707)",
"[4301572, 182696965, 372973022]",False,,Canal Road,unclassified,,False,172.00599999999997,2,,"LINESTRING (0.4991031 51.3935116, 0.4991938 51.3935514, 0.4992782 51.3935912, 0.4996413 51.3938467, 0.4998166 51.3940098, 0.499935 51.3941029, 0.5006078 51.3947304)",
"[23279850, 23279460]",False,A2,,primary_link,30 mph,"[False, True]",25.098,,,"LINESTRING (0.4991031 51.3935116, 0.4989305 51.3935285, 0.4987455 51.3935456)",
23279453,True,A2,,primary_link,30 mph,False,27.757999999999996,,,"LINESTRING (0.4991295 51.3932692, 0.4990744 51.3933875, 0.4990709 51.3934239, 0.4991031 51.3935116)",
"[1062064112, 23279910, 80438543]",True,A2,High Street,primary,30 mph,False,40.679,,,"LINESTRING (0.4991295 51.3932692, 0.4989494 51.3933958, 0.4988051 51.3934998, 0.4987455 51.3935456)",
23123519,True,A228,Cuxton Road,primary,30 mph,False,33.936,,,"LINESTRING (0.4913586 51.3957948, 0.491523 51.3958865, 0.4915573 51.3959114, 0.4916983 51.3960135)",
23158163,True,,,primary_link,30 mph,False,34.91,,,"LINESTRING (0.4913586 51.3957948, 0.4913709 51.3958452, 0.4913746 51.3959024, 0.4913659 51.3959269, 0.4913374 51.3959759, 0.4912687 51.3960354, 0.4912139 51.3960787)",
4869760,False,A2,High Street,primary,30 mph,True,81.505,2,,"LINESTRING (0.4916983 51.3960135, 0.4918406 51.3960131, 0.4919908 51.3960037, 0.4925373 51.3959379, 0.4928597 51.3959126)",
4869830,False,A2,London Road,primary,30 mph,False,34.448,,,"LINESTRING (0.4916983 51.3960135, 0.4915506 51.3960261, 0.4915004 51.3960304, 0.4912139 51.3960787)",
23123520,False,A228,Gun Lane,primary,30 mph,False,75.65,,,"LINESTRING (0.4916983 51.3960135, 0.4918641 51.3961722, 0.4919503 51.3962324, 0.4919792 51.3962529, 0.4920622 51.3963118, 0.4921809 51.3963803, 0.492437 51.3965064)",
117632817,True,A2,High Street,primary,30 mph,False,107.084,2,,"LINESTRING (0.4954266 51.3956633, 0.4956758 51.3955293, 0.4961203 51.39524, 0.4963253 51.3950862, 0.4964984 51.3949723)",
23121307,True,B2002,Station Road,secondary,,False,13.63,,,"LINESTRING (0.4969081 51.3946438, 0.4970381 51.3947357)",
23121279,True,A2,Commercial Road,primary,30 mph,False,60.971000000000004,,,"LINESTRING (0.4969081 51.3946438, 0.4965154 51.3947159, 0.4964476 51.3947259, 0.4960586 51.3947834)",
85789470,False,,Madhuran Court,residential,,True,52.556,,,"LINESTRING (0.4896821 51.396327, 0.4896967 51.3964869, 0.4900203 51.3967254)",
"[4869830, 372974293, 372974294]",False,A2,London Road,primary,30 mph,True,109.96799999999999,,,"LINESTRING (0.4896821 51.396327, 0.4901466 51.3962762, 0.4904017 51.3962352, 0.4906749 51.3961832, 0.4908887 51.3961426, 0.4912139 51.3960787)",
"[4868824, 80438545, 4868827]",True,A2,High Street,primary,30 mph,False,275.376,2,yes,"LINESTRING (0.5019427 51.3915233, 0.5017887 51.3916032, 0.5008897 51.3921622, 0.5000877 51.3926573, 0.4996741 51.3929317, 0.4991295 51.3932692)",
166565993,True,,Esplanade,tertiary,,False,21.082,,,"LINESTRING (0.5019427 51.3915233, 0.5020856 51.3915415, 0.50224 51.3915624)",
