osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,width,access,junction
6278730,Abbey Street,residential,20 mph,False,False,180.369,"LINESTRING (0.8950239 51.31902, 0.8954344 51.319246, 0.895897 51.3195321, 0.8960905 51.3197014, 0.8961162 51.3197239, 0.8964588 51.3199878, 0.8967205 51.3202368)",,,,,,
"[90628760, 90628762]",Abbey Place,residential,20 mph,False,True,99.91,"LINESTRING (0.8950239 51.31902, 0.8956201 51.3188191, 0.895827 51.3187459, 0.8958847 51.3186874, 0.8959012 51.3185728, 0.8959083 51.3184992, 0.8959006 51.3184303)",,,,,,
153402476,Abbey Street,residential,20 mph,False,False,214.59799999999998,"LINESTRING (0.8950239 51.31902, 0.8937953 51.3182285, 0.8935579 51.3181012, 0.8932749 51.3179109, 0.892937 51.3176837, 0.8928663 51.3176407)",,,,,,
4427642,Quay Lane,secondary,20 mph,False,False,57.504,"LINESTRING (0.8928045 51.3175896, 0.8920786 51.3178378)",2,B2040,,,,
31528150,Abbey Street,residential,20 mph,False,True,7.1259999999999994,"LINESTRING (0.8928045 51.3175896, 0.8928221 51.3176058, 0.8928663 51.3176407)",,,,,,
"[1090255451, 153402477, 153402478, 1090255450, 1103793434, 106766171, 1090255454]","['Crescent Road', 'Court Street']",secondary,20 mph,False,False,317.31100000000004,"LINESTRING (0.8928045 51.3175896, 0.8927855 51.3175692, 0.892598 51.3173678, 0.8924424 51.3172073, 0.8921514 51.3169122, 0.8921226 51.3168794, 0.8920995 51.3168467, 0.89209 51.3168131, 0.8920917 51.3167815, 0.8921117 51.3167544, 0.8921383 51.3167314, 0.8922302 51.3166858, 0.8924048 51.3166334, 0.892633 51.316543, 0.8927943 51.3164181, 0.8929226 51.3162304, 0.8929298 51.3161995, 0.8929868 51.3159551, 0.8929946 51.3158277, 0.892996 51.315804, 0.8929941 51.3157401, 0.8929913 51.3156434, 0.8929575 51.3153958, 0.8929286 51.3152134, 0.8929103 51.3150981)",2,B2040,,,,
4427641,Conduit Street,secondary,20 mph,False,True,78.74000000000001,"LINESTRING (0.8911351 51.3176127, 0.8911919 51.3176376, 0.8914352 51.3177441, 0.8917727 51.3179029, 0.8918267 51.3179129, 0.8918786 51.3179138, 0.8919618 51.3178926, 0.8920786 51.3178378)",2,B2040,,,,
"[6280232, 4427640, 6280231]",Bridge Road,unclassified,20 mph,False,False,93.95800000000001,"LINESTRING (0.8911351 51.3176127, 0.8906397 51.3179284, 0.8906148 51.3179443, 0.890461 51.3180556, 0.8904235 51.318086, 0.890299 51.318187, 0.8902389 51.3182432)","['1', '2']",,yes,,,
153402481,North Lane,secondary,20 mph,False,True,87.14500000000001,"LINESTRING (0.8911351 51.3176127, 0.8908878 51.3175304, 0.8904956 51.3174383, 0.8899923 51.3172924)",,B2040,,,,
31541019,Bridge Road,unclassified,20 mph,False,True,18.733,"LINESTRING (0.8900751 51.318377, 0.8902389 51.3182432)",2,,,,,
4427638,Brent Road,unclassified,20 mph,False,False,195.897,"LINESTRING (0.8900751 51.318377, 0.8893042 51.3180804, 0.8891036 51.3180124, 0.8889856 51.3179854, 0.8888344 51.3179508, 0.8885405 51.3179178, 0.8882339 51.3179191, 0.8880125 51.3179326, 0.8877453 51.3179999, 0.8875322 51.3181162)",2,,,,,
28053901,Bridge Road,residential,20 mph,False,False,37.298,"LINESTRING (0.8900751 51.318377, 0.8900401 51.3184503, 0.8900196 51.3185245, 0.8900158 51.3186334, 0.8900453 51.3187058)",,,,,,
31528143,Brent Hill,unclassified,20 mph,False,True,141.507,"LINESTRING (0.8860562 51.3189106, 0.8869137 51.3186188, 0.8872496 51.3184874, 0.887315 51.3184362, 0.8874411 51.3182107, 0.8875322 51.3181162)",,,,,,
31541018,Brent Hill,unclassified,20 mph,True,False,66.68,"LINESTRING (0.8860562 51.3189106, 0.8852747 51.3190104, 0.88512 51.3190401)",,,,,,
4427637,Davington Hill,tertiary,20 mph,False,False,72.677,"LINESTRING (0.88512 51.3190401, 0.8851478 51.3191155, 0.8851692 51.3191921, 0.8851641 51.3192719, 0.8851457 51.3193635, 0.8851128 51.3194384, 0.8850915 51.3194859, 0.8849928 51.3196754)",,,,,,
4427637,Davington Hill,tertiary,20 mph,False,True,72.677,"LINESTRING (0.8849928 51.3196754, 0.8850915 51.3194859, 0.8851128 51.3194384, 0.8851457 51.3193635, 0.8851641 51.3192719, 0.8851692 51.3191921, 0.8851478 51.3191155, 0.88512 51.3190401)",,,,,,
5119588,East Street,secondary,20 mph,False,False,57.051,"LINESTRING (0.8929103 51.3150981, 0.893095 51.3150905, 0.8937294 51.3150645)",2,B2040,,,,
8597788,Newton Road,secondary,20 mph,False,False,58.699000000000005,"LINESTRING (0.8929103 51.3150981, 0.8928937 51.3149846, 0.8928334 51.3145724)",,B2041,,,,
"[106766171, 1103793434, 153402477, 153402478, 1090255450, 1090255451, 1090255454]","['Crescent Road', 'Court Street']",secondary,20 mph,False,True,317.31100000000004,"LINESTRING (0.8929103 51.3150981, 0.8929286 51.3152134, 0.8929575 51.3153958, 0.8929913 51.3156434, 0.8929941 51.3157401, 0.892996 51.315804, 0.8929946 51.3158277, 0.8929868 51.3159551, 0.8929298 51.3161995, 0.8929226 51.3162304, 0.8927943 51.3164181, 0.892633 51.316543, 0.8924048 51.3166334, 0.8922302 51.3166858, 0.8921383 51.3167314, 0.8921117 51.3167544, 0.8920917 51.3167815, 0.89209 51.3168131, 0.8920995 51.3168467, 0.8921226 51.3168794, 0.8921514 51.3169122, 0.8924424 51.3172073, 0.892598 51.3173678, 0.8927855 51.3175692, 0.8928045 51.3175896)",2,B2040,,,,
5119588,East Street,secondary,20 mph,False,False,51.628,"LINESTRING (0.8937294 51.3150645, 0.8937577 51.3150601, 0.8944306 51.3149115)",2,B2040,,,,
5119588,East Street,secondary,20 mph,False,True,57.051,"LINESTRING (0.8937294 51.3150645, 0.893095 51.3150905, 0.8929103 51.3150981)",2,B2040,,,,
30950986,Church Road,unclassified,20 mph,False,False,125.83699999999999,"LINESTRING (0.8937294 51.3150645, 0.8937393 51.3153772, 0.8937415 51.3154468, 0.8938451 51.3157252, 0.8940132 51.3161766)",,,,,,
5119588,East Street,secondary,20 mph,False,False,62.132,"LINESTRING (0.8944306 51.3149115, 0.8952767 51.3147311)",2,B2040,,,,
8597809,St. Mary's Road,residential,30 mph,False,True,69.039,"LINESTRING (0.8944306 51.3149115, 0.8941102 51.3143238)",,,,,,
5119588,East Street,secondary,20 mph,False,True,51.628,"LINESTRING (0.8944306 51.3149115, 0.8937577 51.3150601, 0.8937294 51.3150645)",2,B2040,,,,
30950984,Whitstable Road,secondary,20 mph,False,False,5.898,"LINESTRING (0.8960255 51.3144652, 0.8960991 51.3144388)",2,B2040,,,,
"[932398217, 6278796]",Orchard Place,residential,30 mph,True,False,142.658,"LINESTRING (0.8960255 51.3144652, 0.8962937 51.3147993, 0.8964351 51.3149773, 0.895844 51.3151908, 0.8956771 51.3152511, 0.8954459 51.315327)",,,,,,
"[30950984, 5119588]","['Whitstable Road', 'East Street']",secondary,20 mph,False,True,59.928999999999995,"LINESTRING (0.8960255 51.3144652, 0.8957415 51.314574, 0.8953223 51.3147215, 0.8952767 51.3147311)",2,B2040,,,,
30950985,Whitstable Road,secondary,20 mph,False,True,42.399,"LINESTRING (0.8979197 51.314038, 0.8976833 51.3140868, 0.8973428 51.3141619)",2,B2040,,,,
6073198,Briton Road,residential,30 mph,False,False,45.982,"LINESTRING (0.8880235 51.3123201, 0.887854 51.3124177, 0.8877131 51.3124879, 0.8875009 51.3125716)",,,,,,
"[153402484, 6278740]","['Forbes Road', 'Station Road']",secondary,20 mph,False,False,139.344,"LINESTRING (0.8880235 51.3123201, 0.8881444 51.3123774, 0.8883176 51.3124322, 0.8884762 51.3124433, 0.8886161 51.3124213, 0.8888708 51.3123525, 0.8889568 51.3123263, 0.8891358 51.3122764, 0.8893947 51.3122056, 0.8894438 51.3121922, 0.8897496 51.312133, 0.8898771 51.3121183)",,B2041,,,,
372949200,Forbes Road,secondary,20 mph,False,True,82.963,"LINESTRING (0.8880235 51.3123201, 0.8879607 51.3122834, 0.887909 51.3122109, 0.8878708 51.3121411, 0.8877797 51.311692, 0.8877522 51.3116072)",2,B2041,,,,
6073928,Saxon Road,residential,30 mph,False,True,95.69,"LINESTRING (0.8860325 51.3129549, 0.8864517 51.3137746)",,,,,,
6073198,Briton Road,residential,30 mph,False,True,110.603,"LINESTRING (0.8860325 51.3129549, 0.8864324 51.3128485, 0.8875009 51.3125716)",,,,,,
"[6073928, 6277887]","['School Road', 'Saxon Road']",residential,30 mph,False,False,125.721,"LINESTRING (0.8860325 51.3129549, 0.8856763 51.3122733, 0.8852404 51.3122771, 0.8850147 51.3122752)",,,,,,
6278797,Roman Road,residential,30 mph,False,False,95.644,"LINESTRING (0.8875009 51.3125716, 0.8881525 51.3133292)",,,,,,
6073198,Briton Road,residential,30 mph,False,False,110.603,"LINESTRING (0.8875009 51.3125716, 0.8864324 51.3128485, 0.8860325 51.3129549)",,,,,,
6073198,Briton Road,residential,30 mph,False,True,45.982,"LINESTRING (0.8875009 51.3125716, 0.8877131 51.3124879, 0.887854 51.3124177, 0.8880235 51.3123201)",,,,,,
6073928,Saxon Road,residential,30 mph,False,False,95.69,"LINESTRING (0.8864517 51.3137746, 0.8860325 51.3129549)",,,,,,
6073928,Saxon Road,residential,30 mph,False,True,31.817,"LINESTRING (0.8864517 51.3137746, 0.8866236 51.3140398)",,,,,,
6278733,Norman Road,residential,30 mph,False,True,128.167,"LINESTRING (0.8864517 51.3137746, 0.8881525 51.3133292)",,,,,,
6073928,Saxon Road,residential,30 mph,False,False,31.817,"LINESTRING (0.8866236 51.3140398, 0.8864517 51.3137746)",,,,,,
6073928,Saxon Road,residential,30 mph,False,True,68.313,"LINESTRING (0.8866236 51.3140398, 0.8869875 51.3146105)",,,,,,
31356427,Runnymede Mews,residential,30 mph,False,False,37.884,"LINESTRING (0.8866236 51.3140398, 0.886102 51.3141387)",,,,,,
6073928,Saxon Road,residential,30 mph,False,False,68.313,"LINESTRING (0.8869875 51.3146105, 0.8866236 51.3140398)",,,,,,
6278754,Stone Street,tertiary,30 mph,False,True,134.622,"LINESTRING (0.8869875 51.3146105, 0.8887705 51.3141375)",2,,,,,
6278754,Stone Street,tertiary,30 mph,False,False,65.313,"LINESTRING (0.8869875 51.3146105, 0.8862312 51.3148136, 0.8861924 51.3148239, 0.8861239 51.3148421)",2,,,,,
6278754,Stone Street,tertiary,30 mph,False,True,65.313,"LINESTRING (0.8861239 51.3148421, 0.8861924 51.3148239, 0.8862312 51.3148136, 0.8869875 51.3146105)",2,,,,,
1087750918,South Road,secondary,20 mph,False,True,53.202,"LINESTRING (0.8861239 51.3148421, 0.8858532 51.3147483, 0.885833 51.3147413, 0.8857339 51.3147083, 0.8856348 51.3146789, 0.8854406 51.3146275)",2,B2040,,6,,
"[141113074, 1087750925]",South Road,secondary,20 mph,False,False,62.013,"LINESTRING (0.8861239 51.3148421, 0.8863488 51.3149182, 0.8869084 51.3151078)",2,B2040,,6,,
"[31357444, 1087750917]",Plantation Road,residential,30 mph,False,True,96.54599999999999,"LINESTRING (0.8854406 51.3146275, 0.8854592 51.3145989, 0.8854664 51.3145884, 0.8854731 51.3145765, 0.8854772 51.3145644, 0.8854794 51.3145534, 0.8854853 51.3144834, 0.885483 51.3144282, 0.8854804 51.3143799, 0.8854739 51.3143323, 0.88546 51.3142799, 0.885441 51.3142328, 0.885414 51.3141831, 0.8853855 51.3141436, 0.8853391 51.3140853, 0.8852125 51.3139412, 0.8851817 51.3139013, 0.8851558 51.3138562, 0.8851431 51.3138076)","['1', '2']",,,,,
1087750918,South Road,secondary,20 mph,False,False,53.202,"LINESTRING (0.8854406 51.3146275, 0.8856348 51.3146789, 0.8857339 51.3147083, 0.885833 51.3147413, 0.8858532 51.3147483, 0.8861239 51.3148421)",2,B2040,,6,,
31528127,Napleton Road,tertiary,20 mph,True,False,56.56,"LINESTRING (0.8869084 51.3151078, 0.8868494 51.3151633, 0.8868102 51.3151969, 0.8867914 51.315211, 0.8867685 51.3152252, 0.8867446 51.3152382, 0.8867146 51.3152519, 0.8862886 51.3154274)",1,,,,,
"[141113074, 1087750925]",South Road,secondary,20 mph,False,True,62.013,"LINESTRING (0.8869084 51.3151078, 0.8863488 51.3149182, 0.8861239 51.3148421)",2,B2040,,6,,
"[222439186, 1087750926]",South Road,secondary,20 mph,False,False,99.72500000000001,"LINESTRING (0.8869084 51.3151078, 0.8870205 51.3151528, 0.8870685 51.3151746, 0.8872913 51.3152827, 0.8873934 51.3153361, 0.8876639 51.3154843, 0.888023 51.3156713)",2,B2040,,,,
222439186,South Road,secondary,20 mph,False,False,28.645,"LINESTRING (0.888023 51.3156713, 0.8883294 51.3158436)",2,B2040,,,,
31528128,Fielding Street,residential,20 mph,True,False,59.031000000000006,"LINESTRING (0.888023 51.3156713, 0.8878983 51.3157801, 0.8878413 51.3158173, 0.8877601 51.3158394, 0.8873379 51.3159601)",,,,,,
"[222439186, 1087750926]",South Road,secondary,20 mph,False,True,99.72500000000001,"LINESTRING (0.888023 51.3156713, 0.8876639 51.3154843, 0.8873934 51.3153361, 0.8872913 51.3152827, 0.8870685 51.3151746, 0.8870205 51.3151528, 0.8869084 51.3151078)",2,B2040,,,,
