osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,area,junction,tunnel,access,bridge,width,est_width
"[28105353, 1060159161, 514464517]",True,3,A5250,Burton Road,primary,30 mph,False,38.401999999999994,"LINESTRING (-1.478961 52.9172177, -1.4788264 52.9173305, -1.4787716 52.9173633, -1.4787228 52.917402, -1.4786881 52.9174282, -1.4786642 52.9174695, -1.4786589 52.9175033)",,,,,,,
8090927,False,,,Abbey Street,tertiary,30 mph,True,16.554,"LINESTRING (-1.4830007 52.9212396, -1.482993 52.9213884)",,,,,,,
5039163,False,,,Macklin Street,tertiary,30 mph,True,90.133,"LINESTRING (-1.4830007 52.9212396, -1.4829181 52.9212357, -1.4824614 52.9211361, -1.4822492 52.9210898, -1.4821542 52.9210705, -1.4817302 52.9209796)",,,,,,,
111282062,False,2,,Abbey Street,tertiary,30 mph,True,171.304,"LINESTRING (-1.4830007 52.9212396, -1.4830043 52.9211353, -1.483012 52.9210596, -1.4830205 52.9209215, -1.4830294 52.9207754, -1.4830484 52.9204644, -1.4830653 52.9202239, -1.4830665 52.9202107, -1.4830906 52.919893, -1.483093 52.9198483, -1.4831113 52.9197006)",,,,,,,
8090927,False,,,Abbey Street,tertiary,30 mph,False,62.879,"LINESTRING (-1.4830585 52.9219356, -1.4829753 52.9218725, -1.482967 52.9218378, -1.4829658 52.9218326, -1.4829649 52.9217723, -1.4829856 52.9214797, -1.482993 52.9213884)",,,,,,,
8102375,False,,,Curzon Street,tertiary,30 mph,False,73.84700000000001,"LINESTRING (-1.4830585 52.9219356, -1.4828633 52.9219881, -1.4825245 52.9221444, -1.4821649 52.9223185)",,,,,,,
"[1121871273, 8112267]",True,,,Newland Street,residential,30 mph,False,137.336,"LINESTRING (-1.4830585 52.9219356, -1.4828625 52.9218961, -1.4828232 52.9218844, -1.4827461 52.9218613, -1.4826355 52.9218283, -1.4824183 52.9217635, -1.482227 52.9217064, -1.4820288 52.9216473, -1.4811991 52.9214195)",,,,,,,
767109579,False,,,Green Lane,tertiary,30 mph,False,14.757,"LINESTRING (-1.4781148 52.9196567, -1.478092 52.9197887)",,,,,,,
5039158,False,,,Crompton Street,residential,30 mph,False,212.523,"LINESTRING (-1.4781148 52.9196567, -1.4787358 52.9197301, -1.4789352 52.9197538, -1.4809564 52.9199943, -1.4812244 52.9200278)",,,,,,,
767109579,False,,,Green Lane,tertiary,30 mph,True,69.03,"LINESTRING (-1.4781148 52.9196567, -1.4781369 52.9195404, -1.4781597 52.9194494, -1.4782234 52.919111, -1.4782264 52.9190399)",,,,,,,
9887840,False,,,Saint Peter's Churchyard,unclassified,30 mph,False,10.482,"LINESTRING (-1.4779433 52.9202967, -1.4780012 52.9202617, -1.4780557 52.9202312)",,,,,,,
