osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry,bridge,junction,access
283556046,True,SR267/a,Via Piave,secondary,30,False,55.633,,"LINESTRING (14.9916749 40.3510637, 14.9910483 40.3509144)",,,
312262509,True,,,residential,,False,46.694,,"LINESTRING (14.9916749 40.3510637, 14.9918514 40.3506659)",,,
146982374,True,SR267/a,Via Duca San Felice,secondary,30,False,22.232,,"LINESTRING (14.9910483 40.3509144, 14.9911354 40.3507258)",,,
318974894,False,SR267/a,Via San Pio X,secondary,30,False,95.226,2,"LINESTRING (14.9914138 40.3485765, 14.9920678 40.3478801)",,,
283556048,False,SR267/a,Via Cristoforo Colombo,secondary,30,True,56.504000000000005,,"LINESTRING (14.9914138 40.3485765, 14.9915626 40.3486678, 14.9917301 40.348794, 14.9917502 40.3488091, 14.9918778 40.3489381)",,,
146981594,False,,Via Moio,residential,,True,57.679,,"LINESTRING (14.993951 40.345421, 14.9937163 40.3449341)",,,
146981594,False,,Via Moio,residential,,False,19.005,,"LINESTRING (14.993951 40.345421, 14.9940258 40.3455139, 14.9940962 40.3455448)",,,
"[395004596, 283558654]",False,,Via G. Doninzetti,residential,,"[False, True]",26.291,,"LINESTRING (14.993951 40.345421, 14.9937014 40.3454954, 14.9936767 40.3455215)",,,
318974894,False,SR267/a,Via San Pio X,secondary,30,False,8.103,2,"LINESTRING (14.9920678 40.3478801, 14.9921197 40.3478189)",,,
318974894,False,SR267/a,Via San Pio X,secondary,30,True,95.226,2,"LINESTRING (14.9920678 40.3478801, 14.9914138 40.3485765)",,,
146982961,False,,Via Giovan Battista Vico,residential,,True,29.205999999999996,,"LINESTRING (14.9920678 40.3478801, 14.9919392 40.3478389, 14.9918544 40.3478011, 14.9918002 40.347752, 14.9917926 40.3477357)",,,
283389915,False,,Via Taverne,tertiary,,False,259.141,1,"LINESTRING (14.9955069 40.3489519, 14.9959794 40.3487366, 14.9962663 40.3486058, 14.9967422 40.3483787, 14.9968234 40.3483366, 14.9970663 40.3482108, 14.9972509 40.3481155, 14.9974085 40.3480342, 14.9977621 40.3478405, 14.9979231 40.3477523, 14.998074 40.3476883)",,,
283584942,True,SR267/a dir,Via I Maggio,residential,30,False,147.453,,"LINESTRING (14.9955069 40.3489519, 14.9962378 40.3495998, 14.9966729 40.3499352)",,,
"[1050604728, 283389917, 283389918]",False,SR267/a dir,"['Via Taverne', 'Via Delle Taverne']",tertiary,30,True,78.18099999999998,1,"LINESTRING (14.9955069 40.3489519, 14.9953674 40.3490194, 14.9950786 40.3491591, 14.9948424 40.3492637, 14.9947225 40.3493218)",yes,,
146982965,False,SR267/a dir,Via Aldo Moro,tertiary,30,True,10.734,,"LINESTRING (14.9940837 40.3495029, 14.9942085 40.3494864)",,,
146982965,False,SR267/a dir,Via Aldo Moro,tertiary,30,False,44.447,,"LINESTRING (14.9940837 40.3495029, 14.9936347 40.3495602, 14.9935664 40.3495689)",,,
283558656,False,,Viale Lazio,residential,,True,40.621,,"LINESTRING (14.9940837 40.3495029, 14.9940319 40.3493774, 14.9941263 40.349155)",,,
146982965,False,SR267/a dir,Via Aldo Moro,tertiary,30,False,94.885,,"LINESTRING (14.9935664 40.3495689, 14.9931615 40.3496221, 14.992463 40.3497139)",,,
146982965,False,SR267/a dir,Via Aldo Moro,tertiary,30,True,44.447,,"LINESTRING (14.9935664 40.3495689, 14.9936347 40.3495602, 14.9940837 40.3495029)",,,
146982965,False,SR267/a dir,Via Aldo Moro,tertiary,30,True,94.885,,"LINESTRING (14.992463 40.3497139, 14.9931615 40.3496221, 14.9935664 40.3495689)",,,
283556048,False,SR267/a,Via Cristoforo Colombo,secondary,30,False,64.323,,"LINESTRING (14.992463 40.3497139, 14.99237 40.349579, 14.9922012 40.3493341, 14.99211 40.3492018)",,,
293180831,False,SR267/a,Via Chili,secondary,30,False,61.60399999999999,,"LINESTRING (14.992463 40.3497139, 14.9922448 40.3498731, 14.9920465 40.3500177, 14.9919727 40.3501176)",,,
