osmid,oneway,name,highway,reversed,length,maxspeed,geometry,tunnel,junction
46468734,True,Via Ascenzo Mauceri,residential,False,27.528,,"LINESTRING (15.0727699 36.8915349, 15.0728614 36.8917714)",,
46468742,True,Via Camillo Benso Conte di Cavour,tertiary,False,67.585,50,"LINESTRING (15.0727699 36.8915349, 15.0720504 36.8917306)",,
46468742,True,Via Camillo Benso Conte di Cavour,tertiary,False,71.358,50,"LINESTRING (15.0720504 36.8917306, 15.0712897 36.8919348)",,
196182757,True,Via Vincenzo Gioberti,residential,False,31.022,,"LINESTRING (15.0720504 36.8917306, 15.0719387 36.8914663)",,
961087505,True,Via Napoli,secondary,False,19.878,50,"LINESTRING (15.0760607 36.8878633, 15.0760429 36.8880415)",,
27854625,False,Via Francesco Maiore,secondary,False,55.08,50,"LINESTRING (15.0760607 36.8878633, 15.0759801 36.8878738, 15.0754597 36.8879819)",,
46468852,True,Vico Filippo Tortora,residential,False,51.904,,"LINESTRING (15.0757605 36.8912011, 15.0755601 36.8907627)",,
287185661,False,Vico Antonino Mariscalco,tertiary,False,49.972,,"LINESTRING (15.0757605 36.8912011, 15.075852 36.8913856, 15.0758651 36.891432, 15.0758581 36.8914693, 15.0758184 36.8915551, 15.0757989 36.8916276)",,
287798228,False,Via Angelo Cavarra,secondary,False,99.724,50,"LINESTRING (15.0757605 36.8912011, 15.0755789 36.8912792, 15.0753408 36.8913629, 15.0753133 36.8913704, 15.0751161 36.8914595, 15.0750009 36.8915186, 15.0747876 36.8916412)",,
287798228,False,Via Angelo Cavarra,secondary,True,67.727,50,"LINESTRING (15.0757605 36.8912011, 15.0758342 36.8911424, 15.0758981 36.8910481, 15.0759445 36.8909319, 15.0760099 36.8906399)",,
287711001,True,Via Angelo Cavarra,secondary,False,53.605,,"LINESTRING (15.0748879 36.8944096, 15.0750853 36.8948651)",,
