osmid,oneway,name,highway,width,reversed,length,geometry,lanes,ref,maxspeed
5307451,False,Manor Road,residential,"17'8""",True,79.36099999999999,"LINESTRING (-76.5418243 39.3778761, -76.5421467 39.3776177, -76.5424653 39.3773624)",,,
5311803,False,Maple Avenue,residential,"19'8""",True,29.964,"LINESTRING (-76.5418243 39.3778761, -76.5418951 39.3779393, -76.5419806 39.3780008, -76.5420775 39.3780602)",,,
123164290,True,Dubois Avenue,residential,"12'0""",False,72.16,"LINESTRING (-76.5418243 39.3778761, -76.5416457 39.3777091, -76.5412619 39.3773947)",,,
5304216,False,Temple Avenue,residential,"20'8""",False,95.674,"LINESTRING (-76.5420775 39.3780602, -76.5420039 39.3780908, -76.541909 39.3781131, -76.5417668 39.3781483, -76.5416735 39.3781694, -76.5416327 39.3781868, -76.5416004 39.3782069, -76.5415479 39.3782617, -76.541384 39.378454, -76.541271 39.3785905)",,,
5311803,False,Maple Avenue,residential,"19'8""",False,29.964,"LINESTRING (-76.5420775 39.3780602, -76.5419806 39.3780008, -76.5418951 39.3779393, -76.5418243 39.3778761)",,,
5311803,False,Maple Avenue,residential,"19'8""",True,250.024,"LINESTRING (-76.5420775 39.3780602, -76.542781 39.378436, -76.543283 39.378715, -76.5444395 39.3793723)",,,
895216019,False,Opal Road,residential,,True,95.632,"LINESTRING (-76.5386136 39.3814483, -76.5394034 39.3808425)",,,
5297983,False,Topaz Road,residential,,False,172.018,"LINESTRING (-76.5386136 39.3814483, -76.5372481 39.3804144, -76.5371693 39.3803809)",,,
5297983,False,Topaz Road,residential,,True,172.018,"LINESTRING (-76.5371693 39.3803809, -76.5372481 39.3804144, -76.5386136 39.3814483)",,,
545310158,False,Harford Road,primary,,False,88.205,"LINESTRING (-76.5371693 39.3803809, -76.5370661 39.3805049, -76.5369383 39.3806584, -76.5367842 39.3808435, -76.536614 39.381048)",2,MD 147,30 mph
545310158,False,Harford Road,primary,,True,89.175,"LINESTRING (-76.5371693 39.3803809, -76.5376261 39.3798672, -76.537757 39.37972)",2,MD 147,30 mph
"[1086840048, 144688804]",False,Harford Road,primary,,True,96.184,"LINESTRING (-76.5421745 39.3745413, -76.5424346 39.3742446, -76.5426706 39.373977, -76.5428037 39.373826)","['4', '2']",MD 147,30 mph
