osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,lanes,width
20123129,West Avenue,residential,30 mph,False,True,2.468,"LINESTRING (-77.4446196 43.1014976, -77.4445892 43.1014974)",,,,
20111709,Packetts Grove,residential,,False,False,186.084,"LINESTRING (-77.4446196 43.1014976, -77.4446216 43.1014435, -77.4446243 43.1012586, -77.4446235 43.100648, -77.4446516 43.1005139, -77.4447506 43.1004401, -77.4448877 43.1003965, -77.4448877 43.1002285, -77.4448878 43.0999208)",,,,
20123129,West Avenue,residential,30 mph,False,False,140.417,"LINESTRING (-77.4446196 43.1014976, -77.4455089 43.1015049, -77.446349 43.101513)",,,,
"[20112514, 295865788, 295865789]",North Water Street,residential,,False,False,81.80299999999998,"LINESTRING (-77.438923 43.103309, -77.4389569 43.1032249, -77.4390453 43.1030051, -77.439113 43.102837, -77.4391718 43.1026834, -77.4392029 43.1026023)",yes,,,
295865788,North Water Street,residential,,False,False,19.23,"LINESTRING (-77.4392029 43.1026023, -77.439276 43.1024378)",,,,
20131281,Railroad Street,residential,30 mph,False,True,244.631,"LINESTRING (-77.4392029 43.1026023, -77.4395843 43.1027163, -77.439844 43.1028269, -77.4399456 43.1028735, -77.4403266 43.1030549, -77.441317 43.10347, -77.4416121 43.1035129, -77.4417834 43.1035136, -77.4418947 43.1035174)",,,,
"[20112514, 295865788, 295865789]",North Water Street,residential,,False,True,81.80300000000001,"LINESTRING (-77.4392029 43.1026023, -77.4391718 43.1026834, -77.439113 43.102837, -77.4390453 43.1030051, -77.4389569 43.1032249, -77.438923 43.103309)",yes,,,
20112515,South Water Street,residential,,False,False,73.03999999999999,"LINESTRING (-77.4393818 43.1021642, -77.439464 43.101977, -77.4394692 43.1019651, -77.439499 43.101897, -77.439642 43.1015922, -77.439666 43.101541)",,,,
20112515,South Water Street,residential,,False,True,73.04,"LINESTRING (-77.439666 43.101541, -77.439642 43.1015922, -77.439499 43.101897, -77.4394692 43.1019651, -77.439464 43.101977, -77.4393818 43.1021642)",,,,
20140769,Liftbridge Lane East,residential,30 mph,False,False,85.197,"LINESTRING (-77.439666 43.101541, -77.4394358 43.1014479, -77.438748 43.1011698)",,,,
20140769,Liftbridge Lane East,residential,30 mph,False,True,203.59099999999998,"LINESTRING (-77.439666 43.101541, -77.439789 43.1015878, -77.4399915 43.1016648, -77.4402578 43.1017662, -77.4403995 43.1018201, -77.4410509 43.10207, -77.4411505 43.1021077, -77.4416085 43.1022808, -77.4417982 43.1023222, -77.441912 43.102347)",,,,
20113779,Roselawn Avenue,residential,30 mph,False,False,116.92099999999999,"LINESTRING (-77.444573 43.102586, -77.4446341 43.1025866, -77.446013 43.102601)",,,,
"[20123129, 20113779]","['Roselawn Avenue', 'West Avenue']",residential,30 mph,False,"[False, True]",294.27600000000007,"LINESTRING (-77.444573 43.102586, -77.4445315 43.1025847, -77.444494 43.1025835, -77.444227 43.102575, -77.444087 43.102555, -77.443971 43.102525, -77.4438326 43.1024861, -77.4437315 43.1024421, -77.4436168 43.1023754, -77.4434242 43.102256, -77.4429959 43.1019606, -77.4428831 43.1019099, -77.4428503 43.1018586, -77.4428524 43.1017919, -77.4428596 43.1015567, -77.442861 43.1015121, -77.4428617 43.1014894, -77.4430833 43.10149, -77.443538 43.1014895, -77.4437341 43.1014908, -77.443904 43.101492)",,,,
20140805,Beardsley Street,residential,30 mph,False,False,121.054,"LINESTRING (-77.444573 43.102586, -77.4445888 43.1015982, -77.4445888 43.1015711, -77.4445892 43.1014974)",,,,
20113779,Roselawn Avenue,residential,30 mph,False,False,139.167,"LINESTRING (-77.446013 43.102601, -77.447727 43.102618)",,,,
20113779,Roselawn Avenue,residential,30 mph,False,True,116.92099999999999,"LINESTRING (-77.446013 43.102601, -77.4446341 43.1025866, -77.444573 43.102586)",,,,
20113779,Roselawn Avenue,residential,30 mph,False,True,139.167,"LINESTRING (-77.447727 43.102618, -77.446013 43.102601)",,,,
20134874,Cole Street,residential,30 mph,False,False,121.431,"LINESTRING (-77.447727 43.102618, -77.4477277 43.1025636, -77.4477402 43.1016475, -77.447741 43.1015974, -77.447742 43.101526)",,,,
20114352,Pleasant Street,residential,,True,False,195.07,"LINESTRING (-77.4419533 43.0995331, -77.4418471 43.0995329, -77.4414936 43.0995321, -77.440557 43.09953, -77.4401287 43.0995224, -77.4396153 43.0995133, -77.439551 43.0995122)",,,,
