osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry
9427517,False,2,GA 53,primary,55 mph,False,293.572,,"LINESTRING (-84.4651439 34.465043, -84.468341 34.4648936)"
"[563975761, 9427517, 563969942]",False,2,GA 53,primary,"['55 mph', '45 mph']",True,146.478,West Church Street,"LINESTRING (-84.4651439 34.465043, -84.4644691 34.4650694, -84.464258 34.4650779, -84.4641727 34.4650813, -84.4640643 34.4650856, -84.4636177 34.4651089, -84.4635484 34.4651125)"
9427517,False,2,GA 53,primary,55 mph,True,293.572,,"LINESTRING (-84.468341 34.4648936, -84.4651439 34.465043)"
9427517,False,2,GA 53,primary,55 mph,False,411.25800000000004,,"LINESTRING (-84.468341 34.4648936, -84.4717843 34.4647392, -84.4728203 34.4646927)"
9428115,False,,,residential,,True,613.559,Hyde Road,"LINESTRING (-84.468341 34.4648936, -84.4684281 34.4626621, -84.46846 34.461846, -84.468681 34.461434, -84.4692567 34.4609401, -84.469455 34.46077, -84.469676 34.460335, -84.469786 34.459716)"
9428115,False,,,residential,,False,613.559,Hyde Road,"LINESTRING (-84.469786 34.459716, -84.469676 34.460335, -84.469455 34.46077, -84.4692567 34.4609401, -84.468681 34.461434, -84.46846 34.461846, -84.4684281 34.4626621, -84.468341 34.4648936)"
47453003,False,2,,residential,,False,726.46,,"LINESTRING (-84.4731818 34.4590259, -84.4736031 34.4593645, -84.4738339 34.4595499, -84.4740592 34.459731, -84.4741836 34.4598309, -84.4742654 34.4599072, -84.4743163 34.459989, -84.4743566 34.4600665, -84.4743767 34.4601494, -84.4743834 34.4602412, -84.4743805 34.4602857, -84.4743525 34.46072, -84.4743036 34.4613843, -84.4742872 34.4614864, -84.4742654 34.4615863, -84.4740414 34.462393, -84.4737866 34.4633086, -84.4737544 34.4633843, -84.4736874 34.4634802, -84.4735828 34.4635584, -84.4730705 34.4637552, -84.4729799 34.4637989, -84.4729028 34.4638515, -84.4728386 34.4639243, -84.4728012 34.4640037, -84.4727826 34.4640942, -84.4727828 34.4641781, -84.4728203 34.4646927)"
9427517,False,2,GA 53,primary,55 mph,True,411.25800000000004,,"LINESTRING (-84.4728203 34.4646927, -84.4717843 34.4647392, -84.468341 34.4648936)"
47453003,False,2,,residential,,True,726.4599999999998,,"LINESTRING (-84.4728203 34.4646927, -84.4727828 34.4641781, -84.4727826 34.4640942, -84.4728012 34.4640037, -84.4728386 34.4639243, -84.4729028 34.4638515, -84.4729799 34.4637989, -84.4730705 34.4637552, -84.4735828 34.4635584, -84.4736874 34.4634802, -84.4737544 34.4633843, -84.4737866 34.4633086, -84.4740414 34.462393, -84.4742654 34.4615863, -84.4742872 34.4614864, -84.4743036 34.4613843, -84.4743525 34.46072, -84.4743805 34.4602857, -84.4743834 34.4602412, -84.4743767 34.4601494, -84.4743566 34.4600665, -84.4743163 34.459989, -84.4742654 34.4599072, -84.4741836 34.4598309, -84.4740592 34.459731, -84.4738339 34.4595499, -84.4736031 34.4593645, -84.4731818 34.4590259)"
"[563975761, 9427517, 563969942]",False,2,GA 53,primary,"['55 mph', '45 mph']",False,146.478,West Church Street,"LINESTRING (-84.4635484 34.4651125, -84.4636177 34.4651089, -84.4640643 34.4650856, -84.4641727 34.4650813, -84.464258 34.4650779, -84.4644691 34.4650694, -84.4651439 34.465043)"
