osmid,name,highway,access,oneway,reversed,length,geometry,maxspeed,lanes,ref
"[1211157795, 1211157796, 8675159]",Vaughan Ridge Road,residential,permissive,False,False,137.00900000000001,"LINESTRING (-83.2422808 42.5803233, -83.2423484 42.5802875, -83.2424738 42.5802209, -83.2425425 42.5801924, -83.242611 42.580171, -83.2426613 42.5801588, -83.2427126 42.5801496, -83.2427591 42.5801448, -83.242806 42.5801421, -83.2429019 42.5801457, -83.2429679 42.5801443, -83.243033 42.5801366, -83.2431292 42.5801213, -83.2432282 42.5801001, -83.243326 42.5800723, -83.2434103 42.5800452, -83.2434931 42.5800153, -83.2435883 42.5799776, -83.2436811 42.5799372, -83.2437428 42.5799076, -83.2438029 42.5798753)",,,
1070668364,Vaughan Ridge Road,residential,permissive,True,False,53.765,"LINESTRING (-83.2443153 42.5795843, -83.2442312 42.579602, -83.244181 42.5796252, -83.2440642 42.5796873, -83.2440122 42.5797195, -83.2439617 42.5797534, -83.2438658 42.5798225, -83.2438029 42.5798753)",,,
8682973,High Oak Road,residential,,False,False,97.295,"LINESTRING (-83.241252 42.5832957, -83.2412772 42.5833486, -83.2412932 42.5833964, -83.2414245 42.5839177, -83.2414838 42.5841532)",,,
8713738,East Long Lake Road,tertiary,,False,True,52.08,"LINESTRING (-83.2412912 42.5843805, -83.2419125 42.58428)",35 mph,,
"[8685562, 1209617358]",Longwood Drive,residential,,False,"[False, True]",223.94499999999996,"LINESTRING (-83.2483526 42.5834047, -83.2483892 42.5835583, -83.2484588 42.5838219, -83.248503 42.5840021, -83.2485078 42.5840362, -83.2485051 42.5840673, -83.248497 42.5840977, -83.248484 42.5841267, -83.2484543 42.5841716, -83.2484196 42.5842055, -83.248386 42.5842292, -83.248307 42.584273, -83.2482704 42.5843018, -83.2482452 42.5843369, -83.2482261 42.5843946, -83.2482195 42.5844548, -83.2482138 42.5847397, -83.2482075 42.5850547, -83.2481993 42.5850982, -83.2481752 42.5851382, -83.2481322 42.5851717, -83.2480831 42.585193, -83.24804 42.5852016, -83.2479418 42.5852063)",,,
723762391,Long Lake Road,tertiary,,False,False,167.186,"LINESTRING (-83.2483526 42.5834047, -83.2486437 42.5833517, -83.2487634 42.5833259, -83.2489123 42.5832906, -83.2490943 42.5832409, -83.249289 42.5831824, -83.2494831 42.5831204, -83.2496996 42.5830444, -83.2499098 42.5829618, -83.250066 42.5828919, -83.2502169 42.5828142)",35 mph,,
"[47463373, 723762391]",Long Lake Road,tertiary,,False,True,233.84600000000006,"LINESTRING (-83.2483526 42.5834047, -83.2483168 42.58341, -83.2479775 42.5834564, -83.2478579 42.5834727, -83.247423 42.5835322, -83.2473411 42.5835432, -83.2472465 42.5835559, -83.2471292 42.5835717, -83.2469043 42.583602, -83.2467153 42.5836274, -83.2466568 42.583635, -83.245542 42.583779)",35 mph,,
502610530,Woodward Avenue,primary,,True,False,77.899,"LINESTRING (-83.2469867 42.5861487, -83.2474195 42.5867726)",50 mph,4,M 1
8694395,Opdyke Road,secondary,,True,False,90.934,"LINESTRING (-83.2469867 42.5861487, -83.247092 42.5864865, -83.2471141 42.5865742, -83.2471313 42.5867887, -83.2471386 42.5868718, -83.2471605 42.5869541)",25 mph,1,
116391396,Opdyke Road,secondary,,True,False,37.066,"LINESTRING (-83.2471605 42.5869541, -83.247191 42.5868242, -83.2472134 42.5867916, -83.2472508 42.5867687, -83.2472922 42.5867572, -83.2473465 42.586755, -83.2474195 42.5867726)",25 mph,1,
"[624215225, 8694463]",Barbour Lane,residential,permissive,False,True,153.58999999999997,"LINESTRING (-83.249304 42.580994, -83.249238 42.581089, -83.249181 42.581184, -83.249057 42.581411, -83.248886 42.581606, -83.248862 42.581633, -83.248646 42.581807, -83.248437 42.581903, -83.248291 42.58193, -83.248136 42.581927, -83.2481097 42.5819294)",,,
8697467,Barden Road,residential,,False,False,86.075,"LINESTRING (-83.249304 42.580994, -83.2492465 42.5809486, -83.249072 42.580811, -83.248984 42.580715, -83.248924 42.58063, -83.248761 42.580427, -83.248714 42.580359)",,,
8697467,Barden Road,residential,,False,True,133.33499999999998,"LINESTRING (-83.249304 42.580994, -83.2493169 42.5810016, -83.249455 42.581083, -83.249806 42.58128, -83.250613 42.581707)",,,
8697467,Barden Road,residential,,False,True,59.256,"LINESTRING (-83.248443 42.579866, -83.248526 42.580051, -83.248608 42.580205, -83.248714 42.580359)",,,
8718944,Vaughn Road,residential,,False,True,35.86,"LINESTRING (-83.2512737 42.5820699, -83.2509375 42.5818632)",,,
723762391,Long Lake Road,tertiary,,False,True,119.79100000000001,"LINESTRING (-83.2512737 42.5820699, -83.251053 42.582222, -83.250684 42.582495, -83.2502927 42.582771, -83.2502169 42.5828142)",35 mph,,
8697467,Barden Road,residential,,False,False,31.742,"LINESTRING (-83.2509375 42.5818632, -83.250613 42.581707)",,,
8718944,Vaughn Road,residential,,False,False,35.86,"LINESTRING (-83.2509375 42.5818632, -83.2512737 42.5820699)",,,
8697467,Barden Road,residential,,False,True,31.742,"LINESTRING (-83.250613 42.581707, -83.2509375 42.5818632)",,,
8697467,Barden Road,residential,,False,False,133.335,"LINESTRING (-83.250613 42.581707, -83.249806 42.58128, -83.249455 42.581083, -83.2493169 42.5810016, -83.249304 42.580994)",,,
8716465,Vaughan Crossing,residential,permissive,False,False,148.071,"LINESTRING (-83.250613 42.581707, -83.2502 42.582098, -83.249975 42.582269, -83.249648 42.58244, -83.249494 42.582496, -83.2492608 42.5825365)",,,
8697467,Barden Road,residential,,False,False,59.256,"LINESTRING (-83.248714 42.580359, -83.248608 42.580205, -83.248526 42.580051, -83.248443 42.579866)",,,
8697467,Barden Road,residential,,False,True,86.075,"LINESTRING (-83.248714 42.580359, -83.248761 42.580427, -83.248924 42.58063, -83.248984 42.580715, -83.249072 42.580811, -83.2492465 42.5809486, -83.249304 42.580994)",,,
8718826,Barden Court,residential,permissive,False,False,227.94500000000002,"LINESTRING (-83.248714 42.580359, -83.248575 42.580414, -83.24837 42.580502, -83.2481782 42.5805796, -83.248076 42.580644, -83.247991 42.58072, -83.247969 42.580828, -83.24797 42.580909, -83.247961 42.580968, -83.247853 42.581035, -83.24764 42.581139, -83.247418 42.5812, -83.247289 42.58121, -83.246979 42.58121, -83.24686 42.581214, -83.246725 42.581254, -83.2465707 42.5813744)",,,
8697852,Long Lake Road,tertiary,,False,False,28.686,"LINESTRING (-83.245197 42.583824, -83.245542 42.583779)",35 mph,,
"[399481050, 399481052]",East Long Lake Road,tertiary,,False,False,242.62900000000002,"LINESTRING (-83.245197 42.583824, -83.2447328 42.5839028, -83.2445268 42.5839314, -83.2441528 42.5839834, -83.2440577 42.583996, -83.2439926 42.5840046, -83.243942 42.5840111, -83.2433446 42.5840901, -83.2432552 42.5841023, -83.2430569 42.5841286, -83.2426583 42.5841783, -83.2425107 42.5841967, -83.242285 42.5842271)",35 mph,,
502610532,Woodward Avenue,primary,,True,False,213.361,"LINESTRING (-83.245197 42.583824, -83.2453299 42.5839794, -83.2455733 42.5842475, -83.2457404 42.5844399, -83.2461 42.584854, -83.2462452 42.5850556, -83.246541 42.585466)",50 mph,5,M 1
8697852,Long Lake Road,tertiary,,False,True,28.686,"LINESTRING (-83.245542 42.583779, -83.245197 42.583824)",35 mph,,
"[47463373, 723762391]",Long Lake Road,tertiary,,False,False,233.846,"LINESTRING (-83.245542 42.583779, -83.2466568 42.583635, -83.2467153 42.5836274, -83.2469043 42.583602, -83.2471292 42.5835717, -83.2472465 42.5835559, -83.2473411 42.5835432, -83.247423 42.5835322, -83.2478579 42.5834727, -83.2479775 42.5834564, -83.2483168 42.58341, -83.2483526 42.5834047)",35 mph,,
"[502610507, 502610508]",Woodward Avenue,primary,,True,False,64.19200000000001,"LINESTRING (-83.245542 42.583779, -83.2451788 42.5833918, -83.2450964 42.583304)",50 mph,"['4', '5']",M 1
723762391,Long Lake Road,tertiary,,False,False,119.791,"LINESTRING (-83.2502169 42.5828142, -83.2502927 42.582771, -83.250684 42.582495, -83.251053 42.582222, -83.2512737 42.5820699)",35 mph,,
723762391,Long Lake Road,tertiary,,False,True,167.186,"LINESTRING (-83.2502169 42.5828142, -83.250066 42.5828919, -83.2499098 42.5829618, -83.2496996 42.5830444, -83.2494831 42.5831204, -83.249289 42.5831824, -83.2490943 42.5832409, -83.2489123 42.5832906, -83.2487634 42.5833259, -83.2486437 42.5833517, -83.2483526 42.5834047)",35 mph,,
"[502610584, 257528181, 502610575]",Woodward Avenue,primary,,True,False,222.783,"LINESTRING (-83.243642 42.58218, -83.2438064 42.5823624, -83.2441181 42.5826818, -83.244348 42.582924, -83.2445143 42.5830994, -83.2446085 42.5831987, -83.2449464 42.583555, -83.2451 42.583717, -83.245197 42.583824)",50 mph,"['4', '5']",M 1
39451932,,primary_link,,True,False,34.077999999999996,"LINESTRING (-83.246541 42.585466, -83.246654 42.5855048, -83.2467153 42.5855085, -83.246781 42.5854984, -83.2468358 42.5854664, -83.2468823 42.5854071)",,1,
502610530,Woodward Avenue,primary,,True,False,84.264,"LINESTRING (-83.246541 42.585466, -83.2468193 42.5858668, -83.2469867 42.5861487)",50 mph,4,M 1
"[257528184, 502610509]",Woodward Avenue,primary,,True,False,211.766,"LINESTRING (-83.2468823 42.5854071, -83.2462916 42.5846523, -83.24621 42.584548, -83.2458532 42.58413, -83.245674 42.58392, -83.245542 42.583779)",50 mph,"['4', '5']",M 1
1209617357,Longwood Drive,residential,,False,False,59.07399999999999,"LINESTRING (-83.2468823 42.5854071, -83.2470027 42.5853428, -83.247292 42.5852275, -83.2473925 42.5852022, -83.2475301 42.5852048)",,,
"[502610512, 257707574]",Woodward Avenue,primary,,True,False,182.839,"LINESTRING (-83.247858 42.586886, -83.247445 42.586286, -83.2471683 42.5858538, -83.2468823 42.5854071)",50 mph,"['4', '5']",M 1
"[8711618, 1219633541]",Scenic Oaks Drive,residential,,False,True,195.86200000000005,"LINESTRING (-83.247858 42.586886, -83.2480482 42.5868083, -83.2481137 42.5867794, -83.2483883 42.5866591, -83.2486092 42.5865708, -83.2486523 42.5865558, -83.2486985 42.5865423, -83.2487943 42.5865206, -83.2488638 42.5865078, -83.2489369 42.5864968, -83.2491565 42.5864756, -83.2492503 42.5864618, -83.2493084 42.5864546, -83.249362 42.5864526, -83.2494625 42.5864573, -83.2495214 42.5864632, -83.2495558 42.5864714, -83.2495878 42.5864827, -83.2498503 42.5866242, -83.2499765 42.5867055, -83.2499995 42.5867188)",,,
257707574,Woodward Avenue,primary,,True,False,38.018,"LINESTRING (-83.2484763 42.587716, -83.2482413 42.5874211)",50 mph,4,M 1
"[8711618, 1219633542]",Scenic Oaks Drive,residential,,False,False,88.14100000000002,"LINESTRING (-83.2484763 42.587716, -83.2486603 42.5876389, -83.2487264 42.5876034, -83.2487666 42.587576, -83.248834 42.5875149, -83.24889 42.5874739, -83.2489582 42.5874392, -83.2490073 42.5874265, -83.2490654 42.5874197, -83.2491763 42.5874156, -83.2492561 42.5874097, -83.2493406 42.5873949, -83.2494054 42.5873743)",,,
8713738,East Long Lake Road,tertiary,,False,False,31.06,"LINESTRING (-83.242285 42.5842271, -83.2421464 42.5842453, -83.2419125 42.58428)",35 mph,,
"[399481050, 399481052]",East Long Lake Road,tertiary,,False,True,242.62900000000002,"LINESTRING (-83.242285 42.5842271, -83.2425107 42.5841967, -83.2426583 42.5841783, -83.2430569 42.5841286, -83.2432552 42.5841023, -83.2433446 42.5840901, -83.243942 42.5840111, -83.2439926 42.5840046, -83.2440577 42.583996, -83.2441528 42.5839834, -83.2445268 42.5839314, -83.2447328 42.5839028, -83.245197 42.583824)",35 mph,,
8711618,Scenic Oaks Drive,residential,,False,False,85.297,"LINESTRING (-83.2494054 42.5873743, -83.2494619 42.5873406, -83.2495121 42.5872999, -83.2496125 42.5872078, -83.2496901 42.5871134, -83.2497704 42.5870239, -83.2498415 42.5869382, -83.2498894 42.5868928, -83.2499466 42.5868515, -83.2500042 42.586806, -83.2500214 42.5867868, -83.2500267 42.5867664)",,,
"[8711618, 1219633542]",Scenic Oaks Drive,residential,,False,True,88.14099999999999,"LINESTRING (-83.2494054 42.5873743, -83.2493406 42.5873949, -83.2492561 42.5874097, -83.2491763 42.5874156, -83.2490654 42.5874197, -83.2490073 42.5874265, -83.2489582 42.5874392, -83.24889 42.5874739, -83.248834 42.5875149, -83.2487666 42.587576, -83.2487264 42.5876034, -83.2486603 42.5876389, -83.2484763 42.587716)",,,
306687588,Scenic Oaks Drive North,residential,,False,True,126.15599999999998,"LINESTRING (-83.2494054 42.5873743, -83.2494616 42.5874488, -83.2495069 42.587502, -83.249558 42.5875503, -83.2495877 42.5875718, -83.2496232 42.5875926, -83.2496673 42.5876129, -83.2497248 42.5876333, -83.2498344 42.5876714, -83.2499538 42.5877232, -83.2500838 42.5877637, -83.2501986 42.5877898, -83.2502608 42.5878069, -83.2503102 42.5878238, -83.2503496 42.5878463, -83.2503817 42.5878742, -83.2504025 42.587902, -83.2504158 42.5879312, -83.2504222 42.5879515, -83.2504269 42.587972, -83.2504309 42.5880132, -83.2504286 42.5880554, -83.2504213 42.5880974)",,,
"[8711618, 1219633541]",Scenic Oaks Drive,residential,,False,False,195.86200000000002,"LINESTRING (-83.2499995 42.5867188, -83.2499765 42.5867055, -83.2498503 42.5866242, -83.2495878 42.5864827, -83.2495558 42.5864714, -83.2495214 42.5864632, -83.2494625 42.5864573, -83.249362 42.5864526, -83.2493084 42.5864546, -83.2492503 42.5864618, -83.2491565 42.5864756, -83.2489369 42.5864968, -83.2488638 42.5865078, -83.2487943 42.5865206, -83.2486985 42.5865423, -83.2486523 42.5865558, -83.2486092 42.5865708, -83.2483883 42.5866591, -83.2481137 42.5867794, -83.2480482 42.5868083, -83.247858 42.586886)",,,
8711618,Scenic Oaks Drive,residential,,False,True,5.82,"LINESTRING (-83.2499995 42.5867188, -83.2500189 42.5867418, -83.2500267 42.5867664)",,,
400068881,Scenic Oaks Drive,residential,,False,True,79.913,"LINESTRING (-83.2499995 42.5867188, -83.25005 42.5866726, -83.2501204 42.5865961, -83.2501451 42.5865789, -83.2501783 42.5865665, -83.2502156 42.5865608, -83.2502549 42.5865627, -83.2502963 42.5865741, -83.2503344 42.5865969, -83.2503539 42.5866183, -83.250368 42.5866507, -83.2503638 42.5866956, -83.2503334 42.5867363, -83.2502931 42.5867596, -83.2502367 42.5867715, -83.2501748 42.5867661, -83.2501156 42.5867583, -83.2500634 42.586759, -83.2500267 42.5867664)",,,
8716465,Vaughan Crossing,residential,permissive,False,True,148.071,"LINESTRING (-83.2492608 42.5825365, -83.249494 42.582496, -83.249648 42.58244, -83.249975 42.582269, -83.2502 42.582098, -83.250613 42.581707)",,,
