osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,junction
"[90153618, 90153517, 21386517]",True,2,SR 59,Martin Luther King Jr Boulevard,primary,35 mph,False,325.692,yes,"LINESTRING (-81.5207203 41.0845115, -81.5209592 41.0842733, -81.5211621 41.0840768, -81.5212487 41.0839978, -81.5213373 41.0839308, -81.5214489 41.0838491, -81.5215361 41.0837819, -81.5216799 41.0836862, -81.5219816 41.0834915, -81.5222789 41.083324, -81.5225606 41.0831895, -81.5227626 41.0830975, -81.5229462 41.0830265, -81.5232986 41.082899, -81.523767 41.0827886)",
"[79874258, 90153492, 90153486]",True,2,,,primary_link,,False,204.48,yes,"LINESTRING (-81.5207203 41.0845115, -81.520903 41.08405, -81.520904 41.0838717, -81.5208611 41.0836776, -81.5207718 41.0835305, -81.5206667 41.0834066, -81.5205491 41.0832963, -81.520429 41.0832206, -81.5203298 41.0831799, -81.5201485 41.083118, -81.5199308 41.0830471)",
"[1059784075, 1059784076, 1058550550, 1058550551, 1058550552, 1058550553, 591866940, 21381086]",True,"['4', '3', '2']",SR 59,Martin Luther King Jr Boulevard,primary,35 mph,False,677.1139999999999,,"LINESTRING (-81.5216546 41.0826852, -81.5213173 41.0829439, -81.5211075 41.0831107, -81.5208055 41.0833716, -81.5206045 41.0835579, -81.5204031 41.0837746, -81.5202519 41.0839436, -81.5201503 41.0840634, -81.5199867 41.0842856, -81.5198815 41.0844476, -81.5198126 41.0845582, -81.5197193 41.0847621, -81.5196421 41.0849411, -81.5196017 41.0850648, -81.5195432 41.0852855, -81.5195297 41.0853366, -81.5194104 41.0857156, -81.5193597 41.0858538, -81.5193342 41.0859079, -81.5192984 41.0859841, -81.5192387 41.086089, -81.5191348 41.0862236, -81.5190196 41.0863312, -81.5188985 41.0864207, -81.5187487 41.0865111, -81.518634 41.0865646, -81.5182774 41.0867013, -81.5179474 41.0868278, -81.5175458 41.0869817, -81.5172177 41.0870805, -81.5168395 41.0871559)",
268208040,True,,,Dart Avenue,primary,,False,289.11199999999997,,"LINESTRING (-81.5216546 41.0826852, -81.5215279 41.0827331, -81.521135 41.082956, -81.520976 41.083052, -81.5208389 41.0831527, -81.5206568 41.0833094, -81.5204767 41.0834811, -81.5199546 41.084012, -81.5198384 41.0841053, -81.5196633 41.0842062, -81.5193951 41.0843353, -81.5193089 41.0843699, -81.5191554 41.0844271)",
"[79874360, 1016745380]",True,1,SR 59,Rand Avenue,primary,35 mph,False,308.235,,"LINESTRING (-81.5212095 41.0847021, -81.5213626 41.0845122, -81.5215984 41.0842089, -81.5217261 41.0840526, -81.5218366 41.0839369, -81.5220418 41.0837414, -81.5222024 41.0836087, -81.5222713 41.0835581, -81.5223487 41.0835012, -81.5224765 41.0834159, -81.5226943 41.083281, -81.5228618 41.0831873, -81.5230438 41.0830924, -81.523767 41.0827886)",
"[21390785, 21417470]",False,,SR 18,"['West Market Street', 'East Market Street']",primary,25 mph,"[False, True]",162.886,,"LINESTRING (-81.5168127 41.0851193, -81.516994 41.0851658, -81.5172942 41.0852378, -81.5176495 41.0853244, -81.5179194 41.0853921, -81.5185182 41.0855484, -81.518561 41.0855604, -81.5186534 41.0855887)",
"[21406840, 207084884]",False,,,North Main Street,secondary,25 mph,False,240.80800000000005,,"LINESTRING (-81.5168127 41.0851193, -81.5167483 41.0852493, -81.5165444 41.0856921, -81.5165209 41.0857495, -81.5164962 41.0858097, -81.5164795 41.0858505, -81.516433 41.085964, -81.5164 41.086058, -81.5163789 41.0861333, -81.5163697 41.0861982, -81.5163639 41.0862694, -81.5163691 41.0863239, -81.5163861 41.0863994, -81.5164132 41.0864749, -81.5164506 41.0865504, -81.5166 41.0867756, -81.5167724 41.0870493, -81.5168395 41.0871559)",
240566056,False,2,,South Main Street,secondary,25 mph,True,199.812,,"LINESTRING (-81.5168127 41.0851193, -81.5168686 41.0849979, -81.5169089 41.084899, -81.517312 41.0839099, -81.5175203 41.0834034)",
652525109,False,5,SR 18,East Market Street,primary,25 mph,False,57.464,,"LINESTRING (-81.5168127 41.0851193, -81.5166304 41.0850819, -81.516157 41.0849686)",
113836679,False,5,SR 18,East Market Street,primary,25 mph,True,105.956,,"LINESTRING (-81.5155991 41.0848339, -81.5155087 41.0848058, -81.5154857 41.0847986, -81.5153778 41.0847597, -81.5152579 41.0847117, -81.5150449 41.0846213, -81.5147298 41.0844892, -81.5145833 41.0844278, -81.5144841 41.0843862)",
