osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,bridge
"[10020712, 10074311]","['Speer Avenue', 'Speer Street']",residential,False,True,345.948,"LINESTRING (-97.5481681 32.8985463, -97.5479557 32.8985821, -97.5472748 32.8985774, -97.5471553 32.8985989, -97.5470775 32.8986419, -97.5470216 32.8986968, -97.547014 32.8987605, -97.5470102 32.8989643, -97.5469798 32.8990121, -97.546922 32.8990479, -97.5468262 32.8990599, -97.5464022 32.8990587, -97.5462333 32.8990582, -97.5461686 32.899058, -97.545996 32.899056, -97.5456923 32.8990525, -97.5455008 32.8990519, -97.5449574 32.8990501, -97.544872 32.8990499)",,,,
10022154,Main Street,secondary,False,True,88.318,"LINESTRING (-97.5481681 32.8985463, -97.5480154 32.8983353, -97.5478779 32.8981195, -97.5477543 32.8978964, -97.5477259 32.8978451)",Loop 344,,,
"[10071854, 10020879]",Locust Street,residential,False,True,137.429,"LINESTRING (-97.5461631 32.8946026, -97.5459642 32.8946845, -97.5458153 32.8947347, -97.5457034 32.8947602, -97.5455214 32.8947618, -97.5447295 32.894753)",,,,
10022154,Main Street,secondary,False,False,243.296,"LINESTRING (-97.5461631 32.8946026, -97.5467978 32.8959194, -97.5468862 32.8961028, -97.5469498 32.8962349, -97.5471407 32.8966308)",Loop 344,,,
"[10021418, 10065742]",Industrial Avenue,residential,False,False,264.5,"LINESTRING (-97.5477259 32.8978451, -97.547531 32.8978783, -97.5473884 32.8978804, -97.5470434 32.8978853, -97.5469211 32.8978871, -97.5468851 32.8978868, -97.5463247 32.8978817, -97.5462931 32.8978818, -97.5459827 32.8978827, -97.5458032 32.8978818, -97.5454342 32.8978798, -97.544897 32.897877)",,,,
10022154,Main Street,secondary,False,False,88.318,"LINESTRING (-97.5477259 32.8978451, -97.5477543 32.8978964, -97.5478779 32.8981195, -97.5480154 32.8983353, -97.5481681 32.8985463)",Loop 344,,,
10022154,Main Street,secondary,False,True,145.667,"LINESTRING (-97.5477259 32.8978451, -97.5476588 32.8977059, -97.5475748 32.8975317, -97.5474315 32.8972343, -97.5472111 32.8967875, -97.5471407 32.8966308)",Loop 344,,,
10022154,Main Street,secondary,False,False,145.667,"LINESTRING (-97.5471407 32.8966308, -97.5472111 32.8967875, -97.5474315 32.8972343, -97.5475748 32.8975317, -97.5476588 32.8977059, -97.5477259 32.8978451)",Loop 344,,,
10022154,Main Street,secondary,False,True,243.296,"LINESTRING (-97.5471407 32.8966308, -97.5469498 32.8962349, -97.5468862 32.8961028, -97.5467978 32.8959194, -97.5461631 32.8946026)",Loop 344,,,
"[10023451, 10061573]",Roe Street,residential,False,False,223.882,"LINESTRING (-97.5471407 32.8966308, -97.5459661 32.8966608, -97.5456267 32.8966597, -97.545428 32.896659, -97.5447439 32.8966354)",,,,
10043311,Northwest Parkway,secondary,True,False,128.061,"LINESTRING (-97.5458992 32.8997772, -97.545538 32.899594, -97.54516 32.899372, -97.5448971 32.8991954, -97.5447786 32.8991159)",FM 730,,,
10040493,Boyd Court,residential,False,True,111.83500000000001,"LINESTRING (-97.5424195 32.897937, -97.5423878 32.8980427, -97.5423837 32.8982262, -97.5423825 32.8983722, -97.5423776 32.8989394)",,,,
1083767900,Northwest Parkway,tertiary,True,False,109.21300000000001,"LINESTRING (-97.5424195 32.897937, -97.5425349 32.8980822, -97.542702 32.898291, -97.543081 32.898747)",,2,,
