osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,junction
9281162,Mary Lou Street,residential,False,False,150.185,"LINESTRING (-84.0703022 34.0528751, -84.0706581 34.0526015, -84.0708362 34.0524525, -84.070851 34.052364, -84.0708256 34.0522728, -84.0703358 34.0518931)",,,
725343795,Buford Highway,primary,False,False,80.443,"LINESTRING (-84.0703358 34.0518931, -84.070879 34.0513267)",2,US 23;GA 13,
9281162,Mary Lou Street,residential,False,True,150.185,"LINESTRING (-84.0703358 34.0518931, -84.0708256 34.0522728, -84.070851 34.052364, -84.0708362 34.0524525, -84.0706581 34.0526015, -84.0703022 34.0528751)",,,
725343795,Buford Highway,primary,False,True,204.483,"LINESTRING (-84.0703358 34.0518931, -84.0695715 34.0526661, -84.0689293 34.0533157)",2,US 23;GA 13,
9281246,Scales Road Northwest,residential,False,False,56.661,"LINESTRING (-84.0732273 34.051914, -84.0736408 34.0522912)",,,
9292150,Main Street Northwest,residential,False,True,105.673,"LINESTRING (-84.0732273 34.051914, -84.0735104 34.0517824, -84.0738042 34.051543, -84.0741077 34.0513142)",,,
9298677,Main Street,residential,False,False,57.913,"LINESTRING (-84.0732273 34.051914, -84.0728749 34.0521469, -84.0727359 34.0522388)",,,
9281246,Scales Road Northwest,residential,False,True,56.661,"LINESTRING (-84.0736408 34.0522912, -84.0732273 34.051914)",,,
9281246,Scales Road Northwest,residential,False,False,200.145,"LINESTRING (-84.0736408 34.0522912, -84.074025 34.052734, -84.074165 34.052827, -84.074226 34.052837, -84.074297 34.05285, -84.074549 34.052836, -84.075164 34.052599, -84.0754057 34.052501)",,,
9291289,Jackson Street Northwest,residential,False,True,207.60399999999998,"LINESTRING (-84.0736408 34.0522912, -84.0733276 34.0525535, -84.072854 34.05295, -84.072016 34.053584)",,,
9281246,Scales Road Northwest,residential,False,False,84.158,"LINESTRING (-84.0754057 34.052501, -84.075735 34.052335, -84.0761631 34.0520789)",,,
9281246,Scales Road Northwest,residential,False,True,200.145,"LINESTRING (-84.0754057 34.052501, -84.075164 34.052599, -84.074549 34.052836, -84.074297 34.05285, -84.074226 34.052837, -84.074165 34.052827, -84.074025 34.052734, -84.0736408 34.0522912)",,,
9283649,Scales Street,residential,False,True,133.415,"LINESTRING (-84.0754057 34.052501, -84.0747876 34.0519206, -84.0744476 34.0516013)",,,
9281246,Scales Road Northwest,residential,False,True,84.158,"LINESTRING (-84.0761631 34.0520789, -84.075735 34.052335, -84.0754057 34.052501)",,,
580388067,Calaboose Street,residential,False,True,147.236,"LINESTRING (-84.0761631 34.0520789, -84.0756686 34.051661, -84.07538 34.0514038, -84.0753557 34.0513821, -84.0750599 34.051121)",,,
9282581,Davis Street,residential,False,False,60.17,"LINESTRING (-84.071917 34.049445, -84.072111 34.04962, -84.07238 34.049826)",,,
9301896,King Street Northwest,residential,False,False,79.183,"LINESTRING (-84.071917 34.049445, -84.0717998 34.0495281, -84.071264 34.049908)",,,
9300754,Academy Street Northwest,residential,False,False,110.525,"LINESTRING (-84.07238 34.049826, -84.07324 34.050519)",,,
9282581,Davis Street,residential,False,True,60.17,"LINESTRING (-84.07238 34.049826, -84.072111 34.04962, -84.071917 34.049445)",,,
1044415320,Buford Highway,primary,False,False,170.185,"LINESTRING (-84.07238 34.049826, -84.0733192 34.048878, -84.073552 34.048643)",2,US 23;GA 13,
1044415320,Buford Highway,primary,False,True,87.042,"LINESTRING (-84.07238 34.049826, -84.0722535 34.0499585, -84.0718332 34.050464)",2,US 23;GA 13,
9283649,Scales Street,residential,False,False,44.722,"LINESTRING (-84.0741077 34.0513142, -84.074159 34.0513553, -84.0741762 34.0513691, -84.0744476 34.0516013)",,,
9292150,Main Street Northwest,residential,False,False,105.673,"LINESTRING (-84.0741077 34.0513142, -84.0738042 34.051543, -84.0735104 34.0517824, -84.0732273 34.051914)",,,
"[9295632, 9292150]","['Calaboose Street', 'Main Street Northwest']",residential,False,"[False, True]",125.124,"LINESTRING (-84.0741077 34.0513142, -84.0742572 34.0511911, -84.0742941 34.0510861, -84.0743436 34.0510031, -84.0745301 34.0508897, -84.0747038 34.0508499, -84.0748225 34.0508953, -84.0750599 34.051121)",,,
398755426,Jackson Street Northwest,residential,True,False,77.682,"LINESTRING (-84.0744476 34.0516013, -84.0750599 34.051121)",,,
9283649,Scales Street,residential,False,False,133.415,"LINESTRING (-84.0744476 34.0516013, -84.0747876 34.0519206, -84.0754057 34.052501)",,,
9283649,Scales Street,residential,False,True,44.722,"LINESTRING (-84.0744476 34.0516013, -84.0741762 34.0513691, -84.074159 34.0513553, -84.0741077 34.0513142)",,,
"[9295632, 9292150]","['Calaboose Street', 'Main Street Northwest']",residential,False,"[False, True]",125.124,"LINESTRING (-84.0750599 34.051121, -84.0748225 34.0508953, -84.0747038 34.0508499, -84.0745301 34.0508897, -84.0743436 34.0510031, -84.0742941 34.0510861, -84.0742572 34.0511911, -84.0741077 34.0513142)",,,
580388067,Calaboose Street,residential,False,False,147.236,"LINESTRING (-84.0750599 34.051121, -84.0753557 34.0513821, -84.07538 34.0514038, -84.0756686 34.051661, -84.0761631 34.0520789)",,,
9300393,Stonecypher Road,residential,False,True,125.247,"LINESTRING (-84.0726259 34.05459, -84.0725563 34.0544641, -84.072486 34.054337, -84.072415 34.054203, -84.0721589 34.0538057, -84.072016 34.053584)",,,
9300393,Stonecypher Road,residential,False,True,58.277,"LINESTRING (-84.072016 34.053584, -84.0716639 34.0531486)",,,
9291289,Jackson Street Northwest,residential,False,False,207.60399999999998,"LINESTRING (-84.072016 34.053584, -84.072854 34.05295, -84.0733276 34.0525535, -84.0736408 34.0522912)",,,
9300393,Stonecypher Road,residential,False,False,125.24699999999999,"LINESTRING (-84.072016 34.053584, -84.0721589 34.0538057, -84.072415 34.054203, -84.072486 34.054337, -84.0725563 34.0544641, -84.0726259 34.05459)",,,
"[9293028, 9292326]","['Russell Street Northwest', 'Russell Street']",residential,False,True,103.378,"LINESTRING (-84.0727359 34.0522388, -84.0726989 34.0522002, -84.072599 34.052096, -84.072479 34.05197, -84.0720616 34.0514959)",,,
9298677,Main Street,residential,False,False,141.382,"LINESTRING (-84.0727359 34.0522388, -84.0720966 34.0527877, -84.0716639 34.0531486)",,,
9298677,Main Street,residential,False,True,57.913,"LINESTRING (-84.0727359 34.0522388, -84.0728749 34.0521469, -84.0732273 34.051914)",,,
9301896,King Street Northwest,residential,False,True,59.883,"LINESTRING (-84.070743 34.05023, -84.071264 34.049908)",,,
1044415322,Russell Street Northwest,tertiary,False,False,38.086,"LINESTRING (-84.070743 34.05023, -84.0710434 34.0504653)",,,
1046343973,King Street Northwest,tertiary,False,False,71.227,"LINESTRING (-84.070743 34.05023, -84.070149 34.05064)",,,
9301592,White Street,residential,False,True,153.578,"LINESTRING (-84.0720616 34.0514959, -84.07324 34.050519)",,,
1044415321,Russell Street Northwest,residential,False,True,46.85,"LINESTRING (-84.0720616 34.0514959, -84.0717258 34.0511795)",,,
"[9293028, 9292326]","['Russell Street Northwest', 'Russell Street']",residential,False,False,103.37799999999999,"LINESTRING (-84.0720616 34.0514959, -84.072479 34.05197, -84.072599 34.052096, -84.0726989 34.0522002, -84.0727359 34.0522388)",,,
9296990,Riggs Street,residential,False,False,216.48100000000002,"LINESTRING (-84.073552 34.048643, -84.073441 34.048429, -84.0733941 34.0483192, -84.0733143 34.0481324, -84.0733709 34.0479747, -84.07349 34.0478301, -84.0736306 34.0477079, -84.0737414 34.0476357, -84.0740251 34.0475352, -84.074238 34.0474816, -84.0744111 34.0474806, -84.074633 34.047531)",,,
1044415320,Buford Highway,primary,False,False,158.788,"LINESTRING (-84.073552 34.048643, -84.074483 34.047697, -84.074633 34.047531)",2,US 23;GA 13,
1044415320,Buford Highway,primary,False,True,170.185,"LINESTRING (-84.073552 34.048643, -84.0733192 34.048878, -84.07238 34.049826)",2,US 23;GA 13,
9296990,Riggs Street,residential,False,True,216.481,"LINESTRING (-84.074633 34.047531, -84.0744111 34.0474806, -84.074238 34.0474816, -84.0740251 34.0475352, -84.0737414 34.0476357, -84.0736306 34.0477079, -84.07349 34.0478301, -84.0733709 34.0479747, -84.0733143 34.0481324, -84.0733941 34.0483192, -84.073441 34.048429, -84.073552 34.048643)",,,
