osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,ref,bridge
182951221,True,1,primary_link,False,72.966,"LINESTRING (-105.0759317 39.8020458, -105.0760914 39.8020726, -105.0761846 39.8020866, -105.0762302 39.802099, -105.076275 39.8021201, -105.076316 39.8021649, -105.0763431 39.8022135, -105.0764206 39.8024794)",,,,
628115795,True,4,secondary,False,41.601,"LINESTRING (-105.0759317 39.8020458, -105.0760862 39.8020266, -105.076296 39.8020082, -105.0764055 39.8019718)",Ralston Road,,,
628115788,False,6,primary,False,18.223,"LINESTRING (-105.0764055 39.8019718, -105.0766188 39.8019739)",Ralston Road,35 mph,,
132733864,True,3,primary,False,56.457,"LINESTRING (-105.0764055 39.8019718, -105.076409 39.8021018, -105.0764206 39.8024794)",Wadsworth Bypass,,CO 121,
17080387,False,,residential,True,247.32000000000002,"LINESTRING (-105.0771255 39.8019799, -105.077125 39.8018391, -105.0771262 39.8015312, -105.0771275 39.8006137, -105.0771277 39.8004731, -105.0771278 39.8004525, -105.0771283 39.8000764, -105.077128 39.7998294, -105.0771288 39.7997557)",Teller Street,25 mph,,
40047105,False,7,primary,True,43.291000000000004,"LINESTRING (-105.0771255 39.8019799, -105.077024 39.8019787, -105.0767932 39.8019761, -105.0766188 39.8019739)",Ralston Road,35 mph,,
"[628115789, 746928413, 746928414, 209816287]",False,"['4', '7']",primary,False,98.75399999999999,"LINESTRING (-105.0771255 39.8019799, -105.0772312 39.8019804, -105.0774962 39.8019799, -105.0777175 39.8019801, -105.0782815 39.801979)",Ralston Road,35 mph,,
17078509,False,2,tertiary,True,94.812,"LINESTRING (-105.0782815 39.801979, -105.0782795 39.8017818, -105.078285 39.8015732, -105.0782854 39.8014595, -105.0782901 39.8013123, -105.0782856 39.8012023, -105.0782881 39.8011265)",Upham Street,25 mph,,
209816287,False,4,primary,False,82.723,"LINESTRING (-105.0782815 39.801979, -105.0783336 39.8019774, -105.0787044 39.801978, -105.0787668 39.8019782, -105.0791456 39.8019788, -105.0792498 39.801979)",Ralston Road,35 mph,,
"[746928413, 628115789, 746928414, 209816287]",False,"['4', '7']",primary,True,98.754,"LINESTRING (-105.0782815 39.801979, -105.0777175 39.8019801, -105.0774962 39.8019799, -105.0772312 39.8019804, -105.0771255 39.8019799)",Ralston Road,35 mph,,
17070115,False,,residential,True,97.725,"LINESTRING (-105.0792498 39.801979, -105.0792512 39.8021103, -105.0792543 39.8022761, -105.0792547 39.8022996, -105.0792548 39.8023077, -105.0792632 39.8028578)",Vance Street,25 mph,,
209816287,False,4,primary,False,71.186,"LINESTRING (-105.0792498 39.801979, -105.079496 39.8019785, -105.0800831 39.8019772)",Ralston Road,35 mph,,
209816287,False,4,primary,True,82.723,"LINESTRING (-105.0792498 39.801979, -105.0791456 39.8019788, -105.0787668 39.8019782, -105.0787044 39.801978, -105.0783336 39.8019774, -105.0782815 39.801979)",Ralston Road,35 mph,,
17075059,False,,residential,True,95.278,"LINESTRING (-105.0800831 39.8019772, -105.0801014 39.8018717, -105.0801017 39.8011918, -105.0801037 39.8011213)",Webster Street,25 mph,,
209816287,False,4,primary,True,71.186,"LINESTRING (-105.0800831 39.8019772, -105.079496 39.8019785, -105.0792498 39.801979)",Ralston Road,35 mph,,
