osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,ref
5323825,Smith Avenue,residential,False,False,263.395,"LINESTRING (-76.4764901 39.4004603, -76.4764222 39.400569, -76.4763167 39.4006816, -76.476142 39.400844, -76.47584 39.401088, -76.475522 39.401361, -76.475311 39.40155, -76.4746264 39.4021734, -76.474554 39.402286)",,,,
895387378,Joppa Road,tertiary,False,False,146.835,"LINESTRING (-76.4764901 39.4004603, -76.476411 39.400469, -76.476269 39.400482, -76.476128 39.400485, -76.476019 39.400485, -76.4759105 39.4004762, -76.475794 39.4004588, -76.4756467 39.400436, -76.4753487 39.4003762, -76.4748196 39.4002599)",2,30 mph,,
"[895387378, 423518866]",Joppa Road,tertiary,False,True,168.15400000000002,"LINESTRING (-76.4764901 39.4004603, -76.4767914 39.4004135, -76.4768405 39.4004034, -76.4769091 39.4003892, -76.4769802 39.4003745, -76.477714 39.400223, -76.477883 39.400196, -76.477951 39.400201, -76.4780067 39.4002092, -76.478091 39.4002215, -76.478184 39.400255, -76.4782206 39.4002728, -76.4783605 39.4003411)","['3', '2']",30 mph,,
"[926235621, 423518854, 993097767, 993097768, 5312593]",India Avenue,residential,False,False,339.448,"LINESTRING (-76.4820053 39.400979, -76.482023 39.4008464, -76.4820152 39.4008117, -76.4820026 39.4007911, -76.4819812 39.4007725, -76.4819432 39.4007559, -76.4817709 39.4007365, -76.4812669 39.400677, -76.481096 39.4006578, -76.4807524 39.4006219, -76.4791589 39.400427, -76.4789578 39.4004237, -76.4788994 39.4004206, -76.4788078 39.4004157, -76.4786161 39.4003972, -76.4785163 39.4003753, -76.4783605 39.4003411)",2,,yes,
679467587,Belair Road,trunk,False,True,45.096,"LINESTRING (-76.4762014 39.4022177, -76.4758478 39.4025174)",5,40 mph,,US 1
679467587,Belair Road,trunk,False,False,162.247,"LINESTRING (-76.4762014 39.4022177, -76.4769992 39.4015433, -76.4772806 39.4013054, -76.4774754 39.4011407)",5,40 mph,,US 1
5318742,Fencerow Court,residential,False,True,132.18599999999998,"LINESTRING (-76.4776044 39.4035262, -76.4776108 39.4038176, -76.4771478 39.4038359, -76.4764643 39.4039441)",,,,
5310029,Yvonne Avenue,residential,False,False,231.882,"LINESTRING (-76.4748196 39.4002599, -76.474593 39.400613, -76.474159 39.401235, -76.474025 39.401428, -76.473961 39.401523, -76.473914 39.40161, -76.473873 39.40169, -76.473833 39.401774, -76.473798 39.401881, -76.473743 39.402156)",,,,
895387378,Joppa Road,tertiary,False,True,146.835,"LINESTRING (-76.4748196 39.4002599, -76.4753487 39.4003762, -76.4756467 39.400436, -76.475794 39.4004588, -76.4759105 39.4004762, -76.476019 39.400485, -76.476128 39.400485, -76.476269 39.400482, -76.476411 39.400469, -76.4764901 39.4004603)",2,30 mph,,
45671693,Belair Road,trunk,False,True,97.404,"LINESTRING (-76.4755268 39.4027944, -76.4747603 39.4034398)",5,40 mph,,US 1
679467586,Belair Road,trunk,False,False,41.345,"LINESTRING (-76.4755268 39.4027944, -76.4758478 39.4025174)",5,40 mph,,US 1
184312858,Farmside Drive,residential,True,False,56.522,"LINESTRING (-76.4755268 39.4027944, -76.4757237 39.402759, -76.4758553 39.4026457, -76.475948 39.4026353, -76.4760154 39.4026561, -76.4760984 39.4026875)",1,,,
793433473,Belair Road,trunk,False,False,19.003,"LINESTRING (-76.4746092 39.4035646, -76.4747603 39.4034398)",5,40 mph,,US 1
184312857,Farmside Drive,residential,False,False,66.989,"LINESTRING (-76.4760984 39.4026875, -76.4761694 39.4027476, -76.4762402 39.4028286, -76.47634 39.402946, -76.476392 39.403025, -76.476432 39.403121, -76.4764542 39.4032128)",,,,
184312859,Farmside Drive,residential,True,False,58.979,"LINESTRING (-76.4760984 39.4026875, -76.4760318 39.4026122, -76.4760184 39.4025682, -76.4760348 39.4024989, -76.4761829 39.4023625, -76.4762014 39.4022177)",1,,,
5306037,Soth Avenue,residential,False,False,71.166,"LINESTRING (-76.474554 39.402286, -76.473743 39.402156)",,,,
5306037,Soth Avenue,residential,False,True,114.23400000000001,"LINESTRING (-76.474554 39.402286, -76.475051 39.402358, -76.475513 39.402438, -76.475778 39.402497, -76.4758478 39.4025174)",,,,
5323825,Smith Avenue,residential,False,True,263.395,"LINESTRING (-76.474554 39.402286, -76.4746264 39.4021734, -76.475311 39.40155, -76.475522 39.401361, -76.47584 39.401088, -76.476142 39.400844, -76.4763167 39.4006816, -76.4764222 39.400569, -76.4764901 39.4004603)",,,,
5306037,Soth Avenue,residential,False,True,71.166,"LINESTRING (-76.473743 39.402156, -76.474554 39.402286)",,,,
5310029,Yvonne Avenue,residential,False,True,231.882,"LINESTRING (-76.473743 39.402156, -76.473798 39.401881, -76.473833 39.401774, -76.473873 39.40169, -76.473914 39.40161, -76.473961 39.401523, -76.474025 39.401428, -76.474159 39.401235, -76.474593 39.400613, -76.4748196 39.4002599)",,,,
5300568,Symphony Woods Court,residential,False,False,106.41599999999998,"LINESTRING (-76.475358 39.4038924, -76.475144 39.404017, -76.475025 39.404092, -76.47491 39.404173, -76.474816 39.404256, -76.474735 39.404339, -76.474619 39.404478, -76.474539 39.404594)",,25 mph,,
5304101,Cedarside Drive,residential,False,False,77.62,"LINESTRING (-76.475358 39.4038924, -76.4754372 39.4039889, -76.4754972 39.4040839, -76.475557 39.404179, -76.4756046 39.4042619, -76.4756484 39.4043277, -76.475736 39.4044362, -76.475799 39.4044994)",,25 mph,,
5304101,Cedarside Drive,residential,False,True,71.931,"LINESTRING (-76.475358 39.4038924, -76.4752646 39.4038122, -76.4747603 39.4034398)",,25 mph,,
5316898,Minte Drive,residential,False,False,104.652,"LINESTRING (-76.4787256 39.4016465, -76.4799308 39.4017825)",,,,
5320476,Belton Drive,residential,False,False,52.853,"LINESTRING (-76.4787256 39.4016465, -76.4788024 39.4011749)",,,,
5316898,Minte Drive,residential,False,True,126.06599999999999,"LINESTRING (-76.4787256 39.4016465, -76.4785284 39.4016231, -76.478351 39.401605, -76.478253 39.401587, -76.478171 39.401569, -76.4780952 39.4015569, -76.4780362 39.4015352, -76.477954 39.4014874, -76.4778774 39.4014433, -76.47777 39.401373, -76.4776896 39.4013096, -76.4774754 39.4011407)",,,,
5316898,Minte Drive,residential,False,True,104.652,"LINESTRING (-76.4799308 39.4017825, -76.4787256 39.4016465)",,,,
5322829,Open Gate Court,residential,False,False,171.42899999999997,"LINESTRING (-76.4764542 39.4032128, -76.476828 39.403162, -76.4771471 39.4031093, -76.4772961 39.4030789, -76.4773828 39.4030524, -76.4774941 39.4030157, -76.4775973 39.4029689, -76.4776971 39.4029221, -76.4777937 39.4028639, -76.4778886 39.4027944, -76.477995 39.4026995, -76.4780883 39.4026173, -76.478175 39.4025452)",,,,
184312857,Farmside Drive,residential,False,False,81.485,"LINESTRING (-76.4764542 39.4032128, -76.476469 39.40329, -76.476483 39.403415, -76.476475 39.403654, -76.4764643 39.4039441)",,,,
184312857,Farmside Drive,residential,False,True,66.989,"LINESTRING (-76.4764542 39.4032128, -76.476432 39.403121, -76.476392 39.403025, -76.47634 39.402946, -76.4762402 39.4028286, -76.4761694 39.4027476, -76.4760984 39.4026875)",,,,
5316898,Minte Drive,residential,False,False,126.066,"LINESTRING (-76.4774754 39.4011407, -76.4776896 39.4013096, -76.47777 39.401373, -76.4778774 39.4014433, -76.477954 39.4014874, -76.4780362 39.4015352, -76.4780952 39.4015569, -76.478171 39.401569, -76.478253 39.401587, -76.478351 39.401605, -76.4785284 39.4016231, -76.4787256 39.4016465)",,,,
"[679467587, 726130852, 726130853, 423518831, 725267216, 725267217]",Belair Road,trunk,False,False,116.999,"LINESTRING (-76.4774754 39.4011407, -76.477788 39.4008586, -76.4779237 39.400736, -76.4780034 39.400664, -76.4780596 39.4006132, -76.4781696 39.4005137, -76.4782475 39.4004433, -76.4783605 39.4003411)",5,40 mph,,US 1
679467587,Belair Road,trunk,False,True,162.247,"LINESTRING (-76.4774754 39.4011407, -76.4772806 39.4013054, -76.4769992 39.4015433, -76.4762014 39.4022177)",5,40 mph,,US 1
5300568,Symphony Woods Court,residential,False,True,106.416,"LINESTRING (-76.474539 39.404594, -76.474619 39.404478, -76.474735 39.404339, -76.474816 39.404256, -76.47491 39.404173, -76.475025 39.404092, -76.475144 39.404017, -76.475358 39.4038924)",,25 mph,,
