osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref
20277136,Calm Harbor Drive,residential,25 mph,False,True,67.019,"LINESTRING (-77.6299332 37.6605696, -77.6298899 37.6606256, -77.6298148 37.660753, -77.6297182 37.6608549, -77.629617 37.660985, -77.6295251 37.6610757)",,,
451676457,Blue Ocean Lane,residential,25 mph,False,False,111.2,"LINESTRING (-77.6299332 37.6605696, -77.6308742 37.6609715, -77.631045 37.6610444)",2,,
451676457,Blue Ocean Lane,residential,25 mph,False,False,15.698,"LINESTRING (-77.631045 37.6610444, -77.6312019 37.6611115)",2,,
"[165192971, 165192965, 165192967]",North Gayton Road,secondary,45 mph,True,False,399.568,"LINESTRING (-77.631045 37.6610444, -77.6305133 37.6618469, -77.6300465 37.662553, -77.6295966 37.6632505, -77.6290554 37.664078, -77.6289467 37.6642307)",2,yes,
451676457,Blue Ocean Lane,residential,25 mph,False,True,111.2,"LINESTRING (-77.631045 37.6610444, -77.6308742 37.6609715, -77.6299332 37.6605696)",2,,
20277136,Calm Harbor Drive,residential,25 mph,False,False,67.019,"LINESTRING (-77.6295251 37.6610757, -77.629617 37.660985, -77.6297182 37.6608549, -77.6298148 37.660753, -77.6298899 37.6606256, -77.6299332 37.6605696)",,,
20287965,Breezy Bay Circle,residential,25 mph,False,False,95.314,"LINESTRING (-77.6295251 37.6610757, -77.629273 37.6609823, -77.6289082 37.6608846, -77.6285058 37.6607912)",,,
20287965,Breezy Bay Circle,residential,25 mph,False,True,250.91200000000003,"LINESTRING (-77.6295251 37.6610757, -77.6296753 37.6611564, -77.6297557 37.6613263, -77.6297367 37.6614186, -77.6296704 37.6614921, -77.629529 37.661562, -77.6293435 37.661625, -77.6291358 37.6616635, -77.628884 37.6616984, -77.628694 37.6617019, -77.6285173 37.6616879, -77.628297 37.661642, -77.6275674 37.6614361)",,,
20287956,Breezy Bay Circle,residential,25 mph,False,False,54.224,"LINESTRING (-77.6285058 37.6607912, -77.6278899 37.6607996)",,,
20287965,Breezy Bay Circle,residential,25 mph,False,True,95.314,"LINESTRING (-77.6285058 37.6607912, -77.6289082 37.6608846, -77.629273 37.6609823, -77.6295251 37.6610757)",,,
20287956,Breezy Bay Circle,residential,25 mph,False,True,54.224,"LINESTRING (-77.6278899 37.6607996, -77.6285058 37.6607912)",,,
20287965,Breezy Bay Circle,residential,25 mph,False,False,76.257,"LINESTRING (-77.6278899 37.6607996, -77.6275674 37.6614361)",,,
20290430,Misty Cove Court,residential,25 mph,False,False,36.565,"LINESTRING (-77.6278899 37.6607996, -77.6274748 37.6608119)",,,
20287965,Breezy Bay Circle,residential,25 mph,False,True,76.257,"LINESTRING (-77.6275674 37.6614361, -77.6278899 37.6607996)",,,
20287965,Breezy Bay Circle,residential,25 mph,False,False,250.91200000000003,"LINESTRING (-77.6275674 37.6614361, -77.628297 37.661642, -77.6285173 37.6616879, -77.628694 37.6617019, -77.628884 37.6616984, -77.6291358 37.6616635, -77.6293435 37.661625, -77.629529 37.661562, -77.6296704 37.6614921, -77.6297367 37.6614186, -77.6297557 37.6613263, -77.6296753 37.6611564, -77.6295251 37.6610757)",,,
751522900,Breezy Bay Circle,residential,25 mph,False,True,89.943,"LINESTRING (-77.6275674 37.6614361, -77.6273125 37.6613621, -77.6272679 37.6613317, -77.6272672 37.6612883, -77.6274748 37.6608119)",,,
20290430,Misty Cove Court,residential,25 mph,False,False,289.335,"LINESTRING (-77.6266905 37.6609585, -77.6255333 37.6606335, -77.6254385 37.6608382, -77.6267256 37.6612002, -77.6268209 37.6609909, -77.6266905 37.6609585)",,,
20290430,Misty Cove Court,residential,25 mph,False,True,289.335,"LINESTRING (-77.6266905 37.6609585, -77.6268209 37.6609909, -77.6267256 37.6612002, -77.6254385 37.6608382, -77.6255333 37.6606335, -77.6266905 37.6609585)",,,
20290430,Misty Cove Court,residential,25 mph,False,True,72.37,"LINESTRING (-77.6266905 37.6609585, -77.6269254 37.6608545, -77.627203 37.66082, -77.6274748 37.6608119)",,,
