osmid,name,highway,maxspeed,oneway,reversed,length,ref,lanes,geometry,junction
55291955,Langside Avenue,residential,30 mph,False,False,96.52,,,"LINESTRING (-4.0586452 55.8219905, -4.0580443 55.8227902)",
191407081,New Edinburgh Road,primary,40 mph,False,True,71.369,A721,,"LINESTRING (-4.0586452 55.8219905, -4.0597685 55.8221078)",
49962671,St Bride's Avenue,residential,20 mph,False,True,115.653,,,"LINESTRING (-4.0593707 55.8259617, -4.0585538 55.8268951)",
199206750,Old Edinburgh Road,secondary,30 mph,False,False,16.855,B7001,2,"LINESTRING (-4.0593707 55.8259617, -4.0592587 55.825931, -4.0591282 55.8258952)",
199206750,Old Edinburgh Road,secondary,30 mph,False,True,297.968,B7001,2,"LINESTRING (-4.0593707 55.8259617, -4.0599229 55.8261123, -4.0610191 55.8264114, -4.0615579 55.8265584, -4.0619554 55.8266668, -4.0623399 55.8267717, -4.0623576 55.8267765, -4.0629907 55.8269439, -4.0636696 55.8271235)",
49850671,Laburnum Road,tertiary,20 mph,False,True,200.13799999999998,,,"LINESTRING (-4.0540938 55.8246301, -4.0536826 55.8248135, -4.0534007 55.8249779, -4.0533806 55.8250011, -4.053217 55.8251896, -4.05279 55.8256801, -4.0527429 55.8257436, -4.0526057 55.8259289, -4.0526005 55.8260735, -4.0526493 55.8261498)",
199206750,Old Edinburgh Road,secondary,30 mph,False,False,59.763000000000005,B7001,2,"LINESTRING (-4.0540938 55.8246301, -4.0538178 55.8244666, -4.053618 55.8243934, -4.0533276 55.8243218)",
199206750,Old Edinburgh Road,secondary,30 mph,False,True,122.496,B7001,2,"LINESTRING (-4.0540938 55.8246301, -4.0545126 55.8246556, -4.0546874 55.8246872, -4.0551093 55.8247951, -4.055914 55.8250122)",
49850671,Laburnum Road,tertiary,20 mph,False,False,200.138,,,"LINESTRING (-4.0526493 55.8261498, -4.0526005 55.8260735, -4.0526057 55.8259289, -4.0527429 55.8257436, -4.05279 55.8256801, -4.053217 55.8251896, -4.0533806 55.8250011, -4.0534007 55.8249779, -4.0536826 55.8248135, -4.0540938 55.8246301)",
49850902,Laburnum Road,tertiary,20 mph,True,False,31.653999999999996,,,"LINESTRING (-4.0526493 55.8261498, -4.0526913 55.8261426, -4.0527351 55.8261423, -4.0527774 55.8261488, -4.0528148 55.8261617, -4.0528444 55.8261799, -4.0528649 55.8262042, -4.0528713 55.8262309, -4.0528631 55.8262574, -4.0528409 55.8262813, -4.0528068 55.8263002, -4.0527642 55.8263124)",roundabout
308627250,Heather Gardens,unclassified,20 mph,False,True,11.962,,,"LINESTRING (-4.0529545 55.826628, -4.05288 55.8267271)",
308627250,Heather Gardens,unclassified,20 mph,False,False,180.173,,,"LINESTRING (-4.0529545 55.826628, -4.0533261 55.826539, -4.0541029 55.8265172, -4.0546819 55.8265677, -4.0550127 55.8266448, -4.0551954 55.8266874, -4.0555092 55.8268218, -4.0555618 55.8269105)",
308627250,Heather Gardens,unclassified,20 mph,False,True,37.25899999999999,,,"LINESTRING (-4.0529545 55.826628, -4.052858 55.8264592, -4.0528043 55.8263447, -4.0527642 55.8263124)",
308627250,Heather Gardens,unclassified,20 mph,False,False,19.99,,,"LINESTRING (-4.052824 55.8269041, -4.05288 55.8267271)",
