osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,access,tunnel
6589389,True,2,A63,Castle Street,trunk,40 mph,False,125.9,"LINESTRING (-0.3398177 53.7410124, -0.338669 53.7410102, -0.3379049 53.740981)",,,
11080046,False,,,Spencer Street,unclassified,30 mph,False,59.99400000000001,"LINESTRING (-0.3465756 53.7475006, -0.3462954 53.7475954, -0.3461565 53.7476313, -0.3459925 53.7477171, -0.345897 53.7477535, -0.3457932 53.7477643)",,,
"[304260146, 766756564]",True,,A1079,Ferensway,trunk,30 mph,False,119.499,"LINESTRING (-0.3465756 53.7475006, -0.3461638 53.7468602, -0.3460922 53.7467483, -0.345936 53.7464947)",,,
25875288,False,,,West Street,unclassified,,False,43.608,"LINESTRING (-0.3448748 53.7449181, -0.3442304 53.7450107)",,,
"[682673587, 670725539]",True,,A1079,Ferensway,trunk,30 mph,False,185.945,"LINESTRING (-0.3448748 53.7449181, -0.3447755 53.7447039, -0.3447242 53.7445932, -0.3446657 53.7444286, -0.3445552 53.7439762, -0.3445482 53.7439374, -0.3445117 53.7434407, -0.3444989 53.743267)",,,
766720507,True,,A1079,Ferensway,trunk,30 mph,False,39.37,"LINESTRING (-0.3445234 53.7423978, -0.3445879 53.7427498)",,,
8265825,False,,,Osborne Street,residential,30 mph,True,138.05,"LINESTRING (-0.3445234 53.7423978, -0.3448288 53.7423636, -0.3457643 53.742259, -0.3460553 53.7422264, -0.3463827 53.7421872, -0.3465834 53.7421595)",,,
766720508,False,,,Osborne Street,residential,30 mph,False,9.511,"LINESTRING (-0.3445234 53.7423978, -0.3444444 53.7424059, -0.3443809 53.7424124)",,,
23632726,False,2,,Osborne Street,unclassified,30 mph,False,90.942,"LINESTRING (-0.3443809 53.7424124, -0.3430209 53.7425606)",,,
"[75594276, 6003269, 1159715262]",True,,A1079,"['Ferensway', 'Mytongate']","['trunk_link', 'trunk']","['40 mph', '30 mph']",False,283.908,"LINESTRING (-0.3443809 53.7424124, -0.3442865 53.7420693, -0.3441474 53.7416053, -0.3439313 53.7411353, -0.3439029 53.7410736, -0.3438157 53.7409722, -0.3436143 53.7408981, -0.3434327 53.7408616, -0.3432831 53.7408437, -0.3431295 53.740855, -0.3427256 53.7409335, -0.3424349 53.7409821, -0.3420949 53.7410162)",roundabout,,
766720508,False,,,Osborne Street,residential,30 mph,True,9.511,"LINESTRING (-0.3443809 53.7424124, -0.3444444 53.7424059, -0.3445234 53.7423978)",,,
679783387,False,,,George Street,unclassified,30 mph,True,32.755,"LINESTRING (-0.3342946 53.7469587, -0.3338638 53.7471066)",,,
8266428,False,,,Wilberforce Drive,unclassified,30 mph,False,30.785000000000004,"LINESTRING (-0.3342946 53.7469587, -0.3342363 53.7468911, -0.3340818 53.7467121)",,,
71309021,False,,,George Street,unclassified,20 mph,False,137.54699999999997,"LINESTRING (-0.3342946 53.7469587, -0.3343767 53.7469318, -0.3344917 53.746894, -0.334992 53.7467148, -0.3355529 53.7465246, -0.3359242 53.7463959, -0.3359754 53.7463781, -0.3361162 53.7463574)",,,
8266428,False,,,Wilberforce Drive,unclassified,30 mph,True,163.004,"LINESTRING (-0.3328934 53.745426, -0.3333266 53.7458813, -0.333677 53.746243, -0.3338812 53.7464796, -0.3340818 53.7467121)",,,
"[8266433, 8266434]",True,,,"['Quay Street', 'Guildhall Road']",unclassified,30 mph,False,241.17000000000002,"LINESTRING (-0.3328934 53.745426, -0.3330155 53.7453829, -0.3353457 53.7446111, -0.3354042 53.7445515, -0.3354136 53.7444867, -0.335417 53.7444231, -0.3353982 53.7441625, -0.3353844 53.7441163)",,,
8266435,False,2,,Lowgate,unclassified,30 mph,True,97.51,"LINESTRING (-0.3328934 53.745426, -0.3328636 53.7453742, -0.3327905 53.7452921, -0.3326799 53.7448983, -0.3326604 53.7448288, -0.3326408 53.7447591, -0.3325941 53.744572)",,,
8266435,False,2,,Lowgate,unclassified,30 mph,False,29.266,"LINESTRING (-0.3325113 53.7443134, -0.3325941 53.744572)",,,
306407056,False,2,,Alfred Gelder Street,unclassified,30 mph,True,37.677,"LINESTRING (-0.3325113 53.7443134, -0.3319918 53.7444563)",,,
306534454,False,2,,Lowgate,unclassified,30 mph,False,35.819,"LINESTRING (-0.3325113 53.7443134, -0.332582 53.743994)",,,
