osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,lanes,name,bridge,access
4831563,B4601,secondary,20 mph,False,False,24.802,"LINESTRING (-3.3891051 51.9463452, -3.3890514 51.9463168, -3.3889566 51.9462666, -3.3888307 51.9461998)",,,,
4886194,B4601,secondary,20 mph,True,False,24.131999999999998,"LINESTRING (-3.3891051 51.9463452, -3.3891713 51.9463594, -3.389261 51.9463732, -3.3894465 51.9463972)",1,Glamorgan Street,,
29550623,B4601,secondary,20 mph,False,True,50.035,"LINESTRING (-3.3876365 51.945641, -3.3882541 51.9458809)",2,,,
29550659,,residential,20 mph,False,False,127.271,"LINESTRING (-3.3876365 51.945641, -3.3878942 51.9453682, -3.3880068 51.9452588, -3.388158 51.9451458, -3.3885677 51.944867, -3.3887573 51.9447345)",,Rich Way,,
1161358825,B4601,secondary,20 mph,False,False,74.319,"LINESTRING (-3.3876365 51.945641, -3.3875509 51.9456075, -3.3874149 51.9455514, -3.3871322 51.945434, -3.3870512 51.9454004, -3.3868416 51.9453134, -3.3867354 51.9452693)",2,Watton,,
4886196,B4601,secondary,20 mph,False,False,14.522,"LINESTRING (-3.3931395 51.9478296, -3.392934 51.9477978)",,Ship Street,,
10153402,B4601,secondary,20 mph,False,False,137.33499999999998,"LINESTRING (-3.3931395 51.9478296, -3.3930475 51.947869, -3.3929953 51.9479262, -3.3929693 51.9479878, -3.3929595 51.9480761, -3.3929675 51.9481795, -3.3929874 51.9483076, -3.3930028 51.9483946, -3.3930048 51.9484558, -3.3930047 51.9485453, -3.3929876 51.9485892, -3.3929281 51.9486832, -3.3928719 51.9487583, -3.3927995 51.9488278, -3.3926304 51.9489576)",2,Market Street,,
"[50036088, 109993811, 24999149, 50036127]",,unclassified,20 mph,False,False,134.709,"LINESTRING (-3.3931395 51.9478296, -3.3932367 51.9478527, -3.3933337 51.9479064, -3.3934279 51.9479629, -3.3935065 51.9480319, -3.3935652 51.948092, -3.3936297 51.9481258, -3.3938092 51.9481989, -3.3938395 51.9482127, -3.3939212 51.948257, -3.3941155 51.9483371, -3.3943011 51.9484394, -3.3944679 51.9485331, -3.3945889 51.9486267)",,Watergate,yes,
"[87075596, 50036118, 50036135]",B4601,secondary,20 mph,False,True,102.64500000000001,"LINESTRING (-3.3931395 51.9478296, -3.3932082 51.9477906, -3.3933235 51.947736, -3.3933559 51.947724, -3.3935303 51.9476593, -3.3937481 51.9475809, -3.3940276 51.9474876, -3.3942925 51.9474076, -3.3944308 51.9473681)",2,"['Bridge Street', 'Usk Bridge']",yes,
4886196,B4601,secondary,20 mph,False,True,57.873999999999995,"LINESTRING (-3.391652 51.9476177, -3.3917657 51.9476368, -3.3924695 51.947748)",,Ship Street,,
4886197,B4601,secondary,20 mph,True,False,38.787000000000006,"LINESTRING (-3.391652 51.9476177, -3.3916114 51.9476132, -3.3914986 51.947596, -3.3913968 51.9475765, -3.3911181 51.947505)",,Ship Street,,
109993809,B4601,secondary,20 mph,True,False,35.975,"LINESTRING (-3.3919908 51.9471628, -3.3917379 51.9474463)",,Wheat Street,,
31145630,,residential,20 mph,False,True,135.42100000000002,"LINESTRING (-3.3919908 51.9471628, -3.391139 51.9469527, -3.3910643 51.9469386, -3.3907719 51.9468863, -3.3904795 51.9468438, -3.3902624 51.9468182, -3.390109 51.9468081)",,St Mary Street,,
109993809,B4601,secondary,20 mph,True,False,29.199,"LINESTRING (-3.3921089 51.9469105, -3.3919908 51.9471628)",,Wheat Street,,
4886196,B4601,secondary,20 mph,False,True,32.314,"LINESTRING (-3.3924695 51.947748, -3.392934 51.9477978)",,Ship Street,,
4886196,B4601,secondary,20 mph,False,False,57.873999999999995,"LINESTRING (-3.3924695 51.947748, -3.3917657 51.9476368, -3.391652 51.9476177)",,Ship Street,,
50036126,,unclassified,20 mph,False,False,63.867,"LINESTRING (-3.3924695 51.947748, -3.3924345 51.9478541, -3.392397 51.9479632, -3.392355 51.9480589, -3.3923216 51.9481533, -3.3923009 51.9482446, -3.3923035 51.9483112)",,Bell Lane,,
109993798,B4601,secondary,20 mph,True,False,28.034,"LINESTRING (-3.3911181 51.947505, -3.3907891 51.9473552)",,High Street,,
29550622,B4601,secondary,20 mph,False,False,13.41,"LINESTRING (-3.3858465 51.9449119, -3.38571 51.9448255)",2,Watton,,
355832378,B4061,secondary,20 mph,False,True,144.77299999999994,"LINESTRING (-3.3858465 51.9449119, -3.3857512 51.9449663, -3.3855674 51.9451473, -3.3853101 51.9453749, -3.3851822 51.9455258, -3.3851742 51.9456172, -3.3851823 51.9457548, -3.385147 51.9458641, -3.3851256 51.9459448, -3.3851014 51.9459868, -3.3850869 51.9460246, -3.3850722 51.9460787)",,Heol Gouesnou,,
1161358825,B4601,secondary,20 mph,False,True,53.117,"LINESTRING (-3.3858465 51.9449119, -3.3861645 51.945028, -3.3864968 51.9451711)",2,Watton,,
