osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes
30193287,True,B2205,Horsebridge Road,secondary,20 mph,False,7.503,"LINESTRING (1.0241307 51.3602174, 1.0240672 51.360272)",
30103794,False,B2205,High Street,secondary,20 mph,True,197.012,"LINESTRING (1.0241307 51.3602174, 1.0241519 51.3601912, 1.0241672 51.3601538, 1.0242404 51.3598428, 1.0242923 51.3596035, 1.0243294 51.3592697, 1.0243616 51.359138, 1.024417 51.3590121, 1.0245036 51.3588493, 1.0246374 51.3585775, 1.0246757 51.3584869)",
145301900,True,B2205,Harbour Street,secondary,20 mph,False,26.683999999999997,"LINESTRING (1.0259352 51.3621391, 1.0258343 51.3620678, 1.0257669 51.3620104, 1.0256965 51.3619513)",
"[145301901, 1085761350, 99613887]",False,B2205,Harbour Street,secondary,20 mph,False,91.545,"LINESTRING (1.0259352 51.3621391, 1.0259879 51.3621563, 1.0261668 51.3622045, 1.027167 51.3624315)",2
966215337,False,,Bexley Street,residential,20 mph,True,16.458,"LINESTRING (1.027167 51.3624315, 1.0272579 51.3622948)",
"[31960755, 99613887]",False,B2205,Harbour Street,secondary,"['20 mph', '30 mph']",False,67.514,"LINESTRING (1.027167 51.3624315, 1.0276659 51.3625456, 1.0277114 51.362556, 1.0280747 51.362649)",2
"[145301901, 1085761350, 99613887]",False,B2205,Harbour Street,secondary,20 mph,True,91.54500000000002,"LINESTRING (1.027167 51.3624315, 1.0261668 51.3622045, 1.0259879 51.3621563, 1.0259352 51.3621391)",2
"[31960755, 99613887]",False,B2205,Harbour Street,secondary,"['20 mph', '30 mph']",True,67.51400000000001,"LINESTRING (1.0280747 51.362649, 1.0277114 51.362556, 1.0276659 51.3625456, 1.027167 51.3624315)",2
145301899,False,,Cromwell Road,residential,30 mph,False,85.971,"LINESTRING (1.0280747 51.362649, 1.0283999 51.3621298, 1.0284227 51.3620417, 1.0285032 51.3619257)",
145301899,False,,Cromwell Road,residential,30 mph,False,97.237,"LINESTRING (1.0303263 51.3591034, 1.0304264 51.3583007, 1.0304335 51.3582315)",
145301899,False,,Cromwell Road,residential,30 mph,True,76.713,"LINESTRING (1.0303263 51.3591034, 1.0302633 51.3597165, 1.0302595 51.359792)",
4772648,False,,Hamilton Road,residential,20 mph,False,183.55399999999997,"LINESTRING (1.0304335 51.3582315, 1.0298181 51.3582156, 1.0296711 51.3582008, 1.0294559 51.3581457, 1.0283935 51.357874, 1.0279339 51.3577542)",
145301899,False,,Cromwell Road,residential,30 mph,False,96.93,"LINESTRING (1.0304335 51.3582315, 1.0305291 51.3574602, 1.0305945 51.357371)",
145301899,False,,Cromwell Road,residential,30 mph,True,97.237,"LINESTRING (1.0304335 51.3582315, 1.0304264 51.3583007, 1.0303263 51.3591034)",
144784685,False,,St. Peters Road,residential,20 mph,False,63.271,"LINESTRING (1.0276357 51.3614527, 1.0273041 51.3609227)",
1083849456,False,,Woodlawn Street,residential,20 mph,False,63.427,"LINESTRING (1.0276357 51.3614527, 1.026788 51.3616653)",
65084953,False,,Woodlawn Street,residential,20 mph,True,106.15199999999999,"LINESTRING (1.0276357 51.3614527, 1.0284305 51.3612418, 1.0288946 51.3611128, 1.0290432 51.3610806)",
144784685,False,,St. Peters Road,residential,20 mph,True,71.941,"LINESTRING (1.0276357 51.3614527, 1.0278426 51.3617485, 1.0278567 51.3617681, 1.0280425 51.3620477)",
1083849456,False,,Woodlawn Street,residential,20 mph,True,63.427,"LINESTRING (1.026788 51.3616653, 1.0276357 51.3614527)",
4772603,True,,Woodlawn Street,residential,20 mph,False,86.943,"LINESTRING (1.026788 51.3616653, 1.0261021 51.3618512, 1.0259102 51.3619047, 1.0258576 51.3619134, 1.0257783 51.3619149, 1.0257097 51.3619077, 1.025621 51.3618949)",
4381587,True,,Bexley Street,residential,20 mph,False,46.452,"LINESTRING (1.0272579 51.3622948, 1.0269871 51.3619128)",
31960758,False,,Fountain Street,residential,20 mph,False,19.974,"LINESTRING (1.0272579 51.3622948, 1.0275065 51.3622044)",
966215337,False,,Bexley Street,residential,20 mph,False,16.458,"LINESTRING (1.0272579 51.3622948, 1.027167 51.3624315)",
4778905,False,,Sydenham Street,residential,20 mph,False,119.819,"LINESTRING (1.0273041 51.3609227, 1.0288886 51.3604958)",
144784685,False,,St. Peters Road,residential,20 mph,False,54.718,"LINESTRING (1.0273041 51.3609227, 1.0270267 51.3604621)",
144784685,False,,St. Peters Road,residential,20 mph,True,63.271,"LINESTRING (1.0273041 51.3609227, 1.0276357 51.3614527)",
4778905,False,,Sydenham Street,residential,20 mph,True,144.986,"LINESTRING (1.0273041 51.3609227, 1.0264442 51.3611731, 1.0257724 51.3613662, 1.0257479 51.361373, 1.0255428 51.3614383, 1.0254257 51.3614893)",
4778905,False,,Sydenham Street,residential,20 mph,True,119.819,"LINESTRING (1.0288886 51.3604958, 1.0273041 51.3609227)",
