osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,junction,access,bridge
8081110,Whitefriars Drive,residential,20 mph,False,False,129.08,"LINESTRING (-0.338548 51.6009399, -0.3388273 51.6008677, -0.3389188 51.6008368, -0.3399121 51.6005425, -0.3402386 51.6004458)",,,,,
646045144,High Road,primary,30 mph,False,False,67.12,"LINESTRING (-0.338548 51.6009399, -0.3384834 51.6008402, -0.3382742 51.6006401, -0.3380194 51.6004369)",A409,,,,
4853223,Locket Road,tertiary,30 mph,False,False,35.69,"LINESTRING (-0.3355537 51.596647, -0.3352732 51.5966988, -0.3352395 51.596705, -0.3352114 51.5967102, -0.3350584 51.5967384)",,2,,,
265350278,High Street,primary,30 mph,False,False,113.367,"LINESTRING (-0.3355537 51.596647, -0.3354863 51.5964826, -0.3354789 51.5964646, -0.3354133 51.5963044, -0.3353776 51.5962057, -0.3352666 51.5958994, -0.3352223 51.5958235, -0.3351984 51.5957826, -0.3350925 51.5956744)",A409,,,,
"[1067614480, 577150109, 1067614479]",High Street,primary,30 mph,False,True,55.213,"LINESTRING (-0.3355537 51.596647, -0.3355862 51.596709, -0.3356033 51.5967431, -0.3356181 51.5967728, -0.3356752 51.5968629, -0.3357146 51.5969328, -0.3357643 51.5969791, -0.3357982 51.5970106, -0.335922 51.5970747)",A409,2,,,
31965585,High Street,unclassified,20 mph,False,True,58.083,"LINESTRING (-0.3350925 51.5956744, -0.3351448 51.5955943, -0.3351598 51.5955709, -0.3351804 51.5954926, -0.3352122 51.5951618)",,2,,,
265350278,High Street,primary,30 mph,False,True,113.367,"LINESTRING (-0.3350925 51.5956744, -0.3351984 51.5957826, -0.3352223 51.5958235, -0.3352666 51.5958994, -0.3353776 51.5962057, -0.3354133 51.5963044, -0.3354789 51.5964646, -0.3354863 51.5964826, -0.3355537 51.596647)",A409,,,,
"[1067572608, 265350374]",George Gange Way,primary,30 mph,False,False,131.771,"LINESTRING (-0.3350925 51.5956744, -0.3350046 51.5956131, -0.3349181 51.5955717, -0.3348785 51.5955533, -0.3347798 51.5955147, -0.3342109 51.5952922, -0.3340074 51.5951893, -0.3338856 51.5951083, -0.333796 51.5950336, -0.3337329 51.5949752, -0.3336699 51.5949089)",A409,3,,,
8119361,Warham Road,residential,20 mph,False,False,132.922,"LINESTRING (-0.3320142 51.6001675, -0.331807 51.6001155, -0.3315623 51.5999103, -0.3310411 51.5994957, -0.3307565 51.5992848)",,,,,
31965702,Byron Road,residential,20 mph,False,True,106.457,"LINESTRING (-0.3320142 51.6001675, -0.3321165 51.600005, -0.3323665 51.5997358, -0.3324283 51.5995819, -0.3323896 51.5994922, -0.3323781 51.5994656, -0.3322043 51.5993055)",,,,,
795345150,The Crossway,residential,30 mph,False,False,47.559,"LINESTRING (-0.3338731 51.6010665, -0.3344196 51.6008063)",,,,,
795345150,The Crossway,residential,30 mph,False,True,47.559,"LINESTRING (-0.3344196 51.6008063, -0.3338731 51.6010665)",,,,,
795345150,The Crossway,residential,30 mph,False,False,86.693,"LINESTRING (-0.3344196 51.6008063, -0.3348965 51.600615, -0.3355422 51.6004684)",,,,,
"[4635060, 900824813]",The Broadway,residential,30 mph,False,False,107.76499999999999,"LINESTRING (-0.3344196 51.6008063, -0.3341961 51.6005136, -0.3337625 51.5999273)",,2,,,
243007242,Spencer Road,residential,30 mph,False,False,32.846,"LINESTRING (-0.3355422 51.6004684, -0.3358119 51.6007117)",,,,,
"[243007242, 904752180]",Spencer Road,residential,30 mph,False,True,403.957,"LINESTRING (-0.3355422 51.6004684, -0.3353739 51.6002615, -0.3343294 51.5986082, -0.3355686 51.5975043, -0.3356354 51.597443, -0.3357136 51.5973712, -0.3358202 51.5972729)",,2,,,
795345150,The Crossway,residential,30 mph,False,True,86.693,"LINESTRING (-0.3355422 51.6004684, -0.3348965 51.600615, -0.3344196 51.6008063)",,,,,
243007242,Spencer Road,residential,30 mph,False,True,32.846,"LINESTRING (-0.3358119 51.6007117, -0.3355422 51.6004684)",,,,,
20046033,Annette Close,residential,30 mph,False,False,26.647,"LINESTRING (-0.3358119 51.6007117, -0.3358142 51.6008273, -0.3359 51.6009393)",,,,,
"[243007242, 903122813]",Spencer Road,residential,30 mph,False,False,147.30300000000003,"LINESTRING (-0.3358119 51.6007117, -0.3359319 51.6007052, -0.337035 51.6001399, -0.3371967 51.6000571, -0.3374832 51.5999091)",,2,,,
4828495,High Street,primary,30 mph,False,False,67.078,"LINESTRING (-0.3374832 51.5999091, -0.3373991 51.5997683, -0.3373732 51.5996288, -0.3373926 51.5994612, -0.3374201 51.5993176)",A409,,,,
646045144,High Road,primary,30 mph,False,True,69.607,"LINESTRING (-0.3374832 51.5999091, -0.3374887 51.5999152, -0.3375939 51.6000562, -0.337821 51.6002492, -0.3380194 51.6004369)",A409,,,,
"[243007242, 903122813]",Spencer Road,residential,30 mph,False,True,147.303,"LINESTRING (-0.3374832 51.5999091, -0.3371967 51.6000571, -0.337035 51.6001399, -0.3359319 51.6007052, -0.3358119 51.6007117)",,2,,,
646045144,High Road,primary,30 mph,False,False,69.607,"LINESTRING (-0.3380194 51.6004369, -0.337821 51.6002492, -0.3375939 51.6000562, -0.3374887 51.5999152, -0.3374832 51.5999091)",A409,,,,
